,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Albania_2008,0,0,0,Albania,albania,NNP,NN
1,Albania_2008,0,0,1,1998,1998,CD,CD
2,Albania_2008,0,0,3,rev,rev,NN,NN
3,Albania_2008,0,1,0,2008,2008,CD,CD
4,Albania_2008,0,1,2,Preamble,preamble,JJ,JJ
5,Albania_2008,0,1,3,Share,share,NN,NN
6,Albania_2008,0,1,4,We,we,PRP,PR
7,Albania_2008,0,1,6,the,the,DT,DT
8,Albania_2008,0,1,7,people,people,NNS,NN
9,Albania_2008,0,1,8,of,of,IN,IN
10,Albania_2008,0,1,9,Albania,albania,NNP,NN
11,Albania_2008,0,1,11,proud,proud,NN,NN
12,Albania_2008,0,1,12,and,and,CC,CC
13,Albania_2008,0,1,13,aware,aware,NN,NN
14,Albania_2008,0,1,14,of,of,IN,IN
15,Albania_2008,0,1,15,our,our,PRP$,PR
16,Albania_2008,0,1,16,history,history,NN,NN
17,Albania_2008,0,1,18,with,with,IN,IN
18,Albania_2008,0,1,19,responsibility,responsibility,NN,NN
19,Albania_2008,0,1,20,for,for,IN,IN
20,Albania_2008,0,1,21,the,the,DT,DT
21,Albania_2008,0,1,22,future,future,NN,NN
22,Albania_2008,0,1,24,and,and,CC,CC
23,Albania_2008,0,1,25,with,with,IN,IN
24,Albania_2008,0,1,26,faith,faith,NN,NN
25,Albania_2008,0,1,27,in,in,IN,IN
26,Albania_2008,0,1,28,God,god,NNP,NN
27,Albania_2008,0,1,29,and/or,andor,VBZ,VB
28,Albania_2008,0,1,30,other,other,JJ,JJ
29,Albania_2008,0,1,31,universal,universal,JJ,JJ
30,Albania_2008,0,1,32,values,values,NNS,NN
31,Albania_2008,0,1,34,with,with,IN,IN
32,Albania_2008,0,1,35,determination,determination,NN,NN
33,Albania_2008,0,1,36,to,to,TO,TO
34,Albania_2008,0,1,37,build,build,VB,VB
35,Albania_2008,0,1,38,a,a,DT,DT
36,Albania_2008,0,1,39,social,social,JJ,JJ
37,Albania_2008,0,1,40,and,and,CC,CC
38,Albania_2008,0,1,41,democratic,democratic,JJ,JJ
39,Albania_2008,0,1,42,state,state,NN,NN
40,Albania_2008,0,1,43,based,based,VBN,VB
41,Albania_2008,0,1,44,on,on,IN,IN
42,Albania_2008,0,1,45,the,the,DT,DT
43,Albania_2008,0,1,46,rule,rule,NN,NN
44,Albania_2008,0,1,47,of,of,IN,IN
45,Albania_2008,0,1,48,law,law,NN,NN
46,Albania_2008,0,1,50,and,and,CC,CC
47,Albania_2008,0,1,51,to,to,TO,TO
48,Albania_2008,0,1,52,guarantee,guarantee,VB,VB
49,Albania_2008,0,1,53,the,the,DT,DT
50,Albania_2008,0,1,54,fundamental,fundamental,JJ,JJ
51,Albania_2008,0,1,55,human,human,JJ,JJ
52,Albania_2008,0,1,56,rights,rights,NNS,NN
53,Albania_2008,0,1,57,and,and,CC,CC
54,Albania_2008,0,1,58,freedoms,freedoms,NNS,NN
55,Albania_2008,0,1,60,with,with,IN,IN
56,Albania_2008,0,1,61,a,a,DT,DT
57,Albania_2008,0,1,62,spirit,spirit,NN,NN
58,Albania_2008,0,1,63,of,of,IN,IN
59,Albania_2008,0,1,64,religious,religious,JJ,JJ
60,Albania_2008,0,1,65,coexistence,coexistence,NN,NN
61,Albania_2008,0,1,66,and,and,CC,CC
62,Albania_2008,0,1,67,tolerance,tolerance,NN,NN
63,Albania_2008,0,1,69,with,with,IN,IN
64,Albania_2008,0,1,70,a,a,DT,DT
65,Albania_2008,0,1,71,pledge,pledge,NN,NN
66,Albania_2008,0,1,72,to,to,TO,TO
67,Albania_2008,0,1,73,protect,protect,VB,VB
68,Albania_2008,0,1,74,human,human,JJ,JJ
69,Albania_2008,0,1,75,dignity,dignity,NN,NN
70,Albania_2008,0,1,76,and,and,CC,CC
71,Albania_2008,0,1,77,personhood,personhood,NN,NN
72,Albania_2008,0,1,79,as,as,RB,RB
73,Albania_2008,0,1,80,well,well,RB,RB
74,Albania_2008,0,1,81,as,as,IN,IN
75,Albania_2008,0,1,82,for,for,IN,IN
76,Albania_2008,0,1,83,the,the,DT,DT
77,Albania_2008,0,1,84,prosperity,prosperity,NN,NN
78,Albania_2008,0,1,85,of,of,IN,IN
79,Albania_2008,0,1,86,the,the,DT,DT
80,Albania_2008,0,1,87,whole,whole,JJ,JJ
81,Albania_2008,0,1,88,nation,nation,NN,NN
82,Albania_2008,0,1,90,for,for,IN,IN
83,Albania_2008,0,1,91,peace,peace,NN,NN
84,Albania_2008,0,1,93,well-being,wellbeing,JJ,JJ
85,Albania_2008,0,1,95,culture,culture,NN,NN
86,Albania_2008,0,1,96,and,and,CC,CC
87,Albania_2008,0,1,97,social,social,JJ,JJ
88,Albania_2008,0,1,98,solidarity,solidarity,NN,NN
89,Albania_2008,0,1,100,with,with,IN,IN
90,Albania_2008,0,1,101,the,the,DT,DT
91,Albania_2008,0,1,102,centuries-old,centuriesold,JJ,JJ
92,Albania_2008,0,1,103,aspiration,aspiration,NN,NN
93,Albania_2008,0,1,104,of,of,IN,IN
94,Albania_2008,0,1,105,the,the,DT,DT
95,Albania_2008,0,1,106,Albanian,albanian,JJ,JJ
96,Albania_2008,0,1,107,people,people,NNS,NN
97,Albania_2008,0,1,108,for,for,IN,IN
98,Albania_2008,0,1,109,national,national,JJ,JJ
99,Albania_2008,0,1,110,identity,identity,NN,NN
100,Albania_2008,0,1,111,and,and,CC,CC
101,Albania_2008,0,1,112,unity,unity,NN,NN
102,Albania_2008,0,1,114,with,with,IN,IN
103,Albania_2008,0,1,115,a,a,DT,DT
104,Albania_2008,0,1,116,deep,deep,JJ,JJ
105,Albania_2008,0,1,117,conviction,conviction,NN,NN
106,Albania_2008,0,1,118,that,that,IN,IN
107,Albania_2008,0,1,119,justice,justice,NN,NN
108,Albania_2008,0,1,121,peace,peace,NN,NN
109,Albania_2008,0,1,123,harmony,harmony,NN,NN
110,Albania_2008,0,1,124,and,and,CC,CC
111,Albania_2008,0,1,125,cooperation,cooperation,NN,NN
112,Albania_2008,0,1,126,between,between,IN,IN
113,Albania_2008,0,1,127,nations,nations,NNS,NN
114,Albania_2008,0,1,128,are,are,VBP,VB
115,Albania_2008,0,1,129,among,among,IN,IN
116,Albania_2008,0,1,130,the,the,DT,DT
117,Albania_2008,0,1,131,highest,highest,JJS,JJ
118,Albania_2008,0,1,132,values,values,NNS,NN
119,Albania_2008,0,1,133,of,of,IN,IN
120,Albania_2008,0,1,134,humanity,humanity,NN,NN
121,Albania_2008,0,1,136,We,we,PRP,PR
