,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Algeria_2008,0,0,0,Algeria,algeria,NN,NN
1,Algeria_2008,0,0,1,1963,1963,CD,CD
2,Algeria_2008,0,0,3,rev,rev,NN,NN
3,Algeria_2008,0,1,0,2008,2008,CD,CD
4,Algeria_2008,0,1,2,Preamble,preamble,NNP,NN
5,Algeria_2008,0,1,3,Share,share,NNP,NN
6,Algeria_2008,0,1,4,The,the,DT,DT
7,Algeria_2008,0,1,5,Algerian,algerian,JJ,JJ
8,Algeria_2008,0,1,6,people,people,NNS,NN
9,Algeria_2008,0,1,7,is,is,VBZ,VB
10,Algeria_2008,0,1,8,a,a,DT,DT
11,Algeria_2008,0,1,9,free,free,JJ,JJ
12,Algeria_2008,0,1,10,people,people,NNS,NN
13,Algeria_2008,0,1,12,decided,decided,VBD,VB
14,Algeria_2008,0,1,13,to,to,TO,TO
15,Algeria_2008,0,1,14,remain,remain,VB,VB
16,Algeria_2008,0,1,15,free,free,JJ,JJ
17,Algeria_2008,0,2,0,Its,its,PRP$,PR
18,Algeria_2008,0,2,1,history,history,NN,NN
19,Algeria_2008,0,2,2,is,is,VBZ,VB
20,Algeria_2008,0,2,3,a,a,DT,DT
21,Algeria_2008,0,2,4,long,long,JJ,JJ
22,Algeria_2008,0,2,5,chain,chain,NN,NN
23,Algeria_2008,0,2,6,of,of,IN,IN
24,Algeria_2008,0,2,7,battles,battles,NNS,NN
25,Algeria_2008,0,2,8,which,which,WDT,WD
26,Algeria_2008,0,2,9,have,have,VBP,VB
27,Algeria_2008,0,2,10,made,made,VBN,VB
28,Algeria_2008,0,2,11,Algeria,algeria,NNP,NN
29,Algeria_2008,0,2,12,forever,forever,RB,RB
30,Algeria_2008,0,2,13,a,a,DT,DT
31,Algeria_2008,0,2,14,country,country,NN,NN
32,Algeria_2008,0,2,15,of,of,IN,IN
33,Algeria_2008,0,2,16,freedom,freedom,NN,NN
34,Algeria_2008,0,2,17,and,and,CC,CC
35,Algeria_2008,0,2,18,dignity,dignity,NN,NN
36,Algeria_2008,0,3,0,Placed,placed,VBN,VB
37,Algeria_2008,0,3,1,in,in,IN,IN
38,Algeria_2008,0,3,2,the,the,DT,DT
39,Algeria_2008,0,3,3,heart,heart,NN,NN
40,Algeria_2008,0,3,4,of,of,IN,IN
41,Algeria_2008,0,3,5,the,the,DT,DT
42,Algeria_2008,0,3,6,great,great,JJ,JJ
43,Algeria_2008,0,3,7,moments,moments,NNS,NN
44,Algeria_2008,0,3,8,which,which,WDT,WD
45,Algeria_2008,0,3,9,the,the,DT,DT
46,Algeria_2008,0,3,10,Mediterranean,mediterranean,NNP,NN
47,Algeria_2008,0,3,11,has,has,VBZ,VB
48,Algeria_2008,0,3,12,known,known,VBN,VB
49,Algeria_2008,0,3,13,in,in,IN,IN
50,Algeria_2008,0,3,14,the,the,DT,DT
51,Algeria_2008,0,3,15,course,course,NN,NN
52,Algeria_2008,0,3,16,of,of,IN,IN
53,Algeria_2008,0,3,17,its,its,PRP$,PR
54,Algeria_2008,0,3,18,history,history,NN,NN
55,Algeria_2008,0,3,20,Algeria,algeria,NNP,NN
56,Algeria_2008,0,3,21,has,has,VBZ,VB
57,Algeria_2008,0,3,22,found,found,VBN,VB
58,Algeria_2008,0,3,23,in,in,IN,IN
59,Algeria_2008,0,3,24,its,its,PRP$,PR
60,Algeria_2008,0,3,25,sons,sons,NNS,NN
61,Algeria_2008,0,3,27,from,from,IN,IN
62,Algeria_2008,0,3,28,the,the,DT,DT
63,Algeria_2008,0,3,29,time,time,NN,NN
64,Algeria_2008,0,3,30,of,of,IN,IN
65,Algeria_2008,0,3,31,the,the,DT,DT
66,Algeria_2008,0,3,32,Numidian,numidian,JJ,JJ
67,Algeria_2008,0,3,33,Kingdom,kingdom,NNP,NN
68,Algeria_2008,0,3,34,and,and,CC,CC
69,Algeria_2008,0,3,35,the,the,DT,DT
70,Algeria_2008,0,3,36,epic,epic,NN,NN
71,Algeria_2008,0,3,37,of,of,IN,IN
72,Algeria_2008,0,3,38,Islam,islam,NNP,NN
73,Algeria_2008,0,3,39,to,to,TO,TO
74,Algeria_2008,0,3,40,the,the,DT,DT
75,Algeria_2008,0,3,41,colonial,colonial,NN,NN
76,Algeria_2008,0,3,42,wars,wars,NNS,NN
77,Algeria_2008,0,3,44,its,its,PRP$,PR
78,Algeria_2008,0,3,45,heralds,heralds,NNS,NN
79,Algeria_2008,0,3,46,of,of,IN,IN
80,Algeria_2008,0,3,47,liberty,liberty,NN,NN
81,Algeria_2008,0,3,49,unity,unity,NN,NN
82,Algeria_2008,0,3,50,and,and,CC,CC
83,Algeria_2008,0,3,51,progress,progress,NN,NN
84,Algeria_2008,0,3,52,at,at,IN,IN
85,Algeria_2008,0,3,53,the,the,DT,DT
86,Algeria_2008,0,3,54,same,same,JJ,JJ
87,Algeria_2008,0,3,55,time,time,NN,NN
88,Algeria_2008,0,3,56,as,as,IN,IN
89,Algeria_2008,0,3,57,the,the,DT,DT
90,Algeria_2008,0,3,58,builders,builders,NNS,NN
91,Algeria_2008,0,3,59,of,of,IN,IN
92,Algeria_2008,0,3,60,democratic,democratic,JJ,JJ
93,Algeria_2008,0,3,61,and,and,CC,CC
94,Algeria_2008,0,3,62,prosperous,prosperous,JJ,JJ
95,Algeria_2008,0,3,63,states,states,NNS,NN
96,Algeria_2008,0,3,64,in,in,IN,IN
97,Algeria_2008,0,3,65,the,the,DT,DT
98,Algeria_2008,0,3,66,periods,periods,NNS,NN
99,Algeria_2008,0,3,67,of,of,IN,IN
100,Algeria_2008,0,3,68,grandeur,grandeur,NN,NN
101,Algeria_2008,0,3,69,and,and,CC,CC
102,Algeria_2008,0,3,70,of,of,IN,IN
103,Algeria_2008,0,3,71,peace,peace,NN,NN
104,Algeria_2008,0,4,0,November,november,NNP,NN
105,Algeria_2008,0,4,1,1,1,CD,CD
106,Algeria_2008,0,4,3,1954,1954,CD,CD
107,Algeria_2008,0,4,4,was,was,VBD,VB
108,Algeria_2008,0,4,5,one,one,CD,CD
109,Algeria_2008,0,4,6,of,of,IN,IN
110,Algeria_2008,0,4,7,the,the,DT,DT
111,Algeria_2008,0,4,8,crowns,crowns,NNS,NN
112,Algeria_2008,0,4,9,of,of,IN,IN
113,Algeria_2008,0,4,10,its,its,PRP$,PR
114,Algeria_2008,0,4,11,destiny,destiny,NN,NN
115,Algeria_2008,0,4,13,the,the,DT,DT
116,Algeria_2008,0,4,14,result,result,NN,NN
117,Algeria_2008,0,4,15,of,of,IN,IN
118,Algeria_2008,0,4,16,its,its,PRP$,PR
119,Algeria_2008,0,4,17,long,long,JJ,JJ
120,Algeria_2008,0,4,18,resistance,resistance,NN,NN
121,Algeria_2008,0,4,19,to,to,TO,TO
122,Algeria_2008,0,4,20,the,the,DT,DT
123,Algeria_2008,0,4,21,aggressions,aggressions,NNS,NN
124,Algeria_2008,0,4,22,directed,directed,VBN,VB
125,Algeria_2008,0,4,23,against,against,IN,IN
126,Algeria_2008,0,4,24,its,its,PRP$,PR
127,Algeria_2008,0,4,25,culture,culture,NN,NN
128,Algeria_2008,0,4,27,its,its,PRP$,PR
129,Algeria_2008,0,4,28,values,values,NNS,NN
130,Algeria_2008,0,4,29,and,and,CC,CC
131,Algeria_2008,0,4,30,the,the,DT,DT
132,Algeria_2008,0,4,31,fundamental,fundamental,JJ,JJ
133,Algeria_2008,0,4,32,components,components,NNS,NN
134,Algeria_2008,0,4,33,of,of,IN,IN
135,Algeria_2008,0,4,34,its,its,PRP$,PR
136,Algeria_2008,0,4,35,identity,identity,NN,NN
137,Algeria_2008,0,4,36,which,which,WDT,WD
138,Algeria_2008,0,4,37,are,are,VBP,VB
139,Algeria_2008,0,4,38,its,its,PRP$,PR
140,Algeria_2008,0,4,39,Arab-ness,arabness,JJ,JJ
141,Algeria_2008,0,4,40,and,and,CC,CC
142,Algeria_2008,0,4,41,Amazighité,amazighité,NNP,NN
143,Algeria_2008,0,4,43,the,the,DT,DT
144,Algeria_2008,0,4,44,first,first,JJ,JJ
145,Algeria_2008,0,4,45,of,of,IN,IN
146,Algeria_2008,0,4,46,November,november,NNP,NN
147,Algeria_2008,0,4,47,solidly,solidly,RB,RB
148,Algeria_2008,0,4,48,anchored,anchored,VBD,VB
