,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Andorra_1993,0,0,0,Andorra,andorra,NNP,NN
1,Andorra_1993,0,0,1,1993,1993,CD,CD
2,Andorra_1993,0,0,2,Preamble,preamble,NNP,NN
3,Andorra_1993,0,0,3,Share,share,NNP,NN
4,Andorra_1993,0,0,4,The,the,DT,DT
5,Andorra_1993,0,0,5,Andorran,andorran,NNP,NN
6,Andorra_1993,0,0,6,People,people,NNP,NN
7,Andorra_1993,0,0,8,with,with,IN,IN
8,Andorra_1993,0,0,9,full,full,JJ,JJ
9,Andorra_1993,0,0,10,liberty,liberty,NN,NN
10,Andorra_1993,0,0,11,and,and,CC,CC
11,Andorra_1993,0,0,12,independence,independence,NN,NN
12,Andorra_1993,0,0,14,and,and,CC,CC
13,Andorra_1993,0,0,15,in,in,IN,IN
14,Andorra_1993,0,0,16,the,the,DT,DT
15,Andorra_1993,0,0,17,exercise,exercise,NN,NN
16,Andorra_1993,0,0,18,of,of,IN,IN
17,Andorra_1993,0,0,19,their,their,PRP$,PR
18,Andorra_1993,0,0,20,own,own,JJ,JJ
19,Andorra_1993,0,0,21,sovereignty,sovereignty,NN,NN
20,Andorra_1993,0,0,23,Conscious,conscious,NNP,NN
21,Andorra_1993,0,0,24,of,of,IN,IN
22,Andorra_1993,0,0,25,the,the,DT,DT
23,Andorra_1993,0,0,26,need,need,NN,NN
24,Andorra_1993,0,0,27,to,to,TO,TO
25,Andorra_1993,0,0,28,conform,conform,VB,VB
26,Andorra_1993,0,0,29,the,the,DT,DT
27,Andorra_1993,0,0,30,institutional,institutional,JJ,JJ
28,Andorra_1993,0,0,31,structure,structure,NN,NN
29,Andorra_1993,0,0,32,of,of,IN,IN
30,Andorra_1993,0,0,33,Andorra,andorra,NNP,NN
31,Andorra_1993,0,0,34,to,to,TO,TO
32,Andorra_1993,0,0,35,the,the,DT,DT
33,Andorra_1993,0,0,36,new,new,JJ,JJ
34,Andorra_1993,0,0,37,circumstances,circumstances,NNS,NN
35,Andorra_1993,0,0,38,brought,brought,VBN,VB
36,Andorra_1993,0,0,39,about,about,RB,RB
37,Andorra_1993,0,0,40,by,by,IN,IN
38,Andorra_1993,0,0,41,the,the,DT,DT
39,Andorra_1993,0,0,42,evolution,evolution,NN,NN
40,Andorra_1993,0,0,43,of,of,IN,IN
41,Andorra_1993,0,0,44,the,the,DT,DT
