,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Austria_2009,0,0,0,Austria,austria,NN,NN
1,Austria_2009,0,0,1,1920,1920,CD,CD
2,Austria_2009,0,0,3,reinst,reinst,NN,NN
3,Austria_2009,0,1,0,1945,1945,CD,CD
4,Austria_2009,0,1,2,rev,rev,NN,NN
5,Austria_2009,0,2,0,2009,2009,CD,CD
6,Austria_2009,0,2,2,Chapter,chapter,NN,NN
7,Austria_2009,0,2,3,I,i,PRP,PR
8,Austria_2009,0,3,0,General,general,JJ,JJ
9,Austria_2009,0,3,1,Provisions,provisions,NNPS,NN
10,Austria_2009,0,4,0,European,european,NNP,NN
11,Austria_2009,0,4,1,Union,union,NNP,NN
12,Austria_2009,0,4,2,Section,section,NNP,NN
13,Austria_2009,0,4,3,A,a,NNP,NN
14,Austria_2009,0,5,0,General,general,NNP,NN
15,Austria_2009,0,5,1,Provisions,provisions,NNP,NN
16,Austria_2009,0,5,2,Share,share,NNP,NN
17,Austria_2009,0,5,3,Art,art,NNP,NN
18,Austria_2009,0,5,4,1,1,CD,CD
19,Austria_2009,0,5,5,Share,share,NNP,NN
20,Austria_2009,0,5,6,Austria,austria,NNP,NN
21,Austria_2009,0,5,7,is,is,VBZ,VB
22,Austria_2009,0,5,8,a,a,DT,DT
23,Austria_2009,0,5,9,democratic,democratic,JJ,JJ
24,Austria_2009,0,5,10,republic,republic,NN,NN
25,Austria_2009,0,6,0,Its,its,PRP$,PR
26,Austria_2009,0,6,1,law,law,NN,NN
27,Austria_2009,0,6,2,emanates,emanates,VBZ,VB
28,Austria_2009,0,6,3,from,from,IN,IN
29,Austria_2009,0,6,4,the,the,DT,DT
30,Austria_2009,0,6,5,people,people,NNS,NN
31,Austria_2009,0,7,0,Art,art,NN,NN
32,Austria_2009,0,7,1,2,2,CD,CD
33,Austria_2009,0,7,2,Share,share,NNP,NN
34,Austria_2009,0,7,3,1,1,CD,CD
35,Austria_2009,0,8,0,Austria,austria,NNP,NN
36,Austria_2009,0,8,1,is,is,VBZ,VB
37,Austria_2009,0,8,2,a,a,DT,DT
38,Austria_2009,0,8,3,federal,federal,JJ,JJ
39,Austria_2009,0,8,4,state,state,NN,NN
40,Austria_2009,0,9,0,2,2,CD,CD
41,Austria_2009,0,10,0,The,the,DT,DT
42,Austria_2009,0,10,1,Federal,federal,NNP,NN
43,Austria_2009,0,10,2,State,state,NNP,NN
44,Austria_2009,0,10,3,is,is,VBZ,VB
45,Austria_2009,0,10,4,composed,composed,VBN,VB
46,Austria_2009,0,10,5,of,of,IN,IN
47,Austria_2009,0,10,6,the,the,DT,DT
48,Austria_2009,0,10,7,autonomous,autonomous,JJ,JJ
49,Austria_2009,0,10,8,Laender,laender,NNP,NN
50,Austria_2009,0,10,9,of,of,IN,IN
