,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Azerbaijan_2009,0,0,0,Azerbaijan,azerbaijan,NN,NN
1,Azerbaijan_2009,0,0,1,1995,1995,CD,CD
2,Azerbaijan_2009,0,0,3,rev,rev,NN,NN
3,Azerbaijan_2009,0,1,0,2009,2009,CD,CD
4,Azerbaijan_2009,0,1,2,Preamble,preamble,NNP,NN
5,Azerbaijan_2009,0,1,3,Share,share,NNP,NN
6,Azerbaijan_2009,0,1,4,The,the,DT,DT
7,Azerbaijan_2009,0,1,5,Azerbaijan,azerbaijan,NNP,NN
8,Azerbaijan_2009,0,1,6,people,people,NNS,NN
9,Azerbaijan_2009,0,1,8,continuing,continuing,VBG,VB
10,Azerbaijan_2009,0,1,9,the,the,DT,DT
11,Azerbaijan_2009,0,1,10,traditions,traditions,NNS,NN
12,Azerbaijan_2009,0,1,11,of,of,IN,IN
13,Azerbaijan_2009,0,1,12,many,many,JJ,JJ
14,Azerbaijan_2009,0,1,13,centuries,centuries,NNS,NN
15,Azerbaijan_2009,0,1,14,of,of,IN,IN
16,Azerbaijan_2009,0,1,15,their,their,PRP$,PR
17,Azerbaijan_2009,0,1,16,Statehood,statehood,NNP,NN
18,Azerbaijan_2009,0,1,18,guided,guided,VBN,VB
19,Azerbaijan_2009,0,1,19,by,by,IN,IN
20,Azerbaijan_2009,0,1,20,the,the,DT,DT
21,Azerbaijan_2009,0,1,21,principles,principles,NNS,NN
22,Azerbaijan_2009,0,1,22,which,which,WDT,WD
23,Azerbaijan_2009,0,1,23,are,are,VBP,VB
24,Azerbaijan_2009,0,1,24,reflected,reflected,VBN,VB
25,Azerbaijan_2009,0,1,25,in,in,IN,IN
26,Azerbaijan_2009,0,1,26,the,the,DT,DT
27,Azerbaijan_2009,0,1,27,Constitutional,constitutional,NNP,NN
28,Azerbaijan_2009,0,1,28,Act,act,NNP,NN
29,Azerbaijan_2009,0,1,29,on,on,IN,IN
30,Azerbaijan_2009,0,1,30,the,the,DT,DT
31,Azerbaijan_2009,0,1,31,State,state,NNP,NN
32,Azerbaijan_2009,0,1,32,Independence,independence,NNP,NN
33,Azerbaijan_2009,0,1,33,of,of,IN,IN
34,Azerbaijan_2009,0,1,34,the,the,DT,DT
35,Azerbaijan_2009,0,1,35,Republic,republic,NNP,NN
36,Azerbaijan_2009,0,1,36,of,of,IN,IN
37,Azerbaijan_2009,0,1,37,Azerbaijan,azerbaijan,NNP,NN
38,Azerbaijan_2009,0,1,39,wishing,wishing,VBG,VB
39,Azerbaijan_2009,0,1,40,to,to,TO,TO
40,Azerbaijan_2009,0,1,41,provide,provide,VB,VB
41,Azerbaijan_2009,0,1,42,welfare,welfare,NN,NN
42,Azerbaijan_2009,0,1,43,for,for,IN,IN
43,Azerbaijan_2009,0,1,44,all,all,DT,DT
44,Azerbaijan_2009,0,1,45,and,and,CC,CC
45,Azerbaijan_2009,0,1,46,everyone,everyone,NN,NN
46,Azerbaijan_2009,0,1,48,and,and,CC,CC
47,Azerbaijan_2009,0,1,49,to,to,TO,TO
48,Azerbaijan_2009,0,1,50,establish,establish,VB,VB
49,Azerbaijan_2009,0,1,51,justice,justice,NN,NN
50,Azerbaijan_2009,0,1,53,freedom,freedom,NN,NN
51,Azerbaijan_2009,0,1,55,security,security,NN,NN
52,Azerbaijan_2009,0,1,57,and,and,CC,CC
53,Azerbaijan_2009,0,1,58,being,being,VBG,VB
54,Azerbaijan_2009,0,1,59,aware,aware,JJ,JJ
55,Azerbaijan_2009,0,1,60,of,of,IN,IN
56,Azerbaijan_2009,0,1,61,their,their,PRP$,PR
57,Azerbaijan_2009,0,1,62,responsibility,responsibility,NN,NN
58,Azerbaijan_2009,0,1,63,before,before,IN,IN
59,Azerbaijan_2009,0,1,64,past,past,JJ,JJ
60,Azerbaijan_2009,0,1,66,present,present,JJ,JJ
61,Azerbaijan_2009,0,1,68,and,and,CC,CC
62,Azerbaijan_2009,0,1,69,future,future,JJ,JJ
63,Azerbaijan_2009,0,1,70,generations,generations,NNS,NN
64,Azerbaijan_2009,0,1,72,exercise,exercise,VBP,VB
65,Azerbaijan_2009,0,1,73,their,their,PRP$,PR
66,Azerbaijan_2009,0,1,74,sovereign,sovereign,NN,NN
67,Azerbaijan_2009,0,1,75,right,right,RB,RB
68,Azerbaijan_2009,0,1,76,by,by,IN,IN
69,Azerbaijan_2009,0,1,77,solemnly,solemnly,RB,RB
70,Azerbaijan_2009,0,1,78,declaring,declaring,VBG,VB
71,Azerbaijan_2009,0,1,79,the,the,DT,DT
72,Azerbaijan_2009,0,1,80,following,following,JJ,JJ
73,Azerbaijan_2009,0,1,81,goals,goals,NNS,NN
74,Azerbaijan_2009,0,1,83,to,to,TO,TO
75,Azerbaijan_2009,0,1,84,protect,protect,VB,VB
76,Azerbaijan_2009,0,1,85,the,the,DT,DT
77,Azerbaijan_2009,0,1,86,independence,independence,NN,NN
78,Azerbaijan_2009,0,1,88,sovereignty,sovereignty,NN,NN
79,Azerbaijan_2009,0,1,89,and,and,CC,CC
80,Azerbaijan_2009,0,1,90,the,the,DT,DT
81,Azerbaijan_2009,0,1,91,territorial,territorial,JJ,JJ
82,Azerbaijan_2009,0,1,92,integrity,integrity,NN,NN
83,Azerbaijan_2009,0,1,93,of,of,IN,IN
84,Azerbaijan_2009,0,1,94,the,the,DT,DT
85,Azerbaijan_2009,0,1,95,Republic,republic,NNP,NN
86,Azerbaijan_2009,0,1,96,of,of,IN,IN
87,Azerbaijan_2009,0,1,97,Azerbaijan,azerbaijan,NNP,NN
88,Azerbaijan_2009,0,1,99,to,to,TO,TO
89,Azerbaijan_2009,0,1,100,guarantee,guarantee,VB,VB
90,Azerbaijan_2009,0,1,101,the,the,DT,DT
91,Azerbaijan_2009,0,1,102,democratic,democratic,JJ,JJ
92,Azerbaijan_2009,0,1,103,system,system,NN,NN
93,Azerbaijan_2009,0,1,104,within,within,IN,IN
94,Azerbaijan_2009,0,1,105,the,the,DT,DT
95,Azerbaijan_2009,0,1,106,framework,framework,NN,NN
96,Azerbaijan_2009,0,1,107,of,of,IN,IN
97,Azerbaijan_2009,0,1,108,the,the,DT,DT
98,Azerbaijan_2009,0,1,109,Constitution,constitution,NNP,NN
99,Azerbaijan_2009,0,1,111,to,to,TO,TO
100,Azerbaijan_2009,0,1,112,achieve,achieve,VB,VB
101,Azerbaijan_2009,0,1,113,the,the,DT,DT
102,Azerbaijan_2009,0,1,114,realization,realization,NN,NN
103,Azerbaijan_2009,0,1,115,of,of,IN,IN
104,Azerbaijan_2009,0,1,116,a,a,DT,DT
105,Azerbaijan_2009,0,1,117,civil,civil,JJ,JJ
106,Azerbaijan_2009,0,1,118,society,society,NN,NN
107,Azerbaijan_2009,0,1,120,to,to,TO,TO
108,Azerbaijan_2009,0,1,121,establish,establish,VB,VB
109,Azerbaijan_2009,0,1,122,a,a,DT,DT
110,Azerbaijan_2009,0,1,123,law-governed,lawgoverned,JJ,JJ
111,Azerbaijan_2009,0,1,125,secular,secular,JJ,JJ
112,Azerbaijan_2009,0,1,126,state,state,NN,NN
113,Azerbaijan_2009,0,1,127,which,which,WDT,WD
114,Azerbaijan_2009,0,1,128,assures,assures,VBZ,VB
115,Azerbaijan_2009,0,1,129,the,the,DT,DT
116,Azerbaijan_2009,0,1,130,supremacy,supremacy,NN,NN
117,Azerbaijan_2009,0,1,131,of,of,IN,IN
118,Azerbaijan_2009,0,1,132,the,the,DT,DT
119,Azerbaijan_2009,0,1,133,law,law,NN,NN
120,Azerbaijan_2009,0,1,134,as,as,IN,IN
121,Azerbaijan_2009,0,1,135,an,an,DT,DT
122,Azerbaijan_2009,0,1,136,expression,expression,NN,NN
123,Azerbaijan_2009,0,1,137,of,of,IN,IN
124,Azerbaijan_2009,0,1,138,the,the,DT,DT
125,Azerbaijan_2009,0,1,139,will,will,MD,MD
126,Azerbaijan_2009,0,1,140,of,of,IN,IN
127,Azerbaijan_2009,0,1,141,the,the,DT,DT
128,Azerbaijan_2009,0,1,142,people,people,NNS,NN
129,Azerbaijan_2009,0,1,144,to,to,TO,TO
130,Azerbaijan_2009,0,1,145,assure,assure,VB,VB
131,Azerbaijan_2009,0,1,146,to,to,TO,TO
132,Azerbaijan_2009,0,1,147,all,all,PDT,PD
133,Azerbaijan_2009,0,1,148,a,a,DT,DT
134,Azerbaijan_2009,0,1,149,decent,decent,JJ,JJ
135,Azerbaijan_2009,0,1,150,level,level,NN,NN
136,Azerbaijan_2009,0,1,151,of,of,IN,IN
