,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Bahamas_2002,0,0,0,Bahamas,bahamas,IN,IN
1,Bahamas_2002,0,0,1,1973,1973,CD,CD
2,Bahamas_2002,0,0,3,rev,rev,NN,NN
3,Bahamas_2002,0,1,0,2002,2002,CD,CD
4,Bahamas_2002,0,1,2,Preamble,preamble,NNP,NN
5,Bahamas_2002,0,1,3,Share,share,NNP,NN
6,Bahamas_2002,0,1,4,Whereas,whereas,NNP,NN
7,Bahamas_2002,0,1,5,Four,four,NNP,NN
8,Bahamas_2002,0,1,6,hundred,hundred,VBD,VB
9,Bahamas_2002,0,1,7,and,and,CC,CC
10,Bahamas_2002,0,1,8,eighty-one,eightyone,CD,CD
11,Bahamas_2002,0,1,9,years,years,NNS,NN
12,Bahamas_2002,0,1,10,ago,ago,IN,IN
13,Bahamas_2002,0,1,11,the,the,DT,DT
14,Bahamas_2002,0,1,12,rediscovery,rediscovery,NN,NN
15,Bahamas_2002,0,1,13,of,of,IN,IN
16,Bahamas_2002,0,1,14,this,this,DT,DT
17,Bahamas_2002,0,1,15,Family,family,NNP,NN
18,Bahamas_2002,0,1,16,of,of,IN,IN
19,Bahamas_2002,0,1,17,Islands,islands,NNP,NN
20,Bahamas_2002,0,1,19,Rocks,rocks,NNP,NN
21,Bahamas_2002,0,1,20,and,and,CC,CC
22,Bahamas_2002,0,1,21,Cays,cays,NNP,NN
23,Bahamas_2002,0,1,22,heralded,heralded,VBD,VB
24,Bahamas_2002,0,1,23,the,the,DT,DT
25,Bahamas_2002,0,1,24,rebirth,rebirth,NN,NN
26,Bahamas_2002,0,1,25,of,of,IN,IN
27,Bahamas_2002,0,1,26,the,the,DT,DT
28,Bahamas_2002,0,1,27,New,new,NNP,NN
29,Bahamas_2002,0,1,28,World,world,NNP,NN
30,Bahamas_2002,0,1,30,And,and,CC,CC
31,Bahamas_2002,0,1,31,Whereas,whereas,IN,IN
32,Bahamas_2002,0,1,32,the,the,DT,DT
33,Bahamas_2002,0,1,33,People,people,NNP,NN
34,Bahamas_2002,0,1,34,of,of,IN,IN
35,Bahamas_2002,0,1,35,this,this,DT,DT
36,Bahamas_2002,0,1,36,Family,family,NNP,NN
37,Bahamas_2002,0,1,37,of,of,IN,IN
38,Bahamas_2002,0,1,38,Islands,islands,NNP,NN
39,Bahamas_2002,0,1,39,recognizing,recognizing,VBG,VB
40,Bahamas_2002,0,1,40,that,that,IN,IN
41,Bahamas_2002,0,1,41,the,the,DT,DT
42,Bahamas_2002,0,1,42,preservation,preservation,NN,NN
43,Bahamas_2002,0,1,43,of,of,IN,IN
44,Bahamas_2002,0,1,44,their,their,PRP$,PR
45,Bahamas_2002,0,1,45,Freedom,freedom,NNP,NN
46,Bahamas_2002,0,1,46,will,will,MD,MD
47,Bahamas_2002,0,1,47,be,be,VB,VB
48,Bahamas_2002,0,1,48,guaranteed,guaranteed,VBN,VB
49,Bahamas_2002,0,1,49,by,by,IN,IN
50,Bahamas_2002,0,1,50,a,a,DT,DT
51,Bahamas_2002,0,1,51,national,national,JJ,JJ
52,Bahamas_2002,0,1,52,commitment,commitment,NN,NN
53,Bahamas_2002,0,1,53,to,to,TO,TO
54,Bahamas_2002,0,1,54,Self-discipline,selfdiscipline,NNP,NN
55,Bahamas_2002,0,1,56,Industry,industry,NNP,NN
56,Bahamas_2002,0,1,58,Loyalty,loyalty,NNP,NN
57,Bahamas_2002,0,1,60,Unity,unity,NNP,NN
58,Bahamas_2002,0,1,61,and,and,CC,CC
59,Bahamas_2002,0,1,62,an,an,DT,DT
60,Bahamas_2002,0,1,63,abiding,abiding,NN,NN
61,Bahamas_2002,0,1,64,respect,respect,NN,NN
62,Bahamas_2002,0,1,65,for,for,IN,IN
63,Bahamas_2002,0,1,66,Christian,christian,JJ,JJ
64,Bahamas_2002,0,1,67,values,values,NNS,NN
65,Bahamas_2002,0,1,68,and,and,CC,CC
66,Bahamas_2002,0,1,69,the,the,DT,DT
67,Bahamas_2002,0,1,70,Rule,rule,NNP,NN
68,Bahamas_2002,0,1,71,of,of,IN,IN
69,Bahamas_2002,0,1,72,Law,law,NNP,NN
70,Bahamas_2002,0,1,74,Now,now,RB,RB
71,Bahamas_2002,0,1,75,Know,know,NNP,NN
72,Bahamas_2002,0,1,76,Ye,ye,NNP,NN
73,Bahamas_2002,0,1,77,Therefore,therefore,NNP,NN
74,Bahamas_2002,0,1,79,We,we,PRP,PR
75,Bahamas_2002,0,1,80,the,the,DT,DT
76,Bahamas_2002,0,1,81,Inheritors,inheritors,NNPS,NN
77,Bahamas_2002,0,1,82,of,of,IN,IN
78,Bahamas_2002,0,1,83,and,and,CC,CC
79,Bahamas_2002,0,1,84,Successors,successors,NNPS,NN
80,Bahamas_2002,0,1,85,to,to,TO,TO
81,Bahamas_2002,0,1,86,this,this,DT,DT
82,Bahamas_2002,0,1,87,Family,family,NNP,NN
83,Bahamas_2002,0,1,88,of,of,IN,IN
84,Bahamas_2002,0,1,89,Islands,islands,NNP,NN
85,Bahamas_2002,0,1,91,recognizing,recognizing,VBG,VB
86,Bahamas_2002,0,1,92,the,the,DT,DT
87,Bahamas_2002,0,1,93,Supremacy,supremacy,NNP,NN
88,Bahamas_2002,0,1,94,of,of,IN,IN
89,Bahamas_2002,0,1,95,God,god,NNP,NN
90,Bahamas_2002,0,1,96,and,and,CC,CC
91,Bahamas_2002,0,1,97,believing,believing,VBG,VB
92,Bahamas_2002,0,1,98,in,in,IN,IN
93,Bahamas_2002,0,1,99,the,the,DT,DT
94,Bahamas_2002,0,1,100,Fundamental,fundamental,NNP,NN
95,Bahamas_2002,0,1,101,Rights,rights,NNPS,NN
96,Bahamas_2002,0,1,102,and,and,CC,CC
97,Bahamas_2002,0,1,103,Freedoms,freedoms,NNP,NN
98,Bahamas_2002,0,1,104,of,of,IN,IN
99,Bahamas_2002,0,1,105,the,the,DT,DT
100,Bahamas_2002,0,1,106,Individual,individual,NNP,NN
101,Bahamas_2002,0,1,108,Do,do,NNP,NN
102,Bahamas_2002,0,1,109,Hereby,hereby,NNP,NN
103,Bahamas_2002,0,1,110,Proclaim,proclaim,NNP,NN
104,Bahamas_2002,0,1,111,in,in,IN,IN
105,Bahamas_2002,0,1,112,Solemn,solemn,NNP,NN
106,Bahamas_2002,0,1,113,Praise,praise,NNP,NN
107,Bahamas_2002,0,1,114,the,the,DT,DT
108,Bahamas_2002,0,1,115,Establishment,establishment,NNP,NN
109,Bahamas_2002,0,1,116,of,of,IN,IN
110,Bahamas_2002,0,1,117,a,a,DT,DT
111,Bahamas_2002,0,1,118,Free,free,NNP,NN
112,Bahamas_2002,0,1,119,and,and,CC,CC
113,Bahamas_2002,0,1,120,Democratic,democratic,NNP,NN
114,Bahamas_2002,0,1,121,Sovereign,sovereign,NNP,NN
115,Bahamas_2002,0,1,122,Nation,nation,NNP,NN
116,Bahamas_2002,0,1,123,founded,founded,VBD,VB
117,Bahamas_2002,0,1,124,on,on,IN,IN
118,Bahamas_2002,0,1,125,Spiritual,spiritual,NNP,NN
119,Bahamas_2002,0,1,126,Values,values,NNP,NN
120,Bahamas_2002,0,1,127,and,and,CC,CC
121,Bahamas_2002,0,1,128,in,in,IN,IN
122,Bahamas_2002,0,1,129,which,which,WDT,WD
123,Bahamas_2002,0,1,130,no,no,DT,DT
124,Bahamas_2002,0,1,131,Man,man,NNP,NN
125,Bahamas_2002,0,1,133,Woman,woman,NNP,NN
126,Bahamas_2002,0,1,134,or,or,CC,CC
127,Bahamas_2002,0,1,135,Child,child,NNP,NN
128,Bahamas_2002,0,1,136,shall,shall,MD,MD
129,Bahamas_2002,0,1,137,ever,ever,RB,RB
130,Bahamas_2002,0,1,138,be,be,VB,VB
131,Bahamas_2002,0,1,139,Slave,slave,NNP,NN
132,Bahamas_2002,0,1,140,or,or,CC,CC
133,Bahamas_2002,0,1,141,Bondsman,bondsman,NNP,NN
134,Bahamas_2002,0,1,142,to,to,TO,TO
135,Bahamas_2002,0,1,143,anyone,anyone,NN,NN
136,Bahamas_2002,0,1,144,or,or,CC,CC
137,Bahamas_2002,0,1,145,their,their,PRP$,PR
138,Bahamas_2002,0,1,146,Labour,labour,NNPS,NN
139,Bahamas_2002,0,1,147,exploited,exploited,VBD,VB
140,Bahamas_2002,0,1,148,or,or,CC,CC
141,Bahamas_2002,0,1,149,their,their,PRP$,PR
142,Bahamas_2002,0,1,150,Lives,lives,NNS,NN
143,Bahamas_2002,0,1,151,frustrated,frustrated,VBN,VB
144,Bahamas_2002,0,1,152,by,by,IN,IN
145,Bahamas_2002,0,1,153,deprivation,deprivation,NN,NN
146,Bahamas_2002,0,1,155,and,and,CC,CC
147,Bahamas_2002,0,1,156,do,do,VBP,VB
148,Bahamas_2002,0,1,157,Hereby,hereby,NNP,NN
149,Bahamas_2002,0,1,158,Provide,provide,VB,VB
150,Bahamas_2002,0,1,159,by,by,IN,IN
151,Bahamas_2002,0,1,160,these,these,DT,DT
152,Bahamas_2002,0,1,161,Articles,articles,NNS,NN
153,Bahamas_2002,0,1,162,for,for,IN,IN
154,Bahamas_2002,0,1,163,the,the,DT,DT
