,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Bahrain_2002,0,0,0,Bahrain,bahrain,NN,NN
1,Bahrain_2002,0,0,1,2002,2002,CD,CD
2,Bahrain_2002,0,0,2,Preamble,preamble,NNP,NN
3,Bahrain_2002,0,0,3,Share,share,NNP,NN
4,Bahrain_2002,0,0,4,In,in,IN,IN
5,Bahrain_2002,0,0,5,the,the,DT,DT
6,Bahrain_2002,0,0,6,name,name,NN,NN
7,Bahrain_2002,0,0,7,of,of,IN,IN
8,Bahrain_2002,0,0,8,God,god,NNP,NN
9,Bahrain_2002,0,0,10,the,the,DT,DT
10,Bahrain_2002,0,0,11,Merciful,merciful,NNP,NN
11,Bahrain_2002,0,0,13,the,the,DT,DT
12,Bahrain_2002,0,0,14,Compassionate,compassionate,NNP,NN
13,Bahrain_2002,0,0,15,Constitution,constitution,NNP,NN
14,Bahrain_2002,0,0,16,of,of,IN,IN
15,Bahrain_2002,0,0,17,the,the,DT,DT
16,Bahrain_2002,0,0,18,Kingdom,kingdom,NNP,NN
17,Bahrain_2002,0,0,19,of,of,IN,IN
18,Bahrain_2002,0,0,20,Bahrain,bahrain,NNP,NN
19,Bahrain_2002,0,0,21,Foreword,foreword,NNP,NN
20,Bahrain_2002,0,0,22,to,to,TO,TO
21,Bahrain_2002,0,0,23,the,the,DT,DT
22,Bahrain_2002,0,0,24,Constitution,constitution,NNP,NN
23,Bahrain_2002,0,0,25,In,in,IN,IN
24,Bahrain_2002,0,0,26,the,the,DT,DT
25,Bahrain_2002,0,0,27,name,name,NN,NN
26,Bahrain_2002,0,0,28,of,of,IN,IN
27,Bahrain_2002,0,0,29,God,god,NNP,NN
28,Bahrain_2002,0,0,30,on,on,IN,IN
29,Bahrain_2002,0,0,31,high,high,JJ,JJ
30,Bahrain_2002,0,0,33,and,and,CC,CC
31,Bahrain_2002,0,0,34,with,with,IN,IN
32,Bahrain_2002,0,0,35,His,his,PRP$,PR
33,Bahrain_2002,0,0,36,Blessing,blessing,NNP,NN
34,Bahrain_2002,0,0,38,and,and,CC,CC
35,Bahrain_2002,0,0,39,with,with,IN,IN
36,Bahrain_2002,0,0,40,His,his,PRP$,PR
37,Bahrain_2002,0,0,41,help,help,NN,NN
38,Bahrain_2002,0,0,43,we,we,PRP,PR
39,Bahrain_2002,0,0,44,Hamad,hamad,VBP,VB
40,Bahrain_2002,0,0,45,bin,bin,JJ,JJ
41,Bahrain_2002,0,0,46,Isa,isa,NNP,NN
42,Bahrain_2002,0,0,47,Al,al,NNP,NN
43,Bahrain_2002,0,0,48,Khalifa,khalifa,NNP,NN
44,Bahrain_2002,0,0,50,Sovereign,sovereign,NNP,NN
45,Bahrain_2002,0,0,51,of,of,IN,IN
46,Bahrain_2002,0,0,52,the,the,DT,DT
47,Bahrain_2002,0,0,53,Kingdom,kingdom,NNP,NN
48,Bahrain_2002,0,0,54,of,of,IN,IN
49,Bahrain_2002,0,0,55,Bahrain,bahrain,NNP,NN
50,Bahrain_2002,0,0,57,in,in,IN,IN
51,Bahrain_2002,0,0,58,line,line,NN,NN
52,Bahrain_2002,0,0,59,with,with,IN,IN
53,Bahrain_2002,0,0,60,our,our,PRP$,PR
54,Bahrain_2002,0,0,61,determination,determination,NN,NN
55,Bahrain_2002,0,0,63,certainty,certainty,NN,NN
56,Bahrain_2002,0,0,65,faith,faith,NN,NN
57,Bahrain_2002,0,0,67,and,and,CC,CC
58,Bahrain_2002,0,0,68,awareness,awareness,NN,NN
59,Bahrain_2002,0,0,69,of,of,IN,IN
60,Bahrain_2002,0,0,70,our,our,PRP$,PR
61,Bahrain_2002,0,0,71,national,national,JJ,JJ
62,Bahrain_2002,0,0,73,pan-Arab,panarab,JJ,JJ
63,Bahrain_2002,0,0,74,and,and,CC,CC
64,Bahrain_2002,0,0,75,international,international,JJ,JJ
65,Bahrain_2002,0,0,76,Responsibilities,responsibilities,NNS,NN
66,Bahrain_2002,0,0,78,and,and,CC,CC
67,Bahrain_2002,0,0,79,in,in,IN,IN
68,Bahrain_2002,0,0,80,acknowledgment,acknowledgment,NN,NN
69,Bahrain_2002,0,0,81,of,of,IN,IN
70,Bahrain_2002,0,0,82,our,our,PRP$,PR
71,Bahrain_2002,0,0,83,obligations,obligations,NNS,NN
72,Bahrain_2002,0,0,84,to,to,TO,TO
73,Bahrain_2002,0,0,85,God,god,NNP,NN
74,Bahrain_2002,0,0,87,our,our,PRP$,PR
75,Bahrain_2002,0,0,88,obligations,obligations,NNS,NN
76,Bahrain_2002,0,0,89,to,to,TO,TO
77,Bahrain_2002,0,0,90,the,the,DT,DT
78,Bahrain_2002,0,0,91,homeland,homeland,NN,NN
79,Bahrain_2002,0,0,92,and,and,CC,CC
80,Bahrain_2002,0,0,93,the,the,DT,DT
81,Bahrain_2002,0,0,94,citizens,citizens,NNS,NN
82,Bahrain_2002,0,0,96,and,and,CC,CC
83,Bahrain_2002,0,0,97,our,our,PRP$,PR
84,Bahrain_2002,0,0,98,commitment,commitment,NN,NN
85,Bahrain_2002,0,0,99,to,to,TO,TO
86,Bahrain_2002,0,0,100,fundamental,fundamental,JJ,JJ
87,Bahrain_2002,0,0,101,principles,principles,NNS,NN
88,Bahrain_2002,0,0,102,and,and,CC,CC
89,Bahrain_2002,0,0,103,our,our,PRP$,PR
90,Bahrain_2002,0,0,104,responsibility,responsibility,NN,NN
91,Bahrain_2002,0,0,105,to,to,TO,TO
92,Bahrain_2002,0,0,106,Mankind,mankind,NNP,NN
93,Bahrain_2002,0,1,0,And,and,CC,CC
94,Bahrain_2002,0,1,1,in,in,IN,IN
95,Bahrain_2002,0,1,2,implementation,implementation,NN,NN
96,Bahrain_2002,0,1,3,of,of,IN,IN
97,Bahrain_2002,0,1,4,the,the,DT,DT
98,Bahrain_2002,0,1,5,popular,popular,JJ,JJ
99,Bahrain_2002,0,1,6,will,will,MD,MD
100,Bahrain_2002,0,1,7,expressed,expressed,VBN,VB
101,Bahrain_2002,0,1,8,in,in,IN,IN
102,Bahrain_2002,0,1,9,the,the,DT,DT
103,Bahrain_2002,0,1,10,principles,principles,NNS,NN
104,Bahrain_2002,0,1,11,enshrined,enshrined,VBN,VB
105,Bahrain_2002,0,1,12,in,in,IN,IN
106,Bahrain_2002,0,1,13,the,the,DT,DT
107,Bahrain_2002,0,1,14,National,national,NNP,NN
108,Bahrain_2002,0,1,15,Action,action,NNP,NN
109,Bahrain_2002,0,1,16,Charter,charter,NNP,NN
110,Bahrain_2002,0,1,18,pursuant,pursuant,NN,NN
111,Bahrain_2002,0,1,19,to,to,TO,TO
112,Bahrain_2002,0,1,20,the,the,DT,DT
113,Bahrain_2002,0,1,21,authority,authority,NN,NN
114,Bahrain_2002,0,1,22,entrusted,entrusted,VBD,VB
115,Bahrain_2002,0,1,23,to,to,TO,TO
116,Bahrain_2002,0,1,24,us,us,PRP,PR
117,Bahrain_2002,0,1,25,by,by,IN,IN
118,Bahrain_2002,0,1,26,our,our,PRP$,PR
119,Bahrain_2002,0,1,27,great,great,JJ,JJ
120,Bahrain_2002,0,1,28,people,people,NNS,NN
121,Bahrain_2002,0,1,29,to,to,TO,TO
122,Bahrain_2002,0,1,30,amend,amend,VB,VB
123,Bahrain_2002,0,1,31,the,the,DT,DT
124,Bahrain_2002,0,1,32,Constitution,constitution,NNP,NN
125,Bahrain_2002,0,1,34,out,out,IN,IN
126,Bahrain_2002,0,1,35,of,of,IN,IN
127,Bahrain_2002,0,1,36,our,our,PRP$,PR
128,Bahrain_2002,0,1,37,desire,desire,NN,NN
129,Bahrain_2002,0,1,38,to,to,TO,TO
130,Bahrain_2002,0,1,39,complete,complete,VB,VB
131,Bahrain_2002,0,1,40,the,the,DT,DT
132,Bahrain_2002,0,1,41,requirements,requirements,NNS,NN
133,Bahrain_2002,0,1,42,of,of,IN,IN
134,Bahrain_2002,0,1,43,the,the,DT,DT
135,Bahrain_2002,0,1,44,democratic,democratic,JJ,JJ
136,Bahrain_2002,0,1,45,system,system,NN,NN
137,Bahrain_2002,0,1,46,of,of,IN,IN
138,Bahrain_2002,0,1,47,government,government,NN,NN
139,Bahrain_2002,0,1,48,for,for,IN,IN
140,Bahrain_2002,0,1,49,our,our,PRP$,PR
141,Bahrain_2002,0,1,50,beloved,beloved,JJ,JJ
142,Bahrain_2002,0,1,51,nation,nation,NN,NN
143,Bahrain_2002,0,1,53,striving,striving,VBG,VB
144,Bahrain_2002,0,1,54,for,for,IN,IN
145,Bahrain_2002,0,1,55,a,a,DT,DT
146,Bahrain_2002,0,1,56,better,better,JJR,JJ
147,Bahrain_2002,0,1,57,future,future,NN,NN
148,Bahrain_2002,0,1,58,in,in,IN,IN
149,Bahrain_2002,0,1,59,which,which,WDT,WD
150,Bahrain_2002,0,1,60,the,the,DT,DT
151,Bahrain_2002,0,1,61,homeland,homeland,NN,NN
152,Bahrain_2002,0,1,62,and,and,CC,CC
153,Bahrain_2002,0,1,63,the,the,DT,DT
154,Bahrain_2002,0,1,64,citizen,citizen,NN,NN
155,Bahrain_2002,0,1,65,will,will,MD,MD
156,Bahrain_2002,0,1,66,enjoy,enjoy,VB,VB
157,Bahrain_2002,0,1,67,greater,greater,JJR,JJ
158,Bahrain_2002,0,1,68,welfare,welfare,NN,NN
159,Bahrain_2002,0,1,70,progress,progress,NN,NN
160,Bahrain_2002,0,1,72,development,development,NN,NN
161,Bahrain_2002,0,1,74,stability,stability,NN,NN
162,Bahrain_2002,0,1,75,and,and,CC,CC
163,Bahrain_2002,0,1,76,prosperity,prosperity,NN,NN
164,Bahrain_2002,0,1,77,through,through,IN,IN
165,Bahrain_2002,0,1,78,earnest,earnest,NN,NN
166,Bahrain_2002,0,1,79,and,and,CC,CC
167,Bahrain_2002,0,1,80,constructive,constructive,JJ,JJ
168,Bahrain_2002,0,1,81,cooperation,cooperation,NN,NN
169,Bahrain_2002,0,1,82,between,between,IN,IN
170,Bahrain_2002,0,1,83,government,government,NN,NN
