,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Barbados_2007,0,0,0,Barbados,barbados,IN,IN
1,Barbados_2007,0,0,1,1966,1966,CD,CD
2,Barbados_2007,0,0,3,rev,rev,NN,NN
3,Barbados_2007,0,1,0,2007,2007,CD,CD
4,Barbados_2007,0,1,2,Preamble,preamble,NNP,NN
5,Barbados_2007,0,1,3,Share,share,NNP,NN
6,Barbados_2007,0,1,4,Whereas,whereas,NNP,NN
7,Barbados_2007,0,1,5,the,the,DT,DT
8,Barbados_2007,0,1,6,love,love,NN,NN
9,Barbados_2007,0,1,7,of,of,IN,IN
10,Barbados_2007,0,1,8,free,free,JJ,JJ
11,Barbados_2007,0,1,9,institutions,institutions,NNS,NN
12,Barbados_2007,0,1,10,and,and,CC,CC
13,Barbados_2007,0,1,11,of,of,IN,IN
14,Barbados_2007,0,1,12,independence,independence,NN,NN
15,Barbados_2007,0,1,13,has,has,VBZ,VB
16,Barbados_2007,0,1,14,always,always,RB,RB
17,Barbados_2007,0,1,15,strongly,strongly,RB,RB
18,Barbados_2007,0,1,16,characterised,characterised,VBD,VB
19,Barbados_2007,0,1,17,the,the,DT,DT
20,Barbados_2007,0,1,18,inhabitants,inhabitants,NNS,NN
21,Barbados_2007,0,1,19,of,of,IN,IN
22,Barbados_2007,0,1,20,Barbados,barbados,NNP,NN
23,Barbados_2007,0,1,22,And,and,CC,CC
24,Barbados_2007,0,1,23,Whereas,whereas,IN,IN
25,Barbados_2007,0,1,24,the,the,DT,DT
26,Barbados_2007,0,1,25,Governor,governor,NNP,NN
27,Barbados_2007,0,1,26,and,and,CC,CC
28,Barbados_2007,0,1,27,the,the,DT,DT
29,Barbados_2007,0,1,28,said,said,VBD,VB
30,Barbados_2007,0,1,29,inhabitants,inhabitants,NNS,NN
31,Barbados_2007,0,1,30,settled,settled,VBD,VB
32,Barbados_2007,0,1,31,a,a,DT,DT
33,Barbados_2007,0,1,32,Parliament,parliament,NNP,NN
34,Barbados_2007,0,1,33,in,in,IN,IN
35,Barbados_2007,0,1,34,the,the,DT,DT
36,Barbados_2007,0,1,35,year,year,NN,NN
37,Barbados_2007,0,1,36,1639,1639,CD,CD
38,Barbados_2007,0,1,38,And,and,CC,CC
39,Barbados_2007,0,1,39,Whereas,whereas,NNP,NN
40,Barbados_2007,0,1,40,as,as,RB,RB
41,Barbados_2007,0,1,41,early,early,RB,RB
42,Barbados_2007,0,1,42,as,as,IN,IN
43,Barbados_2007,0,1,43,18th,18th,CD,CD
44,Barbados_2007,0,1,44,February,february,NNP,NN
45,Barbados_2007,0,1,46,1651,1651,CD,CD
46,Barbados_2007,0,1,47,those,those,DT,DT
47,Barbados_2007,0,1,48,inhabitants,inhabitants,NNS,NN
48,Barbados_2007,0,1,50,in,in,IN,IN
49,Barbados_2007,0,1,51,their,their,PRP$,PR
50,Barbados_2007,0,1,52,determination,determination,NN,NN
51,Barbados_2007,0,1,53,to,to,TO,TO
52,Barbados_2007,0,1,54,safeguard,safeguard,VB,VB
53,Barbados_2007,0,1,55,the,the,DT,DT
54,Barbados_2007,0,1,56,freedom,freedom,NN,NN
55,Barbados_2007,0,1,58,safety,safety,NN,NN
56,Barbados_2007,0,1,59,and,and,CC,CC
57,Barbados_2007,0,1,60,well-being,wellbeing,NN,NN
58,Barbados_2007,0,1,61,of,of,IN,IN
59,Barbados_2007,0,1,62,the,the,DT,DT
60,Barbados_2007,0,1,63,Island,island,NNP,NN
61,Barbados_2007,0,1,65,declared,declared,VBD,VB
62,Barbados_2007,0,1,67,through,through,IN,IN
63,Barbados_2007,0,1,68,their,their,PRP$,PR
64,Barbados_2007,0,1,69,Governor,governor,NNP,NN
65,Barbados_2007,0,1,71,Lords,lords,NNP,NN
66,Barbados_2007,0,1,72,of,of,IN,IN
67,Barbados_2007,0,1,73,the,the,DT,DT
68,Barbados_2007,0,1,74,Council,council,NNP,NN
69,Barbados_2007,0,1,75,and,and,CC,CC
70,Barbados_2007,0,1,76,members,members,NNS,NN
71,Barbados_2007,0,1,77,of,of,IN,IN
72,Barbados_2007,0,1,78,the,the,DT,DT
73,Barbados_2007,0,1,79,Assembly,assembly,NNP,NN
74,Barbados_2007,0,1,81,their,their,PRP$,PR
75,Barbados_2007,0,1,82,independence,independence,NN,NN
76,Barbados_2007,0,1,83,of,of,IN,IN
77,Barbados_2007,0,1,84,the,the,DT,DT
78,Barbados_2007,0,1,85,Commonwealth,commonwealth,NNP,NN
79,Barbados_2007,0,1,86,of,of,IN,IN
80,Barbados_2007,0,1,87,England,england,NNP,NN
81,Barbados_2007,0,1,89,And,and,CC,CC
82,Barbados_2007,0,1,90,Whereas,whereas,IN,IN
83,Barbados_2007,0,1,91,the,the,DT,DT
84,Barbados_2007,0,1,92,rights,rights,NNS,NN
85,Barbados_2007,0,1,93,and,and,CC,CC
86,Barbados_2007,0,1,94,privileges,privileges,NNS,NN
87,Barbados_2007,0,1,95,of,of,IN,IN
88,Barbados_2007,0,1,96,the,the,DT,DT
89,Barbados_2007,0,1,97,said,said,VBD,VB
90,Barbados_2007,0,1,98,inhabitants,inhabitants,NNS,NN
91,Barbados_2007,0,1,99,were,were,VBD,VB
92,Barbados_2007,0,1,100,confirmed,confirmed,VBN,VB
93,Barbados_2007,0,1,101,by,by,IN,IN
94,Barbados_2007,0,1,102,articles,articles,NNS,NN
95,Barbados_2007,0,1,103,of,of,IN,IN
96,Barbados_2007,0,1,104,agreement,agreement,NN,NN
97,Barbados_2007,0,1,106,commonly,commonly,RB,RB
98,Barbados_2007,0,1,107,known,known,VBN,VB
99,Barbados_2007,0,1,108,as,as,IN,IN
100,Barbados_2007,0,1,109,the,the,DT,DT
101,Barbados_2007,0,1,110,Charter,charter,NNP,NN
102,Barbados_2007,0,1,111,of,of,IN,IN
103,Barbados_2007,0,1,112,Barbados,barbados,NNP,NN
104,Barbados_2007,0,1,114,had,had,VBD,VB
105,Barbados_2007,0,1,116,made,made,VBN,VB
106,Barbados_2007,0,1,117,and,and,CC,CC
107,Barbados_2007,0,1,118,concluded,concluded,VBN,VB
108,Barbados_2007,0,1,119,on,on,IN,IN
109,Barbados_2007,0,1,120,11th,11th,CD,CD
110,Barbados_2007,0,1,121,January,january,NNP,NN
111,Barbados_2007,0,1,123,1652,1652,CD,CD
112,Barbados_2007,0,1,124,by,by,IN,IN
113,Barbados_2007,0,1,125,and,and,CC,CC
114,Barbados_2007,0,1,126,between,between,IN,IN
115,Barbados_2007,0,1,127,the,the,DT,DT
116,Barbados_2007,0,1,128,Commissioners,commissioners,NNP,NN
117,Barbados_2007,0,1,129,of,of,IN,IN
118,Barbados_2007,0,1,130,the,the,DT,DT
119,Barbados_2007,0,1,131,Right,right,NNP,NN
120,Barbados_2007,0,1,132,Honourable,honourable,NNP,NN
121,Barbados_2007,0,1,133,the,the,DT,DT
122,Barbados_2007,0,1,134,Lord,lord,NNP,NN
123,Barbados_2007,0,1,135,Willoughby,willoughby,NNP,NN
124,Barbados_2007,0,1,136,of,of,IN,IN
125,Barbados_2007,0,1,137,Parham,parham,NNP,NN
126,Barbados_2007,0,1,139,Governor,governor,NNP,NN
127,Barbados_2007,0,1,141,of,of,IN,IN
128,Barbados_2007,0,1,142,the,the,DT,DT
129,Barbados_2007,0,1,143,one,one,CD,CD
130,Barbados_2007,0,1,144,part,part,NN,NN
131,Barbados_2007,0,1,146,and,and,CC,CC
132,Barbados_2007,0,1,147,the,the,DT,DT
133,Barbados_2007,0,1,148,Commissioners,commissioners,NNPS,NN
134,Barbados_2007,0,1,149,on,on,IN,IN
135,Barbados_2007,0,1,150,behalf,behalf,NN,NN
136,Barbados_2007,0,1,151,of,of,IN,IN
137,Barbados_2007,0,1,152,the,the,DT,DT
138,Barbados_2007,0,1,153,Commonwealth,commonwealth,NNP,NN
139,Barbados_2007,0,1,154,of,of,IN,IN
140,Barbados_2007,0,1,155,England,england,NNP,NN
141,Barbados_2007,0,1,157,of,of,IN,IN
142,Barbados_2007,0,1,158,the,the,DT,DT
143,Barbados_2007,0,1,159,other,other,JJ,JJ
144,Barbados_2007,0,1,160,part,part,NN,NN
145,Barbados_2007,0,1,162,in,in,IN,IN
146,Barbados_2007,0,1,163,order,order,NN,NN
147,Barbados_2007,0,1,164,to,to,TO,TO
148,Barbados_2007,0,1,165,the,the,DT,DT
149,Barbados_2007,0,1,166,rendition,rendition,NN,NN
150,Barbados_2007,0,1,167,to,to,TO,TO
151,Barbados_2007,0,1,168,the,the,DT,DT
152,Barbados_2007,0,1,169,Commonwealth,commonwealth,NNP,NN
153,Barbados_2007,0,1,170,of,of,IN,IN
154,Barbados_2007,0,1,171,England,england,NNP,NN
155,Barbados_2007,0,1,172,of,of,IN,IN
156,Barbados_2007,0,1,173,the,the,DT,DT
157,Barbados_2007,0,1,174,said,said,VBD,VB
158,Barbados_2007,0,1,175,Island,island,NNP,NN
159,Barbados_2007,0,1,176,of,of,IN,IN
160,Barbados_2007,0,1,177,Barbados,barbados,NNP,NN
161,Barbados_2007,0,1,179,And,and,CC,CC
162,Barbados_2007,0,1,180,Whereas,whereas,NNP,NN
163,Barbados_2007,0,1,181,with,with,IN,IN
164,Barbados_2007,0,1,182,the,the,DT,DT
165,Barbados_2007,0,1,183,broadening,broadening,VBG,VB
166,Barbados_2007,0,1,184,down,down,IN,IN
167,Barbados_2007,0,1,185,of,of,IN,IN
168,Barbados_2007,0,1,186,freedom,freedom,NN,NN
