,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Belarus_2004,0,0,0,Belarus,belarus,NN,NN
1,Belarus_2004,0,0,1,1994,1994,CD,CD
2,Belarus_2004,0,0,3,rev,rev,NN,NN
3,Belarus_2004,0,1,0,2004,2004,CD,CD
4,Belarus_2004,0,1,2,Preamble,preamble,JJ,JJ
5,Belarus_2004,0,1,3,Share,share,NN,NN
6,Belarus_2004,0,1,4,We,we,PRP,PR
7,Belarus_2004,0,1,6,the,the,DT,DT
8,Belarus_2004,0,1,7,People,people,NNP,NN
9,Belarus_2004,0,1,8,of,of,IN,IN
10,Belarus_2004,0,1,9,the,the,DT,DT
11,Belarus_2004,0,1,10,Republic,republic,NNP,NN
12,Belarus_2004,0,1,11,of,of,IN,IN
13,Belarus_2004,0,1,12,Belarus,belarus,NNP,NN
14,Belarus_2004,0,1,15,of,of,IN,IN
15,Belarus_2004,0,1,16,Belarus,belarus,NNP,NN
16,Belarus_2004,0,1,19,proceeding,proceeding,VBG,VB
17,Belarus_2004,0,1,20,from,from,IN,IN
18,Belarus_2004,0,1,21,the,the,DT,DT
19,Belarus_2004,0,1,22,assumption,assumption,NN,NN
20,Belarus_2004,0,1,23,of,of,IN,IN
21,Belarus_2004,0,1,24,responsibility,responsibility,NN,NN
22,Belarus_2004,0,1,25,for,for,IN,IN
23,Belarus_2004,0,1,26,the,the,DT,DT
24,Belarus_2004,0,1,27,present,present,JJ,JJ
25,Belarus_2004,0,1,28,and,and,CC,CC
26,Belarus_2004,0,1,29,future,future,NN,NN
27,Belarus_2004,0,1,30,of,of,IN,IN
28,Belarus_2004,0,1,31,Belarus,belarus,NNP,NN
29,Belarus_2004,0,1,33,recognizing,recognizing,VBG,VB
30,Belarus_2004,0,1,34,ourselves,ourselves,PRP,PR
31,Belarus_2004,0,1,35,as,as,IN,IN
32,Belarus_2004,0,1,36,a,a,DT,DT
33,Belarus_2004,0,1,37,full,full,JJ,JJ
34,Belarus_2004,0,1,38,fledged,fledged,NN,NN
35,Belarus_2004,0,1,39,subject,subject,NN,NN
36,Belarus_2004,0,1,40,of,of,IN,IN
37,Belarus_2004,0,1,41,the,the,DT,DT
38,Belarus_2004,0,1,42,international,international,JJ,JJ
39,Belarus_2004,0,1,43,community,community,NN,NN
40,Belarus_2004,0,1,44,and,and,CC,CC
41,Belarus_2004,0,1,45,conforming,conforming,VBG,VB
42,Belarus_2004,0,1,46,our,our,PRP$,PR
43,Belarus_2004,0,1,47,adherence,adherence,NN,NN
44,Belarus_2004,0,1,48,to,to,TO,TO
45,Belarus_2004,0,1,49,values,values,NNS,NN
46,Belarus_2004,0,1,50,common,common,JJ,JJ
47,Belarus_2004,0,1,51,to,to,TO,TO
48,Belarus_2004,0,1,52,all,all,DT,DT
49,Belarus_2004,0,1,53,mankind,mankind,NN,NN
50,Belarus_2004,0,1,55,founding,founding,VBG,VB
51,Belarus_2004,0,1,56,ourselves,ourselves,NNS,NN
52,Belarus_2004,0,1,57,on,on,IN,IN
53,Belarus_2004,0,1,58,our,our,PRP$,PR
54,Belarus_2004,0,1,59,inalienable,inalienable,JJ,JJ
55,Belarus_2004,0,1,60,right,right,NN,NN
56,Belarus_2004,0,1,61,to,to,TO,TO
57,Belarus_2004,0,1,62,self-determination,selfdetermination,NN,NN
58,Belarus_2004,0,1,64,supported,supported,VBN,VB
59,Belarus_2004,0,1,65,by,by,IN,IN
60,Belarus_2004,0,1,66,the,the,DT,DT
61,Belarus_2004,0,1,67,centuries-long,centurieslong,JJ,JJ
62,Belarus_2004,0,1,68,history,history,NN,NN
63,Belarus_2004,0,1,69,of,of,IN,IN
64,Belarus_2004,0,1,70,development,development,NN,NN
65,Belarus_2004,0,1,71,of,of,IN,IN
66,Belarus_2004,0,1,72,Belarusian,belarusian,JJ,JJ
67,Belarus_2004,0,1,73,state-hood,statehood,NN,NN
68,Belarus_2004,0,1,75,striving,striving,VBG,VB
69,Belarus_2004,0,1,76,to,to,TO,TO
70,Belarus_2004,0,1,77,assert,assert,VB,VB
71,Belarus_2004,0,1,78,the,the,DT,DT
72,Belarus_2004,0,1,79,rights,rights,NNS,NN
73,Belarus_2004,0,1,80,and,and,CC,CC
74,Belarus_2004,0,1,81,freedoms,freedoms,NNS,NN
75,Belarus_2004,0,1,82,of,of,IN,IN
76,Belarus_2004,0,1,83,every,every,DT,DT
77,Belarus_2004,0,1,84,citizen,citizen,NN,NN
78,Belarus_2004,0,1,85,of,of,IN,IN
79,Belarus_2004,0,1,86,the,the,DT,DT
80,Belarus_2004,0,1,87,Republic,republic,NNP,NN
81,Belarus_2004,0,1,88,of,of,IN,IN
82,Belarus_2004,0,1,89,Belarus,belarus,NNP,NN
83,Belarus_2004,0,1,91,desiring,desiring,VBG,VB
84,Belarus_2004,0,1,92,to,to,TO,TO
85,Belarus_2004,0,1,93,maintain,maintain,VB,VB
