,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Bhutan_2008,0,0,0,Bhutan,bhutan,NNP,NN
1,Bhutan_2008,0,0,1,2008,2008,CD,CD
2,Bhutan_2008,0,0,2,Preamble,preamble,NNP,NN
3,Bhutan_2008,0,0,3,Share,share,NNP,NN
4,Bhutan_2008,0,0,4,WE,we,NNP,NN
5,Bhutan_2008,0,0,6,the,the,DT,DT
6,Bhutan_2008,0,0,7,people,people,NNS,NN
7,Bhutan_2008,0,0,8,of,of,IN,IN
8,Bhutan_2008,0,0,9,Bhutan,bhutan,NNP,NN
9,Bhutan_2008,0,0,11,BLESSED,blessed,NN,NN
10,Bhutan_2008,0,0,12,by,by,IN,IN
11,Bhutan_2008,0,0,13,the,the,DT,DT
12,Bhutan_2008,0,0,14,Triple,triple,NNP,NN
13,Bhutan_2008,0,0,15,Gem,gem,NNP,NN
14,Bhutan_2008,0,0,17,the,the,DT,DT
15,Bhutan_2008,0,0,18,protection,protection,NN,NN
16,Bhutan_2008,0,0,19,of,of,IN,IN
17,Bhutan_2008,0,0,20,our,our,PRP$,PR
18,Bhutan_2008,0,0,21,guardian,guardian,JJ,JJ
19,Bhutan_2008,0,0,22,deities,deities,NNS,NN
20,Bhutan_2008,0,0,24,the,the,DT,DT
21,Bhutan_2008,0,0,25,wisdom,wisdom,NN,NN
22,Bhutan_2008,0,0,26,of,of,IN,IN
23,Bhutan_2008,0,0,27,our,our,PRP$,PR
24,Bhutan_2008,0,0,28,leaders,leaders,NNS,NN
25,Bhutan_2008,0,0,30,the,the,DT,DT
26,Bhutan_2008,0,0,31,everlasting,everlasting,VBG,VB
27,Bhutan_2008,0,0,32,fortunes,fortunes,NNS,NN
28,Bhutan_2008,0,0,33,of,of,IN,IN
29,Bhutan_2008,0,0,34,the,the,DT,DT
30,Bhutan_2008,0,0,35,Pelden,pelden,NNP,NN
31,Bhutan_2008,0,0,36,Drukpa,drukpa,NNP,NN
32,Bhutan_2008,0,0,37,and,and,CC,CC
33,Bhutan_2008,0,0,38,the,the,DT,DT
34,Bhutan_2008,0,0,39,guidance,guidance,NN,NN
35,Bhutan_2008,0,0,40,of,of,IN,IN
36,Bhutan_2008,0,0,41,His,his,PRP$,PR
37,Bhutan_2008,0,0,42,Majesty,majesty,NNP,NN
38,Bhutan_2008,0,0,43,the,the,DT,DT
39,Bhutan_2008,0,0,44,Druk,druk,NNP,NN
40,Bhutan_2008,0,0,45,Gyalpo,gyalpo,NNP,NN
41,Bhutan_2008,0,0,46,Jigme,jigme,NNP,NN
42,Bhutan_2008,0,0,47,Khesar,khesar,NNP,NN
43,Bhutan_2008,0,0,48,Namgyel,namgyel,NNP,NN
44,Bhutan_2008,0,0,49,Wangchuck,wangchuck,NNP,NN
45,Bhutan_2008,0,0,51,SOLEMNLY,solemnly,NNP,NN
46,Bhutan_2008,0,0,52,pledging,pledging,VBG,VB
47,Bhutan_2008,0,0,53,ourselves,ourselves,PRP,PR
48,Bhutan_2008,0,0,54,to,to,TO,TO
49,Bhutan_2008,0,0,55,strengthen,strengthen,VB,VB
50,Bhutan_2008,0,0,56,the,the,DT,DT
51,Bhutan_2008,0,0,57,sovereignty,sovereignty,NN,NN
52,Bhutan_2008,0,0,58,of,of,IN,IN
53,Bhutan_2008,0,0,59,Bhutan,bhutan,NNP,NN
54,Bhutan_2008,0,0,61,to,to,TO,TO
55,Bhutan_2008,0,0,62,secure,secure,VB,VB
56,Bhutan_2008,0,0,63,the,the,DT,DT
57,Bhutan_2008,0,0,64,blessings,blessings,NNS,NN
58,Bhutan_2008,0,0,65,of,of,IN,IN
59,Bhutan_2008,0,0,66,liberty,liberty,NN,NN
60,Bhutan_2008,0,0,68,to,to,TO,TO
61,Bhutan_2008,0,0,69,ensure,ensure,VB,VB
62,Bhutan_2008,0,0,70,justice,justice,NN,NN
63,Bhutan_2008,0,0,71,and,and,CC,CC
64,Bhutan_2008,0,0,72,tranquility,tranquility,NN,NN
65,Bhutan_2008,0,0,73,and,and,CC,CC
66,Bhutan_2008,0,0,74,to,to,TO,TO
67,Bhutan_2008,0,0,75,enhance,enhance,VB,VB
68,Bhutan_2008,0,0,76,the,the,DT,DT
69,Bhutan_2008,0,0,77,unity,unity,NN,NN
70,Bhutan_2008,0,0,79,happiness,happiness,NN,NN
71,Bhutan_2008,0,0,80,and,and,CC,CC
72,Bhutan_2008,0,0,81,well-being,wellbeing,NN,NN
73,Bhutan_2008,0,0,82,of,of,IN,IN
74,Bhutan_2008,0,0,83,the,the,DT,DT
75,Bhutan_2008,0,0,84,people,people,NNS,NN
76,Bhutan_2008,0,0,85,for,for,IN,IN
77,Bhutan_2008,0,0,86,all,all,DT,DT
78,Bhutan_2008,0,0,87,time,time,NN,NN
79,Bhutan_2008,0,0,89,DO,do,NNP,NN
80,Bhutan_2008,0,0,90,HEREBY,hereby,NNP,NN
81,Bhutan_2008,0,0,91,ordain,ordain,VB,VB
82,Bhutan_2008,0,0,92,and,and,CC,CC
83,Bhutan_2008,0,0,93,adopt,adopt,VB,VB
84,Bhutan_2008,0,0,94,this,this,DT,DT
85,Bhutan_2008,0,0,95,Constitution,constitution,NN,NN
86,Bhutan_2008,0,0,96,for,for,IN,IN
87,Bhutan_2008,0,0,97,the,the,DT,DT
88,Bhutan_2008,0,0,98,Kingdom,kingdom,NNP,NN
89,Bhutan_2008,0,0,99,of,of,IN,IN
90,Bhutan_2008,0,0,100,Bhutan,bhutan,NNP,NN
91,Bhutan_2008,0,0,101,on,on,IN,IN
92,Bhutan_2008,0,0,102,the,the,DT,DT
93,Bhutan_2008,0,0,103,Fifteenth,fifteenth,NNP,NN
94,Bhutan_2008,0,0,104,Day,day,NNP,NN
95,Bhutan_2008,0,0,105,of,of,IN,IN
96,Bhutan_2008,0,0,106,the,the,DT,DT
97,Bhutan_2008,0,0,107,Fifth,fifth,NNP,NN
98,Bhutan_2008,0,0,108,Month,month,NNP,NN
99,Bhutan_2008,0,0,109,of,of,IN,IN
100,Bhutan_2008,0,0,110,the,the,DT,DT
101,Bhutan_2008,0,0,111,Male,male,NNP,NN
102,Bhutan_2008,0,0,112,Earth,earth,NNP,NN
103,Bhutan_2008,0,0,113,Rat,rat,NNP,NN
104,Bhutan_2008,0,0,114,Year,year,NNP,NN
105,Bhutan_2008,0,0,115,corresponding,corresponding,VBG,VB
106,Bhutan_2008,0,0,116,to,to,TO,TO
107,Bhutan_2008,0,0,117,the,the,DT,DT
108,Bhutan_2008,0,0,118,Eighteenth,eighteenth,NNP,NN
109,Bhutan_2008,0,0,119,Day,day,NNP,NN
110,Bhutan_2008,0,0,120,of,of,IN,IN
111,Bhutan_2008,0,0,121,July,july,NNP,NN
112,Bhutan_2008,0,0,123,Two,two,CD,CD
113,Bhutan_2008,0,0,124,Thousand,thousand,NNP,NN
114,Bhutan_2008,0,0,125,and,and,CC,CC
115,Bhutan_2008,0,0,126,Eight,eight,NNP,NN
116,Bhutan_2008,0,1,0,Article,article,NN,NN
117,Bhutan_2008,0,1,1,1,1,CD,CD
118,Bhutan_2008,0,2,0,Kingdom,kingdom,NNP,NN
119,Bhutan_2008,0,2,1,of,of,IN,IN
120,Bhutan_2008,0,2,2,Bhutan,bhutan,NNP,NN
121,Bhutan_2008,0,2,3,Share,share,NNP,NN
122,Bhutan_2008,0,2,4,1,1,CD,CD
123,Bhutan_2008,0,3,0,Bhutan,bhutan,NNP,NN
124,Bhutan_2008,0,3,1,is,is,VBZ,VB
125,Bhutan_2008,0,3,2,a,a,DT,DT
126,Bhutan_2008,0,3,3,Sovereign,sovereign,JJ,JJ
127,Bhutan_2008,0,3,4,Kingdom,kingdom,NNP,NN
128,Bhutan_2008,0,3,5,and,and,CC,CC
129,Bhutan_2008,0,3,6,the,the,DT,DT
130,Bhutan_2008,0,3,7,Sovereign,sovereign,NNP,NN
131,Bhutan_2008,0,3,8,power,power,NN,NN
132,Bhutan_2008,0,3,9,belongs,belongs,NNS,NN
133,Bhutan_2008,0,3,10,to,to,TO,TO
134,Bhutan_2008,0,3,11,the,the,DT,DT
135,Bhutan_2008,0,3,12,people,people,NNS,NN
136,Bhutan_2008,0,3,13,of,of,IN,IN
137,Bhutan_2008,0,3,14,Bhutan,bhutan,NNP,NN
138,Bhutan_2008,0,4,0,2,2,CD,CD
139,Bhutan_2008,0,5,0,The,the,DT,DT
140,Bhutan_2008,0,5,1,form,form,NN,NN
141,Bhutan_2008,0,5,2,of,of,IN,IN
142,Bhutan_2008,0,5,3,Government,government,NNP,NN
143,Bhutan_2008,0,5,4,shall,shall,MD,MD
144,Bhutan_2008,0,5,5,be,be,VB,VB
145,Bhutan_2008,0,5,6,that,that,IN,IN
146,Bhutan_2008,0,5,7,of,of,IN,IN
147,Bhutan_2008,0,5,8,a,a,DT,DT
148,Bhutan_2008,0,5,9,Democratic,democratic,JJ,JJ
149,Bhutan_2008,0,5,10,Constitutional,constitutional,NNP,NN
150,Bhutan_2008,0,5,11,Monarchy,monarchy,NNP,NN
151,Bhutan_2008,0,6,0,3,3,CD,CD
152,Bhutan_2008,0,7,0,The,the,DT,DT
153,Bhutan_2008,0,7,1,international,international,JJ,JJ
154,Bhutan_2008,0,7,2,territorial,territorial,JJ,JJ
155,Bhutan_2008,0,7,3,boundary,boundary,NN,NN
156,Bhutan_2008,0,7,4,of,of,IN,IN
157,Bhutan_2008,0,7,5,Bhutan,bhutan,NNP,NN
158,Bhutan_2008,0,7,6,is,is,VBZ,VB
159,Bhutan_2008,0,7,7,inviolable,inviolable,JJ,JJ
160,Bhutan_2008,0,7,8,and,and,CC,CC
161,Bhutan_2008,0,7,9,any,any,DT,DT
162,Bhutan_2008,0,7,10,alteration,alteration,NN,NN
163,Bhutan_2008,0,7,11,of,of,IN,IN
164,Bhutan_2008,0,7,12,areas,areas,NNS,NN
165,Bhutan_2008,0,7,13,and,and,CC,CC
166,Bhutan_2008,0,7,14,boundaries,boundaries,NNS,NN
167,Bhutan_2008,0,7,15,thereof,thereof,VBP,VB
168,Bhutan_2008,0,7,16,shall,shall,MD,MD
169,Bhutan_2008,0,7,17,be,be,VB,VB
