,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Bulgaria_2007,0,0,0,Bulgaria,bulgaria,NNS,NN
1,Bulgaria_2007,0,0,1,1991,1991,CD,CD
2,Bulgaria_2007,0,0,3,rev,rev,NN,NN
3,Bulgaria_2007,0,1,0,2007,2007,CD,CD
4,Bulgaria_2007,0,1,2,Preamble,preamble,JJ,JJ
5,Bulgaria_2007,0,1,3,Share,share,NN,NN
6,Bulgaria_2007,0,1,4,We,we,PRP,PR
7,Bulgaria_2007,0,1,6,the,the,DT,DT
8,Bulgaria_2007,0,1,7,Members,members,NNS,NN
9,Bulgaria_2007,0,1,8,of,of,IN,IN
10,Bulgaria_2007,0,1,9,the,the,DT,DT
11,Bulgaria_2007,0,1,10,Seventh,seventh,NNP,NN
12,Bulgaria_2007,0,1,11,Grand,grand,NNP,NN
13,Bulgaria_2007,0,1,12,National,national,NNP,NN
14,Bulgaria_2007,0,1,13,Assembly,assembly,NNP,NN
15,Bulgaria_2007,0,1,15,guided,guided,VBN,VB
16,Bulgaria_2007,0,1,16,by,by,IN,IN
17,Bulgaria_2007,0,1,17,our,our,PRP$,PR
18,Bulgaria_2007,0,1,18,desire,desire,NN,NN
19,Bulgaria_2007,0,1,19,to,to,TO,TO
20,Bulgaria_2007,0,1,20,express,express,VB,VB
21,Bulgaria_2007,0,1,21,the,the,DT,DT
22,Bulgaria_2007,0,1,22,will,will,MD,MD
23,Bulgaria_2007,0,1,23,of,of,IN,IN
24,Bulgaria_2007,0,1,24,the,the,DT,DT
25,Bulgaria_2007,0,1,25,people,people,NNS,NN
26,Bulgaria_2007,0,1,26,of,of,IN,IN
27,Bulgaria_2007,0,1,27,Bulgaria,bulgaria,NNP,NN
28,Bulgaria_2007,0,1,29,by,by,IN,IN
29,Bulgaria_2007,0,1,30,pledging,pledging,VBG,VB
30,Bulgaria_2007,0,1,31,our,our,PRP$,PR
31,Bulgaria_2007,0,1,32,loyalty,loyalty,NN,NN
32,Bulgaria_2007,0,1,33,to,to,TO,TO
33,Bulgaria_2007,0,1,34,the,the,DT,DT
34,Bulgaria_2007,0,1,35,universal,universal,JJ,JJ
35,Bulgaria_2007,0,1,36,human,human,JJ,JJ
36,Bulgaria_2007,0,1,37,values,values,NNS,NN
37,Bulgaria_2007,0,1,38,of,of,IN,IN
38,Bulgaria_2007,0,1,39,liberty,liberty,NN,NN
39,Bulgaria_2007,0,1,41,peace,peace,NN,NN
40,Bulgaria_2007,0,1,43,humanism,humanism,NN,NN
41,Bulgaria_2007,0,1,45,equality,equality,NN,NN
42,Bulgaria_2007,0,1,47,justice,justice,NN,NN
43,Bulgaria_2007,0,1,48,and,and,CC,CC
44,Bulgaria_2007,0,1,49,tolerance,tolerance,NN,NN
45,Bulgaria_2007,0,1,51,by,by,IN,IN
46,Bulgaria_2007,0,1,52,holding,holding,VBG,VB
