,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Canada_2011,0,0,0,Canada,canada,NNP,NN
1,Canada_2011,0,0,1,1867,1867,CD,CD
2,Canada_2011,0,0,3,rev,rev,NN,NN
3,Canada_2011,0,1,0,2011,2011,CD,CD
4,Canada_2011,0,1,2,CONSTITUTION,constitution,NNP,NN
5,Canada_2011,0,1,3,ACT,act,NNP,NN
6,Canada_2011,0,1,4,1867,1867,CD,CD
7,Canada_2011,0,1,5,Share,share,NNP,NN
8,Canada_2011,0,1,6,An,an,DT,DT
9,Canada_2011,0,1,7,Act,act,NNP,NN
10,Canada_2011,0,1,8,for,for,IN,IN
11,Canada_2011,0,1,9,the,the,DT,DT
12,Canada_2011,0,1,10,Union,union,NNP,NN
13,Canada_2011,0,1,11,of,of,IN,IN
14,Canada_2011,0,1,12,Canada,canada,NNP,NN
15,Canada_2011,0,1,14,Nova,nova,NNP,NN
16,Canada_2011,0,1,15,Scotia,scotia,NNP,NN
17,Canada_2011,0,1,17,and,and,CC,CC
18,Canada_2011,0,1,18,New,new,NNP,NN
19,Canada_2011,0,1,19,Brunswick,brunswick,NNP,NN
20,Canada_2011,0,1,21,and,and,CC,CC
21,Canada_2011,0,1,22,the,the,DT,DT
22,Canada_2011,0,1,23,Government,government,NNP,NN
23,Canada_2011,0,1,24,thereof,thereof,NN,NN
24,Canada_2011,0,1,26,and,and,CC,CC
25,Canada_2011,0,1,27,for,for,IN,IN
26,Canada_2011,0,1,28,Purposes,purposes,NNP,NN
27,Canada_2011,0,1,29,connected,connected,VBD,VB
28,Canada_2011,0,1,30,therewith,therewith,NN,NN
29,Canada_2011,0,1,32,29th,29th,CD,CD
30,Canada_2011,0,1,33,March,march,NNP,NN
31,Canada_2011,0,1,34,1867,1867,CD,CD
32,Canada_2011,0,1,36,WHEREAS,whereas,IN,IN
33,Canada_2011,0,1,37,the,the,DT,DT
34,Canada_2011,0,1,38,Provinces,provinces,NNS,NN
35,Canada_2011,0,1,39,of,of,IN,IN
36,Canada_2011,0,1,40,Canada,canada,NNP,NN
37,Canada_2011,0,1,42,Nova,nova,NNP,NN
38,Canada_2011,0,1,43,Scotia,scotia,NNP,NN
39,Canada_2011,0,1,45,and,and,CC,CC
40,Canada_2011,0,1,46,New,new,NNP,NN
41,Canada_2011,0,1,47,Brunswick,brunswick,NNP,NN
42,Canada_2011,0,1,48,have,have,VBP,VB
43,Canada_2011,0,1,49,expressed,expressed,VBN,VB
44,Canada_2011,0,1,50,their,their,PRP$,PR
45,Canada_2011,0,1,51,Desire,desire,NN,NN
46,Canada_2011,0,1,52,to,to,TO,TO
47,Canada_2011,0,1,53,be,be,VB,VB
48,Canada_2011,0,1,54,federally,federally,RB,RB
49,Canada_2011,0,1,55,united,united,VBN,VB
50,Canada_2011,0,1,56,into,into,IN,IN
51,Canada_2011,0,1,57,One,one,CD,CD
52,Canada_2011,0,1,58,Dominion,dominion,NN,NN
53,Canada_2011,0,1,59,under,under,IN,IN
54,Canada_2011,0,1,60,the,the,DT,DT
55,Canada_2011,0,1,61,Crown,crown,NNP,NN
56,Canada_2011,0,1,62,of,of,IN,IN
57,Canada_2011,0,1,63,the,the,DT,DT
58,Canada_2011,0,1,64,United,united,NNP,NN
59,Canada_2011,0,1,65,Kingdom,kingdom,NNP,NN
60,Canada_2011,0,1,66,of,of,IN,IN
61,Canada_2011,0,1,67,Great,great,NNP,NN
62,Canada_2011,0,1,68,Britain,britain,NNP,NN
63,Canada_2011,0,1,69,and,and,CC,CC
64,Canada_2011,0,1,70,Ireland,ireland,NNP,NN
65,Canada_2011,0,1,72,with,with,IN,IN
66,Canada_2011,0,1,73,a,a,DT,DT
67,Canada_2011,0,1,74,Constitution,constitution,NNP,NN
68,Canada_2011,0,1,75,similar,similar,JJ,JJ
69,Canada_2011,0,1,76,in,in,IN,IN
70,Canada_2011,0,1,77,Principle,principle,NN,NN
71,Canada_2011,0,1,78,to,to,TO,TO
72,Canada_2011,0,1,79,that,that,DT,DT
73,Canada_2011,0,1,80,of,of,IN,IN
74,Canada_2011,0,1,81,the,the,DT,DT
75,Canada_2011,0,1,82,United,united,NNP,NN
76,Canada_2011,0,1,83,Kingdom,kingdom,NNP,NN
77,Canada_2011,0,1,85,And,and,CC,CC
78,Canada_2011,0,1,86,whereas,whereas,NNS,NN
79,Canada_2011,0,1,87,such,such,JJ,JJ
80,Canada_2011,0,1,88,a,a,DT,DT
81,Canada_2011,0,1,89,Union,union,NNP,NN
82,Canada_2011,0,1,90,would,would,MD,MD
83,Canada_2011,0,1,91,conduce,conduce,VB,VB
84,Canada_2011,0,1,92,to,to,TO,TO
85,Canada_2011,0,1,93,the,the,DT,DT
86,Canada_2011,0,1,94,Welfare,welfare,NNP,NN
87,Canada_2011,0,1,95,of,of,IN,IN
88,Canada_2011,0,1,96,the,the,DT,DT
89,Canada_2011,0,1,97,Provinces,provinces,NNPS,NN
90,Canada_2011,0,1,98,and,and,CC,CC
91,Canada_2011,0,1,99,promote,promote,VB,VB
92,Canada_2011,0,1,100,the,the,DT,DT
93,Canada_2011,0,1,101,Interests,interests,NNS,NN
94,Canada_2011,0,1,102,of,of,IN,IN
95,Canada_2011,0,1,103,the,the,DT,DT
96,Canada_2011,0,1,104,British,british,JJ,JJ
97,Canada_2011,0,1,105,Empire,empire,NN,NN
