,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Cape_Verde_1992,0,0,0,Cape,cape,NNP,NN
1,Cape_Verde_1992,0,0,1,Verde,verde,NNP,NN
2,Cape_Verde_1992,0,0,2,1980,1980,CD,CD
3,Cape_Verde_1992,0,0,4,rev,rev,NN,NN
4,Cape_Verde_1992,0,1,0,1992,1992,CD,CD
5,Cape_Verde_1992,0,1,2,Preamble,preamble,NNP,NN
6,Cape_Verde_1992,0,1,3,Share,share,NNP,NN
7,Cape_Verde_1992,0,1,4,The,the,DT,DT
8,Cape_Verde_1992,0,1,5,Proclamation,proclamation,NNP,NN
9,Cape_Verde_1992,0,1,6,of,of,IN,IN
10,Cape_Verde_1992,0,1,7,National,national,NNP,NN
11,Cape_Verde_1992,0,1,8,Independence,independence,NNP,NN
12,Cape_Verde_1992,0,1,9,is,is,VBZ,VB
13,Cape_Verde_1992,0,1,10,one,one,CD,CD
14,Cape_Verde_1992,0,1,11,of,of,IN,IN
15,Cape_Verde_1992,0,1,12,the,the,DT,DT
16,Cape_Verde_1992,0,1,13,supreme,supreme,JJ,JJ
17,Cape_Verde_1992,0,1,14,moments,moments,NNS,NN
18,Cape_Verde_1992,0,1,15,in,in,IN,IN
19,Cape_Verde_1992,0,1,16,the,the,DT,DT
20,Cape_Verde_1992,0,1,17,History,history,NNP,NN
21,Cape_Verde_1992,0,1,18,of,of,IN,IN
22,Cape_Verde_1992,0,1,19,the,the,DT,DT
23,Cape_Verde_1992,0,1,20,Cape,cape,NNP,NN
24,Cape_Verde_1992,0,1,21,Verdian,verdian,NNP,NN
25,Cape_Verde_1992,0,1,22,nation,nation,NN,NN
26,Cape_Verde_1992,0,1,24,resulting,resulting,VBG,VB
27,Cape_Verde_1992,0,1,25,in,in,IN,IN
28,Cape_Verde_1992,0,1,26,the,the,DT,DT
29,Cape_Verde_1992,0,1,27,revitalization,revitalization,NN,NN
30,Cape_Verde_1992,0,1,28,of,of,IN,IN
31,Cape_Verde_1992,0,1,29,our,our,PRP$,PR
32,Cape_Verde_1992,0,1,30,people,people,NNS,NN
33,Cape_Verde_1992,0,1,32,who,who,WP,WP
34,Cape_Verde_1992,0,1,33,have,have,VBP,VB
35,Cape_Verde_1992,0,1,34,undergone,undergone,VBN,VB
36,Cape_Verde_1992,0,1,35,the,the,DT,DT
37,Cape_Verde_1992,0,1,36,same,same,JJ,JJ
38,Cape_Verde_1992,0,1,37,vicissitudes,vicissitudes,NNS,NN
39,Cape_Verde_1992,0,1,38,of,of,IN,IN
40,Cape_Verde_1992,0,1,39,fate,fate,NN,NN
41,Cape_Verde_1992,0,1,40,but,but,CC,CC
42,Cape_Verde_1992,0,1,41,who,who,WP,WP
43,Cape_Verde_1992,0,1,42,share,share,NN,NN
44,Cape_Verde_1992,0,1,43,the,the,DT,DT
45,Cape_Verde_1992,0,1,44,persistent,persistent,JJ,JJ
46,Cape_Verde_1992,0,1,45,hope,hope,NN,NN
47,Cape_Verde_1992,0,1,46,of,of,IN,IN
48,Cape_Verde_1992,0,1,47,creating,creating,VBG,VB
49,Cape_Verde_1992,0,1,48,in,in,IN,IN
50,Cape_Verde_1992,0,1,49,these,these,DT,DT
51,Cape_Verde_1992,0,1,50,islands,islands,NNS,NN
52,Cape_Verde_1992,0,1,51,proper,proper,VBP,VB
53,Cape_Verde_1992,0,1,52,living,living,VBG,VB
54,Cape_Verde_1992,0,1,53,conditions,conditions,NNS,NN
55,Cape_Verde_1992,0,1,54,for,for,IN,IN
56,Cape_Verde_1992,0,1,55,all,all,DT,DT
57,Cape_Verde_1992,0,1,56,of,of,IN,IN
58,Cape_Verde_1992,0,1,57,our,our,PRP$,PR
59,Cape_Verde_1992,0,1,58,children,children,NNS,NN
60,Cape_Verde_1992,0,2,0,Independence,independence,NN,NN
61,Cape_Verde_1992,0,2,1,has,has,VBZ,VB
62,Cape_Verde_1992,0,2,2,also,also,RB,RB
63,Cape_Verde_1992,0,2,3,allowed,allowed,VBN,VB
64,Cape_Verde_1992,0,2,4,Cape,cape,NNP,NN
65,Cape_Verde_1992,0,2,5,Verde,verde,NNP,NN
66,Cape_Verde_1992,0,2,6,to,to,TO,TO
67,Cape_Verde_1992,0,2,7,become,become,VB,VB
68,Cape_Verde_1992,0,2,8,a,a,DT,DT
69,Cape_Verde_1992,0,2,9,full,full,JJ,JJ
70,Cape_Verde_1992,0,2,10,member,member,NN,NN
71,Cape_Verde_1992,0,2,11,of,of,IN,IN
72,Cape_Verde_1992,0,2,12,the,the,DT,DT
73,Cape_Verde_1992,0,2,13,international,international,JJ,JJ
74,Cape_Verde_1992,0,2,14,community,community,NN,NN
75,Cape_Verde_1992,0,3,0,However,however,RB,RB
76,Cape_Verde_1992,0,3,2,the,the,DT,DT
77,Cape_Verde_1992,0,3,3,affirmation,affirmation,NN,NN
78,Cape_Verde_1992,0,3,4,of,of,IN,IN
79,Cape_Verde_1992,0,3,5,an,an,DT,DT
80,Cape_Verde_1992,0,3,6,independent,independent,JJ,JJ
81,Cape_Verde_1992,0,3,7,state,state,NN,NN
82,Cape_Verde_1992,0,3,8,was,was,VBD,VB
83,Cape_Verde_1992,0,3,9,not,not,RB,RB
84,Cape_Verde_1992,0,3,10,accompanied,accompanied,VBN,VB
85,Cape_Verde_1992,0,3,11,by,by,IN,IN
86,Cape_Verde_1992,0,3,12,the,the,DT,DT
87,Cape_Verde_1992,0,3,13,establishment,establishment,NN,NN
88,Cape_Verde_1992,0,3,14,of,of,IN,IN
89,Cape_Verde_1992,0,3,15,a,a,DT,DT
90,Cape_Verde_1992,0,3,16,regime,regime,NN,NN
91,Cape_Verde_1992,0,3,17,characterized,characterized,VBN,VB
