,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Central_African_Republic_2010,0,0,0,Central,central,JJ,JJ
1,Central_African_Republic_2010,0,0,1,African,african,NNP,NN
2,Central_African_Republic_2010,0,0,2,Republic,republic,NNP,NN
3,Central_African_Republic_2010,0,0,3,2004,2004,CD,CD
4,Central_African_Republic_2010,0,0,5,rev,rev,NN,NN
5,Central_African_Republic_2010,0,1,0,2010,2010,CD,CD
6,Central_African_Republic_2010,0,1,2,Preamble,preamble,NNP,NN
7,Central_African_Republic_2010,0,1,3,Share,share,NNP,NN
8,Central_African_Republic_2010,0,1,4,The,the,DT,DT
9,Central_African_Republic_2010,0,1,5,Central,central,JJ,JJ
10,Central_African_Republic_2010,0,1,6,African,african,JJ,JJ
11,Central_African_Republic_2010,0,1,7,People,people,NNP,NN
12,Central_African_Republic_2010,0,1,8,Proud,proud,NNP,NN
13,Central_African_Republic_2010,0,1,9,of,of,IN,IN
14,Central_African_Republic_2010,0,1,10,their,their,PRP$,PR
15,Central_African_Republic_2010,0,1,11,national,national,JJ,JJ
16,Central_African_Republic_2010,0,1,12,unity,unity,NN,NN
17,Central_African_Republic_2010,0,1,14,linguistic,linguistic,JJ,JJ
18,Central_African_Republic_2010,0,1,16,unity,unity,NN,NN
19,Central_African_Republic_2010,0,1,18,and,and,CC,CC
20,Central_African_Republic_2010,0,1,19,of,of,IN,IN
21,Central_African_Republic_2010,0,1,20,their,their,PRP$,PR
22,Central_African_Republic_2010,0,1,21,ethnic,ethnic,JJ,JJ
23,Central_African_Republic_2010,0,1,23,cultural,cultural,JJ,JJ
24,Central_African_Republic_2010,0,1,24,and,and,CC,CC
25,Central_African_Republic_2010,0,1,25,religious,religious,JJ,JJ
26,Central_African_Republic_2010,0,1,26,diversity,diversity,NN,NN
27,Central_African_Republic_2010,0,1,27,which,which,WDT,WD
28,Central_African_Republic_2010,0,1,28,contribute,contribute,NN,NN
29,Central_African_Republic_2010,0,1,29,to,to,TO,TO
30,Central_African_Republic_2010,0,1,30,the,the,DT,DT
31,Central_African_Republic_2010,0,1,31,enrichment,enrichment,NN,NN
32,Central_African_Republic_2010,0,1,32,of,of,IN,IN
33,Central_African_Republic_2010,0,1,33,their,their,PRP$,PR
34,Central_African_Republic_2010,0,1,34,personality,personality,NN,NN
35,Central_African_Republic_2010,0,1,36,Convinced,convinced,NNP,NN
36,Central_African_Republic_2010,0,1,37,of,of,IN,IN
37,Central_African_Republic_2010,0,1,38,the,the,DT,DT
38,Central_African_Republic_2010,0,1,39,urgent,urgent,JJ,JJ
39,Central_African_Republic_2010,0,1,40,necessity,necessity,NN,NN
40,Central_African_Republic_2010,0,1,41,to,to,TO,TO
41,Central_African_Republic_2010,0,1,42,preserve,preserve,VB,VB
42,Central_African_Republic_2010,0,1,43,national,national,JJ,JJ
43,Central_African_Republic_2010,0,1,44,unity,unity,NN,NN
44,Central_African_Republic_2010,0,1,45,and,and,CC,CC
45,Central_African_Republic_2010,0,1,46,peace,peace,NN,NN
46,Central_African_Republic_2010,0,1,48,guarantees,guarantees,NNS,NN
47,Central_African_Republic_2010,0,1,49,of,of,IN,IN
48,Central_African_Republic_2010,0,1,50,economic,economic,JJ,JJ
49,Central_African_Republic_2010,0,1,51,and,and,CC,CC
50,Central_African_Republic_2010,0,1,52,social,social,JJ,JJ
51,Central_African_Republic_2010,0,1,53,progress,progress,NN,NN
52,Central_African_Republic_2010,0,1,55,Conscious,conscious,NNP,NN
53,Central_African_Republic_2010,0,1,56,that,that,IN,IN
54,Central_African_Republic_2010,0,1,57,only,only,RB,RB
55,Central_African_Republic_2010,0,1,58,the,the,DT,DT
56,Central_African_Republic_2010,0,1,59,persistent,persistent,JJ,JJ
57,Central_African_Republic_2010,0,1,60,work,work,NN,NN
58,Central_African_Republic_2010,0,1,61,as,as,RB,RB
59,Central_African_Republic_2010,0,1,62,well,well,RB,RB
60,Central_African_Republic_2010,0,1,63,as,as,IN,IN
61,Central_African_Republic_2010,0,1,64,the,the,DT,DT
62,Central_African_Republic_2010,0,1,65,rigorous,rigorous,JJ,JJ
63,Central_African_Republic_2010,0,1,66,and,and,CC,CC
64,Central_African_Republic_2010,0,1,67,transparent,transparent,JJ,JJ
65,Central_African_Republic_2010,0,1,68,management,management,NN,NN
66,Central_African_Republic_2010,0,1,69,of,of,IN,IN
67,Central_African_Republic_2010,0,1,70,public,public,JJ,JJ
68,Central_African_Republic_2010,0,1,71,affairs,affairs,NNS,NN
69,Central_African_Republic_2010,0,1,73,chose,chose,JJ,JJ
70,Central_African_Republic_2010,0,1,75,and,and,CC,CC
71,Central_African_Republic_2010,0,1,76,of,of,IN,IN
72,Central_African_Republic_2010,0,1,77,the,the,DT,DT
73,Central_African_Republic_2010,0,1,78,environment,environment,NN,NN
74,Central_African_Republic_2010,0,1,79,can,can,MD,MD
75,Central_African_Republic_2010,0,1,80,assure,assure,VB,VB
76,Central_African_Republic_2010,0,1,81,a,a,DT,DT
77,Central_African_Republic_2010,0,1,82,harmonious,harmonious,JJ,JJ
78,Central_African_Republic_2010,0,1,84,rational,rational,JJ,JJ
79,Central_African_Republic_2010,0,1,85,and,and,CC,CC
80,Central_African_Republic_2010,0,1,86,durable,durable,JJ,JJ
81,Central_African_Republic_2010,0,1,87,development,development,NN,NN
82,Central_African_Republic_2010,0,1,89,Resolved,resolved,VBN,VB
83,Central_African_Republic_2010,0,1,90,to,to,TO,TO
84,Central_African_Republic_2010,0,1,91,build,build,VB,VB
85,Central_African_Republic_2010,0,1,92,a,a,DT,DT
86,Central_African_Republic_2010,0,1,93,State,state,NNP,NN
87,Central_African_Republic_2010,0,1,94,of,of,IN,IN
88,Central_African_Republic_2010,0,1,95,Law,law,NNP,NN
89,Central_African_Republic_2010,0,1,96,founded,founded,VBD,VB
90,Central_African_Republic_2010,0,1,97,on,on,IN,IN
91,Central_African_Republic_2010,0,1,98,a,a,DT,DT
92,Central_African_Republic_2010,0,1,99,pluralistic,pluralistic,JJ,JJ
93,Central_African_Republic_2010,0,1,100,democracy,democracy,NN,NN
94,Central_African_Republic_2010,0,1,102,guaranteeing,guaranteeing,VBG,VB
95,Central_African_Republic_2010,0,1,103,the,the,DT,DT
96,Central_African_Republic_2010,0,1,104,security,security,NN,NN
97,Central_African_Republic_2010,0,1,105,of,of,IN,IN
98,Central_African_Republic_2010,0,1,106,persons,persons,NNS,NN
99,Central_African_Republic_2010,0,1,107,and,and,CC,CC
100,Central_African_Republic_2010,0,1,108,of,of,IN,IN
101,Central_African_Republic_2010,0,1,109,property,property,NN,NN
102,Central_African_Republic_2010,0,1,111,the,the,DT,DT
103,Central_African_Republic_2010,0,1,112,protection,protection,NN,NN
104,Central_African_Republic_2010,0,1,113,of,of,IN,IN
105,Central_African_Republic_2010,0,1,114,the,the,DT,DT
106,Central_African_Republic_2010,0,1,115,most,most,RBS,RB
107,Central_African_Republic_2010,0,1,116,weak,weak,JJ,JJ
108,Central_African_Republic_2010,0,1,118,notably,notably,RB,RB
109,Central_African_Republic_2010,0,1,119,vulnerable,vulnerable,JJ,JJ
110,Central_African_Republic_2010,0,1,120,persons,persons,NNS,NN
111,Central_African_Republic_2010,0,1,122,the,the,DT,DT
112,Central_African_Republic_2010,0,1,123,minorities,minorities,NNS,NN
113,Central_African_Republic_2010,0,1,125,and,and,CC,CC
114,Central_African_Republic_2010,0,1,126,the,the,DT,DT
115,Central_African_Republic_2010,0,1,127,full,full,JJ,JJ
116,Central_African_Republic_2010,0,1,128,exercise,exercise,NN,NN
117,Central_African_Republic_2010,0,1,129,of,of,IN,IN
118,Central_African_Republic_2010,0,1,130,the,the,DT,DT
119,Central_African_Republic_2010,0,1,131,fundamental,fundamental,JJ,JJ
120,Central_African_Republic_2010,0,1,132,freedoms,freedoms,NNS,NN
121,Central_African_Republic_2010,0,1,133,and,and,CC,CC
122,Central_African_Republic_2010,0,1,134,rights,rights,NNS,NN
123,Central_African_Republic_2010,0,1,136,Animated,animated,VBN,VB
124,Central_African_Republic_2010,0,1,137,by,by,IN,IN
125,Central_African_Republic_2010,0,1,138,the,the,DT,DT
126,Central_African_Republic_2010,0,1,139,desire,desire,NN,NN
127,Central_African_Republic_2010,0,1,140,to,to,TO,TO
128,Central_African_Republic_2010,0,1,141,assure,assure,VB,VB
129,Central_African_Republic_2010,0,1,142,to,to,TO,TO
130,Central_African_Republic_2010,0,1,143,Man,man,VB,VB
131,Central_African_Republic_2010,0,1,144,his,his,PRP$,PR
132,Central_African_Republic_2010,0,1,145,dignity,dignity,NN,NN
133,Central_African_Republic_2010,0,1,146,within,within,IN,IN
134,Central_African_Republic_2010,0,1,147,respect,respect,NN,NN
135,Central_African_Republic_2010,0,1,148,for,for,IN,IN
136,Central_African_Republic_2010,0,1,149,the,the,DT,DT
137,Central_African_Republic_2010,0,1,150,principle,principle,NN,NN
138,Central_African_Republic_2010,0,1,151,of,of,IN,IN
139,Central_African_Republic_2010,0,1,153,Zo,zo,NNP,NN
140,Central_African_Republic_2010,0,1,154,Kwe,kwe,NNP,NN
141,Central_African_Republic_2010,0,1,155,Zo,zo,NNP,NN
142,Central_African_Republic_2010,0,1,157,declared,declared,VBN,VB
143,Central_African_Republic_2010,0,1,158,by,by,IN,IN
144,Central_African_Republic_2010,0,1,159,the,the,DT,DT
145,Central_African_Republic_2010,0,1,160,Founding,founding,VBG,VB
146,Central_African_Republic_2010,0,1,161,Father,father,NNP,NN
147,Central_African_Republic_2010,0,1,162,of,of,IN,IN
148,Central_African_Republic_2010,0,1,163,the,the,DT,DT
149,Central_African_Republic_2010,0,1,164,Central,central,NNP,NN
150,Central_African_Republic_2010,0,1,165,African,african,NNP,NN
151,Central_African_Republic_2010,0,1,166,Republic,republic,NNP,NN
152,Central_African_Republic_2010,0,1,168,Barthelemy,barthelemy,NNP,NN
153,Central_African_Republic_2010,0,1,169,Boganda,boganda,NNP,NN
154,Central_African_Republic_2010,0,1,171,Conscious,conscious,NNP,NN
155,Central_African_Republic_2010,0,1,172,that,that,IN,IN
156,Central_African_Republic_2010,0,1,173,tolerance,tolerance,NN,NN
157,Central_African_Republic_2010,0,1,174,and,and,CC,CC
158,Central_African_Republic_2010,0,1,175,dialogue,dialogue,NN,NN
159,Central_African_Republic_2010,0,1,176,constitute,constitute,VBP,VB
160,Central_African_Republic_2010,0,1,177,the,the,DT,DT
161,Central_African_Republic_2010,0,1,178,foundation,foundation,NN,NN
162,Central_African_Republic_2010,0,1,180,socle,socle,NN,NN
163,Central_African_Republic_2010,0,1,182,of,of,IN,IN
164,Central_African_Republic_2010,0,1,183,peace,peace,NN,NN
165,Central_African_Republic_2010,0,1,184,and,and,CC,CC
166,Central_African_Republic_2010,0,1,185,of,of,IN,IN
167,Central_African_Republic_2010,0,1,186,national,national,JJ,JJ
168,Central_African_Republic_2010,0,1,187,unity,unity,NN,NN
169,Central_African_Republic_2010,0,1,189,Convinced,convinced,NNP,NN
170,Central_African_Republic_2010,0,1,190,that,that,IN,IN
171,Central_African_Republic_2010,0,1,191,universal,universal,JJ,JJ
172,Central_African_Republic_2010,0,1,192,suffrage,suffrage,NN,NN
173,Central_African_Republic_2010,0,1,193,is,is,VBZ,VB
174,Central_African_Republic_2010,0,1,194,the,the,DT,DT
175,Central_African_Republic_2010,0,1,195,sole,sole,JJ,JJ
176,Central_African_Republic_2010,0,1,196,source,source,NN,NN
177,Central_African_Republic_2010,0,1,197,of,of,IN,IN
178,Central_African_Republic_2010,0,1,198,the,the,DT,DT
179,Central_African_Republic_2010,0,1,199,legitimacy,legitimacy,NN,NN
180,Central_African_Republic_2010,0,1,200,of,of,IN,IN
181,Central_African_Republic_2010,0,1,201,public,public,JJ,JJ
182,Central_African_Republic_2010,0,1,202,power,power,NN,NN
183,Central_African_Republic_2010,0,1,204,Firmly,firmly,NNP,NN
184,Central_African_Republic_2010,0,1,205,opposed,opposed,VBD,VB
185,Central_African_Republic_2010,0,1,206,to,to,TO,TO
186,Central_African_Republic_2010,0,1,207,the,the,DT,DT
187,Central_African_Republic_2010,0,1,208,conquest,conquest,NN,NN
188,Central_African_Republic_2010,0,1,209,of,of,IN,IN
189,Central_African_Republic_2010,0,1,210,power,power,NN,NN
190,Central_African_Republic_2010,0,1,211,by,by,IN,IN
191,Central_African_Republic_2010,0,1,212,force,force,NN,NN
192,Central_African_Republic_2010,0,1,213,and,and,CC,CC
193,Central_African_Republic_2010,0,1,214,by,by,IN,IN
194,Central_African_Republic_2010,0,1,215,any,any,DT,DT
195,Central_African_Republic_2010,0,1,216,form,form,NN,NN
196,Central_African_Republic_2010,0,1,217,of,of,IN,IN
197,Central_African_Republic_2010,0,1,218,dictatorship,dictatorship,NN,NN
198,Central_African_Republic_2010,0,1,219,and,and,CC,CC
199,Central_African_Republic_2010,0,1,220,oppression,oppression,NN,NN
200,Central_African_Republic_2010,0,1,222,as,as,RB,RB
201,Central_African_Republic_2010,0,1,223,well,well,RB,RB
202,Central_African_Republic_2010,0,1,224,as,as,IN,IN
203,Central_African_Republic_2010,0,1,225,any,any,DT,DT
204,Central_African_Republic_2010,0,1,226,act,act,NN,NN
205,Central_African_Republic_2010,0,1,227,of,of,IN,IN
206,Central_African_Republic_2010,0,1,228,division,division,NN,NN
207,Central_African_Republic_2010,0,1,229,and,and,CC,CC
208,Central_African_Republic_2010,0,1,230,maintenance,maintenance,NN,NN
209,Central_African_Republic_2010,0,1,231,of,of,IN,IN
210,Central_African_Republic_2010,0,1,232,hatred,hatred,VBN,VB
211,Central_African_Republic_2010,0,1,234,Convinced,convinced,NNP,NN
212,Central_African_Republic_2010,0,1,235,that,that,IN,IN
213,Central_African_Republic_2010,0,1,236,it,it,PRP,PR
214,Central_African_Republic_2010,0,1,237,is,is,VBZ,VB
215,Central_African_Republic_2010,0,1,238,essential,essential,JJ,JJ
