,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Colombia_2005,0,0,0,Colombia,colombia,JJ,JJ
1,Colombia_2005,0,0,1,1991,1991,CD,CD
2,Colombia_2005,0,0,3,rev,rev,NN,NN
3,Colombia_2005,0,1,0,2005,2005,CD,CD
4,Colombia_2005,0,1,2,Preamble,preamble,NNP,NN
5,Colombia_2005,0,1,3,Share,share,NNP,NN
6,Colombia_2005,0,1,4,The,the,DT,DT
7,Colombia_2005,0,1,5,people,people,NNS,NN
8,Colombia_2005,0,1,6,of,of,IN,IN
9,Colombia_2005,0,1,7,Colombia,colombia,NNP,NN
10,Colombia_2005,0,1,9,In,in,IN,IN
11,Colombia_2005,0,1,10,the,the,DT,DT
12,Colombia_2005,0,1,11,exercise,exercise,NN,NN
13,Colombia_2005,0,1,12,of,of,IN,IN
14,Colombia_2005,0,1,13,their,their,PRP$,PR
15,Colombia_2005,0,1,14,sovereign,sovereign,JJ,JJ
16,Colombia_2005,0,1,15,power,power,NN,NN
17,Colombia_2005,0,1,17,represented,represented,VBN,VB
18,Colombia_2005,0,1,18,by,by,IN,IN
19,Colombia_2005,0,1,19,their,their,PRP$,PR
20,Colombia_2005,0,1,20,delegates,delegates,NNS,NN
21,Colombia_2005,0,1,21,to,to,TO,TO
22,Colombia_2005,0,1,22,the,the,DT,DT
23,Colombia_2005,0,1,23,National,national,NNP,NN
24,Colombia_2005,0,1,24,Constituent,constituent,NNP,NN
25,Colombia_2005,0,1,25,Assembly,assembly,NNP,NN
26,Colombia_2005,0,1,27,invoking,invoking,VBG,VB
27,Colombia_2005,0,1,28,the,the,DT,DT
28,Colombia_2005,0,1,29,protection,protection,NN,NN
29,Colombia_2005,0,1,30,of,of,IN,IN
30,Colombia_2005,0,1,31,God,god,NNP,NN
31,Colombia_2005,0,1,33,and,and,CC,CC
32,Colombia_2005,0,1,34,in,in,IN,IN
33,Colombia_2005,0,1,35,order,order,NN,NN
34,Colombia_2005,0,1,36,to,to,TO,TO
35,Colombia_2005,0,1,37,strengthen,strengthen,VB,VB
36,Colombia_2005,0,1,38,the,the,DT,DT
37,Colombia_2005,0,1,39,unity,unity,NN,NN
38,Colombia_2005,0,1,40,of,of,IN,IN
39,Colombia_2005,0,1,41,the,the,DT,DT
40,Colombia_2005,0,1,42,nation,nation,NN,NN
41,Colombia_2005,0,1,43,and,and,CC,CC
42,Colombia_2005,0,1,44,ensure,ensure,VB,VB
43,Colombia_2005,0,1,45,to,to,TO,TO
44,Colombia_2005,0,1,46,its,its,PRP$,PR
45,Colombia_2005,0,1,47,members,members,NNS,NN
46,Colombia_2005,0,1,48,life,life,NN,NN
47,Colombia_2005,0,1,50,peaceful,peaceful,JJ,JJ
48,Colombia_2005,0,1,51,coexistence,coexistence,NN,NN
49,Colombia_2005,0,1,53,work,work,NN,NN
50,Colombia_2005,0,1,55,justice,justice,NN,NN
51,Colombia_2005,0,1,57,equality,equality,NN,NN
52,Colombia_2005,0,1,59,understanding,understanding,NN,NN
53,Colombia_2005,0,1,61,freedom,freedom,NN,NN
54,Colombia_2005,0,1,63,and,and,CC,CC
55,Colombia_2005,0,1,64,peace,peace,NN,NN
56,Colombia_2005,0,1,65,within,within,IN,IN
57,Colombia_2005,0,1,66,a,a,DT,DT
58,Colombia_2005,0,1,67,legal,legal,JJ,JJ
59,Colombia_2005,0,1,69,democratic,democratic,JJ,JJ
60,Colombia_2005,0,1,71,and,and,CC,CC
61,Colombia_2005,0,1,72,participatory,participatory,NN,NN
62,Colombia_2005,0,1,73,framework,framework,NN,NN
63,Colombia_2005,0,1,74,that,that,WDT,WD
64,Colombia_2005,0,1,75,may,may,MD,MD
65,Colombia_2005,0,1,76,guarantee,guarantee,VB,VB
66,Colombia_2005,0,1,77,a,a,DT,DT
67,Colombia_2005,0,1,78,just,just,RB,RB
68,Colombia_2005,0,1,79,political,political,JJ,JJ
69,Colombia_2005,0,1,81,economic,economic,JJ,JJ
70,Colombia_2005,0,1,83,and,and,CC,CC
71,Colombia_2005,0,1,84,social,social,JJ,JJ
72,Colombia_2005,0,1,85,order,order,NN,NN
73,Colombia_2005,0,1,86,and,and,CC,CC
74,Colombia_2005,0,1,87,committed,committed,VBD,VB
75,Colombia_2005,0,1,88,to,to,TO,TO
76,Colombia_2005,0,1,89,promote,promote,VB,VB
77,Colombia_2005,0,1,90,the,the,DT,DT
78,Colombia_2005,0,1,91,integration,integration,NN,NN
79,Colombia_2005,0,1,92,of,of,IN,IN
80,Colombia_2005,0,1,93,the,the,DT,DT
81,Colombia_2005,0,1,94,Latin,latin,JJ,JJ
82,Colombia_2005,0,1,95,American,american,JJ,JJ
83,Colombia_2005,0,1,96,community,community,NN,NN
84,Colombia_2005,0,1,98,decree,decree,NN,NN
85,Colombia_2005,0,1,100,authorize,authorize,VB,VB
86,Colombia_2005,0,1,102,and,and,CC,CC
87,Colombia_2005,0,1,103,promulgate,promulgate,VB,VB
88,Colombia_2005,0,1,104,the,the,DT,DT
89,Colombia_2005,0,1,105,following,following,NN,NN
90,Colombia_2005,0,1,107,TITLE,title,NN,NN
91,Colombia_2005,0,1,108,I,i,PRP,PR
92,Colombia_2005,0,2,0,Fundamental,fundamental,JJ,JJ
93,Colombia_2005,0,2,1,Principles,principles,NNP,NN
94,Colombia_2005,0,2,2,Share,share,NNP,NN
95,Colombia_2005,0,2,3,Article,article,NNP,NN
96,Colombia_2005,0,2,4,1,1,CD,CD
97,Colombia_2005,0,2,5,Share,share,NNP,NN
98,Colombia_2005,0,2,6,Colombia,colombia,NNP,NN
99,Colombia_2005,0,2,7,is,is,VBZ,VB
100,Colombia_2005,0,2,8,a,a,DT,DT
101,Colombia_2005,0,2,9,social,social,JJ,JJ
102,Colombia_2005,0,2,10,state,state,NN,NN
103,Colombia_2005,0,2,11,under,under,IN,IN
104,Colombia_2005,0,2,12,the,the,DT,DT
105,Colombia_2005,0,2,13,rule,rule,NN,NN
106,Colombia_2005,0,2,14,of,of,IN,IN
107,Colombia_2005,0,2,15,law,law,NN,NN
108,Colombia_2005,0,2,17,organized,organized,VBN,VB
109,Colombia_2005,0,2,18,in,in,IN,IN
110,Colombia_2005,0,2,19,the,the,DT,DT
111,Colombia_2005,0,2,20,form,form,NN,NN
112,Colombia_2005,0,2,21,of,of,IN,IN
113,Colombia_2005,0,2,22,a,a,DT,DT
114,Colombia_2005,0,2,23,unitary,unitary,JJ,JJ
115,Colombia_2005,0,2,24,republic,republic,NN,NN
116,Colombia_2005,0,2,26,decentralized,decentralized,VBN,VB
117,Colombia_2005,0,2,28,with,with,IN,IN
118,Colombia_2005,0,2,29,autonomy,autonomy,NN,NN
119,Colombia_2005,0,2,30,of,of,IN,IN
120,Colombia_2005,0,2,31,its,its,PRP$,PR
121,Colombia_2005,0,2,32,territorial,territorial,JJ,JJ
122,Colombia_2005,0,2,33,units,units,NNS,NN
123,Colombia_2005,0,2,35,democratic,democratic,JJ,JJ
124,Colombia_2005,0,2,37,participatory,participatory,NN,NN
125,Colombia_2005,0,2,39,and,and,CC,CC
126,Colombia_2005,0,2,40,pluralistic,pluralistic,JJ,JJ
127,Colombia_2005,0,2,42,based,based,VBN,VB
128,Colombia_2005,0,2,43,on,on,IN,IN
129,Colombia_2005,0,2,44,the,the,DT,DT
130,Colombia_2005,0,2,45,respect,respect,NN,NN
131,Colombia_2005,0,2,46,of,of,IN,IN
132,Colombia_2005,0,2,47,human,human,JJ,JJ
133,Colombia_2005,0,2,48,dignity,dignity,NN,NN
134,Colombia_2005,0,2,50,the,the,DT,DT
135,Colombia_2005,0,2,51,work,work,NN,NN
