,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Congo_2001,0,0,0,Congo,congo,NN,NN
1,Congo_2001,0,0,1,2001,2001,CD,CD
2,Congo_2001,0,0,2,Preamble,preamble,NNP,NN
3,Congo_2001,0,0,3,Share,share,NNP,NN
4,Congo_2001,0,0,4,The,the,DT,DT
5,Congo_2001,0,0,5,morning,morning,NN,NN
6,Congo_2001,0,0,6,after,after,IN,IN
7,Congo_2001,0,0,7,the,the,DT,DT
8,Congo_2001,0,0,8,accession,accession,NN,NN
9,Congo_2001,0,0,9,of,of,IN,IN
10,Congo_2001,0,0,10,the,the,DT,DT
11,Congo_2001,0,0,11,Congo,congo,NNP,NN
12,Congo_2001,0,0,12,to,to,TO,TO
13,Congo_2001,0,0,13,the,the,DT,DT
14,Congo_2001,0,0,14,dignity,dignity,NN,NN
15,Congo_2001,0,0,15,of,of,IN,IN
16,Congo_2001,0,0,16,a,a,DT,DT
17,Congo_2001,0,0,17,sovereign,sovereign,NN,NN
18,Congo_2001,0,0,18,and,and,CC,CC
19,Congo_2001,0,0,19,independent,independent,JJ,JJ
20,Congo_2001,0,0,20,State,state,NNP,NN
21,Congo_2001,0,0,22,a,a,DT,DT
22,Congo_2001,0,0,23,decisive,decisive,JJ,JJ
23,Congo_2001,0,0,24,turning,turning,NN,NN
24,Congo_2001,0,0,25,point,point,NN,NN
25,Congo_2001,0,0,26,had,had,VBD,VB
26,Congo_2001,0,0,27,been,been,VBN,VB
27,Congo_2001,0,0,28,taken,taken,VBN,VB
28,Congo_2001,0,0,30,notably,notably,RB,RB
29,Congo_2001,0,0,31,by,by,IN,IN
30,Congo_2001,0,0,32,the,the,DT,DT
31,Congo_2001,0,0,33,crystallization,crystallization,NN,NN
32,Congo_2001,0,0,34,of,of,IN,IN
33,Congo_2001,0,0,35,the,the,DT,DT
34,Congo_2001,0,0,36,collective,collective,JJ,JJ
35,Congo_2001,0,0,37,hope,hope,NN,NN
36,Congo_2001,0,0,38,in,in,IN,IN
37,Congo_2001,0,0,39,the,the,DT,DT
38,Congo_2001,0,0,40,becoming,becoming,VBG,VB
39,Congo_2001,0,0,41,of,of,IN,IN
40,Congo_2001,0,0,42,the,the,DT,DT
41,Congo_2001,0,0,43,Nation,nation,NNP,NN
42,Congo_2001,0,1,0,The,the,DT,DT
43,Congo_2001,0,1,1,experiences,experiences,NNS,NN
44,Congo_2001,0,1,2,lived,lived,VBD,VB
45,Congo_2001,0,1,4,through,through,IN,IN
46,Congo_2001,0,1,5,the,the,DT,DT
47,Congo_2001,0,1,6,different,different,JJ,JJ
48,Congo_2001,0,1,7,political,political,JJ,JJ
49,Congo_2001,0,1,8,regimes,regimes,NNS,NN
50,Congo_2001,0,1,9,that,that,WDT,WD
51,Congo_2001,0,1,10,have,have,VBP,VB
52,Congo_2001,0,1,11,succeeded,succeeded,VBN,VB
53,Congo_2001,0,1,12,one,one,CD,CD
54,Congo_2001,0,1,13,another,another,DT,DT
55,Congo_2001,0,1,15,as,as,RB,RB
56,Congo_2001,0,1,16,well,well,RB,RB
57,Congo_2001,0,1,17,as,as,IN,IN
58,Congo_2001,0,1,18,those,those,DT,DT
59,Congo_2001,0,1,19,of,of,IN,IN
60,Congo_2001,0,1,20,other,other,JJ,JJ
61,Congo_2001,0,1,21,Peoples,peoples,NNPS,NN
62,Congo_2001,0,1,23,have,have,VBP,VB
63,Congo_2001,0,1,24,led,led,VBN,VB
64,Congo_2001,0,1,25,the,the,DT,DT
65,Congo_2001,0,1,26,Congolese,congolese,JJ,JJ
66,Congo_2001,0,1,27,People,people,NNS,NN
67,Congo_2001,0,1,28,to,to,TO,TO
68,Congo_2001,0,1,29,make,make,VB,VB
69,Congo_2001,0,1,30,the,the,DT,DT
70,Congo_2001,0,1,31,choice,choice,NN,NN
71,Congo_2001,0,1,32,of,of,IN,IN
72,Congo_2001,0,1,33,pluralist,pluralist,NN,NN
73,Congo_2001,0,1,34,democracy,democracy,NN,NN
74,Congo_2001,0,1,35,as,as,IN,IN
75,Congo_2001,0,1,36,the,the,DT,DT
76,Congo_2001,0,1,37,base,base,NN,NN
77,Congo_2001,0,1,38,of,of,IN,IN
78,Congo_2001,0,1,39,the,the,DT,DT
79,Congo_2001,0,1,40,values,values,NNS,NN
80,Congo_2001,0,1,41,having,having,VBG,VB
81,Congo_2001,0,1,42,to,to,TO,TO
82,Congo_2001,0,1,43,orient,orient,VB,VB
83,Congo_2001,0,1,44,the,the,DT,DT
84,Congo_2001,0,1,45,development,development,NN,NN
85,Congo_2001,0,1,46,of,of,IN,IN
86,Congo_2001,0,1,47,the,the,DT,DT
87,Congo_2001,0,1,48,country,country,NN,NN
88,Congo_2001,0,1,50,to,to,TO,TO
89,Congo_2001,0,1,51,stimulate,stimulate,VB,VB
90,Congo_2001,0,1,52,its,its,PRP$,PR
91,Congo_2001,0,1,53,moral,moral,JJ,JJ
92,Congo_2001,0,1,55,cultural,cultural,JJ,JJ
93,Congo_2001,0,1,56,and,and,CC,CC
94,Congo_2001,0,1,57,material,material,JJ,JJ
95,Congo_2001,0,1,58,development,development,NN,NN
96,Congo_2001,0,1,59,and,and,CC,CC
97,Congo_2001,0,1,60,to,to,TO,TO
98,Congo_2001,0,1,61,respond,respond,VB,VB
99,Congo_2001,0,1,62,to,to,TO,TO
100,Congo_2001,0,1,63,the,the,DT,DT
101,Congo_2001,0,1,64,collective,collective,JJ,JJ
