,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Costa_Rica_2011,0,0,0,Costa,costa,NNP,NN
1,Costa_Rica_2011,0,0,1,Rica,rica,NNP,NN
2,Costa_Rica_2011,0,0,2,1949,1949,CD,CD
3,Costa_Rica_2011,0,0,4,rev,rev,NN,NN
4,Costa_Rica_2011,0,1,0,2011,2011,CD,CD
5,Costa_Rica_2011,0,1,2,Preamble,preamble,JJ,JJ
6,Costa_Rica_2011,0,1,3,Share,share,NN,NN
7,Costa_Rica_2011,0,1,4,We,we,PRP,PR
8,Costa_Rica_2011,0,1,6,the,the,DT,DT
9,Costa_Rica_2011,0,1,7,Representatives,representatives,NNS,NN
10,Costa_Rica_2011,0,1,8,of,of,IN,IN
11,Costa_Rica_2011,0,1,9,the,the,DT,DT
12,Costa_Rica_2011,0,1,10,People,people,NNP,NN
13,Costa_Rica_2011,0,1,11,of,of,IN,IN
14,Costa_Rica_2011,0,1,12,Costa,costa,NNP,NN
15,Costa_Rica_2011,0,1,13,Rica,rica,NNP,NN
16,Costa_Rica_2011,0,1,15,freely,freely,RB,RB
17,Costa_Rica_2011,0,1,16,elected,elected,VBN,VB
18,Costa_Rica_2011,0,1,17,Deputies,deputies,NNPS,NN
19,Costa_Rica_2011,0,1,18,to,to,TO,TO
20,Costa_Rica_2011,0,1,19,the,the,DT,DT
21,Costa_Rica_2011,0,1,20,National,national,NNP,NN
22,Costa_Rica_2011,0,1,21,Constituent,constituent,NNP,NN
23,Costa_Rica_2011,0,1,22,Assembly,assembly,NNP,NN
24,Costa_Rica_2011,0,1,24,invoking,invoking,VBG,VB
25,Costa_Rica_2011,0,1,25,the,the,DT,DT
26,Costa_Rica_2011,0,1,26,name,name,NN,NN
27,Costa_Rica_2011,0,1,27,of,of,IN,IN
28,Costa_Rica_2011,0,1,28,God,god,NNP,NN
29,Costa_Rica_2011,0,1,29,and,and,CC,CC
30,Costa_Rica_2011,0,1,30,reiterating,reiterating,VBG,VB
31,Costa_Rica_2011,0,1,31,our,our,PRP$,PR
32,Costa_Rica_2011,0,1,32,faith,faith,NN,NN
33,Costa_Rica_2011,0,1,33,in,in,IN,IN
34,Costa_Rica_2011,0,1,34,Democracy,democracy,NNP,NN
35,Costa_Rica_2011,0,1,36,decree,decree,NN,NN
36,Costa_Rica_2011,0,1,37,and,and,CC,CC
37,Costa_Rica_2011,0,1,38,sanction,sanction,NN,NN
38,Costa_Rica_2011,0,1,39,the,the,DT,DT
39,Costa_Rica_2011,0,1,40,following,following,NN,NN
40,Costa_Rica_2011,0,1,42,Title,title,NN,NN
41,Costa_Rica_2011,0,1,43,I,i,PRP,PR
42,Costa_Rica_2011,0,2,0,The,the,DT,DT
43,Costa_Rica_2011,0,2,1,Republic,republic,NNP,NN
44,Costa_Rica_2011,0,2,2,Share,share,NNP,NN
45,Costa_Rica_2011,0,2,3,Sole,sole,NNP,NN
46,Costa_Rica_2011,0,2,4,Chapter,chapter,NNP,NN
47,Costa_Rica_2011,0,2,5,Share,share,NNP,NN
48,Costa_Rica_2011,0,2,6,Article,article,NNP,NN
49,Costa_Rica_2011,0,2,7,1,1,CD,CD
50,Costa_Rica_2011,0,2,8,Share,share,NNP,NN
51,Costa_Rica_2011,0,2,9,Costa,costa,NNP,NN
52,Costa_Rica_2011,0,2,10,Rica,rica,NNP,NN
53,Costa_Rica_2011,0,2,11,is,is,VBZ,VB
54,Costa_Rica_2011,0,2,12,a,a,DT,DT
55,Costa_Rica_2011,0,2,13,democratic,democratic,JJ,JJ
56,Costa_Rica_2011,0,2,15,free,free,JJ,JJ
57,Costa_Rica_2011,0,2,16,and,and,CC,CC
58,Costa_Rica_2011,0,2,17,independent,independent,JJ,JJ
59,Costa_Rica_2011,0,2,18,Republic,republic,NNP,NN
60,Costa_Rica_2011,0,3,0,Article,article,NN,NN
61,Costa_Rica_2011,0,3,1,2,2,CD,CD
62,Costa_Rica_2011,0,3,2,Share,share,NNP,NN
63,Costa_Rica_2011,0,3,3,Sovereignty,sovereignty,NNP,NN
64,Costa_Rica_2011,0,3,4,resides,resides,VBZ,VB
65,Costa_Rica_2011,0,3,5,exclusively,exclusively,RB,RB
66,Costa_Rica_2011,0,3,6,in,in,IN,IN
67,Costa_Rica_2011,0,3,7,the,the,DT,DT
68,Costa_Rica_2011,0,3,8,Nation,nation,NN,NN
69,Costa_Rica_2011,0,4,0,Article,article,NN,NN
70,Costa_Rica_2011,0,4,1,3,3,CD,CD
71,Costa_Rica_2011,0,4,2,Share,share,NNP,NN
72,Costa_Rica_2011,0,4,3,No,no,NNP,NN
73,Costa_Rica_2011,0,4,4,one,one,NN,NN
74,Costa_Rica_2011,0,4,5,may,may,MD,MD
75,Costa_Rica_2011,0,4,6,arrogate,arrogate,VB,VB
76,Costa_Rica_2011,0,4,7,the,the,DT,DT
77,Costa_Rica_2011,0,4,8,sovereignty,sovereignty,NN,NN
78,Costa_Rica_2011,0,4,10,whoever,whoever,WDT,WD
79,Costa_Rica_2011,0,4,11,does,does,VBZ,VB
80,Costa_Rica_2011,0,4,12,so,so,RB,RB
81,Costa_Rica_2011,0,4,13,will,will,MD,MD
82,Costa_Rica_2011,0,4,14,commit,commit,VB,VB
83,Costa_Rica_2011,0,4,15,the,the,DT,DT
84,Costa_Rica_2011,0,4,16,crime,crime,NN,NN
85,Costa_Rica_2011,0,4,17,of,of,IN,IN
86,Costa_Rica_2011,0,4,18,treason,treason,NN,NN
87,Costa_Rica_2011,0,4,20,against,against,IN,IN
88,Costa_Rica_2011,0,4,22,the,the,DT,DT
89,Costa_Rica_2011,0,4,23,Nation,nation,NNP,NN
90,Costa_Rica_2011,0,5,0,Article,article,NN,NN
91,Costa_Rica_2011,0,5,1,4,4,CD,CD
92,Costa_Rica_2011,0,5,2,Share,share,NNP,NN
93,Costa_Rica_2011,0,5,3,No,no,NNP,NN
94,Costa_Rica_2011,0,5,4,person,person,NN,NN
95,Costa_Rica_2011,0,5,5,or,or,CC,CC
96,Costa_Rica_2011,0,5,6,group,group,NN,NN
97,Costa_Rica_2011,0,5,7,of,of,IN,IN
98,Costa_Rica_2011,0,5,8,persons,persons,NNS,NN
99,Costa_Rica_2011,0,5,9,may,may,MD,MD
100,Costa_Rica_2011,0,5,10,assume,assume,VB,VB
101,Costa_Rica_2011,0,5,11,the,the,DT,DT
102,Costa_Rica_2011,0,5,12,representation,representation,NN,NN
103,Costa_Rica_2011,0,5,13,of,of,IN,IN
104,Costa_Rica_2011,0,5,14,the,the,DT,DT
105,Costa_Rica_2011,0,5,15,People,people,NNP,NN
106,Costa_Rica_2011,0,5,17,arrogate,arrogate,VBP,VB
107,Costa_Rica_2011,0,5,18,their,their,PRP$,PR
108,Costa_Rica_2011,0,5,19,rights,rights,NNS,NN
109,Costa_Rica_2011,0,5,21,or,or,CC,CC
110,Costa_Rica_2011,0,5,22,make,make,VB,VB
111,Costa_Rica_2011,0,5,23,petitions,petitions,NNS,NN
112,Costa_Rica_2011,0,5,24,in,in,IN,IN
113,Costa_Rica_2011,0,5,25,their,their,PRP$,PR
114,Costa_Rica_2011,0,5,26,name,name,NN,NN
115,Costa_Rica_2011,0,6,0,The,the,DT,DT
116,Costa_Rica_2011,0,6,1,infraction,infraction,NN,NN
117,Costa_Rica_2011,0,6,2,of,of,IN,IN
118,Costa_Rica_2011,0,6,3,this,this,DT,DT
119,Costa_Rica_2011,0,6,4,Article,article,NNP,NN
120,Costa_Rica_2011,0,6,5,will,will,MD,MD
121,Costa_Rica_2011,0,6,6,be,be,VB,VB
122,Costa_Rica_2011,0,6,7,sedition,sedition,NN,NN
123,Costa_Rica_2011,0,7,0,Article,article,NN,NN
124,Costa_Rica_2011,0,7,1,5,5,CD,CD
125,Costa_Rica_2011,0,7,2,Share,share,NNP,NN
126,Costa_Rica_2011,0,7,3,The,the,DT,DT
127,Costa_Rica_2011,0,7,4,national,national,JJ,JJ
128,Costa_Rica_2011,0,7,5,territory,territory,NN,NN
129,Costa_Rica_2011,0,7,6,is,is,VBZ,VB
130,Costa_Rica_2011,0,7,7,included,included,VBN,VB
131,Costa_Rica_2011,0,7,9,comprendido,comprendido,NN,NN
132,Costa_Rica_2011,0,7,11,between,between,IN,IN
133,Costa_Rica_2011,0,7,12,the,the,DT,DT
134,Costa_Rica_2011,0,7,13,Caribbean,caribbean,NNP,NN
135,Costa_Rica_2011,0,7,14,Sea,sea,NNP,NN
136,Costa_Rica_2011,0,7,16,the,the,DT,DT
137,Costa_Rica_2011,0,7,17,Pacific,pacific,NNP,NN
138,Costa_Rica_2011,0,7,18,Ocean,ocean,NNP,NN
139,Costa_Rica_2011,0,7,19,and,and,CC,CC
140,Costa_Rica_2011,0,7,20,the,the,DT,DT
141,Costa_Rica_2011,0,7,21,Republics,republics,NNPS,NN
142,Costa_Rica_2011,0,7,22,of,of,IN,IN
143,Costa_Rica_2011,0,7,23,Nicaragua,nicaragua,NNP,NN
144,Costa_Rica_2011,0,7,24,and,and,CC,CC
145,Costa_Rica_2011,0,7,25,Panama,panama,NNP,NN
146,Costa_Rica_2011,0,8,0,The,the,DT,DT
147,Costa_Rica_2011,0,8,1,limits,limits,NNS,NN
148,Costa_Rica_2011,0,8,2,of,of,IN,IN
149,Costa_Rica_2011,0,8,3,the,the,DT,DT
150,Costa_Rica_2011,0,8,4,Republic,republic,NNP,NN
151,Costa_Rica_2011,0,8,5,are,are,VBP,VB
152,Costa_Rica_2011,0,8,6,those,those,DT,DT
153,Costa_Rica_2011,0,8,7,determined,determined,VBN,VB
154,Costa_Rica_2011,0,8,8,by,by,IN,IN
155,Costa_Rica_2011,0,8,9,the,the,DT,DT
156,Costa_Rica_2011,0,8,10,Cañas-Jérez,cañasjérez,NNP,NN
157,Costa_Rica_2011,0,8,11,Treaty,treaty,NNP,NN
158,Costa_Rica_2011,0,8,12,of,of,IN,IN
159,Costa_Rica_2011,0,8,13,15,15,CD,CD
160,Costa_Rica_2011,0,8,14,April,april,NNP,NN
161,Costa_Rica_2011,0,8,15,1858,1858,CD,CD
162,Costa_Rica_2011,0,8,17,ratified,ratified,VBN,VB
163,Costa_Rica_2011,0,8,18,by,by,IN,IN
164,Costa_Rica_2011,0,8,19,the,the,DT,DT
165,Costa_Rica_2011,0,8,20,Laudo,laudo,NNP,NN
166,Costa_Rica_2011,0,8,21,Cleveland,cleveland,NNP,NN
167,Costa_Rica_2011,0,8,23,Cleveland,cleveland,NNP,NN
168,Costa_Rica_2011,0,8,24,Decision,decision,NNP,NN
169,Costa_Rica_2011,0,8,26,of,of,IN,IN
170,Costa_Rica_2011,0,8,27,22,22,CD,CD
171,Costa_Rica_2011,0,8,28,March,march,NNP,NN
172,Costa_Rica_2011,0,8,29,1888,1888,CD,CD
173,Costa_Rica_2011,0,8,31,with,with,IN,IN
174,Costa_Rica_2011,0,8,32,respect,respect,NN,NN
175,Costa_Rica_2011,0,8,33,to,to,TO,TO
176,Costa_Rica_2011,0,8,34,Nicaragua,nicaragua,NNP,NN
177,Costa_Rica_2011,0,8,36,and,and,CC,CC
178,Costa_Rica_2011,0,8,37,the,the,DT,DT
179,Costa_Rica_2011,0,8,38,Echandi,echandi,NNP,NN
180,Costa_Rica_2011,0,8,39,Montero-Fernandez,monterofernandez,NNP,NN
181,Costa_Rica_2011,0,8,40,Jaen,jaen,NNP,NN
182,Costa_Rica_2011,0,8,41,Treaty,treaty,NNP,NN
183,Costa_Rica_2011,0,8,42,of,of,IN,IN
184,Costa_Rica_2011,0,8,43,1,1,CD,CD
185,Costa_Rica_2011,0,8,44,May,may,NNP,NN
186,Costa_Rica_2011,0,8,45,1941,1941,CD,CD
187,Costa_Rica_2011,0,8,46,in,in,IN,IN
188,Costa_Rica_2011,0,8,47,what,what,WP,WP
189,Costa_Rica_2011,0,8,48,concerns,concerns,NNS,NN
190,Costa_Rica_2011,0,8,49,Panama,panama,NNP,NN
191,Costa_Rica_2011,0,9,0,The,the,DT,DT
192,Costa_Rica_2011,0,9,1,Isla,isla,NNP,NN
193,Costa_Rica_2011,0,9,2,del,del,FW,FW
194,Costa_Rica_2011,0,9,3,Coco,coco,NNP,NN
195,Costa_Rica_2011,0,9,5,situated,situated,VBN,VB
196,Costa_Rica_2011,0,9,6,in,in,IN,IN
197,Costa_Rica_2011,0,9,7,the,the,DT,DT
198,Costa_Rica_2011,0,9,8,Pacific,pacific,NNP,NN
199,Costa_Rica_2011,0,9,9,Ocean,ocean,NNP,NN
200,Costa_Rica_2011,0,9,11,forms,forms,VBZ,VB
201,Costa_Rica_2011,0,9,12,part,part,NN,NN
202,Costa_Rica_2011,0,9,13,of,of,IN,IN
203,Costa_Rica_2011,0,9,14,the,the,DT,DT
204,Costa_Rica_2011,0,9,15,national,national,JJ,JJ
205,Costa_Rica_2011,0,9,16,territory,territory,NN,NN
206,Costa_Rica_2011,0,10,0,Article,article,NN,NN
207,Costa_Rica_2011,0,10,1,6,6,CD,CD
208,Costa_Rica_2011,0,10,2,Share,share,NNP,NN
209,Costa_Rica_2011,0,10,3,The,the,DT,DT
210,Costa_Rica_2011,0,10,4,State,state,NNP,NN
211,Costa_Rica_2011,0,10,5,exercises,exercises,VBZ,VB
212,Costa_Rica_2011,0,10,6,the,the,DT,DT
213,Costa_Rica_2011,0,10,7,complete,complete,JJ,JJ
214,Costa_Rica_2011,0,10,8,and,and,CC,CC
215,Costa_Rica_2011,0,10,9,exclusive,exclusive,JJ,JJ
216,Costa_Rica_2011,0,10,10,sovereignty,sovereignty,NN,NN
217,Costa_Rica_2011,0,10,11,over,over,IN,IN
218,Costa_Rica_2011,0,10,12,the,the,DT,DT
219,Costa_Rica_2011,0,10,13,aerial,aerial,JJ,JJ
220,Costa_Rica_2011,0,10,14,space,space,NN,NN
221,Costa_Rica_2011,0,10,15,of,of,IN,IN
222,Costa_Rica_2011,0,10,16,its,its,PRP$,PR
