,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Cote_DIvoire_2009,0,0,0,Cote,cote,NNP,NN
1,Cote_DIvoire_2009,0,0,1,D'Ivoire,divoire,NNP,NN
2,Cote_DIvoire_2009,0,0,2,2000,2000,CD,CD
3,Cote_DIvoire_2009,0,0,3,Preamble,preamble,NNP,NN
4,Cote_DIvoire_2009,0,0,4,Share,share,NNP,NN
5,Cote_DIvoire_2009,0,0,5,The,the,DT,DT
6,Cote_DIvoire_2009,0,0,6,People,people,NNP,NN
7,Cote_DIvoire_2009,0,0,7,of,of,IN,IN
8,Cote_DIvoire_2009,0,0,8,Côte,côte,NNP,NN
9,Cote_DIvoire_2009,0,0,9,d,d,NN,NN
10,Cote_DIvoire_2009,0,0,11,Ivoire,ivoire,NNP,NN
11,Cote_DIvoire_2009,0,0,13,Conscious,conscious,NNP,NN
12,Cote_DIvoire_2009,0,0,14,of,of,IN,IN
13,Cote_DIvoire_2009,0,0,15,their,their,PRP$,PR
14,Cote_DIvoire_2009,0,0,16,liberty,liberty,NN,NN
15,Cote_DIvoire_2009,0,0,17,and,and,CC,CC
16,Cote_DIvoire_2009,0,0,18,national,national,JJ,JJ
17,Cote_DIvoire_2009,0,0,19,identity,identity,NN,NN
18,Cote_DIvoire_2009,0,0,21,of,of,IN,IN
19,Cote_DIvoire_2009,0,0,22,their,their,PRP$,PR
20,Cote_DIvoire_2009,0,0,23,responsibility,responsibility,NN,NN
21,Cote_DIvoire_2009,0,0,24,before,before,IN,IN
22,Cote_DIvoire_2009,0,0,25,history,history,NN,NN
23,Cote_DIvoire_2009,0,0,26,and,and,CC,CC
24,Cote_DIvoire_2009,0,0,27,humanity,humanity,NN,NN
25,Cote_DIvoire_2009,0,0,29,Conscious,conscious,NNP,NN
26,Cote_DIvoire_2009,0,0,30,of,of,IN,IN
27,Cote_DIvoire_2009,0,0,31,their,their,PRP$,PR
28,Cote_DIvoire_2009,0,0,32,ethnic,ethnic,JJ,JJ
29,Cote_DIvoire_2009,0,0,34,cultural,cultural,JJ,JJ
30,Cote_DIvoire_2009,0,0,35,and,and,CC,CC
31,Cote_DIvoire_2009,0,0,36,religious,religious,JJ,JJ
32,Cote_DIvoire_2009,0,0,37,diversity,diversity,NN,NN
33,Cote_DIvoire_2009,0,0,39,and,and,CC,CC
34,Cote_DIvoire_2009,0,0,40,desirous,desirous,JJ,JJ
35,Cote_DIvoire_2009,0,0,41,to,to,TO,TO
36,Cote_DIvoire_2009,0,0,42,build,build,VB,VB
37,Cote_DIvoire_2009,0,0,43,one,one,CD,CD
38,Cote_DIvoire_2009,0,0,44,nation,nation,NN,NN
39,Cote_DIvoire_2009,0,0,45,unified,unified,VBN,VB
40,Cote_DIvoire_2009,0,0,46,in,in,IN,IN
41,Cote_DIvoire_2009,0,0,47,solidarity,solidarity,NN,NN
42,Cote_DIvoire_2009,0,0,48,and,and,CC,CC
43,Cote_DIvoire_2009,0,0,49,prosperous,prosperous,JJ,JJ
44,Cote_DIvoire_2009,0,0,51,Convinced,convinced,NNP,NN
45,Cote_DIvoire_2009,0,0,52,that,that,IN,IN
46,Cote_DIvoire_2009,0,0,53,union,union,NN,NN
47,Cote_DIvoire_2009,0,0,54,with,with,IN,IN
48,Cote_DIvoire_2009,0,0,55,respect,respect,NN,NN
49,Cote_DIvoire_2009,0,0,56,for,for,IN,IN
50,Cote_DIvoire_2009,0,0,57,diversity,diversity,NN,NN
51,Cote_DIvoire_2009,0,0,58,assures,assures,NNS,NN
52,Cote_DIvoire_2009,0,0,59,economic,economic,JJ,JJ
53,Cote_DIvoire_2009,0,0,60,progress,progress,NN,NN
54,Cote_DIvoire_2009,0,0,61,and,and,CC,CC
55,Cote_DIvoire_2009,0,0,62,social,social,JJ,JJ
56,Cote_DIvoire_2009,0,0,63,well-being,wellbeing,NN,NN
57,Cote_DIvoire_2009,0,0,65,Profoundly,profoundly,RB,RB
58,Cote_DIvoire_2009,0,0,66,attached,attached,VBD,VB
59,Cote_DIvoire_2009,0,0,67,to,to,TO,TO
60,Cote_DIvoire_2009,0,0,68,constitutional,constitutional,JJ,JJ
61,Cote_DIvoire_2009,0,0,69,legality,legality,NN,NN
62,Cote_DIvoire_2009,0,0,70,and,and,CC,CC
63,Cote_DIvoire_2009,0,0,71,to,to,TO,TO
64,Cote_DIvoire_2009,0,0,72,democratic,democratic,JJ,JJ
65,Cote_DIvoire_2009,0,0,73,institutions,institutions,NNS,NN
66,Cote_DIvoire_2009,0,0,75,Proclaims,proclaims,NNP,NN
67,Cote_DIvoire_2009,0,0,76,its,its,PRP$,PR
68,Cote_DIvoire_2009,0,0,77,adherence,adherence,NN,NN
69,Cote_DIvoire_2009,0,0,78,to,to,TO,TO
70,Cote_DIvoire_2009,0,0,79,the,the,DT,DT
71,Cote_DIvoire_2009,0,0,80,rights,rights,NNS,NN
72,Cote_DIvoire_2009,0,0,81,and,and,CC,CC
73,Cote_DIvoire_2009,0,0,82,freedoms,freedoms,NNS,NN
74,Cote_DIvoire_2009,0,0,83,as,as,IN,IN
75,Cote_DIvoire_2009,0,0,84,defined,defined,VBN,VB
76,Cote_DIvoire_2009,0,0,85,in,in,IN,IN
77,Cote_DIvoire_2009,0,0,86,the,the,DT,DT
78,Cote_DIvoire_2009,0,0,87,Universal,universal,NNP,NN
79,Cote_DIvoire_2009,0,0,88,Declaration,declaration,NNP,NN
80,Cote_DIvoire_2009,0,0,89,of,of,IN,IN
81,Cote_DIvoire_2009,0,0,90,the,the,DT,DT
82,Cote_DIvoire_2009,0,0,91,Rights,rights,NNPS,NN
83,Cote_DIvoire_2009,0,0,92,of,of,IN,IN
84,Cote_DIvoire_2009,0,0,93,Man,man,NN,NN
85,Cote_DIvoire_2009,0,0,94,of,of,IN,IN
86,Cote_DIvoire_2009,0,0,95,1948,1948,CD,CD
87,Cote_DIvoire_2009,0,0,96,and,and,CC,CC
88,Cote_DIvoire_2009,0,0,97,in,in,IN,IN
89,Cote_DIvoire_2009,0,0,98,the,the,DT,DT
90,Cote_DIvoire_2009,0,0,99,African,african,NNP,NN
91,Cote_DIvoire_2009,0,0,100,Charter,charter,NNP,NN
92,Cote_DIvoire_2009,0,0,101,of,of,IN,IN
93,Cote_DIvoire_2009,0,0,102,the,the,DT,DT
94,Cote_DIvoire_2009,0,0,103,Rights,rights,NNPS,NN
95,Cote_DIvoire_2009,0,0,104,of,of,IN,IN
96,Cote_DIvoire_2009,0,0,105,Man,man,NNP,NN
97,Cote_DIvoire_2009,0,0,106,and,and,CC,CC
98,Cote_DIvoire_2009,0,0,107,of,of,IN,IN
99,Cote_DIvoire_2009,0,0,108,Peoples,peoples,NNS,NN
100,Cote_DIvoire_2009,0,0,109,of,of,IN,IN
101,Cote_DIvoire_2009,0,0,110,1981,1981,CD,CD
102,Cote_DIvoire_2009,0,0,112,Expressing,expressing,VBG,VB
103,Cote_DIvoire_2009,0,0,113,its,its,PRP$,PR
104,Cote_DIvoire_2009,0,0,114,attachment,attachment,NN,NN
105,Cote_DIvoire_2009,0,0,115,to,to,TO,TO
106,Cote_DIvoire_2009,0,0,116,democratic,democratic,JJ,JJ
107,Cote_DIvoire_2009,0,0,117,values,values,NNS,NN
108,Cote_DIvoire_2009,0,0,118,recognized,recognized,VBN,VB
109,Cote_DIvoire_2009,0,0,119,to,to,TO,TO
110,Cote_DIvoire_2009,0,0,120,all,all,DT,DT
111,Cote_DIvoire_2009,0,0,122,the,the,DT,DT
112,Cote_DIvoire_2009,0,0,123,free,free,JJ,JJ
113,Cote_DIvoire_2009,0,0,124,people,people,NNS,NN
114,Cote_DIvoire_2009,0,0,126,notably,notably,RB,RB
115,Cote_DIvoire_2009,0,0,128,The,the,DT,DT
116,Cote_DIvoire_2009,0,0,129,respect,respect,NN,NN
117,Cote_DIvoire_2009,0,0,130,and,and,CC,CC
118,Cote_DIvoire_2009,0,0,131,the,the,DT,DT
119,Cote_DIvoire_2009,0,0,132,protection,protection,NN,NN
120,Cote_DIvoire_2009,0,0,133,of,of,IN,IN
121,Cote_DIvoire_2009,0,0,134,fundamental,fundamental,JJ,JJ
122,Cote_DIvoire_2009,0,0,135,freedoms,freedoms,NNS,NN
123,Cote_DIvoire_2009,0,0,137,individual,individual,JJ,JJ
124,Cote_DIvoire_2009,0,0,138,as,as,RB,RB
125,Cote_DIvoire_2009,0,0,139,well,well,RB,RB
126,Cote_DIvoire_2009,0,0,140,as,as,IN,IN
127,Cote_DIvoire_2009,0,0,141,collective,collective,NN,NN
128,Cote_DIvoire_2009,0,0,143,The,the,DT,DT
129,Cote_DIvoire_2009,0,0,144,separation,separation,NN,NN
130,Cote_DIvoire_2009,0,0,145,and,and,CC,CC
131,Cote_DIvoire_2009,0,0,146,the,the,DT,DT
132,Cote_DIvoire_2009,0,0,147,equilibrium,equilibrium,NN,NN
133,Cote_DIvoire_2009,0,0,148,of,of,IN,IN
134,Cote_DIvoire_2009,0,0,149,powers,powers,NNS,NN
135,Cote_DIvoire_2009,0,0,151,Transparency,transparency,NNP,NN
136,Cote_DIvoire_2009,0,0,152,in,in,IN,IN
137,Cote_DIvoire_2009,0,0,153,the,the,DT,DT
138,Cote_DIvoire_2009,0,0,154,conduct,conduct,NN,NN
139,Cote_DIvoire_2009,0,0,155,of,of,IN,IN
140,Cote_DIvoire_2009,0,0,156,public,public,JJ,JJ
141,Cote_DIvoire_2009,0,0,157,affairs,affairs,NNS,NN
142,Cote_DIvoire_2009,0,0,159,Committed,committed,VBD,VB
143,Cote_DIvoire_2009,0,0,160,to,to,TO,TO
144,Cote_DIvoire_2009,0,0,161,the,the,DT,DT
145,Cote_DIvoire_2009,0,0,162,promotion,promotion,NN,NN
146,Cote_DIvoire_2009,0,0,163,of,of,IN,IN
147,Cote_DIvoire_2009,0,0,164,regional,regional,JJ,JJ
148,Cote_DIvoire_2009,0,0,165,and,and,CC,CC
149,Cote_DIvoire_2009,0,0,166,sub-regional,subregional,JJ,JJ
150,Cote_DIvoire_2009,0,0,167,integration,integration,NN,NN
151,Cote_DIvoire_2009,0,0,169,in,in,IN,IN
152,Cote_DIvoire_2009,0,0,170,view,view,NN,NN
153,Cote_DIvoire_2009,0,0,171,of,of,IN,IN
154,Cote_DIvoire_2009,0,0,172,the,the,DT,DT
