,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Croatia_2001,0,0,0,Croatia,croatia,NN,NN
1,Croatia_2001,0,0,1,1991,1991,CD,CD
2,Croatia_2001,0,0,3,rev,rev,NN,NN
3,Croatia_2001,0,1,0,2001,2001,CD,CD
4,Croatia_2001,0,1,2,I,i,PRP,PR
5,Croatia_2001,0,2,0,Historical,historical,JJ,JJ
6,Croatia_2001,0,2,1,Foundations,foundations,NNS,NN
7,Croatia_2001,0,2,2,Share,share,VBP,VB
8,Croatia_2001,0,2,3,The,the,DT,DT
9,Croatia_2001,0,2,4,millenary,millenary,JJ,JJ
10,Croatia_2001,0,2,5,identity,identity,NN,NN
11,Croatia_2001,0,2,6,of,of,IN,IN
12,Croatia_2001,0,2,7,the,the,DT,DT
13,Croatia_2001,0,2,8,Croatia,croatia,NNP,NN
14,Croatia_2001,0,2,9,nation,nation,NN,NN
15,Croatia_2001,0,2,10,and,and,CC,CC
16,Croatia_2001,0,2,11,the,the,DT,DT
17,Croatia_2001,0,2,12,continuity,continuity,NN,NN
18,Croatia_2001,0,2,13,of,of,IN,IN
19,Croatia_2001,0,2,14,its,its,PRP$,PR
20,Croatia_2001,0,2,15,statehood,statehood,NN,NN
21,Croatia_2001,0,2,17,confirmed,confirmed,VBN,VB
22,Croatia_2001,0,2,18,by,by,IN,IN
23,Croatia_2001,0,2,19,the,the,DT,DT
24,Croatia_2001,0,2,20,course,course,NN,NN
25,Croatia_2001,0,2,21,of,of,IN,IN
26,Croatia_2001,0,2,22,its,its,PRP$,PR
27,Croatia_2001,0,2,23,entire,entire,JJ,JJ
28,Croatia_2001,0,2,24,historical,historical,JJ,JJ
29,Croatia_2001,0,2,25,experience,experience,NN,NN
30,Croatia_2001,0,2,26,within,within,IN,IN
31,Croatia_2001,0,2,27,different,different,JJ,JJ
32,Croatia_2001,0,2,28,forms,forms,NNS,NN
33,Croatia_2001,0,2,29,of,of,IN,IN
34,Croatia_2001,0,2,30,states,states,NNS,NN
35,Croatia_2001,0,2,31,and,and,CC,CC
36,Croatia_2001,0,2,32,by,by,IN,IN
37,Croatia_2001,0,2,33,the,the,DT,DT
38,Croatia_2001,0,2,34,preservation,preservation,NN,NN
39,Croatia_2001,0,2,35,and,and,CC,CC
40,Croatia_2001,0,2,36,growth,growth,NN,NN
41,Croatia_2001,0,2,37,of,of,IN,IN
42,Croatia_2001,0,2,38,the,the,DT,DT
43,Croatia_2001,0,2,39,idea,idea,NN,NN
44,Croatia_2001,0,2,40,of,of,IN,IN
45,Croatia_2001,0,2,41,a,a,DT,DT
46,Croatia_2001,0,2,42,national,national,JJ,JJ
47,Croatia_2001,0,2,43,state,state,NN,NN
48,Croatia_2001,0,2,45,founded,founded,VBN,VB
49,Croatia_2001,0,2,46,on,on,IN,IN
50,Croatia_2001,0,2,47,the,the,DT,DT
51,Croatia_2001,0,2,48,historical,historical,JJ,JJ
52,Croatia_2001,0,2,49,right,right,NN,NN
53,Croatia_2001,0,2,50,of,of,IN,IN
54,Croatia_2001,0,2,51,the,the,DT,DT
55,Croatia_2001,0,2,52,Croatian,croatian,JJ,JJ
56,Croatia_2001,0,2,53,nation,nation,NN,NN
57,Croatia_2001,0,2,54,to,to,TO,TO
58,Croatia_2001,0,2,55,full,full,JJ,JJ
59,Croatia_2001,0,2,56,sovereignty,sovereignty,NN,NN
60,Croatia_2001,0,2,58,manifested,manifested,VBN,VB
61,Croatia_2001,0,2,59,in,in,IN,IN
62,Croatia_2001,0,2,61,The,the,DT,DT
63,Croatia_2001,0,2,62,formation,formation,NN,NN
64,Croatia_2001,0,2,63,of,of,IN,IN
65,Croatia_2001,0,2,64,Croatian,croatian,JJ,JJ
66,Croatia_2001,0,2,65,principalities,principalities,NNS,NN
67,Croatia_2001,0,2,66,in,in,IN,IN
68,Croatia_2001,0,2,67,the,the,DT,DT
69,Croatia_2001,0,2,68,seventh,seventh,JJ,JJ
70,Croatia_2001,0,2,69,century,century,NN,NN
71,Croatia_2001,0,2,71,The,the,DT,DT
72,Croatia_2001,0,2,72,independent,independent,JJ,JJ
73,Croatia_2001,0,2,73,mediaeval,mediaeval,NN,NN
74,Croatia_2001,0,2,74,state,state,NN,NN
75,Croatia_2001,0,2,75,of,of,IN,IN
76,Croatia_2001,0,2,76,Croatia,croatia,NNP,NN
77,Croatia_2001,0,2,77,founded,founded,VBD,VB
78,Croatia_2001,0,2,78,in,in,IN,IN
79,Croatia_2001,0,2,79,the,the,DT,DT
80,Croatia_2001,0,2,80,ninth,ninth,JJ,JJ
81,Croatia_2001,0,2,81,century,century,NN,NN
82,Croatia_2001,0,2,83,The,the,DT,DT
83,Croatia_2001,0,2,84,Kingdom,kingdom,NNP,NN
84,Croatia_2001,0,2,85,of,of,IN,IN
85,Croatia_2001,0,2,86,Croats,croats,NNP,NN
86,Croatia_2001,0,2,87,established,established,VBD,VB
87,Croatia_2001,0,2,88,in,in,IN,IN
88,Croatia_2001,0,2,89,the,the,DT,DT
89,Croatia_2001,0,2,90,tenth,tenth,JJ,JJ
90,Croatia_2001,0,2,91,century,century,NN,NN
91,Croatia_2001,0,2,93,The,the,DT,DT
92,Croatia_2001,0,2,94,preservation,preservation,NN,NN
93,Croatia_2001,0,2,95,of,of,IN,IN
94,Croatia_2001,0,2,96,the,the,DT,DT
95,Croatia_2001,0,2,97,identity,identity,NN,NN
96,Croatia_2001,0,2,98,of,of,IN,IN
97,Croatia_2001,0,2,99,the,the,DT,DT
98,Croatia_2001,0,2,100,Croatian,croatian,JJ,JJ
99,Croatia_2001,0,2,101,state,state,NN,NN
100,Croatia_2001,0,2,102,in,in,IN,IN
101,Croatia_2001,0,2,103,the,the,DT,DT
102,Croatia_2001,0,2,104,Croatian-Hungarian,croatianhungarian,JJ,JJ
103,Croatia_2001,0,2,105,personal,personal,JJ,JJ
104,Croatia_2001,0,2,106,union,union,NN,NN
105,Croatia_2001,0,2,108,The,the,DT,DT
106,Croatia_2001,0,2,109,independent,independent,JJ,JJ
107,Croatia_2001,0,2,110,and,and,CC,CC
108,Croatia_2001,0,2,111,sovereign,sovereign,JJ,JJ
109,Croatia_2001,0,2,112,decision,decision,NN,NN
110,Croatia_2001,0,2,113,of,of,IN,IN
111,Croatia_2001,0,2,114,the,the,DT,DT
112,Croatia_2001,0,2,115,Croatian,croatian,JJ,JJ
113,Croatia_2001,0,2,116,Parliament,parliament,NNP,NN
114,Croatia_2001,0,2,118,Sabor,sabor,NNP,NN
115,Croatia_2001,0,2,120,of,of,IN,IN
116,Croatia_2001,0,2,121,1527,1527,CD,CD
117,Croatia_2001,0,2,122,to,to,TO,TO
118,Croatia_2001,0,2,123,elect,elect,VB,VB
119,Croatia_2001,0,2,124,a,a,DT,DT
120,Croatia_2001,0,2,125,king,king,NN,NN
121,Croatia_2001,0,2,126,from,from,IN,IN
122,Croatia_2001,0,2,127,the,the,DT,DT
123,Croatia_2001,0,2,128,Habsburg,habsburg,NNP,NN
124,Croatia_2001,0,2,129,dynasty,dynasty,NN,NN
125,Croatia_2001,0,2,131,The,the,DT,DT
126,Croatia_2001,0,2,132,independent,independent,JJ,JJ
127,Croatia_2001,0,2,133,and,and,CC,CC
128,Croatia_2001,0,2,134,sovereign,sovereign,JJ,JJ
129,Croatia_2001,0,2,135,decision,decision,NN,NN
130,Croatia_2001,0,2,136,of,of,IN,IN
131,Croatia_2001,0,2,137,the,the,DT,DT
132,Croatia_2001,0,2,138,Croatian,croatian,NNP,NN
133,Croatia_2001,0,2,139,Parliament,parliament,NNP,NN
134,Croatia_2001,0,2,140,of,of,IN,IN
135,Croatia_2001,0,2,141,the,the,DT,DT
136,Croatia_2001,0,2,142,Pragmatic,pragmatic,NNP,NN
137,Croatia_2001,0,2,143,Sanction,sanction,NNP,NN
138,Croatia_2001,0,2,144,of,of,IN,IN
139,Croatia_2001,0,2,145,1712,1712,CD,CD
140,Croatia_2001,0,2,147,The,the,DT,DT
141,Croatia_2001,0,2,148,conclusions,conclusions,NNS,NN
142,Croatia_2001,0,2,149,of,of,IN,IN
143,Croatia_2001,0,2,150,the,the,DT,DT
144,Croatia_2001,0,2,151,Croatian,croatian,NNP,NN
145,Croatia_2001,0,2,152,Parliament,parliament,NNP,NN
146,Croatia_2001,0,2,153,of,of,IN,IN
147,Croatia_2001,0,2,154,1848,1848,CD,CD
148,Croatia_2001,0,2,155,regarding,regarding,VBG,VB
149,Croatia_2001,0,2,156,the,the,DT,DT
150,Croatia_2001,0,2,157,restoration,restoration,NN,NN
151,Croatia_2001,0,2,158,of,of,IN,IN
152,Croatia_2001,0,2,159,the,the,DT,DT
153,Croatia_2001,0,2,160,Triune,triune,NNP,NN
154,Croatia_2001,0,2,161,Kingdom,kingdom,NNP,NN
155,Croatia_2001,0,2,162,of,of,IN,IN
156,Croatia_2001,0,2,163,Croatia,croatia,NNP,NN
157,Croatia_2001,0,2,164,under,under,IN,IN
158,Croatia_2001,0,2,165,the,the,DT,DT
159,Croatia_2001,0,2,166,authority,authority,NN,NN
160,Croatia_2001,0,2,167,of,of,IN,IN
161,Croatia_2001,0,2,168,the,the,DT,DT
162,Croatia_2001,0,2,169,Banus,banus,NNP,NN
163,Croatia_2001,0,2,170,grounded,grounded,VBD,VB
164,Croatia_2001,0,2,171,on,on,IN,IN
165,Croatia_2001,0,2,172,the,the,DT,DT
166,Croatia_2001,0,2,173,historical,historical,JJ,JJ
167,Croatia_2001,0,2,175,national,national,JJ,JJ
168,Croatia_2001,0,2,176,and,and,CC,CC
169,Croatia_2001,0,2,177,natural,natural,JJ,JJ
170,Croatia_2001,0,2,178,right,right,NN,NN
171,Croatia_2001,0,2,179,of,of,IN,IN
172,Croatia_2001,0,2,180,the,the,DT,DT
173,Croatia_2001,0,2,181,Croatian,croatian,JJ,JJ
174,Croatia_2001,0,2,182,nation,nation,NN,NN
175,Croatia_2001,0,2,184,The,the,DT,DT
176,Croatia_2001,0,2,185,Croatian-Hungarian,croatianhungarian,JJ,JJ
177,Croatia_2001,0,2,186,Compromise,compromise,NN,NN
178,Croatia_2001,0,2,187,of,of,IN,IN
179,Croatia_2001,0,2,188,1868,1868,CD,CD
180,Croatia_2001,0,2,189,on,on,IN,IN
181,Croatia_2001,0,2,190,the,the,DT,DT
182,Croatia_2001,0,2,191,relations,relations,NNS,NN
183,Croatia_2001,0,2,192,between,between,IN,IN
184,Croatia_2001,0,2,193,the,the,DT,DT
185,Croatia_2001,0,2,194,Kingdom,kingdom,NNP,NN
186,Croatia_2001,0,2,195,of,of,IN,IN
187,Croatia_2001,0,2,196,Dalmatia,dalmatia,NNP,NN
188,Croatia_2001,0,2,198,Croatia,croatia,NNP,NN
189,Croatia_2001,0,2,199,and,and,CC,CC
190,Croatia_2001,0,2,200,Slavonia,slavonia,NNP,NN
191,Croatia_2001,0,2,201,and,and,CC,CC
192,Croatia_2001,0,2,202,the,the,DT,DT
193,Croatia_2001,0,2,203,Kingdom,kingdom,NNP,NN
194,Croatia_2001,0,2,204,of,of,IN,IN
195,Croatia_2001,0,2,205,Hungary,hungary,NNP,NN
196,Croatia_2001,0,2,207,grounded,grounded,VBD,VB
197,Croatia_2001,0,2,208,on,on,IN,IN
198,Croatia_2001,0,2,209,the,the,DT,DT
199,Croatia_2001,0,2,210,legal,legal,JJ,JJ
200,Croatia_2001,0,2,211,traditions,traditions,NNS,NN
201,Croatia_2001,0,2,212,of,of,IN,IN
202,Croatia_2001,0,2,213,both,both,DT,DT
203,Croatia_2001,0,2,214,states,states,NNS,NN
204,Croatia_2001,0,2,215,and,and,CC,CC
205,Croatia_2001,0,2,216,the,the,DT,DT
206,Croatia_2001,0,2,217,Pragmatic,pragmatic,NNP,NN
207,Croatia_2001,0,2,218,Sanction,sanction,NNP,NN
208,Croatia_2001,0,2,219,of,of,IN,IN
209,Croatia_2001,0,2,220,1712,1712,CD,CD
210,Croatia_2001,0,2,222,The,the,DT,DT
211,Croatia_2001,0,2,223,decision,decision,NN,NN
212,Croatia_2001,0,2,224,of,of,IN,IN
213,Croatia_2001,0,2,225,the,the,DT,DT
