,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Denmark_1953,0,0,0,Denmark,denmark,NN,NN
1,Denmark_1953,0,0,1,1953,1953,CD,CD
2,Denmark_1953,0,0,2,Part,part,NNP,NN
3,Denmark_1953,0,0,3,I,i,PRP,PR
4,Denmark_1953,0,0,4,Share,share,VBP,VB
5,Denmark_1953,0,0,5,1,1,CD,CD
6,Denmark_1953,0,1,0,This,this,DT,DT
7,Denmark_1953,0,1,1,Constitution,constitution,NNP,NN
8,Denmark_1953,0,1,2,Act,act,NNP,NN
9,Denmark_1953,0,1,3,shall,shall,MD,MD
10,Denmark_1953,0,1,4,apply,apply,VB,VB
11,Denmark_1953,0,1,5,to,to,TO,TO
12,Denmark_1953,0,1,6,all,all,DT,DT
13,Denmark_1953,0,1,7,parts,parts,NNS,NN
14,Denmark_1953,0,1,8,of,of,IN,IN
15,Denmark_1953,0,1,9,the,the,DT,DT
16,Denmark_1953,0,1,10,Kingdom,kingdom,NNP,NN
17,Denmark_1953,0,1,11,of,of,IN,IN
18,Denmark_1953,0,1,12,Denmark,denmark,NNP,NN
19,Denmark_1953,0,2,0,2,2,CD,CD
20,Denmark_1953,0,3,0,The,the,DT,DT
21,Denmark_1953,0,3,1,form,form,NN,NN
22,Denmark_1953,0,3,2,of,of,IN,IN
23,Denmark_1953,0,3,3,government,government,NN,NN
24,Denmark_1953,0,3,4,shall,shall,MD,MD
25,Denmark_1953,0,3,5,be,be,VB,VB
26,Denmark_1953,0,3,6,that,that,IN,IN
27,Denmark_1953,0,3,7,of,of,IN,IN
28,Denmark_1953,0,3,8,a,a,DT,DT
29,Denmark_1953,0,3,9,constitutional,constitutional,JJ,JJ
30,Denmark_1953,0,3,10,monarchy,monarchy,NN,NN
31,Denmark_1953,0,4,0,The,the,DT,DT
32,Denmark_1953,0,4,1,Royal,royal,NNP,NN
33,Denmark_1953,0,4,2,Power,power,NNP,NN
34,Denmark_1953,0,4,3,shall,shall,MD,MD
35,Denmark_1953,0,4,4,be,be,VB,VB
36,Denmark_1953,0,4,5,inherited,inherited,VBN,VB
37,Denmark_1953,0,4,6,by,by,IN,IN
38,Denmark_1953,0,4,7,men,men,NNS,NN
39,Denmark_1953,0,4,8,and,and,CC,CC
40,Denmark_1953,0,4,9,women,women,NNS,NN
41,Denmark_1953,0,4,10,in,in,IN,IN
42,Denmark_1953,0,4,11,accordance,accordance,NN,NN
43,Denmark_1953,0,4,12,with,with,IN,IN
44,Denmark_1953,0,4,13,the,the,DT,DT
45,Denmark_1953,0,4,14,provisions,provisions,NNS,NN
46,Denmark_1953,0,4,15,of,of,IN,IN
47,Denmark_1953,0,4,16,the,the,DT,DT
48,Denmark_1953,0,4,17,Succession,succession,NNP,NN
49,Denmark_1953,0,4,18,to,to,TO,TO
50,Denmark_1953,0,4,19,the,the,DT,DT
51,Denmark_1953,0,4,20,Throne,throne,NNP,NN
52,Denmark_1953,0,4,21,Act,act,NNP,NN
53,Denmark_1953,0,4,23,27th,27th,CD,CD
54,Denmark_1953,0,4,24,March,march,NNP,NN
55,Denmark_1953,0,4,26,1953,1953,CD,CD
56,Denmark_1953,0,5,0,3,3,CD,CD
57,Denmark_1953,0,6,0,The,the,DT,DT
58,Denmark_1953,0,6,1,legislative,legislative,JJ,JJ
59,Denmark_1953,0,6,2,power,power,NN,NN
60,Denmark_1953,0,6,3,shall,shall,MD,MD
61,Denmark_1953,0,6,4,be,be,VB,VB
62,Denmark_1953,0,6,5,vested,vested,VBN,VB
63,Denmark_1953,0,6,6,in,in,IN,IN
64,Denmark_1953,0,6,7,the,the,DT,DT
65,Denmark_1953,0,6,8,King,king,NNP,NN
66,Denmark_1953,0,6,9,and,and,CC,CC
67,Denmark_1953,0,6,10,the,the,DT,DT
68,Denmark_1953,0,6,11,Folketing,folketing,NNP,NN
69,Denmark_1953,0,6,12,conjointly,conjointly,RB,RB
70,Denmark_1953,0,7,0,The,the,DT,DT
71,Denmark_1953,0,7,1,executive,executive,NN,NN
72,Denmark_1953,0,7,2,power,power,NN,NN
73,Denmark_1953,0,7,3,shall,shall,MD,MD
74,Denmark_1953,0,7,4,be,be,VB,VB
75,Denmark_1953,0,7,5,vested,vested,VBN,VB
76,Denmark_1953,0,7,6,in,in,IN,IN
77,Denmark_1953,0,7,7,the,the,DT,DT
78,Denmark_1953,0,7,8,King,king,NNP,NN
79,Denmark_1953,0,8,0,The,the,DT,DT
80,Denmark_1953,0,8,1,judicial,judicial,JJ,JJ
81,Denmark_1953,0,8,2,power,power,NN,NN
82,Denmark_1953,0,8,3,shall,shall,MD,MD
83,Denmark_1953,0,8,4,be,be,VB,VB
84,Denmark_1953,0,8,5,vested,vested,VBN,VB
85,Denmark_1953,0,8,6,in,in,IN,IN
86,Denmark_1953,0,8,7,the,the,DT,DT
87,Denmark_1953,0,8,8,courts,courts,NNS,NN
88,Denmark_1953,0,8,9,of,of,IN,IN
89,Denmark_1953,0,8,10,justice,justice,NN,NN
90,Denmark_1953,0,9,0,4,4,CD,CD
91,Denmark_1953,0,10,0,The,the,DT,DT
92,Denmark_1953,0,10,1,Evangelical,evangelical,NNP,NN
93,Denmark_1953,0,10,2,Lutheran,lutheran,NNP,NN
94,Denmark_1953,0,10,3,Church,church,NNP,NN
95,Denmark_1953,0,10,4,shall,shall,MD,MD
96,Denmark_1953,0,10,5,be,be,VB,VB
97,Denmark_1953,0,10,6,the,the,DT,DT
98,Denmark_1953,0,10,7,Established,established,NNP,NN
99,Denmark_1953,0,10,8,Church,church,NNP,NN
100,Denmark_1953,0,10,9,of,of,IN,IN
101,Denmark_1953,0,10,10,Denmark,denmark,NNP,NN
102,Denmark_1953,0,10,12,and,and,CC,CC
103,Denmark_1953,0,10,14,as,as,IN,IN
104,Denmark_1953,0,10,15,such,such,JJ,JJ
105,Denmark_1953,0,10,17,it,it,PRP,PR
106,Denmark_1953,0,10,18,shall,shall,MD,MD
107,Denmark_1953,0,10,19,be,be,VB,VB
108,Denmark_1953,0,10,20,supported,supported,VBN,VB
109,Denmark_1953,0,10,21,by,by,IN,IN
110,Denmark_1953,0,10,22,the,the,DT,DT
111,Denmark_1953,0,10,23,State,state,NNP,NN
112,Denmark_1953,0,11,0,Part,part,NN,NN
113,Denmark_1953,0,11,1,II,ii,NNP,NN
114,Denmark_1953,0,11,2,Share,share,NNP,NN
115,Denmark_1953,0,11,3,5,5,CD,CD
116,Denmark_1953,0,12,0,The,the,DT,DT
117,Denmark_1953,0,12,1,King,king,NNP,NN
118,Denmark_1953,0,12,2,shall,shall,MD,MD
119,Denmark_1953,0,12,3,not,not,RB,RB
120,Denmark_1953,0,12,4,reign,reign,VB,VB
121,Denmark_1953,0,12,5,in,in,IN,IN
122,Denmark_1953,0,12,6,other,other,JJ,JJ
123,Denmark_1953,0,12,7,countries,countries,NNS,NN
124,Denmark_1953,0,12,8,except,except,IN,IN
125,Denmark_1953,0,12,9,with,with,IN,IN
126,Denmark_1953,0,12,10,the,the,DT,DT
127,Denmark_1953,0,12,11,consent,consent,NN,NN
128,Denmark_1953,0,12,12,of,of,IN,IN
129,Denmark_1953,0,12,13,the,the,DT,DT
130,Denmark_1953,0,12,14,Folketing,folketing,NNP,NN
131,Denmark_1953,0,13,0,6,6,CD,CD
132,Denmark_1953,0,14,0,The,the,DT,DT
133,Denmark_1953,0,14,1,King,king,NNP,NN
134,Denmark_1953,0,14,2,shall,shall,MD,MD
135,Denmark_1953,0,14,3,be,be,VB,VB
136,Denmark_1953,0,14,4,a,a,DT,DT
137,Denmark_1953,0,14,5,member,member,NN,NN
138,Denmark_1953,0,14,6,of,of,IN,IN
139,Denmark_1953,0,14,7,the,the,DT,DT
140,Denmark_1953,0,14,8,Evangelical,evangelical,NNP,NN
141,Denmark_1953,0,14,9,Lutheran,lutheran,NNP,NN
142,Denmark_1953,0,14,10,Church,church,NNP,NN
143,Denmark_1953,0,15,0,7,7,CD,CD
144,Denmark_1953,0,16,0,The,the,DT,DT
145,Denmark_1953,0,16,1,King,king,NNP,NN
146,Denmark_1953,0,16,2,shall,shall,MD,MD
147,Denmark_1953,0,16,3,be,be,VB,VB
148,Denmark_1953,0,16,4,of,of,IN,IN
149,Denmark_1953,0,16,5,age,age,NN,NN
150,Denmark_1953,0,16,6,when,when,WRB,WR
151,Denmark_1953,0,16,7,he,he,PRP,PR
152,Denmark_1953,0,16,8,has,has,VBZ,VB
153,Denmark_1953,0,16,9,completed,completed,VBN,VB
154,Denmark_1953,0,16,11,his,his,PRP$,PR
