,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Djibouti_2010,0,0,0,Djibouti,djibouti,NN,NN
1,Djibouti_2010,0,0,1,1992,1992,CD,CD
2,Djibouti_2010,0,0,3,rev,rev,NN,NN
3,Djibouti_2010,0,1,0,2010,2010,CD,CD
4,Djibouti_2010,0,1,2,Preamble,preamble,JJ,JJ
5,Djibouti_2010,0,1,3,Share,share,NN,NN
6,Djibouti_2010,0,1,4,In,in,IN,IN
7,Djibouti_2010,0,1,5,the,the,DT,DT
8,Djibouti_2010,0,1,6,name,name,NN,NN
9,Djibouti_2010,0,1,7,of,of,IN,IN
10,Djibouti_2010,0,1,8,God,god,NNP,NN
11,Djibouti_2010,0,1,9,All-Powerful,allpowerful,NNP,NN
12,Djibouti_2010,0,1,10,The,the,DT,DT
13,Djibouti_2010,0,1,11,Djiboutian,djiboutian,JJ,JJ
14,Djibouti_2010,0,1,12,People,people,NNP,NN
15,Djibouti_2010,0,1,13,solemnly,solemnly,RB,RB
16,Djibouti_2010,0,1,14,proclaim,proclaim,VBP,VB
17,Djibouti_2010,0,1,15,their,their,PRP$,PR
18,Djibouti_2010,0,1,16,attachment,attachment,NN,NN
19,Djibouti_2010,0,1,17,to,to,TO,TO
20,Djibouti_2010,0,1,18,the,the,DT,DT
21,Djibouti_2010,0,1,19,principles,principles,NNS,NN
22,Djibouti_2010,0,1,20,of,of,IN,IN
23,Djibouti_2010,0,1,21,Democracy,democracy,NNP,NN
24,Djibouti_2010,0,1,22,and,and,CC,CC
25,Djibouti_2010,0,1,23,of,of,IN,IN
26,Djibouti_2010,0,1,24,the,the,DT,DT
27,Djibouti_2010,0,1,25,Rights,rights,NNPS,NN
28,Djibouti_2010,0,1,26,of,of,IN,IN
29,Djibouti_2010,0,1,27,Man,man,NNP,NN
30,Djibouti_2010,0,1,28,as,as,IN,IN
31,Djibouti_2010,0,1,29,they,they,PRP,PR
32,Djibouti_2010,0,1,30,are,are,VBP,VB
33,Djibouti_2010,0,1,31,defined,defined,VBN,VB
34,Djibouti_2010,0,1,32,by,by,IN,IN
35,Djibouti_2010,0,1,33,the,the,DT,DT
36,Djibouti_2010,0,1,34,Universal,universal,NNP,NN
37,Djibouti_2010,0,1,35,Declaration,declaration,NNP,NN
38,Djibouti_2010,0,1,36,of,of,IN,IN
39,Djibouti_2010,0,1,37,the,the,DT,DT
40,Djibouti_2010,0,1,38,Rights,rights,NNPS,NN
41,Djibouti_2010,0,1,39,of,of,IN,IN
42,Djibouti_2010,0,1,40,Man,man,NNP,NN
43,Djibouti_2010,0,1,41,and,and,CC,CC
44,Djibouti_2010,0,1,42,by,by,IN,IN
45,Djibouti_2010,0,1,43,the,the,DT,DT
46,Djibouti_2010,0,1,44,African,african,NNP,NN
47,Djibouti_2010,0,1,45,Charter,charter,NNP,NN
48,Djibouti_2010,0,1,46,of,of,IN,IN
49,Djibouti_2010,0,1,47,the,the,DT,DT
50,Djibouti_2010,0,1,48,Rights,rights,NNPS,NN
51,Djibouti_2010,0,1,49,of,of,IN,IN
52,Djibouti_2010,0,1,50,Man,man,NNP,NN
53,Djibouti_2010,0,1,51,and,and,CC,CC
54,Djibouti_2010,0,1,52,of,of,IN,IN
55,Djibouti_2010,0,1,53,Peoples,peoples,NNP,NN
56,Djibouti_2010,0,1,55,of,of,IN,IN
57,Djibouti_2010,0,1,56,which,which,WDT,WD
58,Djibouti_2010,0,1,57,the,the,DT,DT
59,Djibouti_2010,0,1,58,provisions,provisions,NNS,NN
60,Djibouti_2010,0,1,59,form,form,VBP,VB
61,Djibouti_2010,0,1,60,an,an,DT,DT
62,Djibouti_2010,0,1,61,integral,integral,JJ,JJ
63,Djibouti_2010,0,1,62,part,part,NN,NN
64,Djibouti_2010,0,1,63,of,of,IN,IN
65,Djibouti_2010,0,1,64,this,this,DT,DT
66,Djibouti_2010,0,1,65,Constitution,constitution,NNP,NN
67,Djibouti_2010,0,2,0,They,they,PRP,PR
68,Djibouti_2010,0,2,1,affirm,affirm,VBP,VB
69,Djibouti_2010,0,2,2,their,their,PRP$,PR
70,Djibouti_2010,0,2,3,determination,determination,NN,NN
71,Djibouti_2010,0,2,4,to,to,TO,TO
72,Djibouti_2010,0,2,5,establish,establish,VB,VB
73,Djibouti_2010,0,2,6,a,a,DT,DT
74,Djibouti_2010,0,2,7,State,state,NNP,NN
75,Djibouti_2010,0,2,8,of,of,IN,IN
76,Djibouti_2010,0,2,9,Law,law,NNP,NN
77,Djibouti_2010,0,2,10,and,and,CC,CC
78,Djibouti_2010,0,2,11,of,of,IN,IN
79,Djibouti_2010,0,2,12,Pluralist,pluralist,NNP,NN
80,Djibouti_2010,0,2,13,Democracy,democracy,NNP,NN
81,Djibouti_2010,0,2,14,guaranteeing,guaranteeing,VBG,VB
82,Djibouti_2010,0,2,15,the,the,DT,DT
83,Djibouti_2010,0,2,16,full,full,JJ,JJ
84,Djibouti_2010,0,2,17,enjoyment,enjoyment,NN,NN
85,Djibouti_2010,0,2,18,of,of,IN,IN
86,Djibouti_2010,0,2,19,the,the,DT,DT
87,Djibouti_2010,0,2,20,individual,individual,NN,NN
88,Djibouti_2010,0,2,21,and,and,CC,CC
89,Djibouti_2010,0,2,22,collective,collective,JJ,JJ
90,Djibouti_2010,0,2,23,rights,rights,NNS,NN
91,Djibouti_2010,0,2,24,and,and,CC,CC
92,Djibouti_2010,0,2,25,freedoms,freedoms,NNS,NN
93,Djibouti_2010,0,2,26,as,as,RB,RB
94,Djibouti_2010,0,2,27,well,well,RB,RB
95,Djibouti_2010,0,2,28,as,as,IN,IN
96,Djibouti_2010,0,2,29,the,the,DT,DT
97,Djibouti_2010,0,2,30,harmonious,harmonious,JJ,JJ
98,Djibouti_2010,0,2,31,development,development,NN,NN
99,Djibouti_2010,0,2,32,of,of,IN,IN
100,Djibouti_2010,0,2,33,the,the,DT,DT
101,Djibouti_2010,0,2,34,national,national,JJ,JJ
102,Djibouti_2010,0,2,35,community,community,NN,NN
103,Djibouti_2010,0,3,0,They,they,PRP,PR
104,Djibouti_2010,0,3,1,affirm,affirm,VBP,VB
105,Djibouti_2010,0,3,2,their,their,PRP$,PR
106,Djibouti_2010,0,3,3,will,will,MD,MD
107,Djibouti_2010,0,3,4,to,to,TO,TO
