,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Dominica_1984,0,0,0,Dominica,dominica,NN,NN
1,Dominica_1984,0,0,1,1978,1978,CD,CD
2,Dominica_1984,0,0,3,rev,rev,NN,NN
3,Dominica_1984,0,1,0,1984,1984,CD,CD
4,Dominica_1984,0,1,2,Preamble,preamble,NNP,NN
5,Dominica_1984,0,1,3,Share,share,NNP,NN
6,Dominica_1984,0,1,4,Whereas,whereas,NNP,NN
7,Dominica_1984,0,1,5,the,the,DT,DT
8,Dominica_1984,0,1,6,People,people,NNP,NN
9,Dominica_1984,0,1,7,of,of,IN,IN
10,Dominica_1984,0,1,8,Dominica,dominica,NNP,NN
11,Dominica_1984,0,1,10,a.have,ahave,VBP,VB
12,Dominica_1984,0,1,11,affirmed,affirmed,VBN,VB
13,Dominica_1984,0,1,12,that,that,IN,IN
14,Dominica_1984,0,1,13,the,the,DT,DT
15,Dominica_1984,0,1,14,Commonwealth,commonwealth,NNP,NN
16,Dominica_1984,0,1,15,of,of,IN,IN
17,Dominica_1984,0,1,16,Dominica,dominica,NNP,NN
18,Dominica_1984,0,1,17,is,is,VBZ,VB
19,Dominica_1984,0,1,18,founded,founded,VBN,VB
20,Dominica_1984,0,1,19,upon,upon,IN,IN
21,Dominica_1984,0,1,20,principles,principles,NNS,NN
22,Dominica_1984,0,1,21,that,that,WDT,WD
23,Dominica_1984,0,1,22,acknowledge,acknowledge,VBP,VB
24,Dominica_1984,0,1,23,the,the,DT,DT
25,Dominica_1984,0,1,24,supremacy,supremacy,NN,NN
26,Dominica_1984,0,1,25,of,of,IN,IN
27,Dominica_1984,0,1,26,God,god,NNP,NN
28,Dominica_1984,0,1,28,faith,faith,NN,NN
29,Dominica_1984,0,1,29,in,in,IN,IN
30,Dominica_1984,0,1,30,fundamental,fundamental,JJ,JJ
31,Dominica_1984,0,1,31,human,human,JJ,JJ
32,Dominica_1984,0,1,32,rights,rights,NNS,NN
33,Dominica_1984,0,1,33,and,and,CC,CC
34,Dominica_1984,0,1,34,freedoms,freedoms,NNS,NN
35,Dominica_1984,0,1,36,the,the,DT,DT
36,Dominica_1984,0,1,37,position,position,NN,NN
37,Dominica_1984,0,1,38,of,of,IN,IN
38,Dominica_1984,0,1,39,the,the,DT,DT
39,Dominica_1984,0,1,40,family,family,NN,NN
40,Dominica_1984,0,1,41,in,in,IN,IN
41,Dominica_1984,0,1,42,a,a,DT,DT
42,Dominica_1984,0,1,43,society,society,NN,NN
43,Dominica_1984,0,1,44,of,of,IN,IN
44,Dominica_1984,0,1,45,free,free,JJ,JJ
45,Dominica_1984,0,1,46,men,men,NNS,NN
46,Dominica_1984,0,1,47,and,and,CC,CC
47,Dominica_1984,0,1,48,free,free,JJ,JJ
48,Dominica_1984,0,1,49,institutions,institutions,NNS,NN
49,Dominica_1984,0,1,51,the,the,DT,DT
50,Dominica_1984,0,1,52,dignity,dignity,NN,NN
51,Dominica_1984,0,1,53,of,of,IN,IN
52,Dominica_1984,0,1,54,the,the,DT,DT
53,Dominica_1984,0,1,55,human,human,JJ,JJ
54,Dominica_1984,0,1,56,person,person,NN,NN
55,Dominica_1984,0,1,58,and,and,CC,CC
56,Dominica_1984,0,1,59,the,the,DT,DT
57,Dominica_1984,0,1,60,equal,equal,JJ,JJ
58,Dominica_1984,0,1,61,and,and,CC,CC
59,Dominica_1984,0,1,62,inalienable,inalienable,JJ,JJ
60,Dominica_1984,0,1,63,rights,rights,NNS,NN
61,Dominica_1984,0,1,64,with,with,IN,IN
62,Dominica_1984,0,1,65,which,which,WDT,WD
63,Dominica_1984,0,1,66,all,all,DT,DT
64,Dominica_1984,0,1,67,members,members,NNS,NN
65,Dominica_1984,0,1,68,of,of,IN,IN
66,Dominica_1984,0,1,69,the,the,DT,DT
67,Dominica_1984,0,1,70,human,human,JJ,JJ
68,Dominica_1984,0,1,71,family,family,NN,NN
69,Dominica_1984,0,1,72,are,are,VBP,VB
70,Dominica_1984,0,1,73,endowed,endowed,VBN,VB
71,Dominica_1984,0,1,74,by,by,IN,IN
72,Dominica_1984,0,1,75,their,their,PRP$,PR
73,Dominica_1984,0,1,76,Creator,creator,NN,NN
74,Dominica_1984,0,1,78,b.respect,brespect,VB,VB
75,Dominica_1984,0,1,79,the,the,DT,DT
76,Dominica_1984,0,1,80,principles,principles,NNS,NN
77,Dominica_1984,0,1,81,of,of,IN,IN
78,Dominica_1984,0,1,82,social,social,JJ,JJ
79,Dominica_1984,0,1,83,justice,justice,NN,NN
80,Dominica_1984,0,1,84,and,and,CC,CC
81,Dominica_1984,0,1,85,therefore,therefore,RB,RB
82,Dominica_1984,0,1,86,believe,believe,VB,VB
83,Dominica_1984,0,1,87,that,that,IN,IN
84,Dominica_1984,0,1,88,the,the,DT,DT
