,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Egypt_2014,0,0,0,Egypt,egypt,NN,NN
1,Egypt_2014,0,0,1,2014,2014,CD,CD
2,Egypt_2014,0,0,2,Preamble,preamble,NNP,NN
3,Egypt_2014,0,0,3,Share,share,NNP,NN
4,Egypt_2014,0,0,4,In,in,IN,IN
5,Egypt_2014,0,0,5,the,the,DT,DT
6,Egypt_2014,0,0,6,Name,name,NN,NN
7,Egypt_2014,0,0,7,of,of,IN,IN
8,Egypt_2014,0,0,8,God,god,NNP,NN
9,Egypt_2014,0,0,10,Most,most,NNP,NN
10,Egypt_2014,0,0,11,Gracious,gracious,NNP,NN
11,Egypt_2014,0,0,13,Most,most,JJS,JJ
12,Egypt_2014,0,0,14,Merciful,merciful,JJ,JJ
13,Egypt_2014,0,0,15,This,this,DT,DT
14,Egypt_2014,0,0,16,is,is,VBZ,VB
15,Egypt_2014,0,0,17,Our,our,PRP$,PR
16,Egypt_2014,0,0,18,Constitution,constitution,NN,NN
17,Egypt_2014,0,0,19,Egypt,egypt,NNP,NN
18,Egypt_2014,0,0,20,is,is,VBZ,VB
19,Egypt_2014,0,0,21,the,the,DT,DT
20,Egypt_2014,0,0,22,gift,gift,NN,NN
21,Egypt_2014,0,0,23,of,of,IN,IN
22,Egypt_2014,0,0,24,the,the,DT,DT
23,Egypt_2014,0,0,25,Nile,nile,NNP,NN
24,Egypt_2014,0,0,26,and,and,CC,CC
25,Egypt_2014,0,0,27,the,the,DT,DT
26,Egypt_2014,0,0,28,gift,gift,NN,NN
27,Egypt_2014,0,0,29,of,of,IN,IN
28,Egypt_2014,0,0,30,Egyptians,egyptians,NNPS,NN
29,Egypt_2014,0,0,31,to,to,TO,TO
30,Egypt_2014,0,0,32,humanity,humanity,NN,NN
31,Egypt_2014,0,1,0,Blessed,blessed,VBN,VB
32,Egypt_2014,0,1,1,with,with,IN,IN
33,Egypt_2014,0,1,2,a,a,DT,DT
34,Egypt_2014,0,1,3,unique,unique,JJ,JJ
35,Egypt_2014,0,1,4,location,location,NN,NN
36,Egypt_2014,0,1,5,and,and,CC,CC
37,Egypt_2014,0,1,6,history,history,NN,NN
38,Egypt_2014,0,1,8,the,the,DT,DT
39,Egypt_2014,0,1,9,Arab,arab,JJ,JJ
40,Egypt_2014,0,1,10,nation,nation,NN,NN
41,Egypt_2014,0,1,11,of,of,IN,IN
42,Egypt_2014,0,1,12,Egypt,egypt,NNP,NN
43,Egypt_2014,0,1,13,is,is,VBZ,VB
44,Egypt_2014,0,1,14,the,the,DT,DT
45,Egypt_2014,0,1,15,heart,heart,NN,NN
46,Egypt_2014,0,1,16,of,of,IN,IN
47,Egypt_2014,0,1,17,the,the,DT,DT
48,Egypt_2014,0,1,18,whole,whole,JJ,JJ
49,Egypt_2014,0,1,19,world,world,NN,NN
50,Egypt_2014,0,2,0,It,it,PRP,PR
51,Egypt_2014,0,2,1,is,is,VBZ,VB
52,Egypt_2014,0,2,2,the,the,DT,DT
53,Egypt_2014,0,2,3,meeting,meeting,NN,NN
54,Egypt_2014,0,2,4,point,point,NN,NN
55,Egypt_2014,0,2,5,of,of,IN,IN
56,Egypt_2014,0,2,6,its,its,PRP$,PR
57,Egypt_2014,0,2,7,civilizations,civilizations,NNS,NN
58,Egypt_2014,0,2,8,and,and,CC,CC
59,Egypt_2014,0,2,9,cultures,cultures,NNS,NN
60,Egypt_2014,0,2,10,and,and,CC,CC
61,Egypt_2014,0,2,11,the,the,DT,DT
62,Egypt_2014,0,2,12,crossroads,crossroads,NNS,NN
63,Egypt_2014,0,2,13,of,of,IN,IN
64,Egypt_2014,0,2,14,its,its,PRP$,PR
65,Egypt_2014,0,2,15,maritime,maritime,JJ,JJ
66,Egypt_2014,0,2,16,transportation,transportation,NN,NN
67,Egypt_2014,0,2,17,and,and,CC,CC
68,Egypt_2014,0,2,18,communications,communications,NNS,NN
69,Egypt_2014,0,3,0,It,it,PRP,PR
70,Egypt_2014,0,3,1,is,is,VBZ,VB
71,Egypt_2014,0,3,2,the,the,DT,DT
72,Egypt_2014,0,3,3,tip,tip,NN,NN
73,Egypt_2014,0,3,4,of,of,IN,IN
74,Egypt_2014,0,3,5,Africa,africa,NNP,NN
75,Egypt_2014,0,3,6,on,on,IN,IN
76,Egypt_2014,0,3,7,the,the,DT,DT
77,Egypt_2014,0,3,8,Mediterranean,mediterranean,NNP,NN
78,Egypt_2014,0,3,9,and,and,CC,CC
79,Egypt_2014,0,3,10,the,the,DT,DT
80,Egypt_2014,0,3,11,estuary,estuary,NN,NN
81,Egypt_2014,0,3,12,of,of,IN,IN
82,Egypt_2014,0,3,13,its,its,PRP$,PR
83,Egypt_2014,0,3,14,greatest,greatest,JJS,JJ
84,Egypt_2014,0,3,15,river,river,NN,NN
85,Egypt_2014,0,3,17,the,the,DT,DT
86,Egypt_2014,0,3,18,Nile,nile,NNP,NN
87,Egypt_2014,0,4,0,This,this,DT,DT
88,Egypt_2014,0,4,1,is,is,VBZ,VB
89,Egypt_2014,0,4,2,Egypt,egypt,NNP,NN
90,Egypt_2014,0,4,4,an,an,DT,DT
91,Egypt_2014,0,4,5,immortal,immortal,JJ,JJ
92,Egypt_2014,0,4,6,homeland,homeland,NN,NN
93,Egypt_2014,0,4,7,to,to,TO,TO
94,Egypt_2014,0,4,8,Egyptians,egyptians,NNPS,NN
95,Egypt_2014,0,4,10,and,and,CC,CC
96,Egypt_2014,0,4,11,a,a,DT,DT
