,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Equatorial_Guinea_1995,0,0,0,Equatorial,equatorial,JJ,JJ
1,Equatorial_Guinea_1995,0,0,1,Guinea,guinea,NN,NN
2,Equatorial_Guinea_1995,0,0,2,1991,1991,CD,CD
3,Equatorial_Guinea_1995,0,0,4,rev,rev,NN,NN
4,Equatorial_Guinea_1995,0,1,0,1995,1995,CD,CD
5,Equatorial_Guinea_1995,0,1,2,Preamble,preamble,JJ,JJ
6,Equatorial_Guinea_1995,0,1,3,Share,share,NN,NN
7,Equatorial_Guinea_1995,0,1,4,We,we,PRP,PR
8,Equatorial_Guinea_1995,0,1,6,the,the,DT,DT
9,Equatorial_Guinea_1995,0,1,7,people,people,NNS,NN
10,Equatorial_Guinea_1995,0,1,8,of,of,IN,IN
11,Equatorial_Guinea_1995,0,1,9,Equatorial,equatorial,JJ,JJ
12,Equatorial_Guinea_1995,0,1,10,Guinea,guinea,NNP,NN
13,Equatorial_Guinea_1995,0,1,12,conscious,conscious,JJ,JJ
14,Equatorial_Guinea_1995,0,1,13,of,of,IN,IN
15,Equatorial_Guinea_1995,0,1,14,our,our,PRP$,PR
16,Equatorial_Guinea_1995,0,1,15,responsibility,responsibility,NN,NN
17,Equatorial_Guinea_1995,0,1,16,before,before,IN,IN
18,Equatorial_Guinea_1995,0,1,17,God,god,NNP,NN
19,Equatorial_Guinea_1995,0,1,18,and,and,CC,CC
20,Equatorial_Guinea_1995,0,1,19,history,history,NN,NN
21,Equatorial_Guinea_1995,0,1,21,Driven,driven,VBN,VB
22,Equatorial_Guinea_1995,0,1,22,by,by,IN,IN
23,Equatorial_Guinea_1995,0,1,23,the,the,DT,DT
24,Equatorial_Guinea_1995,0,1,24,will,will,MD,MD
25,Equatorial_Guinea_1995,0,1,25,to,to,TO,TO
26,Equatorial_Guinea_1995,0,1,26,safeguard,safeguard,VB,VB
27,Equatorial_Guinea_1995,0,1,27,our,our,PRP$,PR
28,Equatorial_Guinea_1995,0,1,28,independence,independence,NN,NN
29,Equatorial_Guinea_1995,0,1,30,organize,organize,VB,VB
30,Equatorial_Guinea_1995,0,1,31,and,and,CC,CC
31,Equatorial_Guinea_1995,0,1,32,consolidate,consolidate,VB,VB
32,Equatorial_Guinea_1995,0,1,33,our,our,PRP$,PR
33,Equatorial_Guinea_1995,0,1,34,national,national,JJ,JJ
34,Equatorial_Guinea_1995,0,1,35,unity,unity,NN,NN
