,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Eritrea_1997,0,0,0,Eritrea,eritrea,JJ,JJ
1,Eritrea_1997,0,0,1,1997,1997,CD,CD
2,Eritrea_1997,0,0,2,Preamble,preamble,JJ,JJ
3,Eritrea_1997,0,0,3,Share,share,NNP,NN
4,Eritrea_1997,0,0,4,We,we,PRP,PR
5,Eritrea_1997,0,0,6,the,the,DT,DT
6,Eritrea_1997,0,0,7,people,people,NNS,NN
7,Eritrea_1997,0,0,8,of,of,IN,IN
8,Eritrea_1997,0,0,9,Eritrea,eritrea,NNP,NN
9,Eritrea_1997,0,0,11,united,united,VBD,VB
10,Eritrea_1997,0,0,12,in,in,IN,IN
11,Eritrea_1997,0,0,13,a,a,DT,DT
12,Eritrea_1997,0,0,14,common,common,JJ,JJ
13,Eritrea_1997,0,0,15,struggle,struggle,NN,NN
14,Eritrea_1997,0,0,16,for,for,IN,IN
15,Eritrea_1997,0,0,17,our,our,PRP$,PR
16,Eritrea_1997,0,0,18,rights,rights,NNS,NN
17,Eritrea_1997,0,0,19,and,and,CC,CC
18,Eritrea_1997,0,0,20,common,common,JJ,JJ
19,Eritrea_1997,0,0,21,destiny,destiny,NN,NN
20,Eritrea_1997,0,0,23,With,with,IN,IN
21,Eritrea_1997,0,0,24,Eternal,eternal,NNP,NN
22,Eritrea_1997,0,0,25,Gratitude,gratitude,NNP,NN
23,Eritrea_1997,0,0,26,to,to,TO,TO
24,Eritrea_1997,0,0,27,the,the,DT,DT
25,Eritrea_1997,0,0,28,scores,scores,NNS,NN
26,Eritrea_1997,0,0,29,of,of,IN,IN
27,Eritrea_1997,0,0,30,thousands,thousands,NNS,NN
28,Eritrea_1997,0,0,31,of,of,IN,IN
29,Eritrea_1997,0,0,32,our,our,PRP$,PR
30,Eritrea_1997,0,0,33,martyrs,martyrs,NN,NN
31,Eritrea_1997,0,0,34,who,who,WP,WP
32,Eritrea_1997,0,0,35,sacrificed,sacrificed,VBD,VB
33,Eritrea_1997,0,0,36,their,their,PRP$,PR
34,Eritrea_1997,0,0,37,lives,lives,NNS,NN
35,Eritrea_1997,0,0,38,for,for,IN,IN
36,Eritrea_1997,0,0,39,the,the,DT,DT
37,Eritrea_1997,0,0,40,causes,causes,NNS,NN
38,Eritrea_1997,0,0,41,of,of,IN,IN
39,Eritrea_1997,0,0,42,our,our,PRP$,PR
40,Eritrea_1997,0,0,43,rights,rights,NNS,NN
41,Eritrea_1997,0,0,44,and,and,CC,CC
42,Eritrea_1997,0,0,45,independence,independence,NN,NN
43,Eritrea_1997,0,0,47,during,during,IN,IN
44,Eritrea_1997,0,0,48,the,the,DT,DT
45,Eritrea_1997,0,0,49,long,long,JJ,JJ
46,Eritrea_1997,0,0,50,and,and,CC,CC
47,Eritrea_1997,0,0,51,heroic,heroic,JJ,JJ
48,Eritrea_1997,0,0,52,revolutionary,revolutionary,JJ,JJ
49,Eritrea_1997,0,0,53,struggle,struggle,NN,NN
50,Eritrea_1997,0,0,54,for,for,IN,IN
51,Eritrea_1997,0,0,55,liberation,liberation,NN,NN
52,Eritrea_1997,0,0,57,and,and,CC,CC
53,Eritrea_1997,0,0,58,to,to,TO,TO
54,Eritrea_1997,0,0,59,the,the,DT,DT
55,Eritrea_1997,0,0,60,courage,courage,NN,NN
56,Eritrea_1997,0,0,61,and,and,CC,CC
57,Eritrea_1997,0,0,62,steadfastness,steadfastness,NN,NN
58,Eritrea_1997,0,0,63,of,of,IN,IN
59,Eritrea_1997,0,0,64,our,our,PRP$,PR
60,Eritrea_1997,0,0,65,Eritrean,eritrean,JJ,JJ
61,Eritrea_1997,0,0,66,patriots,patriots,NNS,NN
62,Eritrea_1997,0,0,68,and,and,CC,CC
63,Eritrea_1997,0,0,69,standing,standing,VBG,VB
64,Eritrea_1997,0,0,70,on,on,IN,IN
65,Eritrea_1997,0,0,71,the,the,DT,DT
66,Eritrea_1997,0,0,72,solid,solid,JJ,JJ
67,Eritrea_1997,0,0,73,ground,ground,NN,NN
68,Eritrea_1997,0,0,74,of,of,IN,IN
69,Eritrea_1997,0,0,75,unity,unity,NN,NN
70,Eritrea_1997,0,0,76,and,and,CC,CC
71,Eritrea_1997,0,0,77,justice,justice,NN,NN
72,Eritrea_1997,0,0,78,bequeathed,bequeathed,VBN,VB
73,Eritrea_1997,0,0,79,by,by,IN,IN
74,Eritrea_1997,0,0,80,our,our,PRP$,PR
75,Eritrea_1997,0,0,81,martyrs,martyrs,NN,NN
76,Eritrea_1997,0,0,82,and,and,CC,CC
77,Eritrea_1997,0,0,83,combatants,combatants,NNS,NN
78,Eritrea_1997,0,0,85,Aware,aware,NNP,NN
79,Eritrea_1997,0,0,86,that,that,IN,IN
