,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Finland_2011,0,0,0,Finland,finland,NN,NN
1,Finland_2011,0,0,1,1999,1999,CD,CD
2,Finland_2011,0,0,3,rev,rev,NN,NN
3,Finland_2011,0,1,0,2011,2011,CD,CD
4,Finland_2011,0,1,2,Chapter,chapter,NN,NN
5,Finland_2011,0,1,3,1,1,CD,CD
6,Finland_2011,0,2,0,Fundamental,fundamental,JJ,JJ
7,Finland_2011,0,2,1,provisions,provisions,NNS,NN
8,Finland_2011,0,2,2,Section,section,NN,NN
9,Finland_2011,0,2,3,1,1,CD,CD
10,Finland_2011,0,3,0,The,the,DT,DT
11,Finland_2011,0,3,1,Constitution,constitution,NNP,NN
12,Finland_2011,0,3,2,Share,share,NNP,NN
13,Finland_2011,0,3,3,Finland,finland,NNP,NN
14,Finland_2011,0,3,4,is,is,VBZ,VB
15,Finland_2011,0,3,5,a,a,DT,DT
16,Finland_2011,0,3,6,sovereign,sovereign,JJ,JJ
17,Finland_2011,0,3,7,republic,republic,NN,NN
18,Finland_2011,0,4,0,The,the,DT,DT
19,Finland_2011,0,4,1,constitution,constitution,NN,NN
20,Finland_2011,0,4,2,of,of,IN,IN
21,Finland_2011,0,4,3,Finland,finland,NNP,NN
22,Finland_2011,0,4,4,is,is,VBZ,VB
23,Finland_2011,0,4,5,established,established,VBN,VB
24,Finland_2011,0,4,6,in,in,IN,IN
25,Finland_2011,0,4,7,this,this,DT,DT
26,Finland_2011,0,4,8,constitutional,constitutional,JJ,JJ
27,Finland_2011,0,4,9,act,act,NN,NN
28,Finland_2011,0,5,0,The,the,DT,DT
29,Finland_2011,0,5,1,constitution,constitution,NN,NN
30,Finland_2011,0,5,2,shall,shall,MD,MD
31,Finland_2011,0,5,3,guarantee,guarantee,VB,VB
32,Finland_2011,0,5,4,the,the,DT,DT
33,Finland_2011,0,5,5,inviolability,inviolability,NN,NN
34,Finland_2011,0,5,6,of,of,IN,IN
35,Finland_2011,0,5,7,human,human,JJ,JJ
36,Finland_2011,0,5,8,dignity,dignity,NN,NN
37,Finland_2011,0,5,9,and,and,CC,CC
38,Finland_2011,0,5,10,the,the,DT,DT
39,Finland_2011,0,5,11,freedom,freedom,NN,NN
40,Finland_2011,0,5,12,and,and,CC,CC
41,Finland_2011,0,5,13,rights,rights,NNS,NN
42,Finland_2011,0,5,14,of,of,IN,IN
43,Finland_2011,0,5,15,the,the,DT,DT
44,Finland_2011,0,5,16,individual,individual,NN,NN
45,Finland_2011,0,5,17,and,and,CC,CC
46,Finland_2011,0,5,18,promote,promote,NN,NN
47,Finland_2011,0,5,19,justice,justice,NN,NN
48,Finland_2011,0,5,20,in,in,IN,IN
49,Finland_2011,0,5,21,society,society,NN,NN
50,Finland_2011,0,6,0,Finland,finland,NNP,NN
51,Finland_2011,0,6,1,participates,participates,VBZ,VB
52,Finland_2011,0,6,2,in,in,IN,IN
53,Finland_2011,0,6,3,international,international,JJ,JJ
54,Finland_2011,0,6,4,co-operation,cooperation,NN,NN
55,Finland_2011,0,6,5,for,for,IN,IN
56,Finland_2011,0,6,6,the,the,DT,DT
57,Finland_2011,0,6,7,protection,protection,NN,NN
58,Finland_2011,0,6,8,of,of,IN,IN
59,Finland_2011,0,6,9,peace,peace,NN,NN
60,Finland_2011,0,6,10,and,and,CC,CC
61,Finland_2011,0,6,11,human,human,JJ,JJ
62,Finland_2011,0,6,12,rights,rights,NNS,NN
63,Finland_2011,0,6,13,and,and,CC,CC
64,Finland_2011,0,6,14,for,for,IN,IN
65,Finland_2011,0,6,15,the,the,DT,DT
66,Finland_2011,0,6,16,development,development,NN,NN
67,Finland_2011,0,6,17,of,of,IN,IN
68,Finland_2011,0,6,18,society,society,NN,NN
69,Finland_2011,0,7,0,Finland,finland,NNP,NN
70,Finland_2011,0,7,1,is,is,VBZ,VB
71,Finland_2011,0,7,2,a,a,DT,DT
72,Finland_2011,0,7,3,Member,member,NNP,NN
73,Finland_2011,0,7,4,State,state,NNP,NN
74,Finland_2011,0,7,5,of,of,IN,IN
75,Finland_2011,0,7,6,the,the,DT,DT
76,Finland_2011,0,7,7,European,european,NNP,NN
77,Finland_2011,0,7,8,Union,union,NNP,NN
78,Finland_2011,0,7,10,1112/2011,11122011,CD,CD
79,Finland_2011,0,7,12,entry,entry,NN,NN
80,Finland_2011,0,7,13,into,into,IN,IN
81,Finland_2011,0,7,14,force,force,NN,NN
82,Finland_2011,0,7,15,1.3.2012,132012,CD,CD
83,Finland_2011,0,8,0,Section,section,NN,NN
84,Finland_2011,0,8,1,2,2,CD,CD
85,Finland_2011,0,9,0,Democracy,democracy,NN,NN
86,Finland_2011,0,9,1,and,and,CC,CC
87,Finland_2011,0,9,2,the,the,DT,DT
88,Finland_2011,0,9,3,rule,rule,NN,NN
89,Finland_2011,0,9,4,of,of,IN,IN
90,Finland_2011,0,9,5,law,law,NN,NN
91,Finland_2011,0,9,6,Share,share,NNP,NN
92,Finland_2011,0,9,7,The,the,DT,DT
93,Finland_2011,0,9,8,powers,powers,NNS,NN
94,Finland_2011,0,9,9,of,of,IN,IN
95,Finland_2011,0,9,10,the,the,DT,DT
96,Finland_2011,0,9,11,State,state,NNP,NN
97,Finland_2011,0,9,12,in,in,IN,IN
98,Finland_2011,0,9,13,Finland,finland,NNP,NN
99,Finland_2011,0,9,14,are,are,VBP,VB
100,Finland_2011,0,9,15,vested,vested,VBN,VB
101,Finland_2011,0,9,16,in,in,IN,IN
102,Finland_2011,0,9,17,the,the,DT,DT
103,Finland_2011,0,9,18,people,people,NNS,NN
104,Finland_2011,0,9,20,who,who,WP,WP
105,Finland_2011,0,9,21,are,are,VBP,VB
106,Finland_2011,0,9,22,represented,represented,VBN,VB
107,Finland_2011,0,9,23,by,by,IN,IN
108,Finland_2011,0,9,24,the,the,DT,DT
109,Finland_2011,0,9,25,Parliament,parliament,NNP,NN
110,Finland_2011,0,10,0,Democracy,democracy,NN,NN
111,Finland_2011,0,10,1,entails,entails,VBZ,VB
112,Finland_2011,0,10,2,the,the,DT,DT
113,Finland_2011,0,10,3,right,right,NN,NN
114,Finland_2011,0,10,4,of,of,IN,IN
115,Finland_2011,0,10,5,the,the,DT,DT
116,Finland_2011,0,10,6,individual,individual,NN,NN
117,Finland_2011,0,10,7,to,to,TO,TO
118,Finland_2011,0,10,8,participate,participate,VB,VB
119,Finland_2011,0,10,9,in,in,IN,IN
120,Finland_2011,0,10,10,and,and,CC,CC
121,Finland_2011,0,10,11,influence,influence,VB,VB
122,Finland_2011,0,10,12,the,the,DT,DT
123,Finland_2011,0,10,13,development,development,NN,NN
124,Finland_2011,0,10,14,of,of,IN,IN
125,Finland_2011,0,10,15,society,society,NN,NN
126,Finland_2011,0,10,16,and,and,CC,CC
127,Finland_2011,0,10,17,his,his,PRP$,PR
128,Finland_2011,0,10,18,or,or,CC,CC
129,Finland_2011,0,10,19,her,her,PRP$,PR
130,Finland_2011,0,10,20,living,living,JJ,JJ
131,Finland_2011,0,10,21,conditions,conditions,NNS,NN
132,Finland_2011,0,11,0,The,the,DT,DT
133,Finland_2011,0,11,1,exercise,exercise,NN,NN
134,Finland_2011,0,11,2,of,of,IN,IN
135,Finland_2011,0,11,3,public,public,JJ,JJ
136,Finland_2011,0,11,4,powers,powers,NNS,NN
137,Finland_2011,0,11,5,shall,shall,MD,MD
138,Finland_2011,0,11,6,be,be,VB,VB
139,Finland_2011,0,11,7,based,based,VBN,VB
140,Finland_2011,0,11,8,on,on,IN,IN
141,Finland_2011,0,11,9,an,an,DT,DT
142,Finland_2011,0,11,10,Act,act,NNP,NN
143,Finland_2011,0,12,0,In,in,IN,IN
144,Finland_2011,0,12,1,all,all,DT,DT
145,Finland_2011,0,12,2,public,public,JJ,JJ
146,Finland_2011,0,12,3,activity,activity,NN,NN
147,Finland_2011,0,12,5,the,the,DT,DT
148,Finland_2011,0,12,6,law,law,NN,NN
149,Finland_2011,0,12,7,shall,shall,MD,MD
150,Finland_2011,0,12,8,be,be,VB,VB
151,Finland_2011,0,12,9,strictly,strictly,RB,RB
152,Finland_2011,0,12,10,observed,observed,VBN,VB
153,Finland_2011,0,13,0,Section,section,NN,NN
154,Finland_2011,0,13,1,3,3,CD,CD
155,Finland_2011,0,14,0,Parliamentarism,parliamentarism,NN,NN
156,Finland_2011,0,14,1,and,and,CC,CC
157,Finland_2011,0,14,2,the,the,DT,DT
158,Finland_2011,0,14,3,separation,separation,NN,NN
159,Finland_2011,0,14,4,of,of,IN,IN
160,Finland_2011,0,14,5,powers,powers,NNS,NN
161,Finland_2011,0,14,6,Share,share,NNP,NN
162,Finland_2011,0,14,7,The,the,DT,DT
163,Finland_2011,0,14,8,legislative,legislative,JJ,JJ
164,Finland_2011,0,14,9,powers,powers,NNS,NN
165,Finland_2011,0,14,10,are,are,VBP,VB
166,Finland_2011,0,14,11,exercised,exercised,VBN,VB
167,Finland_2011,0,14,12,by,by,IN,IN
168,Finland_2011,0,14,13,the,the,DT,DT
169,Finland_2011,0,14,14,Parliament,parliament,NNP,NN
170,Finland_2011,0,14,16,which,which,WDT,WD
171,Finland_2011,0,14,17,shall,shall,MD,MD
172,Finland_2011,0,14,18,also,also,RB,RB
173,Finland_2011,0,14,19,decide,decide,VB,VB
174,Finland_2011,0,14,20,on,on,IN,IN
175,Finland_2011,0,14,21,State,state,NNP,NN
176,Finland_2011,0,14,22,finances,finances,NNS,NN
177,Finland_2011,0,15,0,The,the,DT,DT
178,Finland_2011,0,15,1,governmental,governmental,JJ,JJ
179,Finland_2011,0,15,2,powers,powers,NNS,NN
180,Finland_2011,0,15,3,are,are,VBP,VB
181,Finland_2011,0,15,4,exercised,exercised,VBN,VB
182,Finland_2011,0,15,5,by,by,IN,IN
183,Finland_2011,0,15,6,the,the,DT,DT
184,Finland_2011,0,15,7,President,president,NNP,NN
185,Finland_2011,0,15,8,of,of,IN,IN
186,Finland_2011,0,15,9,the,the,DT,DT
187,Finland_2011,0,15,10,Republic,republic,NNP,NN
188,Finland_2011,0,15,11,and,and,CC,CC
189,Finland_2011,0,15,12,the,the,DT,DT
190,Finland_2011,0,15,13,Government,government,NNP,NN
191,Finland_2011,0,15,15,the,the,DT,DT
192,Finland_2011,0,15,16,members,members,NNS,NN
193,Finland_2011,0,15,17,of,of,IN,IN
194,Finland_2011,0,15,18,which,which,WDT,WD
195,Finland_2011,0,15,19,shall,shall,MD,MD
196,Finland_2011,0,15,20,have,have,VB,VB
197,Finland_2011,0,15,21,the,the,DT,DT
198,Finland_2011,0,15,22,confidence,confidence,NN,NN
199,Finland_2011,0,15,23,of,of,IN,IN
200,Finland_2011,0,15,24,the,the,DT,DT
201,Finland_2011,0,15,25,Parliament,parliament,NNP,NN
202,Finland_2011,0,16,0,The,the,DT,DT
203,Finland_2011,0,16,1,judicial,judicial,JJ,JJ
204,Finland_2011,0,16,2,powers,powers,NNS,NN
205,Finland_2011,0,16,3,are,are,VBP,VB
206,Finland_2011,0,16,4,exercised,exercised,VBN,VB
207,Finland_2011,0,16,5,by,by,IN,IN
208,Finland_2011,0,16,6,independent,independent,JJ,JJ
209,Finland_2011,0,16,7,courts,courts,NNS,NN
210,Finland_2011,0,16,8,of,of,IN,IN
211,Finland_2011,0,16,9,law,law,NN,NN
212,Finland_2011,0,16,11,with,with,IN,IN
213,Finland_2011,0,16,12,the,the,DT,DT
214,Finland_2011,0,16,13,Supreme,supreme,NNP,NN
215,Finland_2011,0,16,14,Court,court,NNP,NN
216,Finland_2011,0,16,15,and,and,CC,CC
217,Finland_2011,0,16,16,the,the,DT,DT
218,Finland_2011,0,16,17,Supreme,supreme,NNP,NN
219,Finland_2011,0,16,18,Administrative,administrative,NNP,NN
220,Finland_2011,0,16,19,Court,court,NNP,NN
221,Finland_2011,0,16,20,as,as,IN,IN
222,Finland_2011,0,16,21,the,the,DT,DT
223,Finland_2011,0,16,22,highest,highest,JJS,JJ
224,Finland_2011,0,16,23,instances,instances,NNS,NN
225,Finland_2011,0,17,0,Section,section,NN,NN
226,Finland_2011,0,17,1,4,4,CD,CD
227,Finland_2011,0,18,0,The,the,DT,DT
228,Finland_2011,0,18,1,Territory,territory,NNP,NN
229,Finland_2011,0,18,2,of,of,IN,IN
230,Finland_2011,0,18,3,Finland,finland,NNP,NN
231,Finland_2011,0,18,4,Share,share,NNP,NN
232,Finland_2011,0,18,5,The,the,DT,DT
233,Finland_2011,0,18,6,territory,territory,NN,NN
234,Finland_2011,0,18,7,of,of,IN,IN
235,Finland_2011,0,18,8,Finland,finland,NNP,NN
236,Finland_2011,0,18,9,is,is,VBZ,VB
237,Finland_2011,0,18,10,indivisible,indivisible,JJ,JJ
238,Finland_2011,0,19,0,The,the,DT,DT
239,Finland_2011,0,19,1,national,national,JJ,JJ
240,Finland_2011,0,19,2,borders,borders,NNS,NN
241,Finland_2011,0,19,3,can,can,MD,MD
242,Finland_2011,0,19,4,not,not,RB,RB
243,Finland_2011,0,19,5,be,be,VB,VB
244,Finland_2011,0,19,6,altered,altered,VBN,VB
245,Finland_2011,0,19,7,without,without,IN,IN
246,Finland_2011,0,19,8,the,the,DT,DT
247,Finland_2011,0,19,9,consent,consent,NN,NN
248,Finland_2011,0,19,10,of,of,IN,IN
249,Finland_2011,0,19,11,the,the,DT,DT
250,Finland_2011,0,19,12,Parliament,parliament,NNP,NN
251,Finland_2011,0,20,0,Section,section,NN,NN
252,Finland_2011,0,20,1,5,5,CD,CD
253,Finland_2011,0,21,0,Finnish,finnish,JJ,JJ
254,Finland_2011,0,21,1,citizenship,citizenship,NN,NN
255,Finland_2011,0,21,2,Share,share,NNP,NN
256,Finland_2011,0,21,3,A,a,NNP,NN
257,Finland_2011,0,21,4,child,child,NN,NN
258,Finland_2011,0,21,5,acquires,acquires,VBZ,VB
259,Finland_2011,0,21,6,Finnish,finnish,JJ,JJ
