,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,France_2008,0,0,0,France,france,NNP,NN
1,France_2008,0,0,1,1958,1958,CD,CD
2,France_2008,0,0,3,rev,rev,NN,NN
3,France_2008,0,1,0,2008,2008,CD,CD
4,France_2008,0,1,2,Preamble,preamble,NNP,NN
5,France_2008,0,1,3,Share,share,NNP,NN
6,France_2008,0,1,4,The,the,DT,DT
7,France_2008,0,1,5,French,french,JJ,JJ
8,France_2008,0,1,6,people,people,NNS,NN
9,France_2008,0,1,7,solemnly,solemnly,RB,RB
10,France_2008,0,1,8,proclaim,proclaim,VBP,VB
11,France_2008,0,1,9,their,their,PRP$,PR
12,France_2008,0,1,10,attachment,attachment,NN,NN
13,France_2008,0,1,11,to,to,TO,TO
14,France_2008,0,1,12,the,the,DT,DT
15,France_2008,0,1,13,Rights,rights,NNPS,NN
16,France_2008,0,1,14,of,of,IN,IN
17,France_2008,0,1,15,Man,man,NNP,NN
18,France_2008,0,1,16,and,and,CC,CC
19,France_2008,0,1,17,the,the,DT,DT
20,France_2008,0,1,18,principles,principles,NNS,NN
21,France_2008,0,1,19,of,of,IN,IN
22,France_2008,0,1,20,national,national,JJ,JJ
23,France_2008,0,1,21,sovereignty,sovereignty,NN,NN
24,France_2008,0,1,22,as,as,IN,IN
25,France_2008,0,1,23,defined,defined,VBN,VB
26,France_2008,0,1,24,by,by,IN,IN
27,France_2008,0,1,25,the,the,DT,DT
28,France_2008,0,1,26,Declaration,declaration,NNP,NN
29,France_2008,0,1,27,of,of,IN,IN
30,France_2008,0,1,28,1789,1789,CD,CD
31,France_2008,0,1,30,confirmed,confirmed,VBN,VB
32,France_2008,0,1,31,and,and,CC,CC
33,France_2008,0,1,32,complemented,complemented,VBN,VB
34,France_2008,0,1,33,by,by,IN,IN
35,France_2008,0,1,34,the,the,DT,DT
36,France_2008,0,1,35,Preamble,preamble,NNP,NN
37,France_2008,0,1,36,to,to,TO,TO
38,France_2008,0,1,37,the,the,DT,DT
