,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Georgia_2004,0,0,0,Georgia,georgia,NN,NN
1,Georgia_2004,0,0,1,1995,1995,CD,CD
2,Georgia_2004,0,0,3,rev,rev,NN,NN
3,Georgia_2004,0,1,0,2004,2004,CD,CD
4,Georgia_2004,0,1,2,Preamble,preamble,NNP,NN
5,Georgia_2004,0,1,3,Share,share,NNP,NN
6,Georgia_2004,0,1,4,The,the,DT,DT
7,Georgia_2004,0,1,5,citizens,citizens,NNS,NN
8,Georgia_2004,0,1,6,of,of,IN,IN
9,Georgia_2004,0,1,7,Georgia,georgia,NNP,NN
10,Georgia_2004,0,1,9,whose,whose,WP$,WP
11,Georgia_2004,0,1,10,firm,firm,NN,NN
12,Georgia_2004,0,1,11,will,will,MD,MD
13,Georgia_2004,0,1,12,is,is,VBZ,VB
14,Georgia_2004,0,1,13,to,to,TO,TO
15,Georgia_2004,0,1,14,establish,establish,VB,VB
16,Georgia_2004,0,1,15,a,a,DT,DT
17,Georgia_2004,0,1,16,democratic,democratic,JJ,JJ
18,Georgia_2004,0,1,17,social,social,JJ,JJ
19,Georgia_2004,0,1,18,order,order,NN,NN
20,Georgia_2004,0,1,20,economic,economic,JJ,JJ
21,Georgia_2004,0,1,21,freedom,freedom,NN,NN
22,Georgia_2004,0,1,23,a,a,DT,DT
23,Georgia_2004,0,1,24,Rule,rule,NN,NN
24,Georgia_2004,0,1,25,of,of,IN,IN
25,Georgia_2004,0,1,26,Law,law,NNP,NN
26,Georgia_2004,0,1,27,based,based,VBN,VB
27,Georgia_2004,0,1,28,social,social,JJ,JJ
28,Georgia_2004,0,1,29,state,state,NN,NN
29,Georgia_2004,0,1,31,to,to,TO,TO
30,Georgia_2004,0,1,32,secure,secure,VB,VB
31,Georgia_2004,0,1,33,universally,universally,RB,RB
32,Georgia_2004,0,1,34,recognised,recognised,VBN,VB
33,Georgia_2004,0,1,35,human,human,JJ,JJ
34,Georgia_2004,0,1,36,rights,rights,NNS,NN
35,Georgia_2004,0,1,37,and,and,CC,CC
36,Georgia_2004,0,1,38,freedoms,freedoms,NNS,NN
37,Georgia_2004,0,1,40,to,to,TO,TO
38,Georgia_2004,0,1,41,enhance,enhance,VB,VB
39,Georgia_2004,0,1,42,the,the,DT,DT
40,Georgia_2004,0,1,43,state,state,NN,NN
41,Georgia_2004,0,1,44,independence,independence,NN,NN
42,Georgia_2004,0,1,45,and,and,CC,CC
43,Georgia_2004,0,1,46,peaceful,peaceful,JJ,JJ
44,Georgia_2004,0,1,47,relations,relations,NNS,NN
45,Georgia_2004,0,1,48,with,with,IN,IN
46,Georgia_2004,0,1,49,other,other,JJ,JJ
47,Georgia_2004,0,1,50,peoples,peoples,NNS,NN
48,Georgia_2004,0,1,52,bearing,bearing,VBG,VB
49,Georgia_2004,0,1,53,in,in,IN,IN
50,Georgia_2004,0,1,54,mind,mind,NN,NN
51,Georgia_2004,0,1,55,the,the,DT,DT
52,Georgia_2004,0,1,56,centuries,centuries,NNS,NN
53,Georgia_2004,0,1,57,old,old,JJ,JJ
54,Georgia_2004,0,1,58,traditions,traditions,NNS,NN
55,Georgia_2004,0,1,59,of,of,IN,IN
56,Georgia_2004,0,1,60,the,the,DT,DT
57,Georgia_2004,0,1,61,Statehood,statehood,NNP,NN
58,Georgia_2004,0,1,62,of,of,IN,IN
59,Georgia_2004,0,1,63,the,the,DT,DT
60,Georgia_2004,0,1,64,Georgian,georgian,JJ,JJ
61,Georgia_2004,0,1,65,Nation,nation,NN,NN
62,Georgia_2004,0,1,66,and,and,CC,CC
63,Georgia_2004,0,1,67,the,the,DT,DT
64,Georgia_2004,0,1,68,basic,basic,JJ,JJ
65,Georgia_2004,0,1,69,principles,principles,NNS,NN
66,Georgia_2004,0,1,70,of,of,IN,IN
67,Georgia_2004,0,1,71,the,the,DT,DT
68,Georgia_2004,0,1,72,Constitution,constitution,NNP,NN
69,Georgia_2004,0,1,73,of,of,IN,IN
70,Georgia_2004,0,1,74,Georgia,georgia,NNP,NN
71,Georgia_2004,0,1,75,of,of,IN,IN
72,Georgia_2004,0,1,76,1921,1921,CD,CD
73,Georgia_2004,0,1,78,proclaim,proclaim,VBZ,VB
74,Georgia_2004,0,1,79,nation-wide,nationwide,RB,RB
75,Georgia_2004,0,1,80,the,the,DT,DT
76,Georgia_2004,0,1,81,present,present,JJ,JJ
77,Georgia_2004,0,1,82,Constitution,constitution,NNP,NN
78,Georgia_2004,0,2,0,Chapter,chapter,NN,NN
79,Georgia_2004,0,2,1,I,i,PRP,PR
80,Georgia_2004,0,3,0,General,general,NNP,NN
81,Georgia_2004,0,3,1,Provisions,provisions,NNP,NN
82,Georgia_2004,0,3,2,Share,share,NNP,NN
83,Georgia_2004,0,3,3,Article,article,NNP,NN
84,Georgia_2004,0,3,4,1,1,CD,CD
85,Georgia_2004,0,3,5,Share,share,NNP,NN
86,Georgia_2004,0,3,6,1,1,CD,CD
87,Georgia_2004,0,4,0,Georgia,georgia,NNP,NN
88,Georgia_2004,0,4,1,shall,shall,MD,MD
89,Georgia_2004,0,4,2,be,be,VB,VB
90,Georgia_2004,0,4,3,an,an,DT,DT
91,Georgia_2004,0,4,4,independent,independent,JJ,JJ
92,Georgia_2004,0,4,6,unified,unified,JJ,JJ
93,Georgia_2004,0,4,7,and,and,CC,CC
94,Georgia_2004,0,4,8,indivisible,indivisible,JJ,JJ
95,Georgia_2004,0,4,9,state,state,NN,NN
96,Georgia_2004,0,4,11,as,as,IN,IN
97,Georgia_2004,0,4,12,confirmed,confirmed,VBN,VB
98,Georgia_2004,0,4,13,by,by,IN,IN
99,Georgia_2004,0,4,14,the,the,DT,DT
100,Georgia_2004,0,4,15,Referendum,referendum,NNP,NN
101,Georgia_2004,0,4,16,of,of,IN,IN
102,Georgia_2004,0,4,17,31,31,CD,CD
103,Georgia_2004,0,4,18,March,march,NNP,NN
