,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,German_Federal_Republic_2012,0,0,0,German,german,JJ,JJ
1,German_Federal_Republic_2012,0,0,1,Federal,federal,NNP,NN
2,German_Federal_Republic_2012,0,0,2,Republic,republic,NNP,NN
3,German_Federal_Republic_2012,0,0,3,1949,1949,CD,CD
4,German_Federal_Republic_2012,0,0,5,rev,rev,NN,NN
5,German_Federal_Republic_2012,0,1,0,2012,2012,CD,CD
6,German_Federal_Republic_2012,0,1,2,Preamble,preamble,NNP,NN
7,German_Federal_Republic_2012,0,1,3,Share,share,NNP,NN
8,German_Federal_Republic_2012,0,1,4,Conscious,conscious,NNP,NN
9,German_Federal_Republic_2012,0,1,5,of,of,IN,IN
10,German_Federal_Republic_2012,0,1,6,their,their,PRP$,PR
11,German_Federal_Republic_2012,0,1,7,responsibility,responsibility,NN,NN
12,German_Federal_Republic_2012,0,1,8,before,before,IN,IN
13,German_Federal_Republic_2012,0,1,9,God,god,NNP,NN
14,German_Federal_Republic_2012,0,1,10,and,and,CC,CC
15,German_Federal_Republic_2012,0,1,11,man,man,NN,NN
16,German_Federal_Republic_2012,0,1,13,Inspired,inspired,VBN,VB
17,German_Federal_Republic_2012,0,1,14,by,by,IN,IN
18,German_Federal_Republic_2012,0,1,15,the,the,DT,DT
19,German_Federal_Republic_2012,0,1,16,determination,determination,NN,NN
20,German_Federal_Republic_2012,0,1,17,to,to,TO,TO
21,German_Federal_Republic_2012,0,1,18,promote,promote,VB,VB
22,German_Federal_Republic_2012,0,1,19,world,world,NN,NN
23,German_Federal_Republic_2012,0,1,20,peace,peace,NN,NN
24,German_Federal_Republic_2012,0,1,21,as,as,IN,IN
25,German_Federal_Republic_2012,0,1,22,an,an,DT,DT
26,German_Federal_Republic_2012,0,1,23,equal,equal,JJ,JJ
27,German_Federal_Republic_2012,0,1,24,partner,partner,NN,NN
28,German_Federal_Republic_2012,0,1,25,in,in,IN,IN
29,German_Federal_Republic_2012,0,1,26,a,a,DT,DT
30,German_Federal_Republic_2012,0,1,27,united,united,JJ,JJ
31,German_Federal_Republic_2012,0,1,28,Europe,europe,NNP,NN
32,German_Federal_Republic_2012,0,1,30,the,the,DT,DT
33,German_Federal_Republic_2012,0,1,31,German,german,JJ,JJ
