,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Ghana_1996,0,0,0,Ghana,ghana,NNP,NN
1,Ghana_1996,0,0,1,1992,1992,CD,CD
2,Ghana_1996,0,0,3,rev,rev,NN,NN
3,Ghana_1996,0,1,0,1996,1996,CD,CD
4,Ghana_1996,0,1,2,Preamble,preamble,JJ,JJ
5,Ghana_1996,0,1,3,Share,share,NN,NN
6,Ghana_1996,0,1,4,IN,in,NNP,NN
7,Ghana_1996,0,1,5,THE,the,NNP,NN
8,Ghana_1996,0,1,6,NAME,name,NNP,NN
9,Ghana_1996,0,1,7,OF,of,IN,IN
10,Ghana_1996,0,1,8,THE,the,NNP,NN
11,Ghana_1996,0,1,9,ALMIGHTY,almighty,NNP,NN
12,Ghana_1996,0,1,10,GOD,god,NNP,NN
13,Ghana_1996,0,1,11,We,we,PRP,PR
14,Ghana_1996,0,1,12,the,the,DT,DT
15,Ghana_1996,0,1,13,People,people,NNP,NN
16,Ghana_1996,0,1,14,of,of,IN,IN
17,Ghana_1996,0,1,15,Ghana,ghana,NNP,NN
18,Ghana_1996,0,1,17,IN,in,NNP,NN
19,Ghana_1996,0,1,18,EXERCISE,exercise,NNP,NN
20,Ghana_1996,0,1,19,of,of,IN,IN
21,Ghana_1996,0,1,20,our,our,PRP$,PR
22,Ghana_1996,0,1,21,natural,natural,JJ,JJ
23,Ghana_1996,0,1,22,and,and,CC,CC
24,Ghana_1996,0,1,23,inalienable,inalienable,JJ,JJ
25,Ghana_1996,0,1,24,right,right,NN,NN
26,Ghana_1996,0,1,25,to,to,TO,TO
27,Ghana_1996,0,1,26,establish,establish,VB,VB
28,Ghana_1996,0,1,27,a,a,DT,DT
29,Ghana_1996,0,1,28,framework,framework,NN,NN
30,Ghana_1996,0,1,29,of,of,IN,IN
31,Ghana_1996,0,1,30,government,government,NN,NN
32,Ghana_1996,0,1,31,which,which,WDT,WD
33,Ghana_1996,0,1,32,shall,shall,MD,MD
34,Ghana_1996,0,1,33,secure,secure,VB,VB
35,Ghana_1996,0,1,34,for,for,IN,IN
36,Ghana_1996,0,1,35,ourselves,ourselves,NNS,NN
37,Ghana_1996,0,1,36,and,and,CC,CC
38,Ghana_1996,0,1,37,posterity,posterity,NN,NN
39,Ghana_1996,0,1,38,the,the,DT,DT
40,Ghana_1996,0,1,39,blessings,blessings,NNS,NN
41,Ghana_1996,0,1,40,of,of,IN,IN
42,Ghana_1996,0,1,41,liberty,liberty,NN,NN
43,Ghana_1996,0,1,43,equality,equality,NN,NN
44,Ghana_1996,0,1,44,of,of,IN,IN
45,Ghana_1996,0,1,45,opportunity,opportunity,NN,NN
46,Ghana_1996,0,1,46,and,and,CC,CC
47,Ghana_1996,0,1,47,prosperity,prosperity,NN,NN
48,Ghana_1996,0,1,49,IN,in,NNP,NN
49,Ghana_1996,0,1,50,A,a,NNP,NN
50,Ghana_1996,0,1,51,SPIRIT,spirit,NNP,NN
51,Ghana_1996,0,1,52,of,of,IN,IN
52,Ghana_1996,0,1,53,friendship,friendship,NN,NN
53,Ghana_1996,0,1,54,and,and,CC,CC
54,Ghana_1996,0,1,55,peace,peace,NN,NN
55,Ghana_1996,0,1,56,with,with,IN,IN
56,Ghana_1996,0,1,57,all,all,DT,DT
57,Ghana_1996,0,1,58,peoples,peoples,NNS,NN
58,Ghana_1996,0,1,59,of,of,IN,IN
59,Ghana_1996,0,1,60,the,the,DT,DT
60,Ghana_1996,0,1,61,world,world,NN,NN
61,Ghana_1996,0,1,63,AND,and,CC,CC
62,Ghana_1996,0,1,64,IN,in,NNP,NN
63,Ghana_1996,0,1,65,SOLEMN,solemn,NNP,NN
64,Ghana_1996,0,1,66,declaration,declaration,NN,NN
65,Ghana_1996,0,1,67,and,and,CC,CC
66,Ghana_1996,0,1,68,affirmation,affirmation,NN,NN
67,Ghana_1996,0,1,69,of,of,IN,IN
68,Ghana_1996,0,1,70,our,our,PRP$,PR
69,Ghana_1996,0,1,71,commitment,commitment,NN,NN
70,Ghana_1996,0,1,72,to,to,TO,TO
71,Ghana_1996,0,1,74,Freedom,freedom,NNP,NN
72,Ghana_1996,0,1,76,Justice,justice,NNP,NN
73,Ghana_1996,0,1,78,Probity,probity,NNP,NN
74,Ghana_1996,0,1,79,and,and,CC,CC
75,Ghana_1996,0,1,80,Accountability,accountability,NNP,NN
76,Ghana_1996,0,1,82,The,the,DT,DT
77,Ghana_1996,0,1,83,Principle,principle,NNP,NN
78,Ghana_1996,0,1,84,that,that,IN,IN
79,Ghana_1996,0,1,85,all,all,DT,DT
80,Ghana_1996,0,1,86,powers,powers,NNS,NN
81,Ghana_1996,0,1,87,of,of,IN,IN
82,Ghana_1996,0,1,88,Government,government,NNP,NN
83,Ghana_1996,0,1,89,spring,spring,NN,NN
84,Ghana_1996,0,1,90,from,from,IN,IN
85,Ghana_1996,0,1,91,the,the,DT,DT
86,Ghana_1996,0,1,92,Sovereign,sovereign,NNP,NN
87,Ghana_1996,0,1,93,Will,will,NNP,NN
88,Ghana_1996,0,1,94,of,of,IN,IN
89,Ghana_1996,0,1,95,the,the,DT,DT
90,Ghana_1996,0,1,96,People,people,NNP,NN
91,Ghana_1996,0,1,98,The,the,DT,DT
92,Ghana_1996,0,1,99,Principle,principle,NNP,NN
93,Ghana_1996,0,1,100,of,of,IN,IN
94,Ghana_1996,0,1,101,Universal,universal,NNP,NN
95,Ghana_1996,0,1,102,Adult,adult,NNP,NN
96,Ghana_1996,0,1,103,Suffrage,suffrage,NNP,NN
97,Ghana_1996,0,1,105,The,the,DT,DT
98,Ghana_1996,0,1,106,Rule,rule,NNP,NN
99,Ghana_1996,0,1,107,of,of,IN,IN
100,Ghana_1996,0,1,108,Law,law,NNP,NN
101,Ghana_1996,0,1,110,The,the,DT,DT
102,Ghana_1996,0,1,111,protection,protection,NN,NN
103,Ghana_1996,0,1,112,and,and,CC,CC
104,Ghana_1996,0,1,113,preservation,preservation,NN,NN
105,Ghana_1996,0,1,114,of,of,IN,IN
106,Ghana_1996,0,1,115,Fundamental,fundamental,NNP,NN
107,Ghana_1996,0,1,116,Human,human,NNP,NN
108,Ghana_1996,0,1,117,Rights,rights,NNPS,NN
109,Ghana_1996,0,1,118,and,and,CC,CC
110,Ghana_1996,0,1,119,Freedoms,freedoms,NNP,NN
111,Ghana_1996,0,1,121,Unity,unity,NNP,NN
112,Ghana_1996,0,1,122,and,and,CC,CC
113,Ghana_1996,0,1,123,Stability,stability,NNP,NN
114,Ghana_1996,0,1,124,for,for,IN,IN
115,Ghana_1996,0,1,125,our,our,PRP$,PR
116,Ghana_1996,0,1,126,Nation,nation,NN,NN
117,Ghana_1996,0,1,128,DO,do,NNP,NN
118,Ghana_1996,0,1,129,HEREBY,hereby,NNP,NN
119,Ghana_1996,0,1,130,ADOPT,adopt,NNP,NN
120,Ghana_1996,0,1,132,ENACT,enact,NNP,NN
121,Ghana_1996,0,1,133,AND,and,NNP,NN
122,Ghana_1996,0,1,134,GIVE,give,NNP,NN
123,Ghana_1996,0,1,135,TO,to,NNP,NN
124,Ghana_1996,0,1,136,OURSELVES,ourselves,NNP,NN
125,Ghana_1996,0,1,137,THIS,this,NNP,NN
126,Ghana_1996,0,1,138,CONSTITUTION,constitution,NNP,NN
127,Ghana_1996,0,2,0,CHAPTER,chapter,NN,NN
128,Ghana_1996,0,2,1,1,1,CD,CD
129,Ghana_1996,0,3,0,THE,the,DT,DT
130,Ghana_1996,0,3,1,CONSTITUTION,constitution,NNP,NN
131,Ghana_1996,0,3,2,1,1,CD,CD
132,Ghana_1996,0,4,0,SUPREMACY,supremacy,NNP,NN
133,Ghana_1996,0,4,1,OF,of,IN,IN
134,Ghana_1996,0,4,2,THE,the,NNP,NN
135,Ghana_1996,0,4,3,CONSTITUTION,constitution,NNP,NN
136,Ghana_1996,0,4,4,Share,share,NNP,NN
137,Ghana_1996,0,4,5,1,1,CD,CD
138,Ghana_1996,0,5,0,The,the,DT,DT
139,Ghana_1996,0,5,1,Sovereignty,sovereignty,NNP,NN
140,Ghana_1996,0,5,2,of,of,IN,IN
141,Ghana_1996,0,5,3,Ghana,ghana,NNP,NN
142,Ghana_1996,0,5,4,resides,resides,NNS,NN
143,Ghana_1996,0,5,5,in,in,IN,IN
144,Ghana_1996,0,5,6,the,the,DT,DT
145,Ghana_1996,0,5,7,people,people,NNS,NN
