,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Greece_2008,0,0,0,Greece,greece,NNP,NN
1,Greece_2008,0,0,1,1975,1975,CD,CD
2,Greece_2008,0,0,3,rev,rev,NN,NN
3,Greece_2008,0,1,0,2008,2008,CD,CD
4,Greece_2008,0,1,2,Preamble,preamble,JJ,JJ
5,Greece_2008,0,1,3,Share,share,NN,NN
6,Greece_2008,0,1,4,In,in,IN,IN
7,Greece_2008,0,1,5,the,the,DT,DT
8,Greece_2008,0,1,6,name,name,NN,NN
9,Greece_2008,0,1,7,of,of,IN,IN
10,Greece_2008,0,1,8,the,the,DT,DT
11,Greece_2008,0,1,9,Holy,holy,NNP,NN
12,Greece_2008,0,1,10,and,and,CC,CC
13,Greece_2008,0,1,11,Consubstantial,consubstantial,NNP,NN
14,Greece_2008,0,1,12,and,and,CC,CC
15,Greece_2008,0,1,13,Indivisible,indivisible,NNP,NN
16,Greece_2008,0,1,14,Trinity,trinity,NNP,NN
17,Greece_2008,0,1,15,PART,part,NNP,NN
18,Greece_2008,0,1,16,1,1,CD,CD
19,Greece_2008,0,2,0,Basic,basic,JJ,JJ
20,Greece_2008,0,2,1,Provisions,provisions,NNPS,NN
21,Greece_2008,0,2,2,SECTION,section,NN,NN
22,Greece_2008,0,2,3,I,i,PRP,PR
23,Greece_2008,0,3,0,The,the,DT,DT
24,Greece_2008,0,3,1,Form,form,NNP,NN
25,Greece_2008,0,3,2,of,of,IN,IN
26,Greece_2008,0,3,3,Government,government,NNP,NN
27,Greece_2008,0,3,4,Share,share,NNP,NN
28,Greece_2008,0,3,5,Article,article,NNP,NN
29,Greece_2008,0,3,6,1,1,CD,CD
30,Greece_2008,0,3,7,Share,share,NNP,NN
31,Greece_2008,0,3,8,1,1,CD,CD
32,Greece_2008,0,4,0,The,the,DT,DT
33,Greece_2008,0,4,1,form,form,NN,NN
34,Greece_2008,0,4,2,of,of,IN,IN
35,Greece_2008,0,4,3,government,government,NN,NN
36,Greece_2008,0,4,4,of,of,IN,IN
37,Greece_2008,0,4,5,Greece,greece,NNP,NN
38,Greece_2008,0,4,6,is,is,VBZ,VB
39,Greece_2008,0,4,7,that,that,IN,IN
40,Greece_2008,0,4,8,of,of,IN,IN
41,Greece_2008,0,4,9,a,a,DT,DT
42,Greece_2008,0,4,10,parliamentary,parliamentary,JJ,JJ
43,Greece_2008,0,4,11,republic,republic,NN,NN
44,Greece_2008,0,5,0,2,2,CD,CD
45,Greece_2008,0,6,0,Popular,popular,JJ,JJ
