,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Guatemala_1993,0,0,0,Guatemala,guatemala,NN,NN
1,Guatemala_1993,0,0,1,1985,1985,CD,CD
2,Guatemala_1993,0,0,3,rev,rev,NN,NN
3,Guatemala_1993,0,1,0,1993,1993,CD,CD
4,Guatemala_1993,0,1,2,Preamble,preamble,NNP,NN
5,Guatemala_1993,0,1,3,Share,share,NNP,NN
6,Guatemala_1993,0,1,4,INVOKING,invoking,VBZ,VB
7,Guatemala_1993,0,1,5,THE,the,NNP,NN
8,Guatemala_1993,0,1,6,NAME,name,NNP,NN
9,Guatemala_1993,0,1,7,OF,of,NNP,NN
10,Guatemala_1993,0,1,8,GOD,god,NNP,NN
11,Guatemala_1993,0,1,9,We,we,PRP,PR
12,Guatemala_1993,0,1,11,the,the,DT,DT
13,Guatemala_1993,0,1,12,representatives,representatives,NNS,NN
14,Guatemala_1993,0,1,13,of,of,IN,IN
15,Guatemala_1993,0,1,14,the,the,DT,DT
16,Guatemala_1993,0,1,15,people,people,NNS,NN
17,Guatemala_1993,0,1,16,of,of,IN,IN
18,Guatemala_1993,0,1,17,Guatemala,guatemala,NNP,NN
19,Guatemala_1993,0,1,19,elected,elected,VBD,VB
20,Guatemala_1993,0,1,20,freely,freely,RB,RB
21,Guatemala_1993,0,1,21,and,and,CC,CC
22,Guatemala_1993,0,1,22,democratically,democratically,RB,RB
23,Guatemala_1993,0,1,24,gathered,gathered,VBN,VB
24,Guatemala_1993,0,1,25,in,in,IN,IN
25,Guatemala_1993,0,1,27,the,the,DT,DT
26,Guatemala_1993,0,1,29,National,national,NNP,NN
27,Guatemala_1993,0,1,30,Constituent,constituent,NNP,NN
28,Guatemala_1993,0,1,31,Assembly,assembly,NNP,NN
29,Guatemala_1993,0,1,33,with,with,IN,IN
30,Guatemala_1993,0,1,34,the,the,DT,DT
31,Guatemala_1993,0,1,35,goal,goal,NN,NN
32,Guatemala_1993,0,1,36,of,of,IN,IN
33,Guatemala_1993,0,1,37,legally,legally,RB,RB
34,Guatemala_1993,0,1,38,and,and,CC,CC
35,Guatemala_1993,0,1,39,politically,politically,RB,RB
36,Guatemala_1993,0,1,40,organizing,organizing,VBG,VB
37,Guatemala_1993,0,1,41,the,the,DT,DT
38,Guatemala_1993,0,1,42,State,state,NNP,NN
39,Guatemala_1993,0,1,44,affirming,affirming,VBG,VB
40,Guatemala_1993,0,1,45,the,the,DT,DT
41,Guatemala_1993,0,1,46,primacy,primacy,NN,NN
42,Guatemala_1993,0,1,47,of,of,IN,IN
43,Guatemala_1993,0,1,48,the,the,DT,DT
44,Guatemala_1993,0,1,49,human,human,JJ,JJ
45,Guatemala_1993,0,1,50,person,person,NN,NN
46,Guatemala_1993,0,1,51,as,as,IN,IN
47,Guatemala_1993,0,1,53,the,the,DT,DT
48,Guatemala_1993,0,1,55,subject,subject,NN,NN
49,Guatemala_1993,0,1,56,and,and,CC,CC
50,Guatemala_1993,0,1,57,purpose,purpose,NN,NN
51,Guatemala_1993,0,1,59,fin,fin,NN,NN
52,Guatemala_1993,0,1,61,of,of,IN,IN
53,Guatemala_1993,0,1,62,the,the,DT,DT
54,Guatemala_1993,0,1,63,social,social,JJ,JJ
55,Guatemala_1993,0,1,64,order,order,NN,NN
56,Guatemala_1993,0,1,66,recognizing,recognizing,VBG,VB
57,Guatemala_1993,0,1,67,the,the,DT,DT
58,Guatemala_1993,0,1,68,family,family,NN,NN
59,Guatemala_1993,0,1,69,as,as,IN,IN
60,Guatemala_1993,0,1,70,the,the,DT,DT
61,Guatemala_1993,0,1,71,primary,primary,JJ,JJ
62,Guatemala_1993,0,1,72,and,and,CC,CC
63,Guatemala_1993,0,1,73,fundamental,fundamental,JJ,JJ
64,Guatemala_1993,0,1,74,genesis,genesis,NN,NN
65,Guatemala_1993,0,1,75,of,of,IN,IN
66,Guatemala_1993,0,1,76,the,the,DT,DT
67,Guatemala_1993,0,1,77,spiritual,spiritual,JJ,JJ
68,Guatemala_1993,0,1,78,and,and,CC,CC
69,Guatemala_1993,0,1,79,moral,moral,JJ,JJ
70,Guatemala_1993,0,1,80,values,values,NNS,NN
71,Guatemala_1993,0,1,81,of,of,IN,IN
72,Guatemala_1993,0,1,82,the,the,DT,DT
73,Guatemala_1993,0,1,83,society,society,NN,NN
74,Guatemala_1993,0,1,84,and,and,CC,CC
75,Guatemala_1993,0,1,85,the,the,DT,DT
76,Guatemala_1993,0,1,86,State,state,NNP,NN
77,Guatemala_1993,0,1,88,as,as,IN,IN
78,Guatemala_1993,0,1,90,the,the,DT,DT
79,Guatemala_1993,0,1,91,one,one,CD,CD
80,Guatemala_1993,0,1,93,responsible,responsible,JJ,JJ
81,Guatemala_1993,0,1,94,for,for,IN,IN
82,Guatemala_1993,0,1,95,promoting,promoting,VBG,VB
83,Guatemala_1993,0,1,96,the,the,DT,DT
84,Guatemala_1993,0,1,97,common,common,JJ,JJ
85,Guatemala_1993,0,1,98,good,good,JJ,JJ
86,Guatemala_1993,0,1,100,of,of,IN,IN
87,Guatemala_1993,0,1,101,the,the,DT,DT
88,Guatemala_1993,0,1,102,consolidation,consolidation,NN,NN
89,Guatemala_1993,0,1,103,of,of,IN,IN
90,Guatemala_1993,0,1,104,the,the,DT,DT
91,Guatemala_1993,0,1,105,regime,regime,NN,NN
92,Guatemala_1993,0,1,106,of,of,IN,IN
93,Guatemala_1993,0,1,107,legality,legality,NN,NN
94,Guatemala_1993,0,1,109,security,security,NN,NN
95,Guatemala_1993,0,1,111,justice,justice,NN,NN
96,Guatemala_1993,0,1,113,equality,equality,NN,NN
97,Guatemala_1993,0,1,115,freedom,freedom,NN,NN
98,Guatemala_1993,0,1,116,and,and,CC,CC
99,Guatemala_1993,0,1,117,peace,peace,NN,NN
100,Guatemala_1993,0,1,119,inspired,inspired,VBN,VB
101,Guatemala_1993,0,1,120,by,by,IN,IN
102,Guatemala_1993,0,1,121,the,the,DT,DT
103,Guatemala_1993,0,1,122,ideals,ideals,NNS,NN
104,Guatemala_1993,0,1,123,of,of,IN,IN
105,Guatemala_1993,0,1,124,our,our,PRP$,PR
106,Guatemala_1993,0,1,125,forefathers,forefathers,NNS,NN
107,Guatemala_1993,0,1,126,and,and,CC,CC
108,Guatemala_1993,0,1,127,embracing,embracing,VBG,VB
109,Guatemala_1993,0,1,129,recogiendo,recogiendo,NN,NN
110,Guatemala_1993,0,1,131,our,our,PRP$,PR
111,Guatemala_1993,0,1,132,traditions,traditions,NNS,NN
112,Guatemala_1993,0,1,133,and,and,CC,CC
113,Guatemala_1993,0,1,134,cultural,cultural,JJ,JJ
114,Guatemala_1993,0,1,135,heritage,heritage,NN,NN
115,Guatemala_1993,0,1,137,decided,decided,VBD,VB
116,Guatemala_1993,0,1,138,to,to,TO,TO
117,Guatemala_1993,0,1,139,promote,promote,VB,VB
118,Guatemala_1993,0,1,140,the,the,DT,DT
119,Guatemala_1993,0,1,141,complete,complete,JJ,JJ
120,Guatemala_1993,0,1,142,validity,validity,NN,NN
121,Guatemala_1993,0,1,144,vigencia,vigencia,NN,NN
122,Guatemala_1993,0,1,146,of,of,IN,IN
123,Guatemala_1993,0,1,147,the,the,DT,DT
124,Guatemala_1993,0,1,148,Human,human,NNP,NN
125,Guatemala_1993,0,1,149,Rights,rights,NNPS,NN
126,Guatemala_1993,0,1,150,within,within,IN,IN
127,Guatemala_1993,0,1,151,a,a,DT,DT
128,Guatemala_1993,0,1,152,stable,stable,JJ,JJ
129,Guatemala_1993,0,1,154,permanent,permanent,JJ,JJ
130,Guatemala_1993,0,1,156,and,and,CC,CC
131,Guatemala_1993,0,1,157,popular,popular,JJ,JJ
132,Guatemala_1993,0,1,158,institutional,institutional,JJ,JJ
133,Guatemala_1993,0,1,159,order,order,NN,NN
134,Guatemala_1993,0,1,162,one,one,CD,CD
135,Guatemala_1993,0,1,164,where,where,WRB,WR
136,Guatemala_1993,0,1,165,the,the,DT,DT
137,Guatemala_1993,0,1,166,governed,governed,VBN,VB
138,Guatemala_1993,0,1,167,and,and,CC,CC
139,Guatemala_1993,0,1,168,the,the,DT,DT
140,Guatemala_1993,0,1,169,governors,governors,NNS,NN
141,Guatemala_1993,0,1,171,can,can,MD,MD
142,Guatemala_1993,0,1,173,proceed,proceed,VB,VB
143,Guatemala_1993,0,1,174,with,with,IN,IN
144,Guatemala_1993,0,1,175,absolute,absolute,JJ,JJ
145,Guatemala_1993,0,1,176,attachment,attachment,NN,NN
146,Guatemala_1993,0,1,177,to,to,TO,TO
147,Guatemala_1993,0,1,178,the,the,DT,DT
148,Guatemala_1993,0,1,179,law,law,NN,NN
149,Guatemala_1993,0,1,181,SOLEMNLY,solemnly,NNP,NN
150,Guatemala_1993,0,1,182,DECREE,decree,NNP,NN
151,Guatemala_1993,0,1,184,SANCTION,sanction,NNP,NN
152,Guatemala_1993,0,1,186,AND,and,NNP,NN
153,Guatemala_1993,0,1,187,PROMULGATE,promulgate,NNP,NN
