,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Guinea_Bissau_1991,0,0,0,Guinea-Bissau,guineabissau,JJ,JJ
1,Guinea_Bissau_1991,0,0,1,1984,1984,CD,CD
2,Guinea_Bissau_1991,0,0,3,rev,rev,NN,NN
3,Guinea_Bissau_1991,0,1,0,1991,1991,CD,CD
4,Guinea_Bissau_1991,0,1,2,Preamble,preamble,JJ,JJ
5,Guinea_Bissau_1991,0,1,3,Share,share,NN,NN
6,Guinea_Bissau_1991,0,1,4,In,in,IN,IN
7,Guinea_Bissau_1991,0,1,5,an,an,DT,DT
8,Guinea_Bissau_1991,0,1,6,exemplary,exemplary,JJ,JJ
9,Guinea_Bissau_1991,0,1,7,manner,manner,NN,NN
10,Guinea_Bissau_1991,0,1,9,the,the,DT,DT
11,Guinea_Bissau_1991,0,1,10,PAIGC,paigc,NNP,NN
12,Guinea_Bissau_1991,0,1,12,having,having,VBG,VB
13,Guinea_Bissau_1991,0,1,13,been,been,VBN,VB
14,Guinea_Bissau_1991,0,1,14,founded,founded,VBN,VB
15,Guinea_Bissau_1991,0,1,15,on,on,IN,IN
16,Guinea_Bissau_1991,0,1,16,September,september,NNP,NN
17,Guinea_Bissau_1991,0,1,17,19,19,CD,CD
18,Guinea_Bissau_1991,0,1,19,1956,1956,CD,CD
19,Guinea_Bissau_1991,0,1,21,has,has,VBZ,VB
20,Guinea_Bissau_1991,0,1,22,accomplished,accomplished,VBN,VB
21,Guinea_Bissau_1991,0,1,23,its,its,PRP$,PR
22,Guinea_Bissau_1991,0,1,24,political,political,JJ,JJ
23,Guinea_Bissau_1991,0,1,25,and,and,CC,CC
24,Guinea_Bissau_1991,0,1,26,military,military,JJ,JJ
25,Guinea_Bissau_1991,0,1,27,action,action,NN,NN
26,Guinea_Bissau_1991,0,1,28,plan,plan,NN,NN
27,Guinea_Bissau_1991,0,1,30,Programa,programa,NNP,NN
28,Guinea_Bissau_1991,0,1,31,Min,min,NNP,NN
29,Guinea_Bissau_1991,0,1,33,mo,mo,NN,NN
30,Guinea_Bissau_1991,0,1,36,consisting,consisting,VBG,VB
31,Guinea_Bissau_1991,0,1,37,of,of,IN,IN
32,Guinea_Bissau_1991,0,1,38,liberating,liberating,VBG,VB
33,Guinea_Bissau_1991,0,1,39,the,the,DT,DT
34,Guinea_Bissau_1991,0,1,40,people,people,NNS,NN
35,Guinea_Bissau_1991,0,1,41,of,of,IN,IN
36,Guinea_Bissau_1991,0,1,42,Guinea,guinea,NNP,NN
37,Guinea_Bissau_1991,0,1,43,and,and,CC,CC
38,Guinea_Bissau_1991,0,1,44,Cabo,cabo,NNP,NN
39,Guinea_Bissau_1991,0,1,45,Verde,verde,NNP,NN
40,Guinea_Bissau_1991,0,1,47,winning,winning,VBG,VB
41,Guinea_Bissau_1991,0,1,48,the,the,DT,DT
42,Guinea_Bissau_1991,0,1,49,sovereignty,sovereignty,NN,NN
43,Guinea_Bissau_1991,0,1,50,of,of,IN,IN
44,Guinea_Bissau_1991,0,1,51,the,the,DT,DT
45,Guinea_Bissau_1991,0,1,52,two,two,CD,CD
46,Guinea_Bissau_1991,0,1,53,respective,respective,JJ,JJ
47,Guinea_Bissau_1991,0,1,54,states,states,NNS,NN
48,Guinea_Bissau_1991,0,1,55,simultaneously,simultaneously,RB,RB
49,Guinea_Bissau_1991,0,1,57,for,for,IN,IN
50,Guinea_Bissau_1991,0,1,58,the,the,DT,DT
51,Guinea_Bissau_1991,0,1,59,purpose,purpose,NN,NN
52,Guinea_Bissau_1991,0,1,60,of,of,IN,IN
53,Guinea_Bissau_1991,0,1,61,building,building,VBG,VB
54,Guinea_Bissau_1991,0,1,62,a,a,DT,DT
55,Guinea_Bissau_1991,0,1,63,free,free,JJ,JJ
56,Guinea_Bissau_1991,0,1,64,and,and,CC,CC
57,Guinea_Bissau_1991,0,1,65,democratic,democratic,JJ,JJ
58,Guinea_Bissau_1991,0,1,66,society,society,NN,NN
59,Guinea_Bissau_1991,0,1,67,and,and,CC,CC
60,Guinea_Bissau_1991,0,1,68,social,social,JJ,JJ
61,Guinea_Bissau_1991,0,1,69,justice,justice,NN,NN
62,Guinea_Bissau_1991,0,1,70,in,in,IN,IN
63,Guinea_Bissau_1991,0,1,71,each,each,DT,DT
64,Guinea_Bissau_1991,0,1,72,nation,nation,NN,NN
65,Guinea_Bissau_1991,0,2,0,The,the,DT,DT
66,Guinea_Bissau_1991,0,2,1,Party,party,NNP,NN
67,Guinea_Bissau_1991,0,2,2,consecrated,consecrated,VBD,VB
68,Guinea_Bissau_1991,0,2,3,the,the,DT,DT
69,Guinea_Bissau_1991,0,2,4,independence,independence,NN,NN
70,Guinea_Bissau_1991,0,2,6,winning,winning,VBG,VB
71,Guinea_Bissau_1991,0,2,7,internal,internal,JJ,JJ
72,Guinea_Bissau_1991,0,2,8,and,and,CC,CC
73,Guinea_Bissau_1991,0,2,9,international,international,JJ,JJ
74,Guinea_Bissau_1991,0,2,10,harmony,harmony,NN,NN
75,Guinea_Bissau_1991,0,2,12,respect,respect,NN,NN
76,Guinea_Bissau_1991,0,2,13,and,and,CC,CC
77,Guinea_Bissau_1991,0,2,14,admiration,admiration,NN,NN
78,Guinea_Bissau_1991,0,2,15,as,as,IN,IN
79,Guinea_Bissau_1991,0,2,16,the,the,DT,DT
80,Guinea_Bissau_1991,0,2,17,form,form,NN,NN
81,Guinea_Bissau_1991,0,2,18,for,for,IN,IN
82,Guinea_Bissau_1991,0,2,19,directing,directing,VBG,VB
83,Guinea_Bissau_1991,0,2,20,the,the,DT,DT
84,Guinea_Bissau_1991,0,2,21,future,future,NN,NN
85,Guinea_Bissau_1991,0,2,22,of,of,IN,IN
86,Guinea_Bissau_1991,0,2,23,the,the,DT,DT
87,Guinea_Bissau_1991,0,2,24,Guinea,guinea,NNP,NN
88,Guinea_Bissau_1991,0,2,25,nation,nation,NN,NN
89,Guinea_Bissau_1991,0,2,27,namely,namely,RB,RB
90,Guinea_Bissau_1991,0,2,28,through,through,IN,IN
91,Guinea_Bissau_1991,0,2,29,the,the,DT,DT
92,Guinea_Bissau_1991,0,2,30,creation,creation,NN,NN
93,Guinea_Bissau_1991,0,2,31,and,and,CC,CC
94,Guinea_Bissau_1991,0,2,32,institutionalization,institutionalization,NN,NN
95,Guinea_Bissau_1991,0,2,33,of,of,IN,IN
96,Guinea_Bissau_1991,0,2,34,state,state,NN,NN
97,Guinea_Bissau_1991,0,2,35,structure,structure,NN,NN
98,Guinea_Bissau_1991,0,3,0,With,with,IN,IN
99,Guinea_Bissau_1991,0,3,1,the,the,DT,DT
100,Guinea_Bissau_1991,0,3,2,Readjusting,readjusting,NNP,NN
101,Guinea_Bissau_1991,0,3,3,Movement,movement,NNP,NN
102,Guinea_Bissau_1991,0,3,5,Movimento,movimento,NNP,NN
103,Guinea_Bissau_1991,0,3,6,Reajustador,reajustador,NNP,NN
104,Guinea_Bissau_1991,0,3,8,of,of,IN,IN
105,Guinea_Bissau_1991,0,3,9,November,november,NNP,NN
106,Guinea_Bissau_1991,0,3,10,14,14,CD,CD
107,Guinea_Bissau_1991,0,3,12,the,the,DT,DT
108,Guinea_Bissau_1991,0,3,13,Party,party,NNP,NN
109,Guinea_Bissau_1991,0,3,14,reoriented,reoriented,VBD,VB
110,Guinea_Bissau_1991,0,3,15,its,its,PRP$,PR
111,Guinea_Bissau_1991,0,3,16,activities,activities,NNS,NN
112,Guinea_Bissau_1991,0,3,18,correcting,correcting,VBG,VB
113,Guinea_Bissau_1991,0,3,19,any,any,DT,DT
114,Guinea_Bissau_1991,0,3,20,errors,errors,NNS,NN
115,Guinea_Bissau_1991,0,3,21,that,that,WDT,WD
116,Guinea_Bissau_1991,0,3,22,had,had,VBD,VB
117,Guinea_Bissau_1991,0,3,23,to,to,TO,TO
118,Guinea_Bissau_1991,0,3,24,be,be,VB,VB
119,Guinea_Bissau_1991,0,3,25,overcome,overcome,VBN,VB
120,Guinea_Bissau_1991,0,3,26,in,in,IN,IN
121,Guinea_Bissau_1991,0,3,27,order,order,NN,NN
122,Guinea_Bissau_1991,0,3,28,to,to,TO,TO
123,Guinea_Bissau_1991,0,3,29,build,build,VB,VB
124,Guinea_Bissau_1991,0,3,30,a,a,DT,DT
125,Guinea_Bissau_1991,0,3,31,unified,unified,JJ,JJ
126,Guinea_Bissau_1991,0,3,33,strong,strong,JJ,JJ
127,Guinea_Bissau_1991,0,3,35,and,and,CC,CC
128,Guinea_Bissau_1991,0,3,36,democratic,democratic,JJ,JJ
129,Guinea_Bissau_1991,0,3,37,society,society,NN,NN
130,Guinea_Bissau_1991,0,4,0,Adopting,adopting,VBG,VB
131,Guinea_Bissau_1991,0,4,1,this,this,DT,DT
132,Guinea_Bissau_1991,0,4,2,Constitution,constitution,NNP,NN
133,Guinea_Bissau_1991,0,4,4,which,which,WDT,WD
134,Guinea_Bissau_1991,0,4,5,follows,follows,VBZ,VB
135,Guinea_Bissau_1991,0,4,6,faithfully,faithfully,RB,RB
136,Guinea_Bissau_1991,0,4,7,the,the,DT,DT
137,Guinea_Bissau_1991,0,4,8,thread,thread,NN,NN
138,Guinea_Bissau_1991,0,4,9,of,of,IN,IN
139,Guinea_Bissau_1991,0,4,10,institutional,institutional,JJ,JJ
140,Guinea_Bissau_1991,0,4,11,evolution,evolution,NN,NN
141,Guinea_Bissau_1991,0,4,12,that,that,WDT,WD
142,Guinea_Bissau_1991,0,4,13,has,has,VBZ,VB
143,Guinea_Bissau_1991,0,4,14,always,always,RB,RB
144,Guinea_Bissau_1991,0,4,15,reflected,reflected,VBN,VB
145,Guinea_Bissau_1991,0,4,16,the,the,DT,DT
146,Guinea_Bissau_1991,0,4,17,ideas,ideas,NNS,NN
147,Guinea_Bissau_1991,0,4,18,and,and,CC,CC
148,Guinea_Bissau_1991,0,4,19,choices,choices,NNS,NN
149,Guinea_Bissau_1991,0,4,20,of,of,IN,IN
150,Guinea_Bissau_1991,0,4,21,our,our,PRP$,PR
151,Guinea_Bissau_1991,0,4,22,people,people,NNS,NN
152,Guinea_Bissau_1991,0,4,24,a,a,DT,DT
153,Guinea_Bissau_1991,0,4,25,policy,policy,NN,NN
154,Guinea_Bissau_1991,0,4,26,reaffirmed,reaffirmed,VBN,VB
155,Guinea_Bissau_1991,0,4,27,by,by,IN,IN
156,Guinea_Bissau_1991,0,4,28,the,the,DT,DT
157,Guinea_Bissau_1991,0,4,29,profound,profound,NN,NN
158,Guinea_Bissau_1991,0,4,30,transformation,transformation,NN,NN
159,Guinea_Bissau_1991,0,4,31,being,being,VBG,VB
160,Guinea_Bissau_1991,0,4,32,brought,brought,VBN,VB
161,Guinea_Bissau_1991,0,4,33,about,about,IN,IN
162,Guinea_Bissau_1991,0,4,34,in,in,IN,IN
163,Guinea_Bissau_1991,0,4,35,our,our,PRP$,PR
164,Guinea_Bissau_1991,0,4,36,society,society,NN,NN
165,Guinea_Bissau_1991,0,4,37,by,by,IN,IN
166,Guinea_Bissau_1991,0,4,38,legality,legality,NN,NN
167,Guinea_Bissau_1991,0,4,40,lawfulness,lawfulness,NN,NN
