,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Haiti_2012,0,0,0,Haiti,haiti,NNP,NN
1,Haiti_2012,0,0,1,1987,1987,CD,CD
2,Haiti_2012,0,0,3,rev,rev,NN,NN
3,Haiti_2012,0,1,0,2012,2012,CD,CD
4,Haiti_2012,0,1,2,Preamble,preamble,NNP,NN
5,Haiti_2012,0,1,3,Share,share,NNP,NN
6,Haiti_2012,0,1,4,The,the,DT,DT
7,Haiti_2012,0,1,5,Haitian,haitian,JJ,JJ
8,Haiti_2012,0,1,6,people,people,NNS,NN
9,Haiti_2012,0,1,7,proclaim,proclaim,VBP,VB
10,Haiti_2012,0,1,8,this,this,DT,DT
11,Haiti_2012,0,1,9,Constitution,constitution,NN,NN
12,Haiti_2012,0,1,11,To,to,TO,TO
13,Haiti_2012,0,1,12,guarantee,guarantee,VB,VB
14,Haiti_2012,0,1,13,their,their,PRP$,PR
15,Haiti_2012,0,1,14,inalienable,inalienable,JJ,JJ
16,Haiti_2012,0,1,15,and,and,CC,CC
17,Haiti_2012,0,1,16,imprescriptible,imprescriptible,JJ,JJ
18,Haiti_2012,0,1,17,rights,rights,NNS,NN
19,Haiti_2012,0,1,18,to,to,TO,TO
20,Haiti_2012,0,1,19,life,life,NN,NN
21,Haiti_2012,0,1,21,to,to,TO,TO
22,Haiti_2012,0,1,22,liberty,liberty,VB,VB
23,Haiti_2012,0,1,23,and,and,CC,CC
24,Haiti_2012,0,1,24,to,to,TO,TO
25,Haiti_2012,0,1,25,the,the,DT,DT
26,Haiti_2012,0,1,26,pursuit,pursuit,NN,NN
27,Haiti_2012,0,1,27,of,of,IN,IN
28,Haiti_2012,0,1,28,happiness,happiness,NN,NN
29,Haiti_2012,0,1,30,in,in,IN,IN
30,Haiti_2012,0,1,31,accordance,accordance,NN,NN
31,Haiti_2012,0,1,32,with,with,IN,IN
32,Haiti_2012,0,1,33,their,their,PRP$,PR
33,Haiti_2012,0,1,34,Act,act,NNP,NN
34,Haiti_2012,0,1,35,of,of,IN,IN
35,Haiti_2012,0,1,36,Independence,independence,NNP,NN
36,Haiti_2012,0,1,37,of,of,IN,IN
37,Haiti_2012,0,1,38,1804,1804,CD,CD
38,Haiti_2012,0,1,39,and,and,CC,CC
39,Haiti_2012,0,1,40,with,with,IN,IN
40,Haiti_2012,0,1,41,the,the,DT,DT
41,Haiti_2012,0,1,42,Universal,universal,NNP,NN
42,Haiti_2012,0,1,43,Declaration,declaration,NNP,NN
43,Haiti_2012,0,1,44,of,of,IN,IN
44,Haiti_2012,0,1,45,the,the,DT,DT
45,Haiti_2012,0,1,46,Rights,rights,NNPS,NN
