,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Honduras_2012,0,0,0,Honduras,honduras,NNS,NN
1,Honduras_2012,0,0,1,1982,1982,CD,CD
2,Honduras_2012,0,0,3,rev,rev,NN,NN
3,Honduras_2012,0,1,0,2012,2012,CD,CD
4,Honduras_2012,0,1,2,Preamble,preamble,JJ,JJ
5,Honduras_2012,0,1,3,Share,share,NN,NN
6,Honduras_2012,0,1,4,We,we,PRP,PR
7,Honduras_2012,0,1,6,the,the,DT,DT
8,Honduras_2012,0,1,7,representatives,representatives,NNS,NN
9,Honduras_2012,0,1,8,elected,elected,VBN,VB
10,Honduras_2012,0,1,9,by,by,IN,IN
11,Honduras_2012,0,1,10,the,the,DT,DT
12,Honduras_2012,0,1,11,sovereign,sovereign,NN,NN
13,Honduras_2012,0,1,12,will,will,MD,MD
14,Honduras_2012,0,1,13,of,of,IN,IN
15,Honduras_2012,0,1,14,the,the,DT,DT
16,Honduras_2012,0,1,15,Honduran,honduran,NNP,NN
17,Honduras_2012,0,1,16,people,people,NNS,NN
18,Honduras_2012,0,1,18,meeting,meeting,NN,NN
19,Honduras_2012,0,1,19,in,in,IN,IN
20,Honduras_2012,0,1,20,the,the,DT,DT
21,Honduras_2012,0,1,21,National,national,NNP,NN
22,Honduras_2012,0,1,22,Constituent,constituent,NNP,NN
23,Honduras_2012,0,1,23,Assembly,assembly,NNP,NN
24,Honduras_2012,0,1,25,invoking,invoking,VBG,VB
25,Honduras_2012,0,1,26,the,the,DT,DT
26,Honduras_2012,0,1,27,protection,protection,NN,NN
27,Honduras_2012,0,1,28,of,of,IN,IN
28,Honduras_2012,0,1,29,God,god,NNP,NN
29,Honduras_2012,0,1,30,and,and,CC,CC
30,Honduras_2012,0,1,31,the,the,DT,DT
31,Honduras_2012,0,1,32,example,example,NN,NN
32,Honduras_2012,0,1,33,of,of,IN,IN
33,Honduras_2012,0,1,34,our,our,PRP$,PR
34,Honduras_2012,0,1,35,founding,founding,NN,NN
35,Honduras_2012,0,1,36,fathers,fathers,NNS,NN
36,Honduras_2012,0,1,38,placing,placing,VBG,VB
37,Honduras_2012,0,1,39,our,our,PRP$,PR
38,Honduras_2012,0,1,40,faith,faith,NN,NN
39,Honduras_2012,0,1,41,in,in,IN,IN
40,Honduras_2012,0,1,42,the,the,DT,DT
41,Honduras_2012,0,1,43,restoration,restoration,NN,NN
42,Honduras_2012,0,1,44,of,of,IN,IN
43,Honduras_2012,0,1,45,the,the,DT,DT
44,Honduras_2012,0,1,46,Central,central,NNP,NN
45,Honduras_2012,0,1,47,American,american,NNP,NN
46,Honduras_2012,0,1,48,union,union,NN,NN
