,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Hungary_2011,0,0,0,Hungary,hungary,JJ,JJ
1,Hungary_2011,0,0,1,2011,2011,CD,CD
2,Hungary_2011,0,0,2,Preamble,preamble,JJ,JJ
3,Hungary_2011,0,0,3,Share,share,NNP,NN
4,Hungary_2011,0,0,4,WE,we,NNP,NN
5,Hungary_2011,0,0,6,THE,the,NNP,NN
6,Hungary_2011,0,0,7,MEMBERS,members,NNP,NN
7,Hungary_2011,0,0,8,OF,of,IN,IN
8,Hungary_2011,0,0,9,THE,the,NNP,NN
9,Hungary_2011,0,0,10,HUNGARIAN,hungarian,NNP,NN
10,Hungary_2011,0,0,11,NATION,nation,NNP,NN
11,Hungary_2011,0,0,13,at,at,IN,IN
12,Hungary_2011,0,0,14,the,the,DT,DT
13,Hungary_2011,0,0,15,beginning,beginning,NN,NN
14,Hungary_2011,0,0,16,of,of,IN,IN
15,Hungary_2011,0,0,17,the,the,DT,DT
16,Hungary_2011,0,0,18,new,new,JJ,JJ
17,Hungary_2011,0,0,19,millennium,millennium,NN,NN
18,Hungary_2011,0,0,21,with,with,IN,IN
19,Hungary_2011,0,0,22,a,a,DT,DT
20,Hungary_2011,0,0,23,sense,sense,NN,NN
21,Hungary_2011,0,0,24,of,of,IN,IN
22,Hungary_2011,0,0,25,responsibility,responsibility,NN,NN
23,Hungary_2011,0,0,26,for,for,IN,IN
24,Hungary_2011,0,0,27,every,every,DT,DT
25,Hungary_2011,0,0,28,Hungarian,hungarian,NNP,NN
26,Hungary_2011,0,0,30,hereby,hereby,RB,RB
27,Hungary_2011,0,0,31,proclaim,proclaim,VB,VB
28,Hungary_2011,0,0,32,the,the,DT,DT
29,Hungary_2011,0,0,33,following,following,JJ,JJ
30,Hungary_2011,0,0,35,We,we,PRP,PR
31,Hungary_2011,0,0,36,are,are,VBP,VB
32,Hungary_2011,0,0,37,proud,proud,JJ,JJ
33,Hungary_2011,0,0,38,that,that,IN,IN
34,Hungary_2011,0,0,39,our,our,PRP$,PR
35,Hungary_2011,0,0,40,king,king,VBG,VB
36,Hungary_2011,0,0,41,Saint,saint,NNP,NN
37,Hungary_2011,0,0,42,Stephen,stephen,NNP,NN
38,Hungary_2011,0,0,43,built,built,VBD,VB
39,Hungary_2011,0,0,44,the,the,DT,DT
40,Hungary_2011,0,0,45,Hungarian,hungarian,JJ,JJ
41,Hungary_2011,0,0,46,State,state,NNP,NN
42,Hungary_2011,0,0,47,on,on,IN,IN
43,Hungary_2011,0,0,48,solid,solid,JJ,JJ
44,Hungary_2011,0,0,49,ground,ground,NN,NN
45,Hungary_2011,0,0,50,and,and,CC,CC
46,Hungary_2011,0,0,51,made,made,VBD,VB
47,Hungary_2011,0,0,52,our,our,PRP$,PR
48,Hungary_2011,0,0,53,country,country,NN,NN
49,Hungary_2011,0,0,54,a,a,DT,DT
50,Hungary_2011,0,0,55,part,part,NN,NN
51,Hungary_2011,0,0,56,of,of,IN,IN
52,Hungary_2011,0,0,57,Christian,christian,NNP,NN
53,Hungary_2011,0,0,58,Europe,europe,NNP,NN
54,Hungary_2011,0,0,59,one,one,CD,CD
55,Hungary_2011,0,0,60,thousand,thousand,CD,CD
56,Hungary_2011,0,0,61,years,years,NNS,NN
57,Hungary_2011,0,0,62,ago,ago,RB,RB
58,Hungary_2011,0,1,0,We,we,PRP,PR
59,Hungary_2011,0,1,1,are,are,VBP,VB
60,Hungary_2011,0,1,2,proud,proud,JJ,JJ
61,Hungary_2011,0,1,3,of,of,IN,IN
62,Hungary_2011,0,1,4,our,our,PRP$,PR
63,Hungary_2011,0,1,5,forebears,forebears,NNS,NN
64,Hungary_2011,0,1,6,who,who,WP,WP
65,Hungary_2011,0,1,7,fought,fought,VBD,VB
66,Hungary_2011,0,1,8,for,for,IN,IN
67,Hungary_2011,0,1,9,the,the,DT,DT
68,Hungary_2011,0,1,10,survival,survival,NN,NN
69,Hungary_2011,0,1,12,freedom,freedom,NN,NN
70,Hungary_2011,0,1,13,and,and,CC,CC
71,Hungary_2011,0,1,14,independence,independence,NN,NN
72,Hungary_2011,0,1,15,of,of,IN,IN
73,Hungary_2011,0,1,16,our,our,PRP$,PR
74,Hungary_2011,0,1,17,country,country,NN,NN
75,Hungary_2011,0,2,0,We,we,PRP,PR
76,Hungary_2011,0,2,1,are,are,VBP,VB
77,Hungary_2011,0,2,2,proud,proud,JJ,JJ
78,Hungary_2011,0,2,3,of,of,IN,IN
79,Hungary_2011,0,2,4,the,the,DT,DT
80,Hungary_2011,0,2,5,outstanding,outstanding,JJ,JJ
81,Hungary_2011,0,2,6,intellectual,intellectual,JJ,JJ
82,Hungary_2011,0,2,7,achievements,achievements,NNS,NN
83,Hungary_2011,0,2,8,of,of,IN,IN
84,Hungary_2011,0,2,9,the,the,DT,DT
85,Hungary_2011,0,2,10,Hungarian,hungarian,JJ,JJ
86,Hungary_2011,0,2,11,people,people,NNS,NN
87,Hungary_2011,0,3,0,We,we,PRP,PR
88,Hungary_2011,0,3,1,are,are,VBP,VB
89,Hungary_2011,0,3,2,proud,proud,JJ,JJ
90,Hungary_2011,0,3,3,that,that,IN,IN
91,Hungary_2011,0,3,4,our,our,PRP$,PR
92,Hungary_2011,0,3,5,people,people,NNS,NN
93,Hungary_2011,0,3,6,has,has,VBZ,VB
94,Hungary_2011,0,3,7,over,over,IN,IN
95,Hungary_2011,0,3,8,the,the,DT,DT
96,Hungary_2011,0,3,9,centuries,centuries,NNS,NN
97,Hungary_2011,0,3,10,defended,defended,VBD,VB
98,Hungary_2011,0,3,11,Europe,europe,NNP,NN
99,Hungary_2011,0,3,12,in,in,IN,IN
100,Hungary_2011,0,3,13,a,a,DT,DT
101,Hungary_2011,0,3,14,series,series,NN,NN
102,Hungary_2011,0,3,15,of,of,IN,IN
103,Hungary_2011,0,3,16,struggles,struggles,NNS,NN
104,Hungary_2011,0,3,17,and,and,CC,CC
105,Hungary_2011,0,3,18,enriched,enriched,VBN,VB
106,Hungary_2011,0,3,19,Europe,europe,NNP,NN
107,Hungary_2011,0,3,21,s,s,NN,NN
108,Hungary_2011,0,3,22,common,common,JJ,JJ
109,Hungary_2011,0,3,23,values,values,NNS,NN
110,Hungary_2011,0,3,24,with,with,IN,IN
111,Hungary_2011,0,3,25,its,its,PRP$,PR
112,Hungary_2011,0,3,26,talent,talent,NN,NN
113,Hungary_2011,0,3,27,and,and,CC,CC
114,Hungary_2011,0,3,28,diligence,diligence,NN,NN
115,Hungary_2011,0,4,0,We,we,PRP,PR
116,Hungary_2011,0,4,1,recognise,recognise,VBP,VB
117,Hungary_2011,0,4,2,the,the,DT,DT
118,Hungary_2011,0,4,3,role,role,NN,NN
119,Hungary_2011,0,4,4,of,of,IN,IN
120,Hungary_2011,0,4,5,Christianity,christianity,NNP,NN
121,Hungary_2011,0,4,6,in,in,IN,IN
122,Hungary_2011,0,4,7,preserving,preserving,VBG,VB
123,Hungary_2011,0,4,8,nationhood,nationhood,NN,NN
124,Hungary_2011,0,5,0,We,we,PRP,PR
125,Hungary_2011,0,5,1,value,value,NN,NN
126,Hungary_2011,0,5,2,the,the,DT,DT
127,Hungary_2011,0,5,3,various,various,JJ,JJ
128,Hungary_2011,0,5,4,religious,religious,JJ,JJ
129,Hungary_2011,0,5,5,traditions,traditions,NNS,NN
130,Hungary_2011,0,5,6,of,of,IN,IN
131,Hungary_2011,0,5,7,our,our,PRP$,PR
132,Hungary_2011,0,5,8,country,country,NN,NN
133,Hungary_2011,0,6,0,We,we,PRP,PR
134,Hungary_2011,0,6,1,promise,promise,VBP,VB
135,Hungary_2011,0,6,2,to,to,TO,TO
136,Hungary_2011,0,6,3,preserve,preserve,VB,VB
137,Hungary_2011,0,6,4,the,the,DT,DT
138,Hungary_2011,0,6,5,intellectual,intellectual,JJ,JJ
139,Hungary_2011,0,6,6,and,and,CC,CC
140,Hungary_2011,0,6,7,spiritual,spiritual,JJ,JJ
141,Hungary_2011,0,6,8,unity,unity,NN,NN
142,Hungary_2011,0,6,9,of,of,IN,IN
143,Hungary_2011,0,6,10,our,our,PRP$,PR
144,Hungary_2011,0,6,11,nation,nation,NN,NN
145,Hungary_2011,0,6,12,torn,torn,VBN,VB
146,Hungary_2011,0,6,13,apart,apart,RB,RB
147,Hungary_2011,0,6,14,in,in,IN,IN
148,Hungary_2011,0,6,15,the,the,DT,DT
149,Hungary_2011,0,6,16,storms,storms,NNS,NN
150,Hungary_2011,0,6,17,of,of,IN,IN
151,Hungary_2011,0,6,18,the,the,DT,DT
152,Hungary_2011,0,6,19,last,last,JJ,JJ
153,Hungary_2011,0,6,20,century,century,NN,NN
154,Hungary_2011,0,7,0,The,the,DT,DT
155,Hungary_2011,0,7,1,nationalities,nationalities,NNS,NN
156,Hungary_2011,0,7,2,living,living,VBG,VB
157,Hungary_2011,0,7,3,with,with,IN,IN
158,Hungary_2011,0,7,4,us,us,PRP,PR
159,Hungary_2011,0,7,5,form,form,VBP,VB
160,Hungary_2011,0,7,6,part,part,NN,NN
161,Hungary_2011,0,7,7,of,of,IN,IN
162,Hungary_2011,0,7,8,the,the,DT,DT
163,Hungary_2011,0,7,9,Hungarian,hungarian,JJ,JJ
164,Hungary_2011,0,7,10,political,political,JJ,JJ
165,Hungary_2011,0,7,11,community,community,NN,NN
166,Hungary_2011,0,7,12,and,and,CC,CC
167,Hungary_2011,0,7,13,are,are,VBP,VB
