,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Indonesia_2002,0,0,0,Indonesia,indonesia,NN,NN
1,Indonesia_2002,0,0,1,1945,1945,CD,CD
2,Indonesia_2002,0,0,3,reinst,reinst,NN,NN
3,Indonesia_2002,0,1,0,1959,1959,CD,CD
4,Indonesia_2002,0,1,2,rev,rev,NN,NN
5,Indonesia_2002,0,2,0,2002,2002,CD,CD
6,Indonesia_2002,0,2,2,Preamble,preamble,NNP,NN
7,Indonesia_2002,0,2,3,Share,share,NNP,NN
8,Indonesia_2002,0,2,4,Whereas,whereas,NNP,NN
9,Indonesia_2002,0,2,5,independence,independence,NN,NN
10,Indonesia_2002,0,2,6,is,is,VBZ,VB
11,Indonesia_2002,0,2,7,the,the,DT,DT
12,Indonesia_2002,0,2,8,inalienable,inalienable,JJ,JJ
13,Indonesia_2002,0,2,9,right,right,NN,NN
14,Indonesia_2002,0,2,10,of,of,IN,IN
15,Indonesia_2002,0,2,11,all,all,DT,DT
16,Indonesia_2002,0,2,12,nations,nations,NNS,NN
17,Indonesia_2002,0,2,14,therefore,therefore,RB,RB
18,Indonesia_2002,0,2,16,all,all,DT,DT
19,Indonesia_2002,0,2,17,colonialism,colonialism,NN,NN
20,Indonesia_2002,0,2,18,must,must,MD,MD
21,Indonesia_2002,0,2,19,be,be,VB,VB
22,Indonesia_2002,0,2,20,abolished,abolished,VBN,VB
23,Indonesia_2002,0,2,21,in,in,IN,IN
24,Indonesia_2002,0,2,22,this,this,DT,DT
25,Indonesia_2002,0,2,23,world,world,NN,NN
26,Indonesia_2002,0,2,24,as,as,IN,IN
27,Indonesia_2002,0,2,25,it,it,PRP,PR
28,Indonesia_2002,0,2,26,is,is,VBZ,VB
29,Indonesia_2002,0,2,27,not,not,RB,RB
30,Indonesia_2002,0,2,28,in,in,IN,IN
31,Indonesia_2002,0,2,29,conformity,conformity,NN,NN
32,Indonesia_2002,0,2,30,with,with,IN,IN
