,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Iraq_2005,0,0,0,Iraq,iraq,NNP,NN
1,Iraq_2005,0,0,1,2005,2005,CD,CD
2,Iraq_2005,0,0,2,Preamble,preamble,NNP,NN
3,Iraq_2005,0,0,3,Share,share,NNP,NN
4,Iraq_2005,0,0,4,In,in,IN,IN
5,Iraq_2005,0,0,5,the,the,DT,DT
6,Iraq_2005,0,0,6,name,name,NN,NN
7,Iraq_2005,0,0,7,of,of,IN,IN
8,Iraq_2005,0,0,8,God,god,NNP,NN
9,Iraq_2005,0,0,10,the,the,DT,DT
10,Iraq_2005,0,0,11,Most,most,RBS,RB
11,Iraq_2005,0,0,12,merciful,merciful,JJ,JJ
12,Iraq_2005,0,0,14,the,the,DT,DT
13,Iraq_2005,0,0,15,Most,most,RBS,RB
14,Iraq_2005,0,0,16,compassionate,compassionate,JJ,JJ
15,Iraq_2005,0,0,18,We,we,PRP,PR
16,Iraq_2005,0,0,19,have,have,VBP,VB
17,Iraq_2005,0,0,20,honored,honored,VBN,VB
18,Iraq_2005,0,0,21,the,the,DT,DT
19,Iraq_2005,0,0,22,sons,sons,NNS,NN
20,Iraq_2005,0,0,23,of,of,IN,IN
21,Iraq_2005,0,0,24,Adam,adam,NNP,NN
22,Iraq_2005,0,0,26,We,we,PRP,PR
23,Iraq_2005,0,0,28,the,the,DT,DT
24,Iraq_2005,0,0,29,people,people,NNS,NN
25,Iraq_2005,0,0,30,of,of,IN,IN
26,Iraq_2005,0,0,31,Mesopotamia,mesopotamia,NNP,NN
27,Iraq_2005,0,0,33,the,the,DT,DT
28,Iraq_2005,0,0,34,homeland,homeland,NN,NN
29,Iraq_2005,0,0,35,of,of,IN,IN
30,Iraq_2005,0,0,36,the,the,DT,DT
31,Iraq_2005,0,0,37,apostles,apostles,NNS,NN
32,Iraq_2005,0,0,38,and,and,CC,CC
33,Iraq_2005,0,0,39,prophets,prophets,NNS,NN
34,Iraq_2005,0,0,41,resting,resting,VBG,VB
35,Iraq_2005,0,0,42,place,place,NN,NN
36,Iraq_2005,0,0,43,of,of,IN,IN
37,Iraq_2005,0,0,44,the,the,DT,DT
38,Iraq_2005,0,0,45,virtuous,virtuous,JJ,JJ
39,Iraq_2005,0,0,46,imams,imams,NNS,NN
40,Iraq_2005,0,0,48,cradle,cradle,NN,NN
41,Iraq_2005,0,0,49,of,of,IN,IN
42,Iraq_2005,0,0,50,civilization,civilization,NN,NN
43,Iraq_2005,0,0,52,crafters,crafters,NNS,NN
