,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Ireland_2012,0,0,0,Ireland,ireland,NN,NN
1,Ireland_2012,0,0,1,1937,1937,CD,CD
2,Ireland_2012,0,0,3,rev,rev,NN,NN
3,Ireland_2012,0,1,0,2012,2012,CD,CD
4,Ireland_2012,0,1,2,Preamble,preamble,JJ,JJ
5,Ireland_2012,0,1,3,Share,share,NN,NN
6,Ireland_2012,0,1,4,In,in,IN,IN
7,Ireland_2012,0,1,5,the,the,DT,DT
8,Ireland_2012,0,1,6,Name,name,NN,NN
9,Ireland_2012,0,1,7,of,of,IN,IN
10,Ireland_2012,0,1,8,the,the,DT,DT
11,Ireland_2012,0,1,9,Most,most,NNP,NN
12,Ireland_2012,0,1,10,Holy,holy,NNP,NN
13,Ireland_2012,0,1,11,Trinity,trinity,NNP,NN
14,Ireland_2012,0,1,13,from,from,IN,IN
15,Ireland_2012,0,1,14,Whom,whom,NNP,NN
16,Ireland_2012,0,1,15,is,is,VBZ,VB
17,Ireland_2012,0,1,16,all,all,DT,DT
18,Ireland_2012,0,1,17,authority,authority,NN,NN
19,Ireland_2012,0,1,18,and,and,CC,CC
20,Ireland_2012,0,1,19,to,to,TO,TO
21,Ireland_2012,0,1,20,Whom,whom,NNP,NN
22,Ireland_2012,0,1,22,as,as,IN,IN
23,Ireland_2012,0,1,23,our,our,PRP$,PR
24,Ireland_2012,0,1,24,final,final,JJ,JJ
25,Ireland_2012,0,1,25,end,end,NN,NN
26,Ireland_2012,0,1,27,all,all,DT,DT
27,Ireland_2012,0,1,28,actions,actions,NNS,NN
28,Ireland_2012,0,1,29,both,both,DT,DT
29,Ireland_2012,0,1,30,of,of,IN,IN
30,Ireland_2012,0,1,31,men,men,NNS,NN
31,Ireland_2012,0,1,32,and,and,CC,CC
32,Ireland_2012,0,1,33,States,states,NNS,NN
33,Ireland_2012,0,1,34,must,must,MD,MD
34,Ireland_2012,0,1,35,be,be,VB,VB
35,Ireland_2012,0,1,36,referred,referred,VBN,VB
36,Ireland_2012,0,1,38,We,we,PRP,PR
37,Ireland_2012,0,1,40,the,the,DT,DT
38,Ireland_2012,0,1,41,people,people,NNS,NN
39,Ireland_2012,0,1,42,of,of,IN,IN
40,Ireland_2012,0,1,43,Éire,éire,NN,NN
41,Ireland_2012,0,1,45,Humbly,humbly,NNP,NN
42,Ireland_2012,0,1,46,acknowledging,acknowledging,VBG,VB
43,Ireland_2012,0,1,47,all,all,DT,DT
44,Ireland_2012,0,1,48,our,our,PRP$,PR
45,Ireland_2012,0,1,49,obligations,obligations,NNS,NN
46,Ireland_2012,0,1,50,to,to,TO,TO
47,Ireland_2012,0,1,51,our,our,PRP$,PR
48,Ireland_2012,0,1,52,Divine,divine,NNP,NN
49,Ireland_2012,0,1,53,Lord,lord,NNP,NN
50,Ireland_2012,0,1,55,Jesus,jesus,NNP,NN
51,Ireland_2012,0,1,56,Christ,christ,NNP,NN
52,Ireland_2012,0,1,58,Who,who,NNP,NN
53,Ireland_2012,0,1,59,sustained,sustained,VBD,VB
54,Ireland_2012,0,1,60,our,our,PRP$,PR
55,Ireland_2012,0,1,61,fathers,fathers,NNS,NN
56,Ireland_2012,0,1,62,through,through,IN,IN
57,Ireland_2012,0,1,63,centuries,centuries,NNS,NN
58,Ireland_2012,0,1,64,of,of,IN,IN
59,Ireland_2012,0,1,65,trial,trial,NN,NN
60,Ireland_2012,0,1,67,Gratefully,gratefully,NNP,NN
61,Ireland_2012,0,1,68,remembering,remembering,VBG,VB
62,Ireland_2012,0,1,69,their,their,PRP$,PR
63,Ireland_2012,0,1,70,heroic,heroic,NN,NN
64,Ireland_2012,0,1,71,and,and,CC,CC
65,Ireland_2012,0,1,72,unremitting,unremitting,VBG,VB
66,Ireland_2012,0,1,73,struggle,struggle,NN,NN
67,Ireland_2012,0,1,74,to,to,TO,TO
68,Ireland_2012,0,1,75,regain,regain,VB,VB
69,Ireland_2012,0,1,76,the,the,DT,DT
70,Ireland_2012,0,1,77,rightful,rightful,JJ,JJ
71,Ireland_2012,0,1,78,independence,independence,NN,NN
72,Ireland_2012,0,1,79,of,of,IN,IN
73,Ireland_2012,0,1,80,our,our,PRP$,PR
74,Ireland_2012,0,1,81,Nation,nation,NN,NN
75,Ireland_2012,0,1,83,And,and,CC,CC
76,Ireland_2012,0,1,84,seeking,seeking,VBG,VB
77,Ireland_2012,0,1,85,to,to,TO,TO
78,Ireland_2012,0,1,86,promote,promote,VB,VB
79,Ireland_2012,0,1,87,the,the,DT,DT
80,Ireland_2012,0,1,88,common,common,JJ,JJ
81,Ireland_2012,0,1,89,good,good,JJ,JJ
82,Ireland_2012,0,1,91,with,with,IN,IN
83,Ireland_2012,0,1,92,due,due,JJ,JJ
84,Ireland_2012,0,1,93,observance,observance,NN,NN
85,Ireland_2012,0,1,94,of,of,IN,IN
86,Ireland_2012,0,1,95,Prudence,prudence,NNP,NN
87,Ireland_2012,0,1,97,Justice,justice,NNP,NN
88,Ireland_2012,0,1,98,and,and,CC,CC
89,Ireland_2012,0,1,99,Charity,charity,NNP,NN
90,Ireland_2012,0,1,101,so,so,IN,IN
91,Ireland_2012,0,1,102,that,that,IN,IN
92,Ireland_2012,0,1,103,the,the,DT,DT
93,Ireland_2012,0,1,104,dignity,dignity,NN,NN
94,Ireland_2012,0,1,105,and,and,CC,CC
95,Ireland_2012,0,1,106,freedom,freedom,NN,NN
96,Ireland_2012,0,1,107,of,of,IN,IN
97,Ireland_2012,0,1,108,the,the,DT,DT
98,Ireland_2012,0,1,109,individual,individual,NN,NN
99,Ireland_2012,0,1,110,may,may,MD,MD
100,Ireland_2012,0,1,111,be,be,VB,VB
101,Ireland_2012,0,1,112,assured,assured,VBN,VB
102,Ireland_2012,0,1,114,true,true,JJ,JJ
103,Ireland_2012,0,1,115,social,social,JJ,JJ
104,Ireland_2012,0,1,116,order,order,NN,NN
105,Ireland_2012,0,1,117,attained,attained,VBD,VB
106,Ireland_2012,0,1,119,the,the,DT,DT
107,Ireland_2012,0,1,120,unity,unity,NN,NN
108,Ireland_2012,0,1,121,of,of,IN,IN
109,Ireland_2012,0,1,122,our,our,PRP$,PR
110,Ireland_2012,0,1,123,country,country,NN,NN
111,Ireland_2012,0,1,124,restored,restored,VBD,VB
112,Ireland_2012,0,1,126,and,and,CC,CC
113,Ireland_2012,0,1,127,concord,concord,NN,NN
114,Ireland_2012,0,1,128,established,established,VBN,VB
115,Ireland_2012,0,1,129,with,with,IN,IN
116,Ireland_2012,0,1,130,other,other,JJ,JJ
117,Ireland_2012,0,1,131,nations,nations,NNS,NN
118,Ireland_2012,0,1,133,Do,do,NNP,NN
119,Ireland_2012,0,1,134,hereby,hereby,RB,RB
120,Ireland_2012,0,1,135,adopt,adopt,VB,VB
121,Ireland_2012,0,1,137,enact,enact,VB,VB
122,Ireland_2012,0,1,139,and,and,CC,CC
123,Ireland_2012,0,1,140,give,give,VB,VB
124,Ireland_2012,0,1,141,to,to,TO,TO
125,Ireland_2012,0,1,142,ourselves,ourselves,VB,VB
126,Ireland_2012,0,1,143,this,this,DT,DT
127,Ireland_2012,0,1,144,Constitution,constitution,NNP,NN
128,Ireland_2012,0,2,0,THE,the,DT,DT
129,Ireland_2012,0,2,1,NATION,nation,NNP,NN
130,Ireland_2012,0,2,2,Share,share,NNP,NN
131,Ireland_2012,0,2,3,ARTICLE,article,NNP,NN
132,Ireland_2012,0,2,4,1,1,CD,CD
133,Ireland_2012,0,2,5,Share,share,NNP,NN
134,Ireland_2012,0,2,6,The,the,DT,DT
135,Ireland_2012,0,2,7,Irish,irish,NNP,NN
136,Ireland_2012,0,2,8,nation,nation,NN,NN
137,Ireland_2012,0,2,9,hereby,hereby,NN,NN
138,Ireland_2012,0,2,10,affirms,affirms,VBZ,VB
139,Ireland_2012,0,2,11,its,its,PRP$,PR
140,Ireland_2012,0,2,12,inalienable,inalienable,JJ,JJ
141,Ireland_2012,0,2,14,indefeasible,indefeasible,JJ,JJ
142,Ireland_2012,0,2,16,and,and,CC,CC
143,Ireland_2012,0,2,17,sovereign,sovereign,RB,RB
144,Ireland_2012,0,2,18,right,right,JJ,JJ
145,Ireland_2012,0,2,19,to,to,TO,TO
146,Ireland_2012,0,2,20,choose,choose,VB,VB
147,Ireland_2012,0,2,21,its,its,PRP$,PR
148,Ireland_2012,0,2,22,own,own,JJ,JJ
149,Ireland_2012,0,2,23,form,form,NN,NN
150,Ireland_2012,0,2,24,of,of,IN,IN
151,Ireland_2012,0,2,25,Government,government,NNP,NN
152,Ireland_2012,0,2,27,to,to,TO,TO
153,Ireland_2012,0,2,28,determine,determine,VB,VB
154,Ireland_2012,0,2,29,its,its,PRP$,PR
155,Ireland_2012,0,2,30,relations,relations,NNS,NN
156,Ireland_2012,0,2,31,with,with,IN,IN
157,Ireland_2012,0,2,32,other,other,JJ,JJ
158,Ireland_2012,0,2,33,nations,nations,NNS,NN
159,Ireland_2012,0,2,35,and,and,CC,CC
160,Ireland_2012,0,2,36,to,to,TO,TO
161,Ireland_2012,0,2,37,develop,develop,VB,VB
162,Ireland_2012,0,2,38,its,its,PRP$,PR
163,Ireland_2012,0,2,39,life,life,NN,NN
164,Ireland_2012,0,2,41,political,political,JJ,JJ
165,Ireland_2012,0,2,43,economic,economic,JJ,JJ
166,Ireland_2012,0,2,44,and,and,CC,CC
167,Ireland_2012,0,2,45,cultural,cultural,JJ,JJ
168,Ireland_2012,0,2,47,in,in,IN,IN
169,Ireland_2012,0,2,48,accordance,accordance,NN,NN
170,Ireland_2012,0,2,49,with,with,IN,IN
171,Ireland_2012,0,2,50,its,its,PRP$,PR
172,Ireland_2012,0,2,51,own,own,JJ,JJ
173,Ireland_2012,0,2,52,genius,genius,NN,NN
174,Ireland_2012,0,2,53,and,and,CC,CC
175,Ireland_2012,0,2,54,traditions,traditions,NNS,NN
176,Ireland_2012,0,3,0,ARTICLE,article,$,$
177,Ireland_2012,0,3,1,2,2,CD,CD
178,Ireland_2012,0,3,2,Share,share,NNP,NN
179,Ireland_2012,0,3,3,It,it,PRP,PR
180,Ireland_2012,0,3,4,is,is,VBZ,VB
181,Ireland_2012,0,3,5,the,the,DT,DT
182,Ireland_2012,0,3,6,entitlement,entitlement,NN,NN
183,Ireland_2012,0,3,7,and,and,CC,CC
184,Ireland_2012,0,3,8,birthright,birthright,NN,NN
185,Ireland_2012,0,3,9,of,of,IN,IN
186,Ireland_2012,0,3,10,every,every,DT,DT
187,Ireland_2012,0,3,11,person,person,NN,NN
188,Ireland_2012,0,3,12,born,born,VBN,VB
189,Ireland_2012,0,3,13,in,in,IN,IN
190,Ireland_2012,0,3,14,the,the,DT,DT
191,Ireland_2012,0,3,15,island,island,NN,NN
192,Ireland_2012,0,3,16,of,of,IN,IN
193,Ireland_2012,0,3,17,Ireland,ireland,NNP,NN
194,Ireland_2012,0,3,19,which,which,WDT,WD
195,Ireland_2012,0,3,20,includes,includes,VBZ,VB
196,Ireland_2012,0,3,21,its,its,PRP$,PR
197,Ireland_2012,0,3,22,islands,islands,NNS,NN
198,Ireland_2012,0,3,23,and,and,CC,CC
199,Ireland_2012,0,3,24,seas,seas,NNS,NN
200,Ireland_2012,0,3,26,to,to,TO,TO
201,Ireland_2012,0,3,27,be,be,VB,VB
202,Ireland_2012,0,3,28,part,part,NN,NN
203,Ireland_2012,0,3,29,of,of,IN,IN
204,Ireland_2012,0,3,30,the,the,DT,DT
205,Ireland_2012,0,3,31,Irish,irish,JJ,JJ
206,Ireland_2012,0,3,32,Nation,nation,NN,NN
207,Ireland_2012,0,4,0,That,that,DT,DT
208,Ireland_2012,0,4,1,is,is,VBZ,VB
209,Ireland_2012,0,4,2,also,also,RB,RB
210,Ireland_2012,0,4,3,the,the,DT,DT
211,Ireland_2012,0,4,4,entitlement,entitlement,NN,NN
212,Ireland_2012,0,4,5,of,of,IN,IN
213,Ireland_2012,0,4,6,all,all,DT,DT
214,Ireland_2012,0,4,7,persons,persons,NNS,NN
215,Ireland_2012,0,4,8,otherwise,otherwise,RB,RB
216,Ireland_2012,0,4,9,qualified,qualified,VBN,VB
217,Ireland_2012,0,4,10,in,in,IN,IN
218,Ireland_2012,0,4,11,accordance,accordance,NN,NN
219,Ireland_2012,0,4,12,with,with,IN,IN
220,Ireland_2012,0,4,13,law,law,NN,NN
221,Ireland_2012,0,4,14,to,to,TO,TO
222,Ireland_2012,0,4,15,be,be,VB,VB
223,Ireland_2012,0,4,16,citizens,citizens,NNS,NN
224,Ireland_2012,0,4,17,of,of,IN,IN
225,Ireland_2012,0,4,18,Ireland,ireland,NNP,NN
226,Ireland_2012,0,5,0,Furthermore,furthermore,RB,RB
227,Ireland_2012,0,5,2,the,the,DT,DT
228,Ireland_2012,0,5,3,Irish,irish,JJ,JJ
229,Ireland_2012,0,5,4,nation,nation,NN,NN
230,Ireland_2012,0,5,5,cherishes,cherishes,VBZ,VB
231,Ireland_2012,0,5,6,its,its,PRP$,PR
232,Ireland_2012,0,5,7,special,special,JJ,JJ
233,Ireland_2012,0,5,8,affinity,affinity,NN,NN
234,Ireland_2012,0,5,9,with,with,IN,IN
235,Ireland_2012,0,5,10,people,people,NNS,NN
236,Ireland_2012,0,5,11,of,of,IN,IN
237,Ireland_2012,0,5,12,Irish,irish,JJ,JJ
238,Ireland_2012,0,5,13,ancestry,ancestry,NN,NN
239,Ireland_2012,0,5,14,living,living,VBG,VB
240,Ireland_2012,0,5,15,abroad,abroad,RB,RB
241,Ireland_2012,0,5,16,who,who,WP,WP
242,Ireland_2012,0,5,17,share,share,NN,NN
243,Ireland_2012,0,5,18,its,its,PRP$,PR
244,Ireland_2012,0,5,19,cultural,cultural,JJ,JJ
245,Ireland_2012,0,5,20,identity,identity,NN,NN
246,Ireland_2012,0,5,21,and,and,CC,CC
247,Ireland_2012,0,5,22,heritage,heritage,NN,NN
248,Ireland_2012,0,6,0,ARTICLE,article,$,$
249,Ireland_2012,0,6,1,3,3,CD,CD
250,Ireland_2012,0,6,2,Share,share,NNP,NN
251,Ireland_2012,0,6,3,1,1,CD,CD
252,Ireland_2012,0,7,0,It,it,PRP,PR
253,Ireland_2012,0,7,1,is,is,VBZ,VB
254,Ireland_2012,0,7,2,the,the,DT,DT
255,Ireland_2012,0,7,3,firm,firm,NN,NN
256,Ireland_2012,0,7,4,will,will,MD,MD
257,Ireland_2012,0,7,5,of,of,IN,IN
258,Ireland_2012,0,7,6,the,the,DT,DT
259,Ireland_2012,0,7,7,Irish,irish,JJ,JJ
260,Ireland_2012,0,7,8,Nation,nation,NN,NN
261,Ireland_2012,0,7,10,in,in,IN,IN
262,Ireland_2012,0,7,11,harmony,harmony,NN,NN
263,Ireland_2012,0,7,12,and,and,CC,CC
264,Ireland_2012,0,7,13,friendship,friendship,NN,NN
265,Ireland_2012,0,7,15,to,to,TO,TO
266,Ireland_2012,0,7,16,unite,unite,VB,VB
267,Ireland_2012,0,7,17,all,all,PDT,PD
268,Ireland_2012,0,7,18,the,the,DT,DT
269,Ireland_2012,0,7,19,people,people,NNS,NN
270,Ireland_2012,0,7,20,who,who,WP,WP
271,Ireland_2012,0,7,21,share,share,NN,NN
272,Ireland_2012,0,7,22,the,the,DT,DT
273,Ireland_2012,0,7,23,territory,territory,NN,NN
274,Ireland_2012,0,7,24,of,of,IN,IN
275,Ireland_2012,0,7,25,the,the,DT,DT
276,Ireland_2012,0,7,26,island,island,NN,NN
277,Ireland_2012,0,7,27,of,of,IN,IN
278,Ireland_2012,0,7,28,Ireland,ireland,NNP,NN
279,Ireland_2012,0,7,30,in,in,IN,IN
280,Ireland_2012,0,7,31,all,all,PDT,PD
281,Ireland_2012,0,7,32,the,the,DT,DT
282,Ireland_2012,0,7,33,diversity,diversity,NN,NN
283,Ireland_2012,0,7,34,of,of,IN,IN
284,Ireland_2012,0,7,35,their,their,PRP$,PR
285,Ireland_2012,0,7,36,identities,identities,NNS,NN
286,Ireland_2012,0,7,37,and,and,CC,CC
287,Ireland_2012,0,7,38,traditions,traditions,NNS,NN
288,Ireland_2012,0,7,40,recognising,recognising,VBG,VB
289,Ireland_2012,0,7,41,that,that,IN,IN
290,Ireland_2012,0,7,42,a,a,DT,DT
291,Ireland_2012,0,7,43,united,united,JJ,JJ
292,Ireland_2012,0,7,44,Ireland,ireland,NNP,NN
293,Ireland_2012,0,7,45,shall,shall,MD,MD
294,Ireland_2012,0,7,46,be,be,VB,VB
295,Ireland_2012,0,7,47,brought,brought,VBN,VB
296,Ireland_2012,0,7,48,about,about,IN,IN
297,Ireland_2012,0,7,49,only,only,RB,RB
298,Ireland_2012,0,7,50,by,by,IN,IN
299,Ireland_2012,0,7,51,peaceful,peaceful,JJ,JJ
300,Ireland_2012,0,7,52,means,means,NNS,NN
301,Ireland_2012,0,7,53,with,with,IN,IN
302,Ireland_2012,0,7,54,the,the,DT,DT
303,Ireland_2012,0,7,55,consent,consent,NN,NN
304,Ireland_2012,0,7,56,of,of,IN,IN
305,Ireland_2012,0,7,57,a,a,DT,DT
306,Ireland_2012,0,7,58,majority,majority,NN,NN
307,Ireland_2012,0,7,59,of,of,IN,IN
308,Ireland_2012,0,7,60,the,the,DT,DT
309,Ireland_2012,0,7,61,people,people,NNS,NN
