,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Israel_2013,0,0,0,Israel,israel,NNP,NN
1,Israel_2013,0,0,1,1958,1958,CD,CD
2,Israel_2013,0,0,3,rev,rev,NN,NN
3,Israel_2013,0,1,0,2013,2013,CD,CD
4,Israel_2013,0,1,2,Basic,basic,NNP,NN
5,Israel_2013,0,1,3,Law,law,NNP,NN
6,Israel_2013,0,2,0,The,the,DT,DT
7,Israel_2013,0,2,1,Knesset,knesset,NNP,NN
8,Israel_2013,0,2,3,1958,1958,CD,CD
9,Israel_2013,0,2,5,1,1,CD,CD
10,Israel_2013,0,3,0,What,what,WP,WP
11,Israel_2013,0,3,1,the,the,DT,DT
12,Israel_2013,0,3,2,Knesset,knesset,NNP,NN
13,Israel_2013,0,3,3,is,is,VBZ,VB
14,Israel_2013,0,3,4,Share,share,NNP,NN
15,Israel_2013,0,3,5,The,the,DT,DT
16,Israel_2013,0,3,6,Knesset,knesset,NNP,NN
17,Israel_2013,0,3,7,is,is,VBZ,VB
18,Israel_2013,0,3,8,the,the,DT,DT
19,Israel_2013,0,3,9,parliament,parliament,NN,NN
20,Israel_2013,0,3,10,of,of,IN,IN
21,Israel_2013,0,3,11,the,the,DT,DT
22,Israel_2013,0,3,12,State,state,NNP,NN
23,Israel_2013,0,4,0,2,2,CD,CD
24,Israel_2013,0,5,0,Place,place,NN,NN
25,Israel_2013,0,5,1,of,of,IN,IN
26,Israel_2013,0,5,2,sitting,sitting,VBG,VB
27,Israel_2013,0,5,3,Share,share,NNP,NN
28,Israel_2013,0,5,4,The,the,DT,DT
29,Israel_2013,0,5,5,place,place,NN,NN
30,Israel_2013,0,5,6,of,of,IN,IN
31,Israel_2013,0,5,7,sitting,sitting,VBG,VB
32,Israel_2013,0,5,8,of,of,IN,IN
33,Israel_2013,0,5,9,the,the,DT,DT
34,Israel_2013,0,5,10,Knesset,knesset,NNP,NN
35,Israel_2013,0,5,11,is,is,VBZ,VB
36,Israel_2013,0,5,12,Jerusalem,jerusalem,NNP,NN
37,Israel_2013,0,6,0,3,3,CD,CD
38,Israel_2013,0,7,0,Composition,composition,NNP,NN
39,Israel_2013,0,7,1,Share,share,NNP,NN
40,Israel_2013,0,7,2,The,the,DT,DT
41,Israel_2013,0,7,3,Knesset,knesset,NNP,NN
42,Israel_2013,0,7,4,shall,shall,MD,MD
43,Israel_2013,0,7,6,upon,upon,IN,IN
44,Israel_2013,0,7,7,its,its,PRP$,PR
45,Israel_2013,0,7,8,election,election,NN,NN
46,Israel_2013,0,7,10,consist,consist,NN,NN
47,Israel_2013,0,7,11,of,of,IN,IN
48,Israel_2013,0,7,12,one,one,CD,CD
49,Israel_2013,0,7,13,hundred,hundred,CD,CD
50,Israel_2013,0,7,14,and,and,CC,CC
51,Israel_2013,0,7,15,twenty,twenty,JJ,JJ
52,Israel_2013,0,7,16,members,members,NNS,NN
53,Israel_2013,0,8,0,4,4,CD,CD
54,Israel_2013,0,9,0,Electoral,electoral,JJ,JJ
55,Israel_2013,0,9,1,system,system,NN,NN
56,Israel_2013,0,9,2,Share,share,NNP,NN
57,Israel_2013,0,9,3,The,the,DT,DT
58,Israel_2013,0,9,4,Knesset,knesset,NNP,NN
59,Israel_2013,0,9,5,shall,shall,MD,MD
60,Israel_2013,0,9,6,be,be,VB,VB
61,Israel_2013,0,9,7,elected,elected,VBN,VB
62,Israel_2013,0,9,8,by,by,IN,IN
63,Israel_2013,0,9,9,general,general,JJ,JJ
64,Israel_2013,0,9,11,national,national,JJ,JJ
65,Israel_2013,0,9,13,direct,direct,JJ,JJ
66,Israel_2013,0,9,15,equal,equal,JJ,JJ
67,Israel_2013,0,9,17,secret,secret,JJ,JJ
68,Israel_2013,0,9,18,and,and,CC,CC
69,Israel_2013,0,9,19,proportional,proportional,JJ,JJ
70,Israel_2013,0,9,20,elections,elections,NNS,NN
71,Israel_2013,0,9,22,in,in,IN,IN
72,Israel_2013,0,9,23,accordance,accordance,NN,NN
73,Israel_2013,0,9,24,with,with,IN,IN
74,Israel_2013,0,9,25,the,the,DT,DT
75,Israel_2013,0,9,26,Knesset,knesset,NNP,NN
76,Israel_2013,0,9,27,Elections,elections,NNP,NN
77,Israel_2013,0,9,28,Law,law,NNP,NN
78,Israel_2013,0,9,30,this,this,DT,DT
79,Israel_2013,0,9,31,section,section,NN,NN
80,Israel_2013,0,9,32,shall,shall,MD,MD
81,Israel_2013,0,9,33,not,not,RB,RB
