,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Italy_2012,0,0,0,Italy,italy,NNP,NN
1,Italy_2012,0,0,1,1947,1947,CD,CD
2,Italy_2012,0,0,3,rev,rev,NN,NN
3,Italy_2012,0,1,0,2012,2012,CD,CD
4,Italy_2012,0,1,2,FUNDAMENTAL,fundamental,NNP,NN
5,Italy_2012,0,1,3,PRINCIPLES,principles,NNP,NN
6,Italy_2012,0,1,4,Share,share,NNP,NN
7,Italy_2012,0,1,5,Art,art,NNP,NN
8,Italy_2012,0,1,6,1,1,CD,CD
9,Italy_2012,0,1,7,Share,share,NNP,NN
10,Italy_2012,0,1,8,Italy,italy,NNP,NN
11,Italy_2012,0,1,9,is,is,VBZ,VB
12,Italy_2012,0,1,10,a,a,DT,DT
13,Italy_2012,0,1,11,democratic,democratic,JJ,JJ
14,Italy_2012,0,1,12,Republic,republic,NNP,NN
15,Italy_2012,0,1,13,founded,founded,VBD,VB
16,Italy_2012,0,1,14,on,on,IN,IN
17,Italy_2012,0,1,15,labour,labour,NN,NN
18,Italy_2012,0,2,0,Sovereignty,sovereignty,NNP,NN
19,Italy_2012,0,2,1,belongs,belongs,VBZ,VB
20,Italy_2012,0,2,2,to,to,TO,TO
21,Italy_2012,0,2,3,the,the,DT,DT
22,Italy_2012,0,2,4,people,people,NNS,NN
23,Italy_2012,0,2,5,and,and,CC,CC
24,Italy_2012,0,2,6,is,is,VBZ,VB
25,Italy_2012,0,2,7,exercised,exercised,VBN,VB
26,Italy_2012,0,2,8,by,by,IN,IN
27,Italy_2012,0,2,9,the,the,DT,DT
28,Italy_2012,0,2,10,people,people,NNS,NN
29,Italy_2012,0,2,11,in,in,IN,IN
30,Italy_2012,0,2,12,the,the,DT,DT
31,Italy_2012,0,2,13,forms,forms,NNS,NN
32,Italy_2012,0,2,14,and,and,CC,CC
33,Italy_2012,0,2,15,within,within,IN,IN
34,Italy_2012,0,2,16,the,the,DT,DT
35,Italy_2012,0,2,17,limits,limits,NNS,NN
36,Italy_2012,0,2,18,of,of,IN,IN
37,Italy_2012,0,2,19,the,the,DT,DT
38,Italy_2012,0,2,20,Constitution,constitution,NNP,NN
39,Italy_2012,0,3,0,Art,art,NN,NN
40,Italy_2012,0,3,1,2,2,CD,CD
41,Italy_2012,0,3,2,Share,share,NNP,NN
42,Italy_2012,0,3,3,The,the,DT,DT
43,Italy_2012,0,3,4,Republic,republic,NNP,NN
44,Italy_2012,0,3,5,recognises,recognises,NNS,NN
45,Italy_2012,0,3,6,and,and,CC,CC
46,Italy_2012,0,3,7,guarantees,guarantees,VBZ,VB
47,Italy_2012,0,3,8,the,the,DT,DT
48,Italy_2012,0,3,9,inviolable,inviolable,JJ,JJ
49,Italy_2012,0,3,10,rights,rights,NNS,NN
50,Italy_2012,0,3,11,of,of,IN,IN
51,Italy_2012,0,3,12,the,the,DT,DT
52,Italy_2012,0,3,13,person,person,NN,NN
53,Italy_2012,0,3,15,both,both,CC,CC
54,Italy_2012,0,3,16,as,as,IN,IN
55,Italy_2012,0,3,17,an,an,DT,DT
56,Italy_2012,0,3,18,individual,individual,NN,NN
57,Italy_2012,0,3,19,and,and,CC,CC
58,Italy_2012,0,3,20,in,in,IN,IN
59,Italy_2012,0,3,21,the,the,DT,DT
60,Italy_2012,0,3,22,social,social,JJ,JJ
61,Italy_2012,0,3,23,groups,groups,NNS,NN
62,Italy_2012,0,3,24,where,where,WRB,WR
63,Italy_2012,0,3,25,human,human,JJ,JJ
64,Italy_2012,0,3,26,personality,personality,NN,NN
65,Italy_2012,0,3,27,is,is,VBZ,VB
66,Italy_2012,0,3,28,expressed,expressed,VBN,VB
67,Italy_2012,0,4,0,The,the,DT,DT
