,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Jamaica_1994,0,0,0,Jamaica,jamaica,NN,NN
1,Jamaica_1994,0,0,1,1962,1962,CD,CD
2,Jamaica_1994,0,0,3,rev,rev,NN,NN
3,Jamaica_1994,0,1,0,1994,1994,CD,CD
4,Jamaica_1994,0,1,2,CHAPTER,chapter,NN,NN
5,Jamaica_1994,0,1,3,I,i,PRP,PR
6,Jamaica_1994,0,2,0,PRELIMINARY,preliminary,$,$
7,Jamaica_1994,0,2,1,1,1,CD,CD
8,Jamaica_1994,0,3,0,Interpretation,interpretation,NNP,NN
9,Jamaica_1994,0,3,1,Share,share,NNP,NN
10,Jamaica_1994,0,3,2,1,1,CD,CD
11,Jamaica_1994,0,4,0,In,in,IN,IN
12,Jamaica_1994,0,4,1,this,this,DT,DT
13,Jamaica_1994,0,4,2,Constitution,constitution,NNP,NN
14,Jamaica_1994,0,4,3,unless,unless,IN,IN
15,Jamaica_1994,0,4,4,it,it,PRP,PR
16,Jamaica_1994,0,4,5,is,is,VBZ,VB
17,Jamaica_1994,0,4,6,otherwise,otherwise,RB,RB
18,Jamaica_1994,0,4,7,provided,provided,VBN,VB
19,Jamaica_1994,0,4,8,or,or,CC,CC
20,Jamaica_1994,0,4,9,the,the,DT,DT
21,Jamaica_1994,0,4,10,context,context,JJ,JJ
22,Jamaica_1994,0,4,11,otherwise,otherwise,NN,NN
23,Jamaica_1994,0,4,12,requires,requires,VBZ,VB
24,Jamaica_1994,0,4,15,Act,act,NNP,NN
25,Jamaica_1994,0,4,16,of,of,IN,IN
26,Jamaica_1994,0,4,17,Parliament,parliament,NNP,NN
27,Jamaica_1994,0,4,19,means,means,VBZ,VB
28,Jamaica_1994,0,4,20,any,any,DT,DT
29,Jamaica_1994,0,4,21,law,law,NN,NN
30,Jamaica_1994,0,4,22,made,made,VBN,VB
31,Jamaica_1994,0,4,23,by,by,IN,IN
32,Jamaica_1994,0,4,24,Parliament,parliament,NNP,NN
33,Jamaica_1994,0,4,27,the,the,DT,DT
34,Jamaica_1994,0,4,28,appointed,appointed,VBN,VB
35,Jamaica_1994,0,4,29,day,day,NN,NN
36,Jamaica_1994,0,4,31,means,means,VBZ,VB
37,Jamaica_1994,0,4,32,the,the,DT,DT
38,Jamaica_1994,0,4,33,sixth,sixth,JJ,JJ
39,Jamaica_1994,0,4,34,day,day,NN,NN
40,Jamaica_1994,0,4,35,of,of,IN,IN
41,Jamaica_1994,0,4,36,August,august,NNP,NN
42,Jamaica_1994,0,4,37,1962,1962,CD,CD
43,Jamaica_1994,0,4,40,the,the,DT,DT
44,Jamaica_1994,0,4,41,Broad,broad,NNP,NN
45,Jamaica_1994,0,4,42,Seal,seal,NNP,NN
46,Jamaica_1994,0,4,44,means,means,VBZ,VB
47,Jamaica_1994,0,4,45,the,the,DT,DT
48,Jamaica_1994,0,4,46,Broad,broad,NNP,NN
49,Jamaica_1994,0,4,47,Seal,seal,NNP,NN
50,Jamaica_1994,0,4,48,of,of,IN,IN
51,Jamaica_1994,0,4,49,Jamaica,jamaica,NNP,NN
52,Jamaica_1994,0,4,52,the,the,DT,DT
53,Jamaica_1994,0,4,53,Cabinet,cabinet,NNP,NN
54,Jamaica_1994,0,4,55,means,means,VBZ,VB
55,Jamaica_1994,0,4,56,the,the,DT,DT
56,Jamaica_1994,0,4,57,Cabinet,cabinet,NNP,NN
57,Jamaica_1994,0,4,58,established,established,VBN,VB
58,Jamaica_1994,0,4,59,by,by,IN,IN
59,Jamaica_1994,0,4,60,section,section,NN,NN
60,Jamaica_1994,0,4,61,69,69,CD,CD
61,Jamaica_1994,0,4,62,of,of,IN,IN
62,Jamaica_1994,0,4,63,this,this,DT,DT
63,Jamaica_1994,0,4,64,Constitution,constitution,NNP,NN
64,Jamaica_1994,0,4,67,the,the,DT,DT
65,Jamaica_1994,0,4,68,Clerk,clerk,NNP,NN
66,Jamaica_1994,0,4,70,and,and,CC,CC
67,Jamaica_1994,0,4,72,the,the,DT,DT
68,Jamaica_1994,0,4,73,Deputy,deputy,NNP,NN
69,Jamaica_1994,0,4,74,Clerk,clerk,NNP,NN
70,Jamaica_1994,0,4,76,mean,mean,VBP,VB
71,Jamaica_1994,0,4,77,respectively,respectively,RB,RB
72,Jamaica_1994,0,4,78,the,the,DT,DT
73,Jamaica_1994,0,4,79,Clerk,clerk,NNP,NN
74,Jamaica_1994,0,4,80,and,and,CC,CC
75,Jamaica_1994,0,4,81,the,the,DT,DT
76,Jamaica_1994,0,4,82,Deputy,deputy,NNP,NN
77,Jamaica_1994,0,4,83,Clerk,clerk,NNP,NN
78,Jamaica_1994,0,4,84,of,of,IN,IN
79,Jamaica_1994,0,4,85,either,either,DT,DT
80,Jamaica_1994,0,4,86,House,house,NNP,NN
81,Jamaica_1994,0,4,88,as,as,IN,IN
82,Jamaica_1994,0,4,89,the,the,DT,DT
83,Jamaica_1994,0,4,90,context,context,NN,NN
84,Jamaica_1994,0,4,91,may,may,MD,MD
85,Jamaica_1994,0,4,92,require,require,VB,VB
86,Jamaica_1994,0,4,95,the,the,DT,DT
87,Jamaica_1994,0,4,96,Commonwealth,commonwealth,NNP,NN
88,Jamaica_1994,0,4,98,means,means,VBZ,VB
89,Jamaica_1994,0,4,99,Jamaica,jamaica,NNP,NN
90,Jamaica_1994,0,4,101,any,any,DT,DT
91,Jamaica_1994,0,4,102,country,country,NN,NN
92,Jamaica_1994,0,4,103,to,to,TO,TO
93,Jamaica_1994,0,4,104,which,which,WDT,WD
94,Jamaica_1994,0,4,105,section,section,NN,NN
95,Jamaica_1994,0,4,106,9,9,CD,CD
96,Jamaica_1994,0,4,107,of,of,IN,IN
97,Jamaica_1994,0,4,108,this,this,DT,DT
98,Jamaica_1994,0,4,109,Constitution,constitution,NNP,NN
99,Jamaica_1994,0,4,110,applies,applies,NNS,NN
100,Jamaica_1994,0,4,111,and,and,CC,CC
101,Jamaica_1994,0,4,112,any,any,DT,DT
102,Jamaica_1994,0,4,113,dependency,dependency,NN,NN
103,Jamaica_1994,0,4,114,of,of,IN,IN
104,Jamaica_1994,0,4,115,any,any,DT,DT
105,Jamaica_1994,0,4,116,such,such,JJ,JJ
106,Jamaica_1994,0,4,117,country,country,NN,NN
107,Jamaica_1994,0,4,120,the,the,DT,DT
108,Jamaica_1994,0,4,121,Consolidated,consolidated,NNP,NN
109,Jamaica_1994,0,4,122,Fund,fund,NNP,NN
110,Jamaica_1994,0,4,124,means,means,VBZ,VB
111,Jamaica_1994,0,4,125,the,the,DT,DT
112,Jamaica_1994,0,4,126,Consolidated,consolidated,NNP,NN
113,Jamaica_1994,0,4,127,Fund,fund,NNP,NN
114,Jamaica_1994,0,4,128,established,established,VBN,VB
115,Jamaica_1994,0,4,129,by,by,IN,IN
116,Jamaica_1994,0,4,130,section,section,NN,NN
117,Jamaica_1994,0,4,131,114,114,CD,CD
118,Jamaica_1994,0,4,132,of,of,IN,IN
119,Jamaica_1994,0,4,133,this,this,DT,DT
120,Jamaica_1994,0,4,134,Constitution,constitution,NNP,NN
121,Jamaica_1994,0,4,137,constituency,constituency,NN,NN
122,Jamaica_1994,0,4,139,means,means,VBZ,VB
123,Jamaica_1994,0,4,140,an,an,DT,DT
124,Jamaica_1994,0,4,141,area,area,NN,NN
125,Jamaica_1994,0,4,142,of,of,IN,IN
126,Jamaica_1994,0,4,143,Jamaica,jamaica,NNP,NN
127,Jamaica_1994,0,4,144,having,having,VBG,VB
128,Jamaica_1994,0,4,145,separate,separate,JJ,JJ
129,Jamaica_1994,0,4,146,representation,representation,NN,NN
130,Jamaica_1994,0,4,147,in,in,IN,IN
131,Jamaica_1994,0,4,148,the,the,DT,DT
132,Jamaica_1994,0,4,149,House,house,NNP,NN
133,Jamaica_1994,0,4,150,of,of,IN,IN
134,Jamaica_1994,0,4,151,Representatives,representatives,NNPS,NN
135,Jamaica_1994,0,4,154,defence,defence,NN,NN
136,Jamaica_1994,0,4,155,force,force,NN,NN
137,Jamaica_1994,0,4,157,means,means,VBZ,VB
138,Jamaica_1994,0,4,158,any,any,DT,DT
139,Jamaica_1994,0,4,159,naval,naval,JJ,JJ
140,Jamaica_1994,0,4,161,military,military,JJ,JJ
141,Jamaica_1994,0,4,162,or,or,CC,CC
142,Jamaica_1994,0,4,163,air,air,NN,NN
143,Jamaica_1994,0,4,164,force,force,NN,NN
144,Jamaica_1994,0,4,165,of,of,IN,IN
145,Jamaica_1994,0,4,166,the,the,DT,DT
146,Jamaica_1994,0,4,167,Crown,crown,NNP,NN
147,Jamaica_1994,0,4,168,in,in,IN,IN
148,Jamaica_1994,0,4,169,right,right,NN,NN
149,Jamaica_1994,0,4,170,of,of,IN,IN
150,Jamaica_1994,0,4,171,the,the,DT,DT
151,Jamaica_1994,0,4,172,Government,government,NNP,NN
