,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Japan_1946,0,0,0,Japan,japan,NNP,NN
1,Japan_1946,0,0,1,1946,1946,CD,CD
2,Japan_1946,0,0,2,Preamble,preamble,NNP,NN
3,Japan_1946,0,0,3,Share,share,NNP,NN
4,Japan_1946,0,0,4,We,we,PRP,PR
5,Japan_1946,0,0,6,the,the,DT,DT
6,Japan_1946,0,0,7,Japanese,japanese,JJ,JJ
7,Japan_1946,0,0,8,people,people,NNS,NN
8,Japan_1946,0,0,10,acting,acting,VBG,VB
9,Japan_1946,0,0,11,through,through,IN,IN
10,Japan_1946,0,0,12,our,our,PRP$,PR
11,Japan_1946,0,0,13,duly,duly,NN,NN
12,Japan_1946,0,0,14,elected,elected,VBN,VB
13,Japan_1946,0,0,15,representatives,representatives,NNS,NN
14,Japan_1946,0,0,16,in,in,IN,IN
15,Japan_1946,0,0,17,the,the,DT,DT
16,Japan_1946,0,0,18,National,national,NNP,NN
17,Japan_1946,0,0,19,Diet,diet,NNP,NN
18,Japan_1946,0,0,21,determined,determined,VBD,VB
19,Japan_1946,0,0,22,that,that,IN,IN
20,Japan_1946,0,0,23,we,we,PRP,PR
21,Japan_1946,0,0,24,shall,shall,MD,MD
22,Japan_1946,0,0,25,secure,secure,VB,VB
23,Japan_1946,0,0,26,for,for,IN,IN
24,Japan_1946,0,0,27,ourselves,ourselves,NNS,NN
25,Japan_1946,0,0,28,and,and,CC,CC
26,Japan_1946,0,0,29,our,our,PRP$,PR
27,Japan_1946,0,0,30,posterity,posterity,NN,NN
28,Japan_1946,0,0,31,the,the,DT,DT
29,Japan_1946,0,0,32,fruits,fruits,NNS,NN
30,Japan_1946,0,0,33,of,of,IN,IN
31,Japan_1946,0,0,34,peaceful,peaceful,JJ,JJ
32,Japan_1946,0,0,35,cooperation,cooperation,NN,NN
33,Japan_1946,0,0,36,with,with,IN,IN
34,Japan_1946,0,0,37,all,all,DT,DT
35,Japan_1946,0,0,38,nations,nations,NNS,NN
36,Japan_1946,0,0,39,and,and,CC,CC
37,Japan_1946,0,0,40,the,the,DT,DT
38,Japan_1946,0,0,41,blessings,blessings,NNS,NN
