,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Jordan_2011,0,0,0,Jordan,jordan,NN,NN
1,Jordan_2011,0,0,1,1952,1952,CD,CD
2,Jordan_2011,0,0,3,rev,rev,NN,NN
3,Jordan_2011,0,1,0,2011,2011,CD,CD
4,Jordan_2011,0,1,2,Preamble,preamble,JJ,JJ
5,Jordan_2011,0,1,3,Share,share,NN,NN
6,Jordan_2011,0,1,4,We,we,PRP,PR
7,Jordan_2011,0,1,6,Talal,talal,NNP,NN
8,Jordan_2011,0,1,7,the,the,DT,DT
9,Jordan_2011,0,1,8,First,first,NNP,NN
10,Jordan_2011,0,1,10,King,king,NNP,NN
11,Jordan_2011,0,1,11,of,of,IN,IN
12,Jordan_2011,0,1,12,the,the,DT,DT
13,Jordan_2011,0,1,13,Hashemite,hashemite,NNP,NN
14,Jordan_2011,0,1,14,Kingdom,kingdom,NNP,NN
15,Jordan_2011,0,1,15,of,of,IN,IN
16,Jordan_2011,0,1,16,Jordan,jordan,NNP,NN
17,Jordan_2011,0,1,18,in,in,IN,IN
18,Jordan_2011,0,1,19,accordance,accordance,NN,NN
19,Jordan_2011,0,1,20,with,with,IN,IN
20,Jordan_2011,0,1,21,Article,article,NNP,NN
21,Jordan_2011,0,1,22,25,25,CD,CD
22,Jordan_2011,0,1,23,of,of,IN,IN
23,Jordan_2011,0,1,24,the,the,DT,DT
24,Jordan_2011,0,1,25,Constitution,constitution,NNP,NN
25,Jordan_2011,0,1,27,and,and,CC,CC
26,Jordan_2011,0,1,28,in,in,IN,IN
27,Jordan_2011,0,1,29,pursuance,pursuance,NN,NN
28,Jordan_2011,0,1,30,of,of,IN,IN
29,Jordan_2011,0,1,31,the,the,DT,DT
30,Jordan_2011,0,1,32,decision,decision,NN,NN
31,Jordan_2011,0,1,33,of,of,IN,IN
32,Jordan_2011,0,1,34,the,the,DT,DT
33,Jordan_2011,0,1,35,Senate,senate,NNP,NN
34,Jordan_2011,0,1,36,and,and,CC,CC
35,Jordan_2011,0,1,37,the,the,DT,DT
36,Jordan_2011,0,1,38,House,house,NNP,NN
37,Jordan_2011,0,1,39,of,of,IN,IN
38,Jordan_2011,0,1,40,Representatives,representatives,NNPS,NN
39,Jordan_2011,0,1,42,hereby,hereby,RB,RB
40,Jordan_2011,0,1,43,approve,approve,VB,VB
41,Jordan_2011,0,1,44,the,the,DT,DT
42,Jordan_2011,0,1,45,following,following,NN,NN
43,Jordan_2011,0,1,46,amended,amended,VBD,VB
44,Jordan_2011,0,1,47,Constitution,constitution,NNP,NN
45,Jordan_2011,0,1,48,and,and,CC,CC
46,Jordan_2011,0,1,49,decree,decree,VB,VB
47,Jordan_2011,0,1,50,its,its,PRP$,PR
48,Jordan_2011,0,1,51,promulgation,promulgation,NN,NN
49,Jordan_2011,0,2,0,CHAPTER,chapter,NN,NN
50,Jordan_2011,0,2,1,1,1,CD,CD
51,Jordan_2011,0,3,0,The,the,DT,DT
52,Jordan_2011,0,3,1,State,state,NNP,NN
53,Jordan_2011,0,3,2,and,and,CC,CC
54,Jordan_2011,0,3,3,Its,its,PRP$,PR
55,Jordan_2011,0,3,4,Ruling,ruling,NNP,NN
56,Jordan_2011,0,3,5,Regime,regime,NNP,NN
57,Jordan_2011,0,3,6,Share,share,NNP,NN
58,Jordan_2011,0,3,7,Article,article,NNP,NN
59,Jordan_2011,0,3,8,1,1,CD,CD
60,Jordan_2011,0,3,9,Share,share,NNP,NN
61,Jordan_2011,0,3,10,The,the,DT,DT
62,Jordan_2011,0,3,11,Hashemite,hashemite,NNP,NN
63,Jordan_2011,0,3,12,Kingdom,kingdom,NNP,NN
