,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Kazakhstan_1998,0,0,0,Kazakhstan,kazakhstan,NNP,NN
1,Kazakhstan_1998,0,0,1,1995,1995,CD,CD
2,Kazakhstan_1998,0,0,3,rev,rev,NN,NN
3,Kazakhstan_1998,0,1,0,1998,1998,CD,CD
4,Kazakhstan_1998,0,1,2,Preamble,preamble,JJ,JJ
5,Kazakhstan_1998,0,1,3,Share,share,NN,NN
6,Kazakhstan_1998,0,1,4,We,we,PRP,PR
7,Kazakhstan_1998,0,1,6,the,the,DT,DT
8,Kazakhstan_1998,0,1,7,people,people,NNS,NN
9,Kazakhstan_1998,0,1,8,of,of,IN,IN
10,Kazakhstan_1998,0,1,9,Kazakhstan,kazakhstan,NNP,NN
11,Kazakhstan_1998,0,1,11,united,united,VBN,VB
12,Kazakhstan_1998,0,1,12,by,by,IN,IN
13,Kazakhstan_1998,0,1,13,common,common,JJ,JJ
14,Kazakhstan_1998,0,1,14,historic,historic,JJ,JJ
15,Kazakhstan_1998,0,1,15,fate,fate,NN,NN
16,Kazakhstan_1998,0,1,17,creating,creating,VBG,VB
17,Kazakhstan_1998,0,1,18,state,state,NN,NN
18,Kazakhstan_1998,0,1,19,on,on,IN,IN
19,Kazakhstan_1998,0,1,20,the,the,DT,DT
20,Kazakhstan_1998,0,1,21,indigenous,indigenous,JJ,JJ
21,Kazakhstan_1998,0,1,22,Kazakh,kazakh,NNP,NN
22,Kazakhstan_1998,0,1,23,land,land,NN,NN
23,Kazakhstan_1998,0,1,25,considering,considering,VBG,VB
24,Kazakhstan_1998,0,1,26,ourselves,ourselves,PRP,PR
25,Kazakhstan_1998,0,1,27,peaceloving,peaceloving,VBG,VB
26,Kazakhstan_1998,0,1,28,and,and,CC,CC
27,Kazakhstan_1998,0,1,29,civil,civil,JJ,JJ
28,Kazakhstan_1998,0,1,30,society,society,NN,NN
29,Kazakhstan_1998,0,1,32,dedicated,dedicated,VBN,VB
30,Kazakhstan_1998,0,1,33,to,to,TO,TO
31,Kazakhstan_1998,0,1,34,the,the,DT,DT
32,Kazakhstan_1998,0,1,35,ideals,ideals,NNS,NN
33,Kazakhstan_1998,0,1,36,of,of,IN,IN
34,Kazakhstan_1998,0,1,37,freedom,freedom,NN,NN
35,Kazakhstan_1998,0,1,39,equality,equality,NN,NN
36,Kazakhstan_1998,0,1,40,and,and,CC,CC
37,Kazakhstan_1998,0,1,41,concord,concord,NN,NN
38,Kazakhstan_1998,0,1,43,wishing,wishing,VBG,VB
39,Kazakhstan_1998,0,1,44,to,to,TO,TO
40,Kazakhstan_1998,0,1,45,take,take,VB,VB
41,Kazakhstan_1998,0,1,46,worthy,worthy,JJ,JJ
42,Kazakhstan_1998,0,1,47,place,place,NN,NN
43,Kazakhstan_1998,0,1,48,in,in,IN,IN
44,Kazakhstan_1998,0,1,49,the,the,DT,DT
45,Kazakhstan_1998,0,1,50,world,world,NN,NN
46,Kazakhstan_1998,0,1,51,community,community,NN,NN
47,Kazakhstan_1998,0,1,53,realizing,realizing,VBG,VB
48,Kazakhstan_1998,0,1,54,our,our,PRP$,PR
49,Kazakhstan_1998,0,1,55,high,high,JJ,JJ
50,Kazakhstan_1998,0,1,56,responsibility,responsibility,NN,NN
51,Kazakhstan_1998,0,1,57,before,before,IN,IN
52,Kazakhstan_1998,0,1,58,the,the,DT,DT
53,Kazakhstan_1998,0,1,59,present,present,JJ,JJ
54,Kazakhstan_1998,0,1,60,and,and,CC,CC
55,Kazakhstan_1998,0,1,61,future,future,JJ,JJ
56,Kazakhstan_1998,0,1,62,generations,generations,NNS,NN
57,Kazakhstan_1998,0,1,64,proceeding,proceeding,VBG,VB
58,Kazakhstan_1998,0,1,65,from,from,IN,IN
59,Kazakhstan_1998,0,1,66,our,our,PRP$,PR
60,Kazakhstan_1998,0,1,67,sovereign,sovereign,NN,NN
61,Kazakhstan_1998,0,1,68,right,right,RB,RB
62,Kazakhstan_1998,0,1,70,accept,accept,VB,VB
63,Kazakhstan_1998,0,1,71,this,this,DT,DT
64,Kazakhstan_1998,0,1,72,Constitution,constitution,NNP,NN
65,Kazakhstan_1998,0,2,0,Section,section,NN,NN
66,Kazakhstan_1998,0,2,1,I,i,PRP,PR
67,Kazakhstan_1998,0,3,0,General,general,NNP,NN
68,Kazakhstan_1998,0,3,1,Provisions,provisions,NNP,NN
69,Kazakhstan_1998,0,3,2,Share,share,NNP,NN
70,Kazakhstan_1998,0,3,3,Article,article,NNP,NN
71,Kazakhstan_1998,0,3,4,1,1,CD,CD
72,Kazakhstan_1998,0,3,5,Share,share,NNP,NN
73,Kazakhstan_1998,0,3,6,1,1,CD,CD
74,Kazakhstan_1998,0,4,0,The,the,DT,DT
75,Kazakhstan_1998,0,4,1,Republic,republic,NNP,NN
76,Kazakhstan_1998,0,4,2,of,of,IN,IN
77,Kazakhstan_1998,0,4,3,Kazakhstan,kazakhstan,NNP,NN
78,Kazakhstan_1998,0,4,4,proclaims,proclaims,VBZ,VB
79,Kazakhstan_1998,0,4,5,itself,itself,PRP,PR
80,Kazakhstan_1998,0,4,6,democratic,democratic,JJ,JJ
81,Kazakhstan_1998,0,4,8,secular,secular,JJ,JJ
82,Kazakhstan_1998,0,4,10,legal,legal,JJ,JJ
83,Kazakhstan_1998,0,4,11,and,and,CC,CC
84,Kazakhstan_1998,0,4,12,social,social,JJ,JJ
85,Kazakhstan_1998,0,4,13,state,state,NN,NN
86,Kazakhstan_1998,0,4,14,whose,whose,WP$,WP
87,Kazakhstan_1998,0,4,15,highest,highest,JJS,JJ
88,Kazakhstan_1998,0,4,16,values,values,NNS,NN
89,Kazakhstan_1998,0,4,17,are,are,VBP,VB
90,Kazakhstan_1998,0,4,18,an,an,DT,DT
91,Kazakhstan_1998,0,4,19,individual,individual,JJ,JJ
92,Kazakhstan_1998,0,4,21,his,his,PRP$,PR
93,Kazakhstan_1998,0,4,22,life,life,NN,NN
94,Kazakhstan_1998,0,4,24,rights,rights,NNS,NN
95,Kazakhstan_1998,0,4,25,and,and,CC,CC
96,Kazakhstan_1998,0,4,26,freedoms,freedoms,NNS,NN
97,Kazakhstan_1998,0,5,0,2,2,CD,CD
98,Kazakhstan_1998,0,6,0,The,the,DT,DT
99,Kazakhstan_1998,0,6,1,fundamental,fundamental,JJ,JJ
100,Kazakhstan_1998,0,6,2,principles,principles,NNS,NN
101,Kazakhstan_1998,0,6,3,of,of,IN,IN
102,Kazakhstan_1998,0,6,4,the,the,DT,DT
103,Kazakhstan_1998,0,6,5,activity,activity,NN,NN
104,Kazakhstan_1998,0,6,6,of,of,IN,IN
105,Kazakhstan_1998,0,6,7,the,the,DT,DT
106,Kazakhstan_1998,0,6,8,Republic,republic,NNP,NN
107,Kazakhstan_1998,0,6,9,are,are,VBP,VB
108,Kazakhstan_1998,0,6,10,public,public,JJ,JJ
109,Kazakhstan_1998,0,6,11,concord,concord,NN,NN
110,Kazakhstan_1998,0,6,12,and,and,CC,CC
111,Kazakhstan_1998,0,6,13,political,political,JJ,JJ
112,Kazakhstan_1998,0,6,14,stability,stability,NN,NN
113,Kazakhstan_1998,0,6,16,economic,economic,JJ,JJ
114,Kazakhstan_1998,0,6,17,development,development,NN,NN
115,Kazakhstan_1998,0,6,18,for,for,IN,IN
116,Kazakhstan_1998,0,6,19,the,the,DT,DT
117,Kazakhstan_1998,0,6,20,benefit,benefit,NN,NN
118,Kazakhstan_1998,0,6,21,of,of,IN,IN
119,Kazakhstan_1998,0,6,22,all,all,PDT,PD
120,Kazakhstan_1998,0,6,23,the,the,DT,DT
121,Kazakhstan_1998,0,6,24,nation,nation,NN,NN
122,Kazakhstan_1998,0,6,26,Kazakhstan,kazakhstan,NNP,NN
123,Kazakhstan_1998,0,6,27,patriotism,patriotism,NN,NN
124,Kazakhstan_1998,0,6,28,and,and,CC,CC
125,Kazakhstan_1998,0,6,29,resolution,resolution,NN,NN
126,Kazakhstan_1998,0,6,30,of,of,IN,IN
127,Kazakhstan_1998,0,6,31,the,the,DT,DT
128,Kazakhstan_1998,0,6,32,most,most,RBS,RB
129,Kazakhstan_1998,0,6,33,important,important,JJ,JJ
130,Kazakhstan_1998,0,6,34,issues,issues,NNS,NN
131,Kazakhstan_1998,0,6,35,of,of,IN,IN
132,Kazakhstan_1998,0,6,36,the,the,DT,DT
133,Kazakhstan_1998,0,6,37,affairs,affairs,NNS,NN
134,Kazakhstan_1998,0,6,38,of,of,IN,IN
135,Kazakhstan_1998,0,6,39,state,state,NN,NN
136,Kazakhstan_1998,0,6,40,by,by,IN,IN
137,Kazakhstan_1998,0,6,41,democratic,democratic,JJ,JJ
138,Kazakhstan_1998,0,6,42,methods,methods,NNS,NN
139,Kazakhstan_1998,0,6,43,including,including,VBG,VB
140,Kazakhstan_1998,0,6,44,voting,voting,NN,NN
