,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Kosovo_2008,0,0,0,Kosovo,kosovo,NNP,NN
1,Kosovo_2008,0,0,1,2008,2008,CD,CD
2,Kosovo_2008,0,0,2,Preamble,preamble,NNP,NN
3,Kosovo_2008,0,0,3,Share,share,NNP,NN
4,Kosovo_2008,0,0,4,We,we,PRP,PR
5,Kosovo_2008,0,0,6,the,the,DT,DT
6,Kosovo_2008,0,0,7,people,people,NNS,NN
7,Kosovo_2008,0,0,8,of,of,IN,IN
8,Kosovo_2008,0,0,9,Kosovo,kosovo,NNP,NN
9,Kosovo_2008,0,0,11,Determined,determined,VBD,VB
10,Kosovo_2008,0,0,12,to,to,TO,TO
11,Kosovo_2008,0,0,13,build,build,VB,VB
12,Kosovo_2008,0,0,14,a,a,DT,DT
13,Kosovo_2008,0,0,15,future,future,NN,NN
14,Kosovo_2008,0,0,16,of,of,IN,IN
15,Kosovo_2008,0,0,17,Kosovo,kosovo,NNP,NN
16,Kosovo_2008,0,0,18,as,as,IN,IN
17,Kosovo_2008,0,0,19,a,a,DT,DT
18,Kosovo_2008,0,0,20,free,free,JJ,JJ
19,Kosovo_2008,0,0,22,democratic,democratic,JJ,JJ
20,Kosovo_2008,0,0,23,and,and,CC,CC
21,Kosovo_2008,0,0,24,peace-loving,peaceloving,JJ,JJ
22,Kosovo_2008,0,0,25,country,country,NN,NN
23,Kosovo_2008,0,0,26,that,that,WDT,WD
24,Kosovo_2008,0,0,27,will,will,MD,MD
25,Kosovo_2008,0,0,28,be,be,VB,VB
26,Kosovo_2008,0,0,29,a,a,DT,DT
27,Kosovo_2008,0,0,30,homeland,homeland,NN,NN
28,Kosovo_2008,0,0,31,to,to,TO,TO
29,Kosovo_2008,0,0,32,all,all,DT,DT
30,Kosovo_2008,0,0,33,of,of,IN,IN
31,Kosovo_2008,0,0,34,its,its,PRP$,PR
32,Kosovo_2008,0,0,35,citizens,citizens,NNS,NN
33,Kosovo_2008,0,0,37,Committed,committed,VBN,VB
34,Kosovo_2008,0,0,38,to,to,TO,TO
35,Kosovo_2008,0,0,39,the,the,DT,DT
36,Kosovo_2008,0,0,40,creation,creation,NN,NN
37,Kosovo_2008,0,0,41,of,of,IN,IN
38,Kosovo_2008,0,0,42,a,a,DT,DT
39,Kosovo_2008,0,0,43,state,state,NN,NN
40,Kosovo_2008,0,0,44,of,of,IN,IN
41,Kosovo_2008,0,0,45,free,free,JJ,JJ
42,Kosovo_2008,0,0,46,citizens,citizens,NNS,NN
43,Kosovo_2008,0,0,47,that,that,WDT,WD
44,Kosovo_2008,0,0,48,will,will,MD,MD
45,Kosovo_2008,0,0,49,guarantee,guarantee,VB,VB
46,Kosovo_2008,0,0,50,the,the,DT,DT
47,Kosovo_2008,0,0,51,rights,rights,NNS,NN
48,Kosovo_2008,0,0,52,of,of,IN,IN
49,Kosovo_2008,0,0,53,every,every,DT,DT
50,Kosovo_2008,0,0,54,citizen,citizen,NN,NN
51,Kosovo_2008,0,0,56,civil,civil,JJ,JJ
52,Kosovo_2008,0,0,57,freedoms,freedoms,NNS,NN
53,Kosovo_2008,0,0,58,and,and,CC,CC
54,Kosovo_2008,0,0,59,equality,equality,NN,NN
55,Kosovo_2008,0,0,60,of,of,IN,IN
56,Kosovo_2008,0,0,61,all,all,DT,DT
57,Kosovo_2008,0,0,62,citizens,citizens,NNS,NN
58,Kosovo_2008,0,0,63,before,before,IN,IN
59,Kosovo_2008,0,0,64,the,the,DT,DT
60,Kosovo_2008,0,0,65,law,law,NN,NN
61,Kosovo_2008,0,0,67,Committed,committed,VBN,VB
62,Kosovo_2008,0,0,68,to,to,TO,TO
63,Kosovo_2008,0,0,69,the,the,DT,DT
64,Kosovo_2008,0,0,70,state,state,NN,NN
65,Kosovo_2008,0,0,71,of,of,IN,IN
66,Kosovo_2008,0,0,72,Kosovo,kosovo,NNP,NN
67,Kosovo_2008,0,0,73,as,as,IN,IN
68,Kosovo_2008,0,0,74,a,a,DT,DT
69,Kosovo_2008,0,0,75,state,state,NN,NN
70,Kosovo_2008,0,0,76,of,of,IN,IN
71,Kosovo_2008,0,0,77,economic,economic,JJ,JJ
72,Kosovo_2008,0,0,78,wellbeing,wellbeing,NN,NN
73,Kosovo_2008,0,0,79,and,and,CC,CC
74,Kosovo_2008,0,0,80,social,social,JJ,JJ
75,Kosovo_2008,0,0,81,prosperity,prosperity,NN,NN
76,Kosovo_2008,0,0,83,Convinced,convinced,NNP,NN
77,Kosovo_2008,0,0,84,that,that,IN,IN
78,Kosovo_2008,0,0,85,the,the,DT,DT
79,Kosovo_2008,0,0,86,state,state,NN,NN
80,Kosovo_2008,0,0,87,of,of,IN,IN
81,Kosovo_2008,0,0,88,Kosovo,kosovo,NNP,NN
82,Kosovo_2008,0,0,89,will,will,MD,MD
83,Kosovo_2008,0,0,90,contribute,contribute,VB,VB
84,Kosovo_2008,0,0,91,to,to,TO,TO
85,Kosovo_2008,0,0,92,the,the,DT,DT
86,Kosovo_2008,0,0,93,stability,stability,NN,NN
87,Kosovo_2008,0,0,94,of,of,IN,IN
88,Kosovo_2008,0,0,95,the,the,DT,DT
89,Kosovo_2008,0,0,96,region,region,NN,NN
90,Kosovo_2008,0,0,97,and,and,CC,CC
91,Kosovo_2008,0,0,98,entire,entire,JJ,JJ
92,Kosovo_2008,0,0,99,Europe,europe,NNP,NN
93,Kosovo_2008,0,0,100,by,by,IN,IN
94,Kosovo_2008,0,0,101,creating,creating,VBG,VB
95,Kosovo_2008,0,0,102,relations,relations,NNS,NN
96,Kosovo_2008,0,0,103,of,of,IN,IN
97,Kosovo_2008,0,0,104,good,good,JJ,JJ
98,Kosovo_2008,0,0,105,neighborliness,neighborliness,NN,NN
99,Kosovo_2008,0,0,106,and,and,CC,CC
100,Kosovo_2008,0,0,107,cooperation,cooperation,NN,NN
101,Kosovo_2008,0,0,108,with,with,IN,IN
102,Kosovo_2008,0,0,109,all,all,DT,DT
103,Kosovo_2008,0,0,110,neighboring,neighboring,JJ,JJ
104,Kosovo_2008,0,0,111,countries,countries,NNS,NN
105,Kosovo_2008,0,0,113,Convinced,convinced,NNP,NN
106,Kosovo_2008,0,0,114,that,that,IN,IN
107,Kosovo_2008,0,0,115,the,the,DT,DT
108,Kosovo_2008,0,0,116,state,state,NN,NN
109,Kosovo_2008,0,0,117,of,of,IN,IN
110,Kosovo_2008,0,0,118,Kosovo,kosovo,NNP,NN
111,Kosovo_2008,0,0,119,will,will,MD,MD
112,Kosovo_2008,0,0,120,be,be,VB,VB
113,Kosovo_2008,0,0,121,a,a,DT,DT
114,Kosovo_2008,0,0,122,dignified,dignified,JJ,JJ
115,Kosovo_2008,0,0,123,member,member,NN,NN
116,Kosovo_2008,0,0,124,of,of,IN,IN
117,Kosovo_2008,0,0,125,the,the,DT,DT
118,Kosovo_2008,0,0,126,family,family,NN,NN
119,Kosovo_2008,0,0,127,of,of,IN,IN
120,Kosovo_2008,0,0,128,peace-loving,peaceloving,JJ,JJ
121,Kosovo_2008,0,0,129,states,states,NNS,NN
122,Kosovo_2008,0,0,130,in,in,IN,IN
123,Kosovo_2008,0,0,131,the,the,DT,DT
124,Kosovo_2008,0,0,132,world,world,NN,NN
125,Kosovo_2008,0,0,134,With,with,IN,IN
126,Kosovo_2008,0,0,135,the,the,DT,DT
127,Kosovo_2008,0,0,136,intention,intention,NN,NN
128,Kosovo_2008,0,0,137,of,of,IN,IN
129,Kosovo_2008,0,0,138,having,having,VBG,VB
130,Kosovo_2008,0,0,139,the,the,DT,DT
131,Kosovo_2008,0,0,140,state,state,NN,NN
132,Kosovo_2008,0,0,141,of,of,IN,IN
133,Kosovo_2008,0,0,142,Kosovo,kosovo,NNP,NN
134,Kosovo_2008,0,0,143,fully,fully,RB,RB
135,Kosovo_2008,0,0,144,participating,participating,VBG,VB
136,Kosovo_2008,0,0,145,in,in,IN,IN
137,Kosovo_2008,0,0,146,the,the,DT,DT
138,Kosovo_2008,0,0,147,processes,processes,NNS,NN
139,Kosovo_2008,0,0,148,of,of,IN,IN
140,Kosovo_2008,0,0,149,Euro-Atlantic,euroatlantic,JJ,JJ
141,Kosovo_2008,0,0,150,integration,integration,NN,NN
142,Kosovo_2008,0,0,152,In,in,IN,IN
143,Kosovo_2008,0,0,153,a,a,DT,DT
144,Kosovo_2008,0,0,154,solemn,solemn,JJ,JJ
145,Kosovo_2008,0,0,155,manner,manner,NN,NN
146,Kosovo_2008,0,0,157,we,we,PRP,PR
147,Kosovo_2008,0,0,158,approve,approve,VBP,VB
148,Kosovo_2008,0,0,159,the,the,DT,DT
149,Kosovo_2008,0,0,160,Constitution,constitution,NNP,NN
150,Kosovo_2008,0,0,161,of,of,IN,IN
151,Kosovo_2008,0,0,162,the,the,DT,DT
152,Kosovo_2008,0,0,163,Republic,republic,NNP,NN
153,Kosovo_2008,0,0,164,of,of,IN,IN
154,Kosovo_2008,0,0,165,Kosovo,kosovo,NNP,NN
155,Kosovo_2008,0,1,0,Chapter,chapter,NN,NN
156,Kosovo_2008,0,1,1,I,i,PRP,PR
157,Kosovo_2008,0,2,0,Basic,basic,JJ,JJ
158,Kosovo_2008,0,2,1,Provisions,provisions,NNS,NN
159,Kosovo_2008,0,2,2,Article,article,VBP,VB
160,Kosovo_2008,0,2,3,1,1,CD,CD
161,Kosovo_2008,0,3,0,Definition,definition,NN,NN
162,Kosovo_2008,0,3,1,of,of,IN,IN
163,Kosovo_2008,0,3,2,State,state,NNP,NN
164,Kosovo_2008,0,3,3,Share,share,NNP,NN
165,Kosovo_2008,0,3,4,1,1,CD,CD
166,Kosovo_2008,0,4,0,The,the,DT,DT
167,Kosovo_2008,0,4,1,Republic,republic,NNP,NN
168,Kosovo_2008,0,4,2,of,of,IN,IN
169,Kosovo_2008,0,4,3,Kosovo,kosovo,NNP,NN
170,Kosovo_2008,0,4,4,is,is,VBZ,VB
171,Kosovo_2008,0,4,5,an,an,DT,DT
172,Kosovo_2008,0,4,6,independent,independent,JJ,JJ
173,Kosovo_2008,0,4,8,sovereign,sovereign,JJ,JJ
174,Kosovo_2008,0,4,10,democratic,democratic,JJ,JJ
175,Kosovo_2008,0,4,12,unique,unique,JJ,JJ
176,Kosovo_2008,0,4,13,and,and,CC,CC
177,Kosovo_2008,0,4,14,indivisible,indivisible,JJ,JJ
178,Kosovo_2008,0,4,15,state,state,NN,NN
179,Kosovo_2008,0,5,0,2,2,CD,CD
180,Kosovo_2008,0,6,0,The,the,DT,DT
181,Kosovo_2008,0,6,1,Republic,republic,NNP,NN
182,Kosovo_2008,0,6,2,of,of,IN,IN
183,Kosovo_2008,0,6,3,Kosovo,kosovo,NNP,NN
184,Kosovo_2008,0,6,4,is,is,VBZ,VB
185,Kosovo_2008,0,6,5,a,a,DT,DT
186,Kosovo_2008,0,6,6,state,state,NN,NN
187,Kosovo_2008,0,6,7,of,of,IN,IN
188,Kosovo_2008,0,6,8,its,its,PRP$,PR
189,Kosovo_2008,0,6,9,citizens,citizens,NNS,NN
190,Kosovo_2008,0,7,0,The,the,DT,DT
191,Kosovo_2008,0,7,1,Republic,republic,NNP,NN
192,Kosovo_2008,0,7,2,of,of,IN,IN
193,Kosovo_2008,0,7,3,Kosovo,kosovo,NNP,NN
194,Kosovo_2008,0,7,4,exercises,exercises,VBZ,VB
195,Kosovo_2008,0,7,5,its,its,PRP$,PR
196,Kosovo_2008,0,7,6,authority,authority,NN,NN
197,Kosovo_2008,0,7,7,based,based,VBN,VB
198,Kosovo_2008,0,7,8,on,on,IN,IN
199,Kosovo_2008,0,7,9,the,the,DT,DT
200,Kosovo_2008,0,7,10,respect,respect,NN,NN
201,Kosovo_2008,0,7,11,for,for,IN,IN
202,Kosovo_2008,0,7,12,human,human,JJ,JJ
203,Kosovo_2008,0,7,13,rights,rights,NNS,NN
204,Kosovo_2008,0,7,14,and,and,CC,CC
205,Kosovo_2008,0,7,15,freedoms,freedoms,NNS,NN
206,Kosovo_2008,0,7,16,of,of,IN,IN
207,Kosovo_2008,0,7,17,its,its,PRP$,PR
208,Kosovo_2008,0,7,18,citizens,citizens,NNS,NN
209,Kosovo_2008,0,7,19,and,and,CC,CC
210,Kosovo_2008,0,7,20,all,all,DT,DT
211,Kosovo_2008,0,7,21,other,other,JJ,JJ
212,Kosovo_2008,0,7,22,individuals,individuals,NNS,NN
213,Kosovo_2008,0,7,23,within,within,IN,IN
214,Kosovo_2008,0,7,24,its,its,PRP$,PR
215,Kosovo_2008,0,7,25,borders,borders,NNS,NN
216,Kosovo_2008,0,8,0,3,3,CD,CD
217,Kosovo_2008,0,9,0,The,the,DT,DT
218,Kosovo_2008,0,9,1,Republic,republic,NNP,NN
219,Kosovo_2008,0,9,2,of,of,IN,IN
220,Kosovo_2008,0,9,3,Kosovo,kosovo,NNP,NN
221,Kosovo_2008,0,9,4,shall,shall,MD,MD
222,Kosovo_2008,0,9,5,have,have,VB,VB
223,Kosovo_2008,0,9,6,no,no,DT,DT
224,Kosovo_2008,0,9,7,territorial,territorial,JJ,JJ
225,Kosovo_2008,0,9,8,claims,claims,NNS,NN
226,Kosovo_2008,0,9,9,against,against,IN,IN
227,Kosovo_2008,0,9,11,and,and,CC,CC
228,Kosovo_2008,0,9,12,shall,shall,MD,MD
229,Kosovo_2008,0,9,13,seek,seek,VB,VB
230,Kosovo_2008,0,9,14,no,no,DT,DT
231,Kosovo_2008,0,9,15,union,union,NN,NN
232,Kosovo_2008,0,9,16,with,with,IN,IN
233,Kosovo_2008,0,9,18,any,any,DT,DT
234,Kosovo_2008,0,9,19,State,state,NNP,NN
235,Kosovo_2008,0,9,20,or,or,CC,CC
236,Kosovo_2008,0,9,21,part,part,NN,NN
237,Kosovo_2008,0,9,22,of,of,IN,IN
238,Kosovo_2008,0,9,23,any,any,DT,DT
239,Kosovo_2008,0,9,24,State,state,NNP,NN
240,Kosovo_2008,0,10,0,Article,article,NN,NN
241,Kosovo_2008,0,10,1,2,2,CD,CD
242,Kosovo_2008,0,11,0,Sovereignty,sovereignty,NNP,NN
243,Kosovo_2008,0,11,1,Share,share,NNP,NN
244,Kosovo_2008,0,11,2,1,1,CD,CD
245,Kosovo_2008,0,12,0,The,the,DT,DT
246,Kosovo_2008,0,12,1,sovereignty,sovereignty,NN,NN
