,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Kuwait_1992,0,0,0,Kuwait,kuwait,NNP,NN
1,Kuwait_1992,0,0,1,1962,1962,CD,CD
2,Kuwait_1992,0,0,3,reinst,reinst,NN,NN
3,Kuwait_1992,0,1,0,1992,1992,CD,CD
4,Kuwait_1992,0,1,2,Preamble,preamble,JJ,JJ
5,Kuwait_1992,0,1,3,Share,share,NN,NN
6,Kuwait_1992,0,1,4,In,in,IN,IN
7,Kuwait_1992,0,1,5,the,the,DT,DT
8,Kuwait_1992,0,1,6,Name,name,NN,NN
9,Kuwait_1992,0,1,7,of,of,IN,IN
10,Kuwait_1992,0,1,8,God,god,NNP,NN
11,Kuwait_1992,0,1,9,the,the,DT,DT
12,Kuwait_1992,0,1,10,Compassionate,compassionate,NNP,NN
13,Kuwait_1992,0,1,12,the,the,DT,DT
14,Kuwait_1992,0,1,13,Merciful,merciful,NNP,NN
15,Kuwait_1992,0,1,14,We,we,PRP,PR
16,Kuwait_1992,0,1,16,Abdallah,abdallah,NNP,NN
17,Kuwait_1992,0,1,17,Al,al,NNP,NN
18,Kuwait_1992,0,1,18,Salem,salem,NNP,NN
19,Kuwait_1992,0,1,19,Al,al,NNP,NN
20,Kuwait_1992,0,1,20,Sabah,sabah,NNP,NN
21,Kuwait_1992,0,1,22,Amir,amir,NNP,NN
22,Kuwait_1992,0,1,23,of,of,IN,IN
23,Kuwait_1992,0,1,24,the,the,DT,DT
24,Kuwait_1992,0,1,25,State,state,NNP,NN
25,Kuwait_1992,0,1,26,of,of,IN,IN
26,Kuwait_1992,0,1,27,Kuwait,kuwait,NNP,NN
27,Kuwait_1992,0,1,29,Desirous,desirous,NNP,NN
28,Kuwait_1992,0,1,30,of,of,IN,IN
29,Kuwait_1992,0,1,31,fulfilling,fulfilling,VBG,VB
30,Kuwait_1992,0,1,32,all,all,DT,DT
31,Kuwait_1992,0,1,33,of,of,IN,IN
32,Kuwait_1992,0,1,34,the,the,DT,DT
33,Kuwait_1992,0,1,35,exigencies,exigencies,NNS,NN
34,Kuwait_1992,0,1,36,of,of,IN,IN
35,Kuwait_1992,0,1,37,democratic,democratic,JJ,JJ
36,Kuwait_1992,0,1,38,rule,rule,NN,NN
37,Kuwait_1992,0,1,39,in,in,IN,IN
38,Kuwait_1992,0,1,40,our,our,PRP$,PR
39,Kuwait_1992,0,1,41,beloved,beloved,JJ,JJ
40,Kuwait_1992,0,1,42,homeland,homeland,NN,NN
41,Kuwait_1992,0,1,44,Confident,confident,NNP,NN
