,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Kyrgyz_Republic_2010,0,0,0,Kyrgyz,kyrgyz,NNP,NN
1,Kyrgyz_Republic_2010,0,0,1,Republic,republic,NNP,NN
2,Kyrgyz_Republic_2010,0,0,2,2010,2010,CD,CD
3,Kyrgyz_Republic_2010,0,0,3,Preamble,preamble,NNP,NN
4,Kyrgyz_Republic_2010,0,0,4,Share,share,NNP,NN
5,Kyrgyz_Republic_2010,0,0,5,We,we,PRP,PR
6,Kyrgyz_Republic_2010,0,0,7,the,the,DT,DT
7,Kyrgyz_Republic_2010,0,0,8,people,people,NNS,NN
8,Kyrgyz_Republic_2010,0,0,9,of,of,IN,IN
9,Kyrgyz_Republic_2010,0,0,10,Kyrgyzstan,kyrgyzstan,NNP,NN
10,Kyrgyz_Republic_2010,0,0,12,Paying,paying,VBG,VB
11,Kyrgyz_Republic_2010,0,0,13,tribute,tribute,NN,NN
12,Kyrgyz_Republic_2010,0,0,14,to,to,TO,TO
13,Kyrgyz_Republic_2010,0,0,15,the,the,DT,DT
14,Kyrgyz_Republic_2010,0,0,16,memory,memory,NN,NN
15,Kyrgyz_Republic_2010,0,0,17,of,of,IN,IN
16,Kyrgyz_Republic_2010,0,0,18,heroes,heroes,NNS,NN
17,Kyrgyz_Republic_2010,0,0,19,who,who,WP,WP
18,Kyrgyz_Republic_2010,0,0,20,rendered,rendered,VBD,VB
19,Kyrgyz_Republic_2010,0,0,21,life,life,NN,NN
20,Kyrgyz_Republic_2010,0,0,22,for,for,IN,IN
21,Kyrgyz_Republic_2010,0,0,23,freedom,freedom,NN,NN
22,Kyrgyz_Republic_2010,0,0,24,of,of,IN,IN
23,Kyrgyz_Republic_2010,0,0,25,the,the,DT,DT
24,Kyrgyz_Republic_2010,0,0,26,people,people,NNS,NN
25,Kyrgyz_Republic_2010,0,0,28,Confirming,confirming,VBG,VB
26,Kyrgyz_Republic_2010,0,0,29,adherence,adherence,NN,NN
27,Kyrgyz_Republic_2010,0,0,30,to,to,TO,TO
28,Kyrgyz_Republic_2010,0,0,31,the,the,DT,DT
29,Kyrgyz_Republic_2010,0,0,32,goal,goal,NN,NN
30,Kyrgyz_Republic_2010,0,0,33,to,to,TO,TO
31,Kyrgyz_Republic_2010,0,0,34,build,build,VB,VB
32,Kyrgyz_Republic_2010,0,0,35,free,free,JJ,JJ
33,Kyrgyz_Republic_2010,0,0,36,and,and,CC,CC
34,Kyrgyz_Republic_2010,0,0,37,democratic,democratic,JJ,JJ
35,Kyrgyz_Republic_2010,0,0,38,state,state,NN,NN
36,Kyrgyz_Republic_2010,0,0,39,based,based,VBN,VB
37,Kyrgyz_Republic_2010,0,0,40,on,on,IN,IN
38,Kyrgyz_Republic_2010,0,0,41,respect,respect,NN,NN
39,Kyrgyz_Republic_2010,0,0,42,and,and,CC,CC
40,Kyrgyz_Republic_2010,0,0,43,protection,protection,NN,NN
41,Kyrgyz_Republic_2010,0,0,44,of,of,IN,IN
42,Kyrgyz_Republic_2010,0,0,45,human,human,JJ,JJ
43,Kyrgyz_Republic_2010,0,0,46,rights,rights,NNS,NN
44,Kyrgyz_Republic_2010,0,0,48,Expressing,expressing,VBG,VB
45,Kyrgyz_Republic_2010,0,0,49,unwavering,unwavering,JJ,JJ
46,Kyrgyz_Republic_2010,0,0,50,commitment,commitment,NN,NN
47,Kyrgyz_Republic_2010,0,0,51,and,and,CC,CC
48,Kyrgyz_Republic_2010,0,0,52,firm,firm,NN,NN
49,Kyrgyz_Republic_2010,0,0,53,will,will,MD,MD
50,Kyrgyz_Republic_2010,0,0,54,to,to,TO,TO
51,Kyrgyz_Republic_2010,0,0,55,develop,develop,VB,VB
52,Kyrgyz_Republic_2010,0,0,56,and,and,CC,CC
53,Kyrgyz_Republic_2010,0,0,57,enhance,enhance,VB,VB
54,Kyrgyz_Republic_2010,0,0,58,the,the,DT,DT
55,Kyrgyz_Republic_2010,0,0,59,Kyrgyz,kyrgyz,NNP,NN
56,Kyrgyz_Republic_2010,0,0,60,statehood,statehood,NN,NN
57,Kyrgyz_Republic_2010,0,0,62,protect,protect,VBP,VB
58,Kyrgyz_Republic_2010,0,0,63,state,state,NN,NN
59,Kyrgyz_Republic_2010,0,0,64,sovereignty,sovereignty,NN,NN
60,Kyrgyz_Republic_2010,0,0,65,and,and,CC,CC
61,Kyrgyz_Republic_2010,0,0,66,the,the,DT,DT
