,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Latvia_2007,0,0,0,Latvia,latvia,JJ,JJ
1,Latvia_2007,0,0,1,1922,1922,CD,CD
2,Latvia_2007,0,0,3,reinst,reinst,NN,NN
3,Latvia_2007,0,1,0,1991,1991,CD,CD
4,Latvia_2007,0,1,2,rev,rev,NN,NN
5,Latvia_2007,0,2,0,2007,2007,CD,CD
6,Latvia_2007,0,2,2,Preamble,preamble,NNP,NN
7,Latvia_2007,0,2,3,Share,share,NNP,NN
8,Latvia_2007,0,2,4,The,the,DT,DT
9,Latvia_2007,0,2,5,people,people,NNS,NN
10,Latvia_2007,0,2,6,of,of,IN,IN
11,Latvia_2007,0,2,7,Latvia,latvia,NNP,NN
12,Latvia_2007,0,2,9,in,in,IN,IN
13,Latvia_2007,0,2,10,freely,freely,RB,RB
14,Latvia_2007,0,2,11,elected,elected,VBN,VB
15,Latvia_2007,0,2,12,Constitutional,constitutional,NNP,NN
16,Latvia_2007,0,2,13,Assembly,assembly,NNP,NN
17,Latvia_2007,0,2,15,have,have,VBP,VB
18,Latvia_2007,0,2,16,adopted,adopted,VBN,VB
19,Latvia_2007,0,2,17,the,the,DT,DT
20,Latvia_2007,0,2,18,following,following,JJ,JJ
21,Latvia_2007,0,2,19,State,state,NNP,NN
22,Latvia_2007,0,2,20,Constitution,constitution,NNP,NN
23,Latvia_2007,0,2,22,Chapter,chapter,NN,NN
24,Latvia_2007,0,2,23,I,i,PRP,PR
25,Latvia_2007,0,3,0,General,general,NNP,NN
26,Latvia_2007,0,3,1,Provisions,provisions,NNP,NN
27,Latvia_2007,0,3,2,Share,share,NNP,NN
28,Latvia_2007,0,3,3,Article,article,NNP,NN
29,Latvia_2007,0,3,4,1,1,CD,CD
30,Latvia_2007,0,3,5,Share,share,NNP,NN
31,Latvia_2007,0,3,6,Latvia,latvia,NNP,NN
32,Latvia_2007,0,3,7,is,is,VBZ,VB
33,Latvia_2007,0,3,8,an,an,DT,DT
34,Latvia_2007,0,3,9,independent,independent,JJ,JJ
35,Latvia_2007,0,3,10,democratic,democratic,JJ,JJ
36,Latvia_2007,0,3,11,republic,republic,NN,NN
37,Latvia_2007,0,4,0,Article,article,NN,NN
38,Latvia_2007,0,4,1,2,2,CD,CD
39,Latvia_2007,0,4,2,Share,share,NNP,NN
40,Latvia_2007,0,4,3,The,the,DT,DT
