,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Lebanon_2004,0,0,0,Lebanon,lebanon,JJ,JJ
1,Lebanon_2004,0,0,1,1926,1926,CD,CD
2,Lebanon_2004,0,0,3,rev,rev,NN,NN
3,Lebanon_2004,0,1,0,2004,2004,CD,CD
4,Lebanon_2004,0,1,2,PART,part,NN,NN
5,Lebanon_2004,0,1,3,I,i,PRP,PR
6,Lebanon_2004,0,2,0,BASIC,basic,NNP,NN
7,Lebanon_2004,0,2,1,PROVISIONS,provisions,NNP,NN
8,Lebanon_2004,0,2,2,Share,share,NNP,NN
9,Lebanon_2004,0,2,3,Preamble,preamble,NNP,NN
10,Lebanon_2004,0,2,4,to,to,TO,TO
11,Lebanon_2004,0,2,5,the,the,DT,DT
12,Lebanon_2004,0,2,6,Constitution,constitution,NNP,NN
13,Lebanon_2004,0,2,7,Share,share,NNP,NN
14,Lebanon_2004,0,2,8,A.,a,NNP,NN
15,Lebanon_2004,0,2,9,Lebanon,lebanon,NNP,NN
16,Lebanon_2004,0,2,10,is,is,VBZ,VB
17,Lebanon_2004,0,2,11,a,a,DT,DT
18,Lebanon_2004,0,2,12,sovereign,sovereign,NN,NN
19,Lebanon_2004,0,2,14,free,free,JJ,JJ
20,Lebanon_2004,0,2,16,and,and,CC,CC
21,Lebanon_2004,0,2,17,independent,independent,JJ,JJ
22,Lebanon_2004,0,2,18,homeland,homeland,NN,NN
23,Lebanon_2004,0,3,0,An,an,DT,DT
24,Lebanon_2004,0,3,1,ultimate,ultimate,JJ,JJ
25,Lebanon_2004,0,3,2,homeland,homeland,NN,NN
26,Lebanon_2004,0,3,3,for,for,IN,IN
27,Lebanon_2004,0,3,4,all,all,DT,DT
28,Lebanon_2004,0,3,5,its,its,PRP$,PR
29,Lebanon_2004,0,3,6,sons,sons,NNS,NN
30,Lebanon_2004,0,3,8,unitary,unitary,JJ,JJ
31,Lebanon_2004,0,3,9,in,in,IN,IN
32,Lebanon_2004,0,3,10,terms,terms,NNS,NN
33,Lebanon_2004,0,3,11,of,of,IN,IN
34,Lebanon_2004,0,3,12,land,land,NN,NN
35,Lebanon_2004,0,3,14,people,people,NNS,NN
36,Lebanon_2004,0,3,16,and,and,CC,CC
37,Lebanon_2004,0,3,17,institutions,institutions,NNS,NN
38,Lebanon_2004,0,3,19,within,within,IN,IN
39,Lebanon_2004,0,3,20,its,its,PRP$,PR
40,Lebanon_2004,0,3,21,boundaries,boundaries,NNS,NN
41,Lebanon_2004,0,3,23,as,as,IN,IN
42,Lebanon_2004,0,3,24,provided,provided,VBN,VB
43,Lebanon_2004,0,3,25,in,in,IN,IN
44,Lebanon_2004,0,3,26,this,this,DT,DT
45,Lebanon_2004,0,3,27,Constitution,constitution,NNP,NN
46,Lebanon_2004,0,3,29,and,and,CC,CC
47,Lebanon_2004,0,3,30,as,as,IN,IN
48,Lebanon_2004,0,3,31,recognized,recognized,VBN,VB
49,Lebanon_2004,0,3,32,internationally,internationally,RB,RB
50,Lebanon_2004,0,4,0,B.,b,NNP,NN
51,Lebanon_2004,0,4,1,Lebanon,lebanon,NNP,NN
52,Lebanon_2004,0,4,2,has,has,VBZ,VB
53,Lebanon_2004,0,4,3,an,an,DT,DT
54,Lebanon_2004,0,4,4,Arab,arab,JJ,JJ
55,Lebanon_2004,0,4,5,identity,identity,NN,NN
56,Lebanon_2004,0,4,6,and,and,CC,CC
57,Lebanon_2004,0,4,7,belonging,belonging,NN,NN
58,Lebanon_2004,0,5,0,It,it,PRP,PR
59,Lebanon_2004,0,5,1,is,is,VBZ,VB
60,Lebanon_2004,0,5,2,a,a,DT,DT
61,Lebanon_2004,0,5,3,founding,founding,JJ,JJ
62,Lebanon_2004,0,5,4,active,active,JJ,JJ
63,Lebanon_2004,0,5,5,member,member,NN,NN
64,Lebanon_2004,0,5,6,of,of,IN,IN
65,Lebanon_2004,0,5,7,the,the,DT,DT
66,Lebanon_2004,0,5,8,Arab,arab,NNP,NN
67,Lebanon_2004,0,5,9,League,league,NNP,NN
68,Lebanon_2004,0,5,11,committed,committed,VBD,VB
69,Lebanon_2004,0,5,12,to,to,TO,TO
70,Lebanon_2004,0,5,13,its,its,PRP$,PR
71,Lebanon_2004,0,5,14,Charter,charter,NNP,NN
72,Lebanon_2004,0,5,16,as,as,IN,IN
73,Lebanon_2004,0,5,17,it,it,PRP,PR
74,Lebanon_2004,0,5,18,is,is,VBZ,VB
75,Lebanon_2004,0,5,19,a,a,DT,DT
76,Lebanon_2004,0,5,20,founding,founding,JJ,JJ
77,Lebanon_2004,0,5,21,active,active,JJ,JJ
78,Lebanon_2004,0,5,22,member,member,NN,NN
79,Lebanon_2004,0,5,23,of,of,IN,IN
80,Lebanon_2004,0,5,24,the,the,DT,DT
81,Lebanon_2004,0,5,25,United,united,NNP,NN
82,Lebanon_2004,0,5,26,Nations,nations,NNPS,NN
83,Lebanon_2004,0,5,27,Organization,organization,NNP,NN
84,Lebanon_2004,0,5,29,committed,committed,VBD,VB
85,Lebanon_2004,0,5,30,to,to,TO,TO
86,Lebanon_2004,0,5,31,its,its,PRP$,PR
87,Lebanon_2004,0,5,32,Charter,charter,NNP,NN
88,Lebanon_2004,0,5,33,and,and,CC,CC
89,Lebanon_2004,0,5,34,the,the,DT,DT
90,Lebanon_2004,0,5,35,Universal,universal,NNP,NN
91,Lebanon_2004,0,5,36,Declaration,declaration,NNP,NN
92,Lebanon_2004,0,5,37,of,of,IN,IN
93,Lebanon_2004,0,5,38,Human,human,NNP,NN
94,Lebanon_2004,0,5,39,Rights,rights,NNPS,NN
95,Lebanon_2004,0,6,0,The,the,DT,DT
96,Lebanon_2004,0,6,1,State,state,NNP,NN
97,Lebanon_2004,0,6,2,embodies,embodies,NNS,NN
98,Lebanon_2004,0,6,3,these,these,DT,DT
99,Lebanon_2004,0,6,4,principles,principles,NNS,NN
100,Lebanon_2004,0,6,5,in,in,IN,IN
101,Lebanon_2004,0,6,6,all,all,DT,DT
102,Lebanon_2004,0,6,7,sectors,sectors,NNS,NN
103,Lebanon_2004,0,6,8,and,and,CC,CC
104,Lebanon_2004,0,6,9,scopes,scopes,NNS,NN
105,Lebanon_2004,0,6,10,without,without,IN,IN
106,Lebanon_2004,0,6,11,exception,exception,NN,NN
107,Lebanon_2004,0,7,0,C.,c,NNP,NN
108,Lebanon_2004,0,7,1,Lebanon,lebanon,NNP,NN
109,Lebanon_2004,0,7,2,is,is,VBZ,VB
110,Lebanon_2004,0,7,3,a,a,DT,DT
111,Lebanon_2004,0,7,4,democratic,democratic,JJ,JJ
112,Lebanon_2004,0,7,5,parliamentary,parliamentary,JJ,JJ
113,Lebanon_2004,0,7,6,republic,republic,NN,NN
114,Lebanon_2004,0,7,7,based,based,VBN,VB
115,Lebanon_2004,0,7,8,upon,upon,IN,IN
116,Lebanon_2004,0,7,9,the,the,DT,DT
117,Lebanon_2004,0,7,10,respect,respect,NN,NN
118,Lebanon_2004,0,7,11,of,of,IN,IN
119,Lebanon_2004,0,7,12,public,public,JJ,JJ
120,Lebanon_2004,0,7,13,freedoms,freedoms,NNS,NN
121,Lebanon_2004,0,7,15,freedom,freedom,NN,NN
122,Lebanon_2004,0,7,16,of,of,IN,IN
123,Lebanon_2004,0,7,17,opinion,opinion,NN,NN
124,Lebanon_2004,0,7,18,and,and,CC,CC
125,Lebanon_2004,0,7,19,freedom,freedom,NN,NN
126,Lebanon_2004,0,7,20,of,of,IN,IN
127,Lebanon_2004,0,7,21,belief,belief,NN,NN
128,Lebanon_2004,0,7,23,and,and,CC,CC
129,Lebanon_2004,0,7,24,of,of,IN,IN
130,Lebanon_2004,0,7,25,social,social,JJ,JJ
131,Lebanon_2004,0,7,26,justice,justice,NN,NN
132,Lebanon_2004,0,7,27,and,and,CC,CC
133,Lebanon_2004,0,7,28,equality,equality,NN,NN
134,Lebanon_2004,0,7,29,in,in,IN,IN
135,Lebanon_2004,0,7,30,rights,rights,NNS,NN
136,Lebanon_2004,0,7,31,and,and,CC,CC
137,Lebanon_2004,0,7,32,duties,duties,NNS,NN
138,Lebanon_2004,0,7,33,among,among,IN,IN
139,Lebanon_2004,0,7,34,all,all,DT,DT
140,Lebanon_2004,0,7,35,citizens,citizens,NNS,NN
141,Lebanon_2004,0,7,37,without,without,IN,IN
142,Lebanon_2004,0,7,38,distinction,distinction,NN,NN
143,Lebanon_2004,0,7,39,or,or,CC,CC
144,Lebanon_2004,0,7,40,preference,preference,NN,NN
145,Lebanon_2004,0,8,0,D.,d,NNP,NN
146,Lebanon_2004,0,8,1,The,the,DT,DT
147,Lebanon_2004,0,8,2,people,people,NNS,NN
148,Lebanon_2004,0,8,3,are,are,VBP,VB
149,Lebanon_2004,0,8,4,the,the,DT,DT
150,Lebanon_2004,0,8,5,source,source,NN,NN
151,Lebanon_2004,0,8,6,of,of,IN,IN
152,Lebanon_2004,0,8,7,powers,powers,NNS,NN
153,Lebanon_2004,0,8,8,and,and,CC,CC
154,Lebanon_2004,0,8,9,of,of,IN,IN
155,Lebanon_2004,0,8,10,sovereignty,sovereignty,NN,NN
156,Lebanon_2004,0,8,12,exercising,exercising,VBG,VB
157,Lebanon_2004,0,8,13,them,them,PRP,PR
158,Lebanon_2004,0,8,14,through,through,IN,IN
159,Lebanon_2004,0,8,15,constitutional,constitutional,JJ,JJ
160,Lebanon_2004,0,8,16,institutions,institutions,NNS,NN
161,Lebanon_2004,0,9,0,E.,e,NNP,NN
162,Lebanon_2004,0,9,1,The,the,DT,DT
163,Lebanon_2004,0,9,2,system,system,NN,NN
164,Lebanon_2004,0,9,3,is,is,VBZ,VB
165,Lebanon_2004,0,9,4,based,based,VBN,VB
166,Lebanon_2004,0,9,5,upon,upon,IN,IN
167,Lebanon_2004,0,9,6,the,the,DT,DT
168,Lebanon_2004,0,9,7,principle,principle,NN,NN
169,Lebanon_2004,0,9,8,of,of,IN,IN
170,Lebanon_2004,0,9,9,separation,separation,NN,NN
171,Lebanon_2004,0,9,10,of,of,IN,IN
172,Lebanon_2004,0,9,11,powers,powers,NNS,NN
173,Lebanon_2004,0,9,13,their,their,PRP$,PR
