,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Libya_2011,0,0,0,Libya,libya,JJ,JJ
1,Libya_2011,0,0,1,2011,2011,CD,CD
2,Libya_2011,0,0,2,Preamble,preamble,JJ,JJ
3,Libya_2011,0,0,3,Share,share,NN,NN
4,Libya_2011,0,0,4,In,in,IN,IN
5,Libya_2011,0,0,5,The,the,DT,DT
6,Libya_2011,0,0,6,Name,name,NN,NN
7,Libya_2011,0,0,7,of,of,IN,IN
8,Libya_2011,0,0,8,Allah,allah,NNP,NN
9,Libya_2011,0,0,10,the,the,DT,DT
10,Libya_2011,0,0,11,Merciful,merciful,NNP,NN
11,Libya_2011,0,0,13,the,the,DT,DT
12,Libya_2011,0,0,14,Compassionate,compassionate,NNP,NN
13,Libya_2011,0,0,15,Believing,believing,NNP,NN
14,Libya_2011,0,0,16,in,in,IN,IN
15,Libya_2011,0,0,17,the,the,DT,DT
16,Libya_2011,0,0,18,Revolution,revolution,NNP,NN
17,Libya_2011,0,0,19,of,of,IN,IN
18,Libya_2011,0,0,20,17th,17th,CD,CD
19,Libya_2011,0,0,21,of,of,IN,IN
20,Libya_2011,0,0,22,February,february,NNP,NN
21,Libya_2011,0,0,24,2011,2011,CD,CD
22,Libya_2011,0,0,26,14th,14th,CD,CD
23,Libya_2011,0,0,27,Rabi,rabi,NNP,NN
24,Libya_2011,0,0,29,El-Awal,elawal,NNP,NN
25,Libya_2011,0,0,31,1432,1432,CD,CD
26,Libya_2011,0,0,32,Hijri,hijri,NNP,NN
27,Libya_2011,0,0,35,lead,lead,JJ,JJ
28,Libya_2011,0,0,36,by,by,IN,IN
29,Libya_2011,0,0,37,the,the,DT,DT
30,Libya_2011,0,0,38,Libyan,libyan,JJ,JJ
31,Libya_2011,0,0,39,people,people,NNS,NN
32,Libya_2011,0,0,40,in,in,IN,IN
33,Libya_2011,0,0,41,the,the,DT,DT
34,Libya_2011,0,0,42,different,different,JJ,JJ
35,Libya_2011,0,0,43,regions,regions,NNS,NN
36,Libya_2011,0,0,44,of,of,IN,IN
37,Libya_2011,0,0,45,the,the,DT,DT
38,Libya_2011,0,0,46,country,country,NN,NN
39,Libya_2011,0,0,48,and,and,CC,CC
40,Libya_2011,0,0,49,being,being,VBG,VB
41,Libya_2011,0,0,50,faithful,faithful,JJ,JJ
42,Libya_2011,0,0,51,to,to,TO,TO
43,Libya_2011,0,0,52,the,the,DT,DT
44,Libya_2011,0,0,53,martyrs,martyrs,NN,NN
45,Libya_2011,0,0,54,of,of,IN,IN
46,Libya_2011,0,0,55,this,this,DT,DT
47,Libya_2011,0,0,56,blessed,blessed,VBN,VB
48,Libya_2011,0,0,57,revolution,revolution,NN,NN
49,Libya_2011,0,0,58,who,who,WP,WP
50,Libya_2011,0,0,59,sacrificed,sacrificed,VBD,VB
51,Libya_2011,0,0,60,their,their,PRP$,PR
52,Libya_2011,0,0,61,lives,lives,NNS,NN
53,Libya_2011,0,0,62,to,to,TO,TO
54,Libya_2011,0,0,63,obtain,obtain,VB,VB
55,Libya_2011,0,0,64,freedom,freedom,NN,NN
56,Libya_2011,0,0,66,live,live,VBP,VB
57,Libya_2011,0,0,67,in,in,IN,IN
58,Libya_2011,0,0,68,dignity,dignity,NN,NN
59,Libya_2011,0,0,69,in,in,IN,IN
60,Libya_2011,0,0,70,the,the,DT,DT
61,Libya_2011,0,0,71,territory,territory,NN,NN
62,Libya_2011,0,0,72,of,of,IN,IN
63,Libya_2011,0,0,73,their,their,PRP$,PR
64,Libya_2011,0,0,74,country,country,NN,NN
65,Libya_2011,0,0,75,and,and,CC,CC
66,Libya_2011,0,0,76,recover,recover,VB,VB
67,Libya_2011,0,0,77,their,their,PRP$,PR
68,Libya_2011,0,0,78,rights,rights,NNS,NN
69,Libya_2011,0,0,79,derided,derided,VBN,VB
70,Libya_2011,0,0,80,by,by,IN,IN
71,Libya_2011,0,0,81,Kadhafi,kadhafi,NNP,NN
72,Libya_2011,0,0,82,and,and,CC,CC
73,Libya_2011,0,0,83,his,his,PRP$,PR
74,Libya_2011,0,0,84,fallen,fallen,NN,NN
75,Libya_2011,0,0,85,regime,regime,NN,NN
76,Libya_2011,0,0,87,Based,based,VBN,VB
77,Libya_2011,0,0,88,on,on,IN,IN
78,Libya_2011,0,0,89,the,the,DT,DT
79,Libya_2011,0,0,90,legitimacy,legitimacy,NN,NN
80,Libya_2011,0,0,91,of,of,IN,IN
81,Libya_2011,0,0,92,this,this,DT,DT
82,Libya_2011,0,0,93,revolution,revolution,NN,NN
83,Libya_2011,0,0,95,and,and,CC,CC
84,Libya_2011,0,0,96,in,in,IN,IN
85,Libya_2011,0,0,97,response,response,NN,NN
86,Libya_2011,0,0,98,to,to,TO,TO
87,Libya_2011,0,0,99,the,the,DT,DT
88,Libya_2011,0,0,100,desire,desire,NN,NN
89,Libya_2011,0,0,101,of,of,IN,IN
90,Libya_2011,0,0,102,the,the,DT,DT
91,Libya_2011,0,0,103,Libyan,libyan,JJ,JJ
92,Libya_2011,0,0,104,people,people,NNS,NN
93,Libya_2011,0,0,105,and,and,CC,CC
94,Libya_2011,0,0,106,their,their,PRP$,PR
95,Libya_2011,0,0,107,aspirations,aspirations,NNS,NN
96,Libya_2011,0,0,108,for,for,IN,IN
97,Libya_2011,0,0,109,achieving,achieving,VBG,VB
98,Libya_2011,0,0,110,democracy,democracy,NN,NN
99,Libya_2011,0,0,111,and,and,CC,CC
100,Libya_2011,0,0,112,promoting,promoting,VBG,VB
101,Libya_2011,0,0,113,the,the,DT,DT
102,Libya_2011,0,0,114,principles,principles,NNS,NN
103,Libya_2011,0,0,115,of,of,IN,IN
104,Libya_2011,0,0,116,political,political,JJ,JJ
105,Libya_2011,0,0,117,pluralism,pluralism,NN,NN
106,Libya_2011,0,0,118,and,and,CC,CC
107,Libya_2011,0,0,119,statehood,statehood,NN,NN
108,Libya_2011,0,0,120,based,based,VBN,VB
109,Libya_2011,0,0,121,on,on,IN,IN
110,Libya_2011,0,0,122,institutions,institutions,NNS,NN
111,Libya_2011,0,0,124,and,and,CC,CC
112,Libya_2011,0,0,125,aspiring,aspiring,VBG,VB
113,Libya_2011,0,0,126,to,to,TO,TO
114,Libya_2011,0,0,127,a,a,DT,DT
115,Libya_2011,0,0,128,society,society,NN,NN
116,Libya_2011,0,0,129,enjoying,enjoying,VBG,VB
117,Libya_2011,0,0,130,stability,stability,NN,NN
118,Libya_2011,0,0,132,tranquility,tranquility,NN,NN
119,Libya_2011,0,0,133,and,and,CC,CC
120,Libya_2011,0,0,134,justice,justice,NN,NN
121,Libya_2011,0,0,135,which,which,WDT,WD
122,Libya_2011,0,0,136,develop,develop,VBP,VB
123,Libya_2011,0,0,137,through,through,IN,IN
124,Libya_2011,0,0,138,science,science,NN,NN
125,Libya_2011,0,0,139,and,and,CC,CC
126,Libya_2011,0,0,140,culture,culture,NN,NN
127,Libya_2011,0,0,142,achieves,achieves,VBZ,VB
128,Libya_2011,0,0,143,prosperity,prosperity,NN,NN
129,Libya_2011,0,0,144,and,and,CC,CC
130,Libya_2011,0,0,145,sanitary,sanitary,JJ,JJ
131,Libya_2011,0,0,146,well-being,wellbeing,NN,NN
132,Libya_2011,0,0,147,and,and,CC,CC
133,Libya_2011,0,0,148,works,works,VBZ,VB
134,Libya_2011,0,0,149,on,on,IN,IN
135,Libya_2011,0,0,150,educating,educating,VBG,VB
136,Libya_2011,0,0,151,the,the,DT,DT
