,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Liechtenstein_2003,0,0,0,Liechtenstein,liechtenstein,JJ,JJ
1,Liechtenstein_2003,0,0,1,1921,1921,CD,CD
2,Liechtenstein_2003,0,0,3,rev,rev,NN,NN
3,Liechtenstein_2003,0,1,0,2003,2003,CD,CD
4,Liechtenstein_2003,0,1,2,Preamble,preamble,JJ,JJ
5,Liechtenstein_2003,0,1,3,Share,share,NN,NN
6,Liechtenstein_2003,0,1,4,We,we,PRP,PR
7,Liechtenstein_2003,0,1,6,John,john,NNP,NN
8,Liechtenstein_2003,0,1,7,II,ii,NNP,NN
9,Liechtenstein_2003,0,1,9,by,by,IN,IN
10,Liechtenstein_2003,0,1,10,the,the,DT,DT
11,Liechtenstein_2003,0,1,11,Grace,grace,NNP,NN
12,Liechtenstein_2003,0,1,12,of,of,IN,IN
13,Liechtenstein_2003,0,1,13,God,god,NNP,NN
14,Liechtenstein_2003,0,1,15,Prince,prince,NNP,NN
15,Liechtenstein_2003,0,1,16,Regnant,regnant,NNP,NN
16,Liechtenstein_2003,0,1,17,of,of,IN,IN
17,Liechtenstein_2003,0,1,18,Liechtenstein,liechtenstein,NNP,NN
18,Liechtenstein_2003,0,1,20,Duke,duke,NNP,NN
19,Liechtenstein_2003,0,1,21,of,of,IN,IN
20,Liechtenstein_2003,0,1,22,Troppau,troppau,NNP,NN
21,Liechtenstein_2003,0,1,24,Count,count,NNP,NN
22,Liechtenstein_2003,0,1,25,of,of,IN,IN
23,Liechtenstein_2003,0,1,26,Rietberg,rietberg,NNP,NN
24,Liechtenstein_2003,0,1,28,etc,etc,NN,NN
25,Liechtenstein_2003,0,2,0,etc,etc,NN,NN
26,Liechtenstein_2003,0,3,0,etc,etc,NN,NN
27,Liechtenstein_2003,0,4,0,make,make,VB,VB
28,Liechtenstein_2003,0,4,1,known,known,VBN,VB
29,Liechtenstein_2003,0,4,2,that,that,IN,IN
30,Liechtenstein_2003,0,4,3,the,the,DT,DT
31,Liechtenstein_2003,0,4,4,Constitution,constitution,NNP,NN
32,Liechtenstein_2003,0,4,5,of,of,IN,IN
33,Liechtenstein_2003,0,4,6,26,26,CD,CD
34,Liechtenstein_2003,0,4,7,September,september,NNP,NN
35,Liechtenstein_2003,0,4,8,1862,1862,CD,CD
36,Liechtenstein_2003,0,4,9,has,has,VBZ,VB
37,Liechtenstein_2003,0,4,10,been,been,VBN,VB
38,Liechtenstein_2003,0,4,11,modified,modified,VBN,VB
39,Liechtenstein_2003,0,4,12,by,by,IN,IN
40,Liechtenstein_2003,0,4,13,Us,us,NNP,NN
41,Liechtenstein_2003,0,4,14,with,with,IN,IN
42,Liechtenstein_2003,0,4,15,the,the,DT,DT
43,Liechtenstein_2003,0,4,16,assent,assent,NN,NN
44,Liechtenstein_2003,0,4,17,of,of,IN,IN
45,Liechtenstein_2003,0,4,18,Our,our,PRP$,PR
46,Liechtenstein_2003,0,4,19,Diet,diet,NNP,NN
47,Liechtenstein_2003,0,4,20,as,as,IN,IN
48,Liechtenstein_2003,0,4,21,follows,follows,VBZ,VB
49,Liechtenstein_2003,0,4,23,CHAPTER,chapter,NN,NN
50,Liechtenstein_2003,0,4,24,I,i,PRP,PR
51,Liechtenstein_2003,0,5,0,THE,the,DT,DT
52,Liechtenstein_2003,0,5,1,PRINCIPALITY,principality,NNP,NN
53,Liechtenstein_2003,0,5,2,Share,share,NNP,NN
54,Liechtenstein_2003,0,5,3,Art,art,NNP,NN
55,Liechtenstein_2003,0,5,4,1,1,CD,CD
56,Liechtenstein_2003,0,5,5,Share,share,NNP,NN
57,Liechtenstein_2003,0,5,6,1,1,CD,CD
58,Liechtenstein_2003,0,6,0,The,the,DT,DT
59,Liechtenstein_2003,0,6,1,Principality,principality,NNP,NN
60,Liechtenstein_2003,0,6,2,of,of,IN,IN
61,Liechtenstein_2003,0,6,3,Liechtenstein,liechtenstein,NNP,NN
62,Liechtenstein_2003,0,6,4,is,is,VBZ,VB
63,Liechtenstein_2003,0,6,5,a,a,DT,DT
64,Liechtenstein_2003,0,6,6,State,state,NNP,NN
65,Liechtenstein_2003,0,6,7,consisting,consisting,NN,NN
66,Liechtenstein_2003,0,6,8,of,of,IN,IN
67,Liechtenstein_2003,0,6,9,two,two,CD,CD
68,Liechtenstein_2003,0,6,10,regions,regions,NNS,NN
69,Liechtenstein_2003,0,6,11,with,with,IN,IN
70,Liechtenstein_2003,0,6,12,eleven,eleven,JJ,JJ
71,Liechtenstein_2003,0,6,13,communes,communes,NNS,NN
