,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Luxembourg_2009,0,0,0,Luxembourg,luxembourg,JJ,JJ
1,Luxembourg_2009,0,0,1,1868,1868,CD,CD
2,Luxembourg_2009,0,0,3,rev,rev,NN,NN
3,Luxembourg_2009,0,1,0,2009,2009,CD,CD
4,Luxembourg_2009,0,1,2,Chapter,chapter,NN,NN
5,Luxembourg_2009,0,1,3,I,i,PRP,PR
6,Luxembourg_2009,0,2,0,Of,of,IN,IN
7,Luxembourg_2009,0,2,1,the,the,DT,DT
8,Luxembourg_2009,0,2,2,State,state,NNP,NN
9,Luxembourg_2009,0,2,4,of,of,IN,IN
10,Luxembourg_2009,0,2,5,its,its,PRP$,PR
11,Luxembourg_2009,0,2,6,Territory,territory,NNP,NN
12,Luxembourg_2009,0,2,7,and,and,CC,CC
13,Luxembourg_2009,0,2,8,the,the,DT,DT
14,Luxembourg_2009,0,2,9,Grand,grand,NNP,NN
15,Luxembourg_2009,0,2,10,Duke,duke,NNP,NN
16,Luxembourg_2009,0,2,11,Share,share,NNP,NN
17,Luxembourg_2009,0,2,12,Article,article,NNP,NN
18,Luxembourg_2009,0,2,13,1,1,CD,CD
19,Luxembourg_2009,0,2,14,Share,share,NNP,NN
20,Luxembourg_2009,0,2,15,The,the,DT,DT
21,Luxembourg_2009,0,2,16,Grand,grand,NNP,NN
22,Luxembourg_2009,0,2,17,Duchy,duchy,NNP,NN
23,Luxembourg_2009,0,2,18,of,of,IN,IN
24,Luxembourg_2009,0,2,19,Luxembourg,luxembourg,NNP,NN
25,Luxembourg_2009,0,2,20,is,is,VBZ,VB
26,Luxembourg_2009,0,2,21,a,a,DT,DT
27,Luxembourg_2009,0,2,22,democratic,democratic,JJ,JJ
28,Luxembourg_2009,0,2,24,free,free,JJ,JJ
29,Luxembourg_2009,0,2,26,independent,independent,JJ,JJ
30,Luxembourg_2009,0,2,27,and,and,CC,CC
31,Luxembourg_2009,0,2,28,indivisible,indivisible,JJ,JJ
32,Luxembourg_2009,0,2,29,State,state,NNP,NN
33,Luxembourg_2009,0,3,0,Article,article,NN,NN
34,Luxembourg_2009,0,3,1,2,2,CD,CD
35,Luxembourg_2009,0,3,2,Share,share,NNP,NN
36,Luxembourg_2009,0,3,3,The,the,DT,DT
37,Luxembourg_2009,0,3,4,boundaries,boundaries,NNS,NN
38,Luxembourg_2009,0,3,5,and,and,CC,CC
39,Luxembourg_2009,0,3,6,chief,chief,JJ,JJ
40,Luxembourg_2009,0,3,7,towns,towns,NNS,NN
41,Luxembourg_2009,0,3,8,of,of,IN,IN
42,Luxembourg_2009,0,3,9,the,the,DT,DT
43,Luxembourg_2009,0,3,10,judicial,judicial,JJ,JJ
44,Luxembourg_2009,0,3,11,or,or,CC,CC
45,Luxembourg_2009,0,3,12,administrative,administrative,JJ,JJ
46,Luxembourg_2009,0,3,13,districts,districts,NNS,NN
47,Luxembourg_2009,0,3,15,of,of,IN,IN
48,Luxembourg_2009,0,3,16,the,the,DT,DT
49,Luxembourg_2009,0,3,17,cantons,cantons,NNS,NN
50,Luxembourg_2009,0,3,18,and,and,CC,CC
51,Luxembourg_2009,0,3,19,of,of,IN,IN
52,Luxembourg_2009,0,3,20,the,the,DT,DT
53,Luxembourg_2009,0,3,21,communes,communes,NNS,NN
54,Luxembourg_2009,0,3,22,may,may,MD,MD
55,Luxembourg_2009,0,3,23,only,only,RB,RB
56,Luxembourg_2009,0,3,24,be,be,VB,VB
57,Luxembourg_2009,0,3,25,changed,changed,VBN,VB
58,Luxembourg_2009,0,3,26,by,by,IN,IN
59,Luxembourg_2009,0,3,27,virtue,virtue,NN,NN
60,Luxembourg_2009,0,3,28,of,of,IN,IN
61,Luxembourg_2009,0,3,29,a,a,DT,DT
62,Luxembourg_2009,0,3,30,law,law,NN,NN
63,Luxembourg_2009,0,4,0,Article,article,NN,NN
64,Luxembourg_2009,0,4,1,3,3,CD,CD
65,Luxembourg_2009,0,4,2,Share,share,NNP,NN
66,Luxembourg_2009,0,4,3,The,the,DT,DT
67,Luxembourg_2009,0,4,4,Crown,crown,NNP,NN
68,Luxembourg_2009,0,4,5,of,of,IN,IN
69,Luxembourg_2009,0,4,6,the,the,DT,DT
70,Luxembourg_2009,0,4,7,Grand,grand,NNP,NN
71,Luxembourg_2009,0,4,8,Duchy,duchy,NNP,NN
72,Luxembourg_2009,0,4,9,is,is,VBZ,VB
73,Luxembourg_2009,0,4,10,hereditary,hereditary,JJ,JJ
74,Luxembourg_2009,0,4,11,within,within,IN,IN
75,Luxembourg_2009,0,4,12,the,the,DT,DT
76,Luxembourg_2009,0,4,13,family,family,NN,NN
77,Luxembourg_2009,0,4,14,of,of,IN,IN
78,Luxembourg_2009,0,4,15,Nassau,nassau,NNP,NN
79,Luxembourg_2009,0,4,16,conforming,conforming,VBG,VB
80,Luxembourg_2009,0,4,17,to,to,TO,TO
81,Luxembourg_2009,0,4,18,the,the,DT,DT
82,Luxembourg_2009,0,4,19,Pact,pact,NNP,NN
83,Luxembourg_2009,0,4,20,of,of,IN,IN
84,Luxembourg_2009,0,4,21,30,30,CD,CD
85,Luxembourg_2009,0,4,22,June,june,NNP,NN
86,Luxembourg_2009,0,4,23,1783,1783,CD,CD
87,Luxembourg_2009,0,4,25,to,to,TO,TO
88,Luxembourg_2009,0,4,26,Article,article,NNP,NN
89,Luxembourg_2009,0,4,27,71,71,CD,CD
90,Luxembourg_2009,0,4,28,of,of,IN,IN
91,Luxembourg_2009,0,4,29,the,the,DT,DT
92,Luxembourg_2009,0,4,30,Treaty,treaty,NNP,NN
93,Luxembourg_2009,0,4,31,of,of,IN,IN
94,Luxembourg_2009,0,4,32,Vienna,vienna,NNP,NN
95,Luxembourg_2009,0,4,33,of,of,IN,IN
96,Luxembourg_2009,0,4,34,9,9,CD,CD
97,Luxembourg_2009,0,4,35,June,june,NNP,NN
98,Luxembourg_2009,0,4,36,1815,1815,CD,CD
99,Luxembourg_2009,0,4,38,and,and,CC,CC
100,Luxembourg_2009,0,4,39,to,to,TO,TO
101,Luxembourg_2009,0,4,40,Article,article,NNP,NN
102,Luxembourg_2009,0,4,41,1,1,CD,CD
103,Luxembourg_2009,0,4,42,of,of,IN,IN
104,Luxembourg_2009,0,4,43,the,the,DT,DT
105,Luxembourg_2009,0,4,44,Treaty,treaty,NNP,NN
106,Luxembourg_2009,0,4,45,of,of,IN,IN
107,Luxembourg_2009,0,4,46,London,london,NNP,NN
108,Luxembourg_2009,0,4,47,of,of,IN,IN
109,Luxembourg_2009,0,4,48,11,11,CD,CD
110,Luxembourg_2009,0,4,49,May,may,NNP,NN
111,Luxembourg_2009,0,4,50,1867,1867,CD,CD
112,Luxembourg_2009,0,5,0,Article,article,NN,NN
113,Luxembourg_2009,0,5,1,4,4,CD,CD
114,Luxembourg_2009,0,5,2,Share,share,NNP,NN
115,Luxembourg_2009,0,5,3,The,the,DT,DT
116,Luxembourg_2009,0,5,4,person,person,NN,NN
117,Luxembourg_2009,0,5,5,of,of,IN,IN
118,Luxembourg_2009,0,5,6,the,the,DT,DT
119,Luxembourg_2009,0,5,7,grand,grand,JJ,JJ
120,Luxembourg_2009,0,5,8,Duke,duke,NNP,NN
121,Luxembourg_2009,0,5,9,is,is,VBZ,VB
122,Luxembourg_2009,0,5,10,inviolable,inviolable,JJ,JJ
123,Luxembourg_2009,0,6,0,Article,article,NN,NN
124,Luxembourg_2009,0,6,1,5,5,CD,CD
125,Luxembourg_2009,0,6,2,Share,share,NN,NN
126,Luxembourg_2009,0,6,3,1,1,CD,CD
127,Luxembourg_2009,0,7,0,The,the,DT,DT
128,Luxembourg_2009,0,7,1,Grand,grand,NNP,NN
129,Luxembourg_2009,0,7,2,Duke,duke,NNP,NN
130,Luxembourg_2009,0,7,3,of,of,IN,IN
131,Luxembourg_2009,0,7,4,Luxembourg,luxembourg,NNP,NN
132,Luxembourg_2009,0,7,5,attains,attains,VBZ,VB
133,Luxembourg_2009,0,7,6,his,his,PRP$,PR
134,Luxembourg_2009,0,7,7,majority,majority,NN,NN
135,Luxembourg_2009,0,7,8,on,on,IN,IN
136,Luxembourg_2009,0,7,9,the,the,DT,DT
137,Luxembourg_2009,0,7,10,completion,completion,NN,NN
138,Luxembourg_2009,0,7,11,of,of,IN,IN
139,Luxembourg_2009,0,7,12,eighteen,eighteen,JJ,JJ
140,Luxembourg_2009,0,7,13,years,years,NNS,NN
141,Luxembourg_2009,0,7,14,of,of,IN,IN
142,Luxembourg_2009,0,7,15,age,age,NN,NN
143,Luxembourg_2009,0,8,0,When,when,WRB,WR
144,Luxembourg_2009,0,8,1,he,he,PRP,PR
145,Luxembourg_2009,0,8,2,accedes,accedes,VBZ,VB
146,Luxembourg_2009,0,8,3,to,to,TO,TO
147,Luxembourg_2009,0,8,4,the,the,DT,DT
148,Luxembourg_2009,0,8,5,throne,throne,NN,NN
149,Luxembourg_2009,0,8,7,he,he,PRP,PR
150,Luxembourg_2009,0,8,8,takes,takes,VBZ,VB
151,Luxembourg_2009,0,8,10,as,as,RB,RB
152,Luxembourg_2009,0,8,11,soon,soon,RB,RB
153,Luxembourg_2009,0,8,12,as,as,IN,IN
154,Luxembourg_2009,0,8,13,possible,possible,JJ,JJ
155,Luxembourg_2009,0,8,15,in,in,IN,IN
156,Luxembourg_2009,0,8,16,the,the,DT,DT
157,Luxembourg_2009,0,8,17,presence,presence,NN,NN
158,Luxembourg_2009,0,8,18,of,of,IN,IN
159,Luxembourg_2009,0,8,19,the,the,DT,DT
160,Luxembourg_2009,0,8,20,Chamber,chamber,NNP,NN
161,Luxembourg_2009,0,8,21,of,of,IN,IN
162,Luxembourg_2009,0,8,22,Deputies,deputies,NNP,NN
163,Luxembourg_2009,0,8,23,or,or,CC,CC
164,Luxembourg_2009,0,8,24,of,of,IN,IN
165,Luxembourg_2009,0,8,25,a,a,DT,DT
166,Luxembourg_2009,0,8,26,deputation,deputation,NN,NN
167,Luxembourg_2009,0,8,27,appointed,appointed,VBN,VB
168,Luxembourg_2009,0,8,28,by,by,IN,IN
169,Luxembourg_2009,0,8,29,it,it,PRP,PR
170,Luxembourg_2009,0,8,31,the,the,DT,DT
171,Luxembourg_2009,0,8,32,following,following,JJ,JJ
172,Luxembourg_2009,0,8,33,oath,oath,NN,NN
173,Luxembourg_2009,0,8,35,2,2,CD,CD
174,Luxembourg_2009,0,9,1,I,i,PRP,PR
175,Luxembourg_2009,0,9,2,swear,swear,VBP,VB
176,Luxembourg_2009,0,9,3,to,to,TO,TO
177,Luxembourg_2009,0,9,4,observe,observe,VB,VB
178,Luxembourg_2009,0,9,5,the,the,DT,DT
179,Luxembourg_2009,0,9,6,Constitution,constitution,NNP,NN
180,Luxembourg_2009,0,9,7,and,and,CC,CC
181,Luxembourg_2009,0,9,8,the,the,DT,DT
182,Luxembourg_2009,0,9,9,laws,laws,NNS,NN
183,Luxembourg_2009,0,9,10,of,of,IN,IN
184,Luxembourg_2009,0,9,11,the,the,DT,DT
185,Luxembourg_2009,0,9,12,Grand,grand,NNP,NN
186,Luxembourg_2009,0,9,13,Duchy,duchy,NNP,NN
187,Luxembourg_2009,0,9,14,of,of,IN,IN
188,Luxembourg_2009,0,9,15,Luxembourg,luxembourg,NNP,NN
189,Luxembourg_2009,0,9,17,to,to,TO,TO
190,Luxembourg_2009,0,9,18,maintain,maintain,VB,VB
191,Luxembourg_2009,0,9,19,the,the,DT,DT
192,Luxembourg_2009,0,9,20,national,national,JJ,JJ
193,Luxembourg_2009,0,9,21,independence,independence,NN,NN
194,Luxembourg_2009,0,9,22,and,and,CC,CC
195,Luxembourg_2009,0,9,23,integrity,integrity,NN,NN
196,Luxembourg_2009,0,9,24,of,of,IN,IN
197,Luxembourg_2009,0,9,25,the,the,DT,DT
198,Luxembourg_2009,0,9,26,territory,territory,NN,NN
199,Luxembourg_2009,0,9,28,as,as,RB,RB
200,Luxembourg_2009,0,9,29,well,well,RB,RB
201,Luxembourg_2009,0,9,30,as,as,IN,IN
202,Luxembourg_2009,0,9,31,public,public,JJ,JJ
203,Luxembourg_2009,0,9,32,and,and,CC,CC
204,Luxembourg_2009,0,9,33,individual,individual,JJ,JJ
205,Luxembourg_2009,0,9,34,freedoms,freedoms,NNS,NN
206,Luxembourg_2009,0,10,0,Article,article,NN,NN
207,Luxembourg_2009,0,10,1,6,6,CD,CD
208,Luxembourg_2009,0,10,2,Share,share,NN,NN
209,Luxembourg_2009,0,10,3,If,if,IN,IN
210,Luxembourg_2009,0,10,4,on,on,IN,IN
211,Luxembourg_2009,0,10,5,the,the,DT,DT
212,Luxembourg_2009,0,10,6,death,death,NN,NN
213,Luxembourg_2009,0,10,7,of,of,IN,IN
214,Luxembourg_2009,0,10,8,the,the,DT,DT
215,Luxembourg_2009,0,10,9,Grand,grand,NNP,NN
216,Luxembourg_2009,0,10,10,Duke,duke,NNP,NN
217,Luxembourg_2009,0,10,12,His,his,PRP$,PR
218,Luxembourg_2009,0,10,13,successor,successor,NN,NN
219,Luxembourg_2009,0,10,14,is,is,VBZ,VB
220,Luxembourg_2009,0,10,15,a,a,DT,DT
221,Luxembourg_2009,0,10,16,minor,minor,JJ,JJ
222,Luxembourg_2009,0,10,18,the,the,DT,DT
223,Luxembourg_2009,0,10,19,regency,regency,NN,NN
224,Luxembourg_2009,0,10,20,is,is,VBZ,VB
225,Luxembourg_2009,0,10,21,exercised,exercised,VBN,VB
226,Luxembourg_2009,0,10,22,conforming,conforming,VBG,VB
227,Luxembourg_2009,0,10,23,to,to,TO,TO
228,Luxembourg_2009,0,10,24,the,the,DT,DT
229,Luxembourg_2009,0,10,25,Family,family,NNP,NN
230,Luxembourg_2009,0,10,26,Pact,pact,NNP,NN
231,Luxembourg_2009,0,11,0,Article,article,NN,NN
232,Luxembourg_2009,0,11,1,7,7,CD,CD
233,Luxembourg_2009,0,11,2,Share,share,NN,NN
234,Luxembourg_2009,0,11,3,If,if,IN,IN
235,Luxembourg_2009,0,11,4,the,the,DT,DT
236,Luxembourg_2009,0,11,5,Grand,grand,NNP,NN
237,Luxembourg_2009,0,11,6,Duke,duke,NNP,NN
238,Luxembourg_2009,0,11,7,finds,finds,VBZ,VB
239,Luxembourg_2009,0,11,8,it,it,PRP,PR
240,Luxembourg_2009,0,11,9,impossible,impossible,JJ,JJ
241,Luxembourg_2009,0,11,10,to,to,TO,TO
242,Luxembourg_2009,0,11,11,reign,reign,VB,VB
243,Luxembourg_2009,0,11,13,the,the,DT,DT
244,Luxembourg_2009,0,11,14,regency,regency,NN,NN
245,Luxembourg_2009,0,11,15,is,is,VBZ,VB
246,Luxembourg_2009,0,11,16,provided,provided,VBN,VB
247,Luxembourg_2009,0,11,17,for,for,IN,IN
248,Luxembourg_2009,0,11,18,as,as,RB,RB
249,Luxembourg_2009,0,11,19,in,in,IN,IN
250,Luxembourg_2009,0,11,20,the,the,DT,DT
251,Luxembourg_2009,0,11,21,case,case,NN,NN
252,Luxembourg_2009,0,11,22,of,of,IN,IN
253,Luxembourg_2009,0,11,23,minority,minority,NN,NN
254,Luxembourg_2009,0,12,0,In,in,IN,IN
255,Luxembourg_2009,0,12,1,the,the,DT,DT
256,Luxembourg_2009,0,12,2,case,case,NN,NN
257,Luxembourg_2009,0,12,3,of,of,IN,IN
258,Luxembourg_2009,0,12,4,vacancy,vacancy,NN,NN
259,Luxembourg_2009,0,12,5,of,of,IN,IN
260,Luxembourg_2009,0,12,6,the,the,DT,DT
261,Luxembourg_2009,0,12,7,throne,throne,NN,NN
262,Luxembourg_2009,0,12,9,the,the,DT,DT
263,Luxembourg_2009,0,12,10,Chamber,chamber,NNP,NN
264,Luxembourg_2009,0,12,11,provides,provides,VBZ,VB
265,Luxembourg_2009,0,12,12,for,for,IN,IN
266,Luxembourg_2009,0,12,13,the,the,DT,DT
267,Luxembourg_2009,0,12,14,regency,regency,NN,NN
268,Luxembourg_2009,0,12,15,provisionally,provisionally,RB,RB
269,Luxembourg_2009,0,13,0,A,a,DT,DT
270,Luxembourg_2009,0,13,1,new,new,JJ,JJ
271,Luxembourg_2009,0,13,2,Chamber,chamber,NNP,NN
272,Luxembourg_2009,0,13,4,convoked,convoked,VBD,VB
273,Luxembourg_2009,0,13,5,with,with,IN,IN
274,Luxembourg_2009,0,13,6,the,the,DT,DT
275,Luxembourg_2009,0,13,7,double,double,JJ,JJ
276,Luxembourg_2009,0,13,8,numbers,numbers,NNS,NN
277,Luxembourg_2009,0,13,9,within,within,IN,IN
278,Luxembourg_2009,0,13,10,thirty,thirty,JJ,JJ
279,Luxembourg_2009,0,13,11,days,days,NNS,NN
280,Luxembourg_2009,0,13,13,provides,provides,VBZ,VB
281,Luxembourg_2009,0,13,14,for,for,IN,IN
282,Luxembourg_2009,0,13,15,the,the,DT,DT
283,Luxembourg_2009,0,13,16,vacancy,vacancy,NN,NN
284,Luxembourg_2009,0,13,17,definitely,definitely,RB,RB
285,Luxembourg_2009,0,14,0,Article,article,NN,NN
286,Luxembourg_2009,0,14,1,8,8,CD,CD
287,Luxembourg_2009,0,14,2,Share,share,NN,NN
288,Luxembourg_2009,0,14,3,When,when,WRB,WR
289,Luxembourg_2009,0,14,4,he,he,PRP,PR
290,Luxembourg_2009,0,14,5,enters,enters,VBZ,VB
291,Luxembourg_2009,0,14,6,into,into,IN,IN
292,Luxembourg_2009,0,14,7,his,his,PRP$,PR
293,Luxembourg_2009,0,14,8,functions,functions,NNS,NN
294,Luxembourg_2009,0,14,10,the,the,DT,DT
295,Luxembourg_2009,0,14,11,Regent,regent,NNP,NN
296,Luxembourg_2009,0,14,12,takes,takes,VBZ,VB
297,Luxembourg_2009,0,14,13,the,the,DT,DT
298,Luxembourg_2009,0,14,14,following,following,JJ,JJ
299,Luxembourg_2009,0,14,15,oath,oath,NN,NN
300,Luxembourg_2009,0,14,18,I,i,PRP,PR
301,Luxembourg_2009,0,14,19,swear,swear,VBP,VB
302,Luxembourg_2009,0,14,20,fidelity,fidelity,NN,NN
303,Luxembourg_2009,0,14,21,to,to,TO,TO
304,Luxembourg_2009,0,14,22,the,the,DT,DT
305,Luxembourg_2009,0,14,23,Grand,grand,NNP,NN
306,Luxembourg_2009,0,14,24,Duke,duke,NNP,NN
307,Luxembourg_2009,0,15,0,I,i,PRP,PR
308,Luxembourg_2009,0,15,1,swear,swear,VBP,VB
309,Luxembourg_2009,0,15,2,to,to,TO,TO
310,Luxembourg_2009,0,15,3,observe,observe,VB,VB
311,Luxembourg_2009,0,15,4,the,the,DT,DT
312,Luxembourg_2009,0,15,5,Constitution,constitution,NNP,NN
313,Luxembourg_2009,0,15,6,and,and,CC,CC
314,Luxembourg_2009,0,15,7,the,the,DT,DT
315,Luxembourg_2009,0,15,8,laws,laws,NNS,NN
316,Luxembourg_2009,0,15,9,of,of,IN,IN
317,Luxembourg_2009,0,15,10,the,the,DT,DT
318,Luxembourg_2009,0,15,11,country,country,NN,NN
319,Luxembourg_2009,0,16,0,Chapter,chapter,NN,NN
320,Luxembourg_2009,0,16,1,II,ii,NNP,NN
321,Luxembourg_2009,0,17,0,Public,public,NNP,NN
322,Luxembourg_2009,0,17,1,Freedoms,freedoms,NNP,NN
323,Luxembourg_2009,0,17,2,and,and,CC,CC
324,Luxembourg_2009,0,17,3,Fundamental,fundamental,NNP,NN
325,Luxembourg_2009,0,17,4,Rights,rights,NNP,NN
326,Luxembourg_2009,0,17,5,Share,share,NNP,NN
327,Luxembourg_2009,0,17,6,Article,article,NNP,NN
328,Luxembourg_2009,0,17,7,9,9,CD,CD
329,Luxembourg_2009,0,17,8,Share,share,NNP,NN
330,Luxembourg_2009,0,17,9,The,the,DT,DT
331,Luxembourg_2009,0,17,10,status,status,NN,NN
332,Luxembourg_2009,0,17,11,of,of,IN,IN
333,Luxembourg_2009,0,17,12,Luxembourger,luxembourger,NNP,NN
334,Luxembourg_2009,0,17,13,is,is,VBZ,VB
335,Luxembourg_2009,0,17,14,acquired,acquired,VBN,VB
336,Luxembourg_2009,0,17,16,retained,retained,VBN,VB
337,Luxembourg_2009,0,17,17,and,and,CC,CC
338,Luxembourg_2009,0,17,18,lost,lost,VBN,VB
339,Luxembourg_2009,0,17,19,in,in,IN,IN
340,Luxembourg_2009,0,17,20,accordance,accordance,NN,NN
341,Luxembourg_2009,0,17,21,with,with,IN,IN
342,Luxembourg_2009,0,17,22,the,the,DT,DT
343,Luxembourg_2009,0,17,23,rules,rules,NNS,NN
344,Luxembourg_2009,0,17,24,determined,determined,VBN,VB
345,Luxembourg_2009,0,17,25,by,by,IN,IN
346,Luxembourg_2009,0,17,26,civil,civil,JJ,JJ
347,Luxembourg_2009,0,17,27,law,law,NN,NN
348,Luxembourg_2009,0,18,0,This,this,DT,DT
349,Luxembourg_2009,0,18,1,Constitution,constitution,NNP,NN
350,Luxembourg_2009,0,18,2,and,and,CC,CC
351,Luxembourg_2009,0,18,3,other,other,JJ,JJ
352,Luxembourg_2009,0,18,4,laws,laws,NNS,NN
