,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Marshall_Islands_1995,0,0,0,Marshall,marshall,NNP,NN
1,Marshall_Islands_1995,0,0,1,Islands,islands,VBZ,VB
2,Marshall_Islands_1995,0,0,2,1979,1979,CD,CD
3,Marshall_Islands_1995,0,0,4,rev,rev,NN,NN
4,Marshall_Islands_1995,0,1,0,1995,1995,CD,CD
5,Marshall_Islands_1995,0,1,2,Preamble,preamble,JJ,JJ
6,Marshall_Islands_1995,0,1,3,Share,share,NN,NN
7,Marshall_Islands_1995,0,1,4,WE,we,NNP,NN
8,Marshall_Islands_1995,0,1,6,THE,the,NNP,NN
9,Marshall_Islands_1995,0,1,7,PEOPLE,people,NNP,NN
10,Marshall_Islands_1995,0,1,8,OF,of,IN,IN
11,Marshall_Islands_1995,0,1,9,THE,the,NNP,NN
12,Marshall_Islands_1995,0,1,10,REPUBLIC,republic,NNP,NN
13,Marshall_Islands_1995,0,1,11,OF,of,IN,IN
14,Marshall_Islands_1995,0,1,12,THE,the,NNP,NN
15,Marshall_Islands_1995,0,1,13,MARSHALL,marshall,NNP,NN
16,Marshall_Islands_1995,0,1,14,ISLANDS,islands,NNP,NN
17,Marshall_Islands_1995,0,1,16,trusting,trusting,VBG,VB
18,Marshall_Islands_1995,0,1,17,in,in,IN,IN
19,Marshall_Islands_1995,0,1,18,God,god,NNP,NN
20,Marshall_Islands_1995,0,1,20,the,the,DT,DT
21,Marshall_Islands_1995,0,1,21,Giver,giver,NNP,NN
22,Marshall_Islands_1995,0,1,22,of,of,IN,IN
23,Marshall_Islands_1995,0,1,23,our,our,PRP$,PR
24,Marshall_Islands_1995,0,1,24,life,life,NN,NN
25,Marshall_Islands_1995,0,1,26,liberty,liberty,NN,NN
26,Marshall_Islands_1995,0,1,28,identity,identity,NN,NN
27,Marshall_Islands_1995,0,1,29,and,and,CC,CC
28,Marshall_Islands_1995,0,1,30,our,our,PRP$,PR
29,Marshall_Islands_1995,0,1,31,inherent,inherent,JJ,JJ
30,Marshall_Islands_1995,0,1,32,rights,rights,NNS,NN
31,Marshall_Islands_1995,0,1,34,do,do,VBP,VB
32,Marshall_Islands_1995,0,1,35,hereby,hereby,RB,RB
33,Marshall_Islands_1995,0,1,36,exercise,exercise,VB,VB
34,Marshall_Islands_1995,0,1,37,these,these,DT,DT
35,Marshall_Islands_1995,0,1,38,rights,rights,NNS,NN
36,Marshall_Islands_1995,0,1,39,and,and,CC,CC
37,Marshall_Islands_1995,0,1,40,establish,establish,VB,VB
38,Marshall_Islands_1995,0,1,41,for,for,IN,IN
39,Marshall_Islands_1995,0,1,42,ourselves,ourselves,NNS,NN
40,Marshall_Islands_1995,0,1,43,and,and,CC,CC
41,Marshall_Islands_1995,0,1,44,generations,generations,NNS,NN
42,Marshall_Islands_1995,0,1,45,to,to,TO,TO
43,Marshall_Islands_1995,0,1,46,come,come,VB,VB
44,Marshall_Islands_1995,0,1,47,this,this,DT,DT
45,Marshall_Islands_1995,0,1,48,Constitution,constitution,NNP,NN
46,Marshall_Islands_1995,0,1,50,setting,setting,VBG,VB
47,Marshall_Islands_1995,0,1,51,forth,forth,RP,RP
48,Marshall_Islands_1995,0,1,52,the,the,DT,DT
49,Marshall_Islands_1995,0,1,53,legitimate,legitimate,JJ,JJ
50,Marshall_Islands_1995,0,1,54,legal,legal,JJ,JJ
51,Marshall_Islands_1995,0,1,55,framework,framework,NN,NN
52,Marshall_Islands_1995,0,1,56,for,for,IN,IN
53,Marshall_Islands_1995,0,1,57,the,the,DT,DT
54,Marshall_Islands_1995,0,1,58,governance,governance,NN,NN
55,Marshall_Islands_1995,0,1,59,of,of,IN,IN
56,Marshall_Islands_1995,0,1,60,the,the,DT,DT
57,Marshall_Islands_1995,0,1,61,Republic,republic,NNP,NN
58,Marshall_Islands_1995,0,2,0,We,we,PRP,PR
59,Marshall_Islands_1995,0,2,1,have,have,VBP,VB
60,Marshall_Islands_1995,0,2,2,reason,reason,NN,NN
61,Marshall_Islands_1995,0,2,3,to,to,TO,TO
62,Marshall_Islands_1995,0,2,4,be,be,VB,VB
63,Marshall_Islands_1995,0,2,5,proud,proud,JJ,JJ
64,Marshall_Islands_1995,0,2,6,of,of,IN,IN
65,Marshall_Islands_1995,0,2,7,our,our,PRP$,PR
66,Marshall_Islands_1995,0,2,8,forefathers,forefathers,NNS,NN
67,Marshall_Islands_1995,0,2,9,who,who,WP,WP
68,Marshall_Islands_1995,0,2,10,boldly,boldly,RB,RB
69,Marshall_Islands_1995,0,2,11,ventured,ventured,VBD,VB
70,Marshall_Islands_1995,0,2,12,across,across,IN,IN
71,Marshall_Islands_1995,0,2,13,the,the,DT,DT
