,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Mauritania_2012,0,0,0,Mauritania,mauritania,NN,NN
1,Mauritania_2012,0,0,1,1991,1991,CD,CD
2,Mauritania_2012,0,0,3,rev,rev,NN,NN
3,Mauritania_2012,0,1,0,2012,2012,CD,CD
4,Mauritania_2012,0,1,2,Preamble,preamble,NNP,NN
5,Mauritania_2012,0,1,3,Share,share,NNP,NN
6,Mauritania_2012,0,1,4,Trusting,trusting,NNP,NN
7,Mauritania_2012,0,1,5,in,in,IN,IN
8,Mauritania_2012,0,1,6,the,the,DT,DT
9,Mauritania_2012,0,1,7,omnipotence,omnipotence,NN,NN
10,Mauritania_2012,0,1,8,of,of,IN,IN
11,Mauritania_2012,0,1,9,Allah,allah,NNP,NN
12,Mauritania_2012,0,1,11,the,the,DT,DT
13,Mauritania_2012,0,1,12,Mauritanian,mauritanian,JJ,JJ
14,Mauritania_2012,0,1,13,people,people,NNS,NN
15,Mauritania_2012,0,1,14,proclaim,proclaim,VBP,VB
16,Mauritania_2012,0,1,15,their,their,PRP$,PR
17,Mauritania_2012,0,1,16,will,will,MD,MD
18,Mauritania_2012,0,1,17,to,to,TO,TO
19,Mauritania_2012,0,1,18,guarantee,guarantee,VB,VB
20,Mauritania_2012,0,1,19,the,the,DT,DT
21,Mauritania_2012,0,1,20,integrity,integrity,NN,NN
22,Mauritania_2012,0,1,21,of,of,IN,IN
23,Mauritania_2012,0,1,22,its,its,PRP$,PR
24,Mauritania_2012,0,1,23,Territory,territory,NNP,NN
25,Mauritania_2012,0,1,25,its,its,PRP$,PR
26,Mauritania_2012,0,1,26,Independence,independence,NNP,NN
27,Mauritania_2012,0,1,28,and,and,CC,CC
28,Mauritania_2012,0,1,29,its,its,PRP$,PR
29,Mauritania_2012,0,1,30,National,national,NNP,NN
30,Mauritania_2012,0,1,31,Unity,unity,NNP,NN
31,Mauritania_2012,0,1,32,and,and,CC,CC
32,Mauritania_2012,0,1,33,to,to,TO,TO
33,Mauritania_2012,0,1,34,assume,assume,VB,VB
34,Mauritania_2012,0,1,35,its,its,PRP$,PR
35,Mauritania_2012,0,1,36,free,free,JJ,JJ
36,Mauritania_2012,0,1,37,political,political,JJ,JJ
37,Mauritania_2012,0,1,39,economic,economic,JJ,JJ
38,Mauritania_2012,0,1,40,and,and,CC,CC
39,Mauritania_2012,0,1,41,social,social,JJ,JJ
40,Mauritania_2012,0,1,42,evolution,evolution,NN,NN
41,Mauritania_2012,0,2,0,Strong,strong,RB,RB
42,Mauritania_2012,0,2,1,from,from,IN,IN
