,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Mexico_2007,0,0,0,Mexico,mexico,NNP,NN
1,Mexico_2007,0,0,1,1917,1917,CD,CD
2,Mexico_2007,0,0,3,rev,rev,NN,NN
3,Mexico_2007,0,1,0,2007,2007,CD,CD
4,Mexico_2007,0,1,2,FIRST,first,NNP,NN
5,Mexico_2007,0,1,3,TITLE,title,NNP,NN
6,Mexico_2007,0,1,4,CHAPTER,chapter,NNP,NN
7,Mexico_2007,0,1,5,I,i,PRP,PR
8,Mexico_2007,0,2,0,Individual,individual,JJ,JJ
9,Mexico_2007,0,2,1,Guarantees,guarantees,NNP,NN
10,Mexico_2007,0,2,2,Share,share,NNP,NN
11,Mexico_2007,0,2,3,Article,article,NNP,NN
12,Mexico_2007,0,2,4,1,1,CD,CD
13,Mexico_2007,0,2,5,Share,share,NNP,NN
14,Mexico_2007,0,2,6,Every,every,NNP,NN
15,Mexico_2007,0,2,7,individual,individual,NN,NN
16,Mexico_2007,0,2,8,in,in,IN,IN
17,Mexico_2007,0,2,9,the,the,DT,DT
18,Mexico_2007,0,2,10,United,united,NNP,NN
19,Mexico_2007,0,2,11,Mexican,mexican,NNP,NN
20,Mexico_2007,0,2,12,States,states,NNPS,NN
21,Mexico_2007,0,2,13,shall,shall,MD,MD
22,Mexico_2007,0,2,14,enjoy,enjoy,VB,VB
23,Mexico_2007,0,2,15,the,the,DT,DT
24,Mexico_2007,0,2,16,guarantees,guarantees,NNS,NN
25,Mexico_2007,0,2,17,granted,granted,VBN,VB
26,Mexico_2007,0,2,18,by,by,IN,IN
27,Mexico_2007,0,2,19,this,this,DT,DT
28,Mexico_2007,0,2,20,Constitution,constitution,NNP,NN
29,Mexico_2007,0,2,22,which,which,WDT,WD
30,Mexico_2007,0,2,23,can,can,MD,MD
31,Mexico_2007,0,2,24,not,not,RB,RB
32,Mexico_2007,0,2,25,be,be,VB,VB
33,Mexico_2007,0,2,26,restricted,restricted,VBN,VB
34,Mexico_2007,0,2,27,or,or,CC,CC
35,Mexico_2007,0,2,28,suspended,suspended,VBN,VB
36,Mexico_2007,0,2,29,except,except,IN,IN
37,Mexico_2007,0,2,30,in,in,IN,IN
38,Mexico_2007,0,2,31,such,such,JJ,JJ
39,Mexico_2007,0,2,32,cases,cases,NNS,NN
40,Mexico_2007,0,2,33,and,and,CC,CC
41,Mexico_2007,0,2,34,under,under,IN,IN
42,Mexico_2007,0,2,35,such,such,JJ,JJ
