,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Micronesia_1990,0,0,0,Micronesia,micronesia,NN,NN
1,Micronesia_1990,0,0,1,1981,1981,CD,CD
2,Micronesia_1990,0,0,3,rev,rev,NN,NN
3,Micronesia_1990,0,1,0,1990,1990,CD,CD
4,Micronesia_1990,0,1,2,Preamble,preamble,JJ,JJ
5,Micronesia_1990,0,1,3,Share,share,NN,NN
6,Micronesia_1990,0,1,4,WE,we,NNP,NN
7,Micronesia_1990,0,1,6,THE,the,NNP,NN
8,Micronesia_1990,0,1,7,PEOPLE,people,NNP,NN
9,Micronesia_1990,0,1,8,OF,of,NNP,NN
10,Micronesia_1990,0,1,9,MICRONESIA,micronesia,NNP,NN
11,Micronesia_1990,0,1,11,exercising,exercising,VBG,VB
12,Micronesia_1990,0,1,12,our,our,PRP$,PR
13,Micronesia_1990,0,1,13,inherent,inherent,JJ,JJ
14,Micronesia_1990,0,1,14,sovereignty,sovereignty,NN,NN
15,Micronesia_1990,0,1,16,do,do,VBP,VB
16,Micronesia_1990,0,1,17,hereby,hereby,RB,RB
17,Micronesia_1990,0,1,18,establish,establish,VB,VB
18,Micronesia_1990,0,1,19,this,this,DT,DT
19,Micronesia_1990,0,1,20,Constitution,constitution,NN,NN
20,Micronesia_1990,0,1,21,of,of,IN,IN
21,Micronesia_1990,0,1,22,the,the,DT,DT
22,Micronesia_1990,0,1,23,Federated,federated,NNP,NN
23,Micronesia_1990,0,1,24,States,states,NNPS,NN
24,Micronesia_1990,0,1,25,of,of,IN,IN
25,Micronesia_1990,0,1,26,Micronesia,micronesia,NNP,NN
26,Micronesia_1990,0,2,0,With,with,IN,IN
27,Micronesia_1990,0,2,1,this,this,DT,DT
28,Micronesia_1990,0,2,2,Constitution,constitution,NNP,NN
29,Micronesia_1990,0,2,4,we,we,PRP,PR
30,Micronesia_1990,0,2,5,affirm,affirm,VBP,VB
31,Micronesia_1990,0,2,6,our,our,PRP$,PR
32,Micronesia_1990,0,2,7,common,common,JJ,JJ
33,Micronesia_1990,0,2,8,wish,wish,JJ,JJ
34,Micronesia_1990,0,2,9,to,to,TO,TO
35,Micronesia_1990,0,2,10,live,live,VB,VB
36,Micronesia_1990,0,2,11,together,together,RB,RB
37,Micronesia_1990,0,2,12,in,in,IN,IN
38,Micronesia_1990,0,2,13,peace,peace,NN,NN
39,Micronesia_1990,0,2,14,and,and,CC,CC
40,Micronesia_1990,0,2,15,harmony,harmony,NN,NN
41,Micronesia_1990,0,2,17,to,to,TO,TO
42,Micronesia_1990,0,2,18,preserve,preserve,VB,VB
43,Micronesia_1990,0,2,19,the,the,DT,DT
44,Micronesia_1990,0,2,20,heritage,heritage,NN,NN
45,Micronesia_1990,0,2,21,of,of,IN,IN
46,Micronesia_1990,0,2,22,the,the,DT,DT
47,Micronesia_1990,0,2,23,past,past,NN,NN
48,Micronesia_1990,0,2,25,and,and,CC,CC
49,Micronesia_1990,0,2,26,to,to,TO,TO
50,Micronesia_1990,0,2,27,protect,protect,VB,VB
51,Micronesia_1990,0,2,28,the,the,DT,DT
52,Micronesia_1990,0,2,29,promise,promise,NN,NN
53,Micronesia_1990,0,2,30,of,of,IN,IN
54,Micronesia_1990,0,2,31,the,the,DT,DT
55,Micronesia_1990,0,2,32,future,future,NN,NN
56,Micronesia_1990,0,3,0,To,to,TO,TO
57,Micronesia_1990,0,3,1,make,make,VB,VB
58,Micronesia_1990,0,3,2,one,one,CD,CD
59,Micronesia_1990,0,3,3,nation,nation,NN,NN
60,Micronesia_1990,0,3,4,of,of,IN,IN
61,Micronesia_1990,0,3,5,many,many,JJ,JJ
62,Micronesia_1990,0,3,6,islands,islands,NNS,NN
63,Micronesia_1990,0,3,8,we,we,PRP,PR
64,Micronesia_1990,0,3,9,respect,respect,VBP,VB
65,Micronesia_1990,0,3,10,the,the,DT,DT
66,Micronesia_1990,0,3,11,diversity,diversity,NN,NN
67,Micronesia_1990,0,3,12,of,of,IN,IN
68,Micronesia_1990,0,3,13,our,our,PRP$,PR
69,Micronesia_1990,0,3,14,cultures,cultures,NNS,NN
70,Micronesia_1990,0,4,0,Our,our,PRP$,PR
71,Micronesia_1990,0,4,1,differences,differences,NNS,NN
72,Micronesia_1990,0,4,2,enrich,enrich,VBP,VB
73,Micronesia_1990,0,4,3,us,us,PRP,PR
74,Micronesia_1990,0,5,0,The,the,DT,DT
75,Micronesia_1990,0,5,1,seas,seas,NNS,NN
