,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Moldova_2006,0,0,0,Moldova,moldova,NNP,NN
1,Moldova_2006,0,0,1,1994,1994,CD,CD
2,Moldova_2006,0,0,3,rev,rev,NN,NN
3,Moldova_2006,0,1,0,2006,2006,CD,CD
4,Moldova_2006,0,1,2,Preamble,preamble,JJ,JJ
5,Moldova_2006,0,1,3,Share,share,NN,NN
6,Moldova_2006,0,1,4,WE,we,NNP,NN
7,Moldova_2006,0,1,6,the,the,DT,DT
8,Moldova_2006,0,1,7,plenipotentiary,plenipotentiary,JJ,JJ
9,Moldova_2006,0,1,8,representatives,representatives,NNS,NN
10,Moldova_2006,0,1,9,of,of,IN,IN
11,Moldova_2006,0,1,10,the,the,DT,DT
12,Moldova_2006,0,1,11,people,people,NNS,NN
13,Moldova_2006,0,1,12,of,of,IN,IN
14,Moldova_2006,0,1,13,the,the,DT,DT
15,Moldova_2006,0,1,14,Republic,republic,NNP,NN
16,Moldova_2006,0,1,15,of,of,IN,IN
17,Moldova_2006,0,1,16,Moldova,moldova,NNP,NN
18,Moldova_2006,0,1,18,members,members,NNS,NN
19,Moldova_2006,0,1,19,of,of,IN,IN
20,Moldova_2006,0,1,20,the,the,DT,DT
21,Moldova_2006,0,1,21,Parliament,parliament,NNP,NN
22,Moldova_2006,0,1,23,STARTING,starting,NNP,NN
23,Moldova_2006,0,1,24,from,from,IN,IN
24,Moldova_2006,0,1,25,the,the,DT,DT
25,Moldova_2006,0,1,26,age-old,ageold,JJ,JJ
26,Moldova_2006,0,1,27,aspirations,aspirations,NNS,NN
27,Moldova_2006,0,1,28,of,of,IN,IN
28,Moldova_2006,0,1,29,our,our,PRP$,PR
29,Moldova_2006,0,1,30,people,people,NNS,NN
30,Moldova_2006,0,1,31,to,to,TO,TO
31,Moldova_2006,0,1,32,live,live,VB,VB
32,Moldova_2006,0,1,33,in,in,IN,IN
33,Moldova_2006,0,1,34,a,a,DT,DT
34,Moldova_2006,0,1,35,sovereign,sovereign,JJ,JJ
35,Moldova_2006,0,1,36,country,country,NN,NN
36,Moldova_2006,0,1,38,expressed,expressed,VBN,VB
37,Moldova_2006,0,1,39,by,by,IN,IN
38,Moldova_2006,0,1,40,the,the,DT,DT
39,Moldova_2006,0,1,41,proclamation,proclamation,NN,NN
40,Moldova_2006,0,1,42,of,of,IN,IN
41,Moldova_2006,0,1,43,independence,independence,NN,NN
42,Moldova_2006,0,1,44,of,of,IN,IN
43,Moldova_2006,0,1,45,the,the,DT,DT
44,Moldova_2006,0,1,46,Republic,republic,NNP,NN
45,Moldova_2006,0,1,47,of,of,IN,IN
46,Moldova_2006,0,1,48,Moldova,moldova,NNP,NN
47,Moldova_2006,0,1,50,TAKING,taking,NNP,NN
48,Moldova_2006,0,1,51,DUE,due,NNP,NN
49,Moldova_2006,0,1,52,ACCOUNT,account,NNP,NN
50,Moldova_2006,0,1,53,to,to,TO,TO
51,Moldova_2006,0,1,54,the,the,DT,DT
52,Moldova_2006,0,1,55,continuity,continuity,NN,NN
53,Moldova_2006,0,1,56,of,of,IN,IN
54,Moldova_2006,0,1,57,the,the,DT,DT
55,Moldova_2006,0,1,58,Moldavian,moldavian,JJ,JJ
56,Moldova_2006,0,1,59,people,people,NNS,NN
57,Moldova_2006,0,1,60,statehood,statehood,NN,NN
58,Moldova_2006,0,1,61,within,within,IN,IN
59,Moldova_2006,0,1,62,the,the,DT,DT
60,Moldova_2006,0,1,63,historical,historical,JJ,JJ
61,Moldova_2006,0,1,64,and,and,CC,CC
62,Moldova_2006,0,1,65,ethnic,ethnic,JJ,JJ
63,Moldova_2006,0,1,66,framework,framework,NN,NN
64,Moldova_2006,0,1,67,of,of,IN,IN
65,Moldova_2006,0,1,68,its,its,PRP$,PR
66,Moldova_2006,0,1,69,growing,growing,VBG,VB
67,Moldova_2006,0,1,70,as,as,IN,IN
68,Moldova_2006,0,1,71,a,a,DT,DT
69,Moldova_2006,0,1,72,nation,nation,NN,NN
70,Moldova_2006,0,1,74,STRIVING,striving,NNP,NN
71,Moldova_2006,0,1,75,to,to,TO,TO
72,Moldova_2006,0,1,76,satisfy,satisfy,VB,VB
73,Moldova_2006,0,1,77,the,the,DT,DT
74,Moldova_2006,0,1,78,interests,interests,NNS,NN
75,Moldova_2006,0,1,79,of,of,IN,IN
76,Moldova_2006,0,1,80,citizens,citizens,NNS,NN
77,Moldova_2006,0,1,81,of,of,IN,IN
78,Moldova_2006,0,1,82,a,a,DT,DT
79,Moldova_2006,0,1,83,different,different,JJ,JJ
80,Moldova_2006,0,1,84,ethnic,ethnic,JJ,JJ
81,Moldova_2006,0,1,85,origin,origin,NN,NN
82,Moldova_2006,0,1,87,which,which,WDT,WD
83,Moldova_2006,0,1,88,together,together,RB,RB
84,Moldova_2006,0,1,89,with,with,IN,IN
85,Moldova_2006,0,1,90,the,the,DT,DT
86,Moldova_2006,0,1,91,Moldavians,moldavians,NNPS,NN
87,Moldova_2006,0,1,93,constitute,constitute,VB,VB
88,Moldova_2006,0,1,94,the,the,DT,DT
89,Moldova_2006,0,1,95,Republic,republic,NNP,NN
90,Moldova_2006,0,1,96,of,of,IN,IN
91,Moldova_2006,0,1,97,Moldova,moldova,NNP,NN
92,Moldova_2006,0,1,98,people,people,NNS,NN
93,Moldova_2006,0,1,100,CONSIDERING,considering,NNPS,NN
94,Moldova_2006,0,1,101,the,the,DT,DT
95,Moldova_2006,0,1,102,rule,rule,NN,NN
96,Moldova_2006,0,1,103,of,of,IN,IN
97,Moldova_2006,0,1,104,law,law,NN,NN
98,Moldova_2006,0,1,106,civic,civic,JJ,JJ
99,Moldova_2006,0,1,107,peace,peace,NN,NN
100,Moldova_2006,0,1,109,democracy,democracy,NN,NN
101,Moldova_2006,0,1,111,human,human,JJ,JJ
102,Moldova_2006,0,1,112,dignity,dignity,NN,NN
103,Moldova_2006,0,1,114,fundamental,fundamental,JJ,JJ
104,Moldova_2006,0,1,115,human,human,JJ,JJ
105,Moldova_2006,0,1,116,rights,rights,NNS,NN
106,Moldova_2006,0,1,117,and,and,CC,CC
107,Moldova_2006,0,1,118,freedoms,freedoms,NNS,NN
