,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Monaco_2002,0,0,0,Monaco,monaco,NN,NN
1,Monaco_2002,0,0,1,1962,1962,CD,CD
2,Monaco_2002,0,0,3,rev,rev,NN,NN
3,Monaco_2002,0,1,0,2002,2002,CD,CD
4,Monaco_2002,0,1,2,Chapter,chapter,NN,NN
5,Monaco_2002,0,1,3,I,i,PRP,PR
6,Monaco_2002,0,2,0,The,the,DT,DT
7,Monaco_2002,0,2,1,Principality,principality,NNP,NN
8,Monaco_2002,0,2,3,The,the,DT,DT
9,Monaco_2002,0,2,4,Public,public,NNP,NN
10,Monaco_2002,0,2,5,Powers,powers,NNPS,NN
11,Monaco_2002,0,2,6,Share,share,NNP,NN
12,Monaco_2002,0,2,7,Art,art,NNP,NN
13,Monaco_2002,0,2,8,1,1,CD,CD
14,Monaco_2002,0,2,9,Share,share,NNP,NN
15,Monaco_2002,0,2,10,The,the,DT,DT
16,Monaco_2002,0,2,11,Principality,principality,NNP,NN
17,Monaco_2002,0,2,12,of,of,IN,IN
18,Monaco_2002,0,2,13,Monaco,monaco,NNP,NN
19,Monaco_2002,0,2,14,is,is,VBZ,VB
20,Monaco_2002,0,2,15,a,a,DT,DT
21,Monaco_2002,0,2,16,sovereign,sovereign,JJ,JJ
22,Monaco_2002,0,2,17,and,and,CC,CC
23,Monaco_2002,0,2,18,independent,independent,JJ,JJ
24,Monaco_2002,0,2,19,State,state,NNP,NN
25,Monaco_2002,0,2,20,within,within,IN,IN
26,Monaco_2002,0,2,21,the,the,DT,DT
27,Monaco_2002,0,2,22,framework,framework,NN,NN
28,Monaco_2002,0,2,23,of,of,IN,IN
29,Monaco_2002,0,2,24,the,the,DT,DT
30,Monaco_2002,0,2,25,general,general,JJ,JJ
31,Monaco_2002,0,2,26,principles,principles,NNS,NN
32,Monaco_2002,0,2,27,of,of,IN,IN
33,Monaco_2002,0,2,28,international,international,JJ,JJ
34,Monaco_2002,0,2,29,law,law,NN,NN
