,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Mongolia_2001,0,0,0,Mongolia,mongolia,JJ,JJ
1,Mongolia_2001,0,0,1,1992,1992,CD,CD
2,Mongolia_2001,0,0,3,rev,rev,NN,NN
3,Mongolia_2001,0,1,0,2001,2001,CD,CD
4,Mongolia_2001,0,1,2,Preamble,preamble,JJ,JJ
5,Mongolia_2001,0,1,3,Share,share,NN,NN
6,Mongolia_2001,0,1,4,We,we,PRP,PR
7,Mongolia_2001,0,1,6,the,the,DT,DT
8,Mongolia_2001,0,1,7,people,people,NNS,NN
9,Mongolia_2001,0,1,8,of,of,IN,IN
10,Mongolia_2001,0,1,9,Mongolia,mongolia,NNP,NN
11,Mongolia_2001,0,1,11,consolidating,consolidating,NN,NN
12,Mongolia_2001,0,1,12,and,and,CC,CC
13,Mongolia_2001,0,1,13,strengthening,strengthening,VBG,VB
14,Mongolia_2001,0,1,14,the,the,DT,DT
15,Mongolia_2001,0,1,15,independence,independence,NN,NN
16,Mongolia_2001,0,1,16,and,and,CC,CC
17,Mongolia_2001,0,1,17,sovereignty,sovereignty,NN,NN
18,Mongolia_2001,0,1,18,of,of,IN,IN
19,Mongolia_2001,0,1,19,our,our,PRP$,PR
20,Mongolia_2001,0,1,20,state,state,NN,NN
21,Mongolia_2001,0,1,22,respecting,respecting,VBG,VB
22,Mongolia_2001,0,1,23,and,and,CC,CC
23,Mongolia_2001,0,1,24,upholding,upholding,VBG,VB
24,Mongolia_2001,0,1,25,the,the,DT,DT
25,Mongolia_2001,0,1,26,human,human,JJ,JJ
26,Mongolia_2001,0,1,27,rights,rights,NNS,NN
27,Mongolia_2001,0,1,28,and,and,CC,CC
28,Mongolia_2001,0,1,29,freedom,freedom,NN,NN
29,Mongolia_2001,0,1,31,justice,justice,NN,NN
30,Mongolia_2001,0,1,33,and,and,CC,CC
31,Mongolia_2001,0,1,34,unity,unity,NN,NN
32,Mongolia_2001,0,1,35,of,of,IN,IN
33,Mongolia_2001,0,1,36,our,our,PRP$,PR
34,Mongolia_2001,0,1,37,nation,nation,NN,NN
35,Mongolia_2001,0,1,39,inheriting,inheriting,VBG,VB
36,Mongolia_2001,0,1,40,and,and,CC,CC
37,Mongolia_2001,0,1,41,cherishing,cherishing,VBG,VB
