,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Mozambique_2007,0,0,0,Mozambique,mozambique,NN,NN
1,Mozambique_2007,0,0,1,2004,2004,CD,CD
2,Mozambique_2007,0,0,3,rev,rev,NN,NN
3,Mozambique_2007,0,1,0,2007,2007,CD,CD
4,Mozambique_2007,0,1,2,Preamble,preamble,NNP,NN
5,Mozambique_2007,0,1,3,Share,share,NNP,NN
6,Mozambique_2007,0,1,4,Meeting,meeting,VBG,VB
7,Mozambique_2007,0,1,5,the,the,DT,DT
8,Mozambique_2007,0,1,6,age-old,ageold,JJ,JJ
9,Mozambique_2007,0,1,7,desires,desires,NNS,NN
10,Mozambique_2007,0,1,8,of,of,IN,IN
11,Mozambique_2007,0,1,9,our,our,PRP$,PR
12,Mozambique_2007,0,1,10,people,people,NNS,NN
13,Mozambique_2007,0,1,12,the,the,DT,DT
14,Mozambique_2007,0,1,13,armed,armed,VBN,VB
15,Mozambique_2007,0,1,14,struggle,struggle,NN,NN
16,Mozambique_2007,0,1,15,for,for,IN,IN
17,Mozambique_2007,0,1,16,national,national,JJ,JJ
18,Mozambique_2007,0,1,17,liberation,liberation,NN,NN
19,Mozambique_2007,0,1,19,whose,whose,WP$,WP
20,Mozambique_2007,0,1,20,purpose,purpose,NN,NN
21,Mozambique_2007,0,1,21,was,was,VBD,VB
22,Mozambique_2007,0,1,22,to,to,TO,TO
23,Mozambique_2007,0,1,23,liberate,liberate,VB,VB
24,Mozambique_2007,0,1,24,the,the,DT,DT
25,Mozambique_2007,0,1,25,land,land,NN,NN
26,Mozambique_2007,0,1,26,and,and,CC,CC
27,Mozambique_2007,0,1,27,Man,man,NNP,NN
28,Mozambique_2007,0,1,29,brought,brought,VBD,VB
29,Mozambique_2007,0,1,30,together,together,RB,RB
30,Mozambique_2007,0,1,31,all,all,PDT,PD
31,Mozambique_2007,0,1,32,the,the,DT,DT
32,Mozambique_2007,0,1,33,patriotic,patriotic,JJ,JJ
33,Mozambique_2007,0,1,34,sectors,sectors,NNS,NN
34,Mozambique_2007,0,1,35,of,of,IN,IN
35,Mozambique_2007,0,1,36,Mozambican,mozambican,NNP,NN
36,Mozambique_2007,0,1,37,society,society,NN,NN
37,Mozambique_2007,0,1,38,in,in,IN,IN
38,Mozambique_2007,0,1,39,the,the,DT,DT
39,Mozambique_2007,0,1,40,same,same,JJ,JJ
40,Mozambique_2007,0,1,41,ideals,ideals,NNS,NN
41,Mozambique_2007,0,1,42,of,of,IN,IN
42,Mozambique_2007,0,1,43,freedom,freedom,NN,NN
43,Mozambique_2007,0,1,45,unity,unity,NN,NN
44,Mozambique_2007,0,1,47,justice,justice,NN,NN
45,Mozambique_2007,0,1,48,and,and,CC,CC
46,Mozambique_2007,0,1,49,progress,progress,NN,NN
47,Mozambique_2007,0,2,0,When,when,WRB,WR
48,Mozambique_2007,0,2,1,national,national,JJ,JJ
49,Mozambique_2007,0,2,2,independence,independence,NN,NN
50,Mozambique_2007,0,2,3,was,was,VBD,VB
51,Mozambique_2007,0,2,4,won,won,VBN,VB
52,Mozambique_2007,0,2,5,on,on,IN,IN
53,Mozambique_2007,0,2,6,the,the,DT,DT
54,Mozambique_2007,0,2,7,25th,25th,CD,CD
55,Mozambique_2007,0,2,8,of,of,IN,IN
56,Mozambique_2007,0,2,9,June,june,NNP,NN
57,Mozambique_2007,0,2,10,1975,1975,CD,CD
58,Mozambique_2007,0,2,12,the,the,DT,DT
59,Mozambique_2007,0,2,13,Mozambican,mozambican,JJ,JJ
60,Mozambique_2007,0,2,14,people,people,NNS,NN
61,Mozambique_2007,0,2,15,were,were,VBD,VB
62,Mozambique_2007,0,2,16,given,given,VBN,VB
63,Mozambique_2007,0,2,17,back,back,RP,RP
64,Mozambique_2007,0,2,18,their,their,PRP$,PR
65,Mozambique_2007,0,2,19,fundamental,fundamental,JJ,JJ
66,Mozambique_2007,0,2,20,rights,rights,NNS,NN
67,Mozambique_2007,0,2,21,and,and,CC,CC
68,Mozambique_2007,0,2,22,freedoms,freedoms,NNS,NN
69,Mozambique_2007,0,3,0,The,the,DT,DT
70,Mozambique_2007,0,3,1,Constitution,constitution,NNP,NN
71,Mozambique_2007,0,3,2,of,of,IN,IN
72,Mozambique_2007,0,3,3,1990,1990,CD,CD
73,Mozambique_2007,0,3,4,introduced,introduced,VBD,VB
74,Mozambique_2007,0,3,5,the,the,DT,DT
75,Mozambique_2007,0,3,6,democratic,democratic,JJ,JJ
76,Mozambique_2007,0,3,7,rule,rule,NN,NN
77,Mozambique_2007,0,3,8,of,of,IN,IN
78,Mozambique_2007,0,3,9,law,law,NN,NN
79,Mozambique_2007,0,3,11,based,based,VBN,VB
80,Mozambique_2007,0,3,12,on,on,IN,IN
81,Mozambique_2007,0,3,13,the,the,DT,DT
82,Mozambique_2007,0,3,14,separation,separation,NN,NN
83,Mozambique_2007,0,3,15,and,and,CC,CC
