,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Myanmar_2008,0,0,0,Myanmar,myanmar,NN,NN
1,Myanmar_2008,0,0,1,2008,2008,CD,CD
2,Myanmar_2008,0,0,2,Preamble,preamble,NNP,NN
3,Myanmar_2008,0,0,3,Share,share,NNP,NN
4,Myanmar_2008,0,0,4,Myanmar,myanmar,NNP,NN
5,Myanmar_2008,0,0,5,is,is,VBZ,VB
6,Myanmar_2008,0,0,6,a,a,DT,DT
7,Myanmar_2008,0,0,7,Nation,nation,NN,NN
8,Myanmar_2008,0,0,8,with,with,IN,IN
9,Myanmar_2008,0,0,9,magnificent,magnificent,JJ,JJ
10,Myanmar_2008,0,0,10,historical,historical,JJ,JJ
11,Myanmar_2008,0,0,11,traditions,traditions,NNS,NN
12,Myanmar_2008,0,1,0,We,we,PRP,PR
13,Myanmar_2008,0,1,2,the,the,DT,DT
14,Myanmar_2008,0,1,3,National,national,NNP,NN
15,Myanmar_2008,0,1,4,people,people,NNS,NN
16,Myanmar_2008,0,1,6,have,have,VBP,VB
17,Myanmar_2008,0,1,7,been,been,VBN,VB
18,Myanmar_2008,0,1,8,living,living,VBG,VB
19,Myanmar_2008,0,1,9,in,in,IN,IN
20,Myanmar_2008,0,1,10,unity,unity,NN,NN
21,Myanmar_2008,0,1,11,and,and,CC,CC
22,Myanmar_2008,0,1,12,oneness,oneness,NN,NN
23,Myanmar_2008,0,1,14,setting,setting,VBG,VB
24,Myanmar_2008,0,1,15,up,up,RP,RP
25,Myanmar_2008,0,1,16,an,an,DT,DT
26,Myanmar_2008,0,1,17,independent,independent,JJ,JJ
27,Myanmar_2008,0,1,18,sovereign,sovereign,NN,NN
28,Myanmar_2008,0,1,19,State,state,NNP,NN
29,Myanmar_2008,0,1,20,and,and,CC,CC
30,Myanmar_2008,0,1,21,standing,standing,VBG,VB
31,Myanmar_2008,0,1,22,tall,tall,JJ,JJ
32,Myanmar_2008,0,1,23,with,with,IN,IN
33,Myanmar_2008,0,1,24,pride,pride,NN,NN
34,Myanmar_2008,0,2,0,Due,due,JJ,JJ
35,Myanmar_2008,0,2,1,to,to,TO,TO
36,Myanmar_2008,0,2,2,colonial,colonial,JJ,JJ
37,Myanmar_2008,0,2,3,intrusion,intrusion,NN,NN
38,Myanmar_2008,0,2,5,the,the,DT,DT
39,Myanmar_2008,0,2,6,Nation,nation,NN,NN
40,Myanmar_2008,0,2,7,lost,lost,VBD,VB
41,Myanmar_2008,0,2,8,her,her,PRP,PR
42,Myanmar_2008,0,2,9,sovereign,sovereign,JJ,JJ
43,Myanmar_2008,0,2,10,power,power,NN,NN
44,Myanmar_2008,0,2,11,in,in,IN,IN
45,Myanmar_2008,0,2,12,1885,1885,CD,CD
46,Myanmar_2008,0,3,0,The,the,DT,DT
47,Myanmar_2008,0,3,1,National,national,NNP,NN
48,Myanmar_2008,0,3,2,people,people,NNS,NN
49,Myanmar_2008,0,3,3,launched,launched,VBD,VB
50,Myanmar_2008,0,3,4,anti-colonialist,anticolonialist,JJ,JJ
51,Myanmar_2008,0,3,5,struggles,struggles,NNS,NN
52,Myanmar_2008,0,3,6,and,and,CC,CC
53,Myanmar_2008,0,3,7,National,national,NNP,NN
54,Myanmar_2008,0,3,8,liberation,liberation,NN,NN
55,Myanmar_2008,0,3,9,struggles,struggles,NNS,NN
56,Myanmar_2008,0,3,11,with,with,IN,IN
57,Myanmar_2008,0,3,12,unity,unity,NN,NN
58,Myanmar_2008,0,3,13,in,in,IN,IN
59,Myanmar_2008,0,3,14,strength,strength,NN,NN
60,Myanmar_2008,0,3,16,sacrificing,sacrificing,VBG,VB
61,Myanmar_2008,0,3,17,lives,lives,NNS,NN
62,Myanmar_2008,0,3,18,and,and,CC,CC
63,Myanmar_2008,0,3,19,hence,hence,VB,VB
64,Myanmar_2008,0,3,20,the,the,DT,DT
65,Myanmar_2008,0,3,21,Nation,nation,NNP,NN
66,Myanmar_2008,0,3,22,became,became,VBD,VB
67,Myanmar_2008,0,3,23,an,an,DT,DT
68,Myanmar_2008,0,3,24,independent,independent,JJ,JJ
69,Myanmar_2008,0,3,25,sovereign,sovereign,NN,NN
70,Myanmar_2008,0,3,26,State,state,NNP,NN
71,Myanmar_2008,0,3,27,again,again,RB,RB
72,Myanmar_2008,0,3,28,on,on,IN,IN
73,Myanmar_2008,0,3,29,4th,4th,CD,CD
74,Myanmar_2008,0,3,30,January,january,NNP,NN
75,Myanmar_2008,0,3,31,1948,1948,CD,CD
76,Myanmar_2008,0,4,0,In,in,IN,IN
77,Myanmar_2008,0,4,1,order,order,NN,NN
78,Myanmar_2008,0,4,2,to,to,TO,TO
79,Myanmar_2008,0,4,3,gain,gain,VB,VB
80,Myanmar_2008,0,4,4,independence,independence,NN,NN
81,Myanmar_2008,0,4,5,speedily,speedily,RB,RB
82,Myanmar_2008,0,4,7,the,the,DT,DT
83,Myanmar_2008,0,4,8,Constitution,constitution,NNP,NN
84,Myanmar_2008,0,4,9,was,was,VBD,VB
85,Myanmar_2008,0,4,10,hastily,hastily,RB,RB
86,Myanmar_2008,0,4,11,drafted,drafted,VBN,VB
87,Myanmar_2008,0,4,13,and,and,CC,CC
88,Myanmar_2008,0,4,14,it,it,PRP,PR
89,Myanmar_2008,0,4,15,was,was,VBD,VB
90,Myanmar_2008,0,4,16,adopted,adopted,VBN,VB
91,Myanmar_2008,0,4,17,by,by,IN,IN
92,Myanmar_2008,0,4,18,the,the,DT,DT
93,Myanmar_2008,0,4,19,Constituent,constituent,NNP,NN
94,Myanmar_2008,0,4,20,Assembly,assembly,NNP,NN
95,Myanmar_2008,0,4,21,on,on,IN,IN
96,Myanmar_2008,0,4,22,24th,24th,CD,CD
97,Myanmar_2008,0,4,23,September,september,NNP,NN
98,Myanmar_2008,0,4,24,1947,1947,CD,CD
99,Myanmar_2008,0,5,0,After,after,IN,IN
100,Myanmar_2008,0,5,1,attaining,attaining,VBG,VB
101,Myanmar_2008,0,5,2,independence,independence,NN,NN
102,Myanmar_2008,0,5,4,Parliamentary,parliamentary,NNP,NN
103,Myanmar_2008,0,5,5,Democracy,democracy,NNP,NN
104,Myanmar_2008,0,5,6,System,system,NNP,NN
105,Myanmar_2008,0,5,7,was,was,VBD,VB
106,Myanmar_2008,0,5,8,practised,practised,VBN,VB
107,Myanmar_2008,0,5,9,in,in,IN,IN
108,Myanmar_2008,0,5,10,the,the,DT,DT
109,Myanmar_2008,0,5,11,State,state,NNP,NN
110,Myanmar_2008,0,5,12,in,in,IN,IN
111,Myanmar_2008,0,5,13,accord,accord,NN,NN
112,Myanmar_2008,0,5,14,with,with,IN,IN
113,Myanmar_2008,0,5,15,the,the,DT,DT
114,Myanmar_2008,0,5,16,Constitution,constitution,NNP,NN
115,Myanmar_2008,0,5,17,of,of,IN,IN
116,Myanmar_2008,0,5,18,the,the,DT,DT
117,Myanmar_2008,0,5,19,Union,union,NNP,NN
118,Myanmar_2008,0,5,20,of,of,IN,IN
119,Myanmar_2008,0,5,21,Myanmar,myanmar,NNP,NN
120,Myanmar_2008,0,6,0,However,however,RB,RB
121,Myanmar_2008,0,6,2,as,as,IN,IN
122,Myanmar_2008,0,6,3,democratic,democratic,JJ,JJ
123,Myanmar_2008,0,6,4,system,system,NN,NN
124,Myanmar_2008,0,6,5,could,could,MD,MD
125,Myanmar_2008,0,6,6,not,not,RB,RB
