,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Nauru_1968,0,0,0,Nauru,nauru,JJ,JJ
1,Nauru_1968,0,0,1,1968,1968,CD,CD
2,Nauru_1968,0,0,2,Preamble,preamble,JJ,JJ
3,Nauru_1968,0,0,3,Share,share,NNP,NN
4,Nauru_1968,0,0,4,WHEREAS,whereas,NNP,NN
5,Nauru_1968,0,0,5,we,we,PRP,PR
6,Nauru_1968,0,0,6,the,the,DT,DT
7,Nauru_1968,0,0,7,people,people,NNS,NN
8,Nauru_1968,0,0,8,of,of,IN,IN
9,Nauru_1968,0,0,9,Nauru,nauru,NNP,NN
10,Nauru_1968,0,0,10,acknowledge,acknowledge,VBP,VB
11,Nauru_1968,0,0,11,God,god,NNP,NN
12,Nauru_1968,0,0,12,as,as,IN,IN
13,Nauru_1968,0,0,13,the,the,DT,DT
14,Nauru_1968,0,0,14,almighty,almighty,NN,NN
15,Nauru_1968,0,0,15,and,and,CC,CC
16,Nauru_1968,0,0,16,everlasting,everlasting,NN,NN
17,Nauru_1968,0,0,17,Lord,lord,NNP,NN
18,Nauru_1968,0,0,18,and,and,CC,CC
19,Nauru_1968,0,0,19,the,the,DT,DT
20,Nauru_1968,0,0,20,giver,giver,NN,NN
21,Nauru_1968,0,0,21,of,of,IN,IN
22,Nauru_1968,0,0,22,all,all,DT,DT
23,Nauru_1968,0,0,23,good,good,JJ,JJ
24,Nauru_1968,0,0,24,things,things,NNS,NN
25,Nauru_1968,0,0,26,AND,and,CC,CC
26,Nauru_1968,0,0,27,WHEREAS,whereas,IN,IN
27,Nauru_1968,0,0,28,we,we,PRP,PR
28,Nauru_1968,0,0,29,humbly,humbly,RB,RB
29,Nauru_1968,0,0,30,place,place,VBP,VB
30,Nauru_1968,0,0,31,ourselves,ourselves,PRP,PR
31,Nauru_1968,0,0,32,under,under,IN,IN
32,Nauru_1968,0,0,33,the,the,DT,DT
33,Nauru_1968,0,0,34,protection,protection,NN,NN
34,Nauru_1968,0,0,35,of,of,IN,IN
35,Nauru_1968,0,0,36,His,his,PRP$,PR
36,Nauru_1968,0,0,37,good,good,JJ,JJ
37,Nauru_1968,0,0,38,providence,providence,NN,NN
38,Nauru_1968,0,0,39,and,and,CC,CC
39,Nauru_1968,0,0,40,seek,seek,VB,VB
40,Nauru_1968,0,0,41,His,his,PRP$,PR
41,Nauru_1968,0,0,42,blessing,blessing,VBG,VB
42,Nauru_1968,0,0,43,upon,upon,IN,IN
43,Nauru_1968,0,0,44,ourselves,ourselves,NNS,NN
44,Nauru_1968,0,0,45,and,and,CC,CC
45,Nauru_1968,0,0,46,upon,upon,IN,IN
46,Nauru_1968,0,0,47,our,our,PRP$,PR
47,Nauru_1968,0,0,48,lives,lives,NNS,NN
48,Nauru_1968,0,0,50,AND,and,CC,CC
49,Nauru_1968,0,0,51,WHEREAS,whereas,IN,IN
50,Nauru_1968,0,0,52,we,we,PRP,PR
51,Nauru_1968,0,0,53,have,have,VBP,VB
52,Nauru_1968,0,0,54,declared,declared,VBN,VB
53,Nauru_1968,0,0,55,that,that,IN,IN
54,Nauru_1968,0,0,56,Nauru,nauru,NNP,NN
55,Nauru_1968,0,0,57,shall,shall,MD,MD
56,Nauru_1968,0,0,58,be,be,VB,VB
57,Nauru_1968,0,0,59,a,a,DT,DT
58,Nauru_1968,0,0,60,republic,republic,NN,NN
59,Nauru_1968,0,0,62,AND,and,CC,CC
60,Nauru_1968,0,0,63,WHEREAS,whereas,VB,VB
61,Nauru_1968,0,0,64,a,a,DT,DT
62,Nauru_1968,0,0,65,Constitutional,constitutional,NNP,NN
63,Nauru_1968,0,0,66,Convention,convention,NNP,NN
64,Nauru_1968,0,0,67,representing,representing,VBG,VB
65,Nauru_1968,0,0,68,us,us,PRP,PR
66,Nauru_1968,0,0,69,has,has,VBZ,VB
67,Nauru_1968,0,0,70,prepared,prepared,VBN,VB
68,Nauru_1968,0,0,71,a,a,DT,DT
69,Nauru_1968,0,0,72,constitution,constitution,NN,NN
70,Nauru_1968,0,0,73,for,for,IN,IN
71,Nauru_1968,0,0,74,Nauru,nauru,NNP,NN
72,Nauru_1968,0,0,76,NOW,now,NNP,NN
73,Nauru_1968,0,0,77,THEREFORE,therefore,NNP,NN
74,Nauru_1968,0,0,78,we,we,PRP,PR
75,Nauru_1968,0,0,79,the,the,DT,DT
76,Nauru_1968,0,0,80,people,people,NNS,NN
77,Nauru_1968,0,0,81,of,of,IN,IN
78,Nauru_1968,0,0,82,Nauru,nauru,NNP,NN
79,Nauru_1968,0,0,83,in,in,IN,IN
80,Nauru_1968,0,0,84,our,our,PRP$,PR
81,Nauru_1968,0,0,85,Constitutional,constitutional,JJ,JJ
82,Nauru_1968,0,0,86,Convention,convention,NN,NN
83,Nauru_1968,0,0,87,this,this,DT,DT
84,Nauru_1968,0,0,88,twenty-ninth,twentyninth,JJ,JJ
85,Nauru_1968,0,0,89,day,day,NN,NN
86,Nauru_1968,0,0,90,of,of,IN,IN
87,Nauru_1968,0,0,91,January,january,NNP,NN
88,Nauru_1968,0,0,93,One,one,CD,CD
89,Nauru_1968,0,0,94,thousand,thousand,CD,CD
90,Nauru_1968,0,0,95,nine,nine,CD,CD
91,Nauru_1968,0,0,96,hundred,hundred,VBN,VB
92,Nauru_1968,0,0,97,and,and,CC,CC
93,Nauru_1968,0,0,98,sixty-eight,sixtyeight,JJ,JJ
94,Nauru_1968,0,0,100,do,do,VBP,VB
95,Nauru_1968,0,0,101,hereby,hereby,RB,RB
96,Nauru_1968,0,0,102,adopt,adopt,VB,VB
97,Nauru_1968,0,0,104,enact,enact,VB,VB
98,Nauru_1968,0,0,105,and,and,CC,CC
99,Nauru_1968,0,0,106,give,give,VB,VB
100,Nauru_1968,0,0,107,to,to,TO,TO
101,Nauru_1968,0,0,108,ourselves,ourselves,VB,VB
102,Nauru_1968,0,0,109,this,this,DT,DT
103,Nauru_1968,0,0,110,Constitution,constitution,NN,NN
104,Nauru_1968,0,0,111,to,to,TO,TO
105,Nauru_1968,0,0,112,come,come,VB,VB
106,Nauru_1968,0,0,113,into,into,IN,IN
107,Nauru_1968,0,0,114,force,force,NN,NN
108,Nauru_1968,0,0,115,on,on,IN,IN
109,Nauru_1968,0,0,116,the,the,DT,DT
110,Nauru_1968,0,0,117,thirty-first,thirtyfirst,JJ,JJ
111,Nauru_1968,0,0,118,day,day,NN,NN
112,Nauru_1968,0,0,119,of,of,IN,IN
113,Nauru_1968,0,0,120,January,january,NNP,NN
114,Nauru_1968,0,0,122,One,one,CD,CD
115,Nauru_1968,0,0,123,thousand,thousand,CD,CD
116,Nauru_1968,0,0,124,nine,nine,CD,CD
117,Nauru_1968,0,0,125,hundred,hundred,VBN,VB
118,Nauru_1968,0,0,126,and,and,CC,CC
119,Nauru_1968,0,0,127,sixty-eight,sixtyeight,JJ,JJ
120,Nauru_1968,0,1,0,PART,part,NN,NN
121,Nauru_1968,0,1,1,I,i,PRP,PR
122,Nauru_1968,0,2,0,THE,the,DT,DT
123,Nauru_1968,0,2,1,REPUBLIC,republic,NNP,NN
124,Nauru_1968,0,2,2,OF,of,NNP,NN
125,Nauru_1968,0,2,3,NAURU,nauru,NNP,NN
126,Nauru_1968,0,2,4,AND,and,NNP,NN
127,Nauru_1968,0,2,5,THE,the,NNP,NN
128,Nauru_1968,0,2,6,SUPREME,supreme,NNP,NN
129,Nauru_1968,0,2,7,LAW,law,NNP,NN
130,Nauru_1968,0,2,8,OF,of,NNP,NN
131,Nauru_1968,0,2,9,NAURU,nauru,NNP,NN
132,Nauru_1968,0,2,10,1,1,CD,CD
133,Nauru_1968,0,3,0,The,the,DT,DT
134,Nauru_1968,0,3,1,Republic,republic,NNP,NN
135,Nauru_1968,0,3,2,of,of,IN,IN
136,Nauru_1968,0,3,3,Nauru,nauru,NNP,NN
137,Nauru_1968,0,4,0,Share,share,NN,NN
138,Nauru_1968,0,4,1,Nauru,nauru,NNP,NN
139,Nauru_1968,0,4,2,is,is,VBZ,VB
140,Nauru_1968,0,4,3,an,an,DT,DT
141,Nauru_1968,0,4,4,independent,independent,JJ,JJ
142,Nauru_1968,0,4,5,republic,republic,NN,NN
143,Nauru_1968,0,5,0,2,2,CD,CD
144,Nauru_1968,0,6,0,Supreme,supreme,NNP,NN
145,Nauru_1968,0,6,1,law,law,NN,NN
146,Nauru_1968,0,6,2,of,of,IN,IN
147,Nauru_1968,0,6,3,Nauru,nauru,NNP,NN
148,Nauru_1968,0,7,0,Share,share,NN,NN
149,Nauru_1968,0,7,1,1,1,CD,CD
150,Nauru_1968,0,8,0,This,this,DT,DT
151,Nauru_1968,0,8,1,Constitution,constitution,NNP,NN
152,Nauru_1968,0,8,2,is,is,VBZ,VB
153,Nauru_1968,0,8,3,the,the,DT,DT
154,Nauru_1968,0,8,4,supreme,supreme,JJ,JJ
155,Nauru_1968,0,8,5,law,law,NN,NN
156,Nauru_1968,0,8,6,of,of,IN,IN
157,Nauru_1968,0,8,7,Nauru,nauru,NNP,NN
158,Nauru_1968,0,9,0,2,2,CD,CD
159,Nauru_1968,0,10,0,A,a,DT,DT
160,Nauru_1968,0,10,1,law,law,NN,NN
161,Nauru_1968,0,10,2,inconsistent,inconsistent,NN,NN
162,Nauru_1968,0,10,3,with,with,IN,IN
163,Nauru_1968,0,10,4,this,this,DT,DT
164,Nauru_1968,0,10,5,Constitution,constitution,NNP,NN
165,Nauru_1968,0,10,6,is,is,VBZ,VB
166,Nauru_1968,0,10,8,to,to,TO,TO
167,Nauru_1968,0,10,9,the,the,DT,DT
168,Nauru_1968,0,10,10,extent,extent,NN,NN
169,Nauru_1968,0,10,11,of,of,IN,IN
170,Nauru_1968,0,10,12,the,the,DT,DT
171,Nauru_1968,0,10,13,inconsistency,inconsistency,NN,NN
172,Nauru_1968,0,10,15,void,void,NN,NN
173,Nauru_1968,0,11,0,PART,part,NN,NN
174,Nauru_1968,0,11,1,II,ii,NNP,NN
175,Nauru_1968,0,12,0,PROTECTION,protection,NNP,NN
176,Nauru_1968,0,12,1,OF,of,NNP,NN
177,Nauru_1968,0,12,2,FUNDAMENTAL,fundamental,NNP,NN
178,Nauru_1968,0,12,3,RIGHTS,rights,NNP,NN
179,Nauru_1968,0,12,4,AND,and,NNP,NN
180,Nauru_1968,0,12,5,FREEDOMS,freedoms,NNP,NN
181,Nauru_1968,0,12,6,3,3,CD,CD
182,Nauru_1968,0,13,0,Preamble,preamble,JJ,JJ
183,Nauru_1968,0,14,0,Share,share,NN,NN
184,Nauru_1968,0,14,1,Whereas,whereas,NNP,NN
185,Nauru_1968,0,14,2,every,every,DT,DT
186,Nauru_1968,0,14,3,person,person,NN,NN
187,Nauru_1968,0,14,4,in,in,IN,IN
188,Nauru_1968,0,14,5,Nauru,nauru,NNP,NN
189,Nauru_1968,0,14,6,is,is,VBZ,VB
190,Nauru_1968,0,14,7,entitled,entitled,VBN,VB
191,Nauru_1968,0,14,8,to,to,TO,TO
192,Nauru_1968,0,14,9,the,the,DT,DT
193,Nauru_1968,0,14,10,fundamental,fundamental,JJ,JJ
194,Nauru_1968,0,14,11,rights,rights,NNS,NN
195,Nauru_1968,0,14,12,and,and,CC,CC
196,Nauru_1968,0,14,13,freedoms,freedoms,NNS,NN
197,Nauru_1968,0,14,14,of,of,IN,IN
198,Nauru_1968,0,14,15,the,the,DT,DT
199,Nauru_1968,0,14,16,individual,individual,NN,NN
200,Nauru_1968,0,14,18,that,that,WDT,WD
201,Nauru_1968,0,14,19,is,is,VBZ,VB
202,Nauru_1968,0,14,20,to,to,TO,TO
203,Nauru_1968,0,14,21,say,say,VB,VB
204,Nauru_1968,0,14,23,has,has,VBZ,VB
205,Nauru_1968,0,14,24,the,the,DT,DT
206,Nauru_1968,0,14,25,right,right,NN,NN
207,Nauru_1968,0,14,27,whatever,whatever,WDT,WD
208,Nauru_1968,0,14,28,his,his,PRP$,PR
209,Nauru_1968,0,14,29,race,race,NN,NN
210,Nauru_1968,0,14,31,place,place,NN,NN
211,Nauru_1968,0,14,32,of,of,IN,IN
212,Nauru_1968,0,14,33,origin,origin,NN,NN
213,Nauru_1968,0,14,35,political,political,JJ,JJ
214,Nauru_1968,0,14,36,opinions,opinions,NNS,NN
215,Nauru_1968,0,14,38,colour,colour,NN,NN
216,Nauru_1968,0,14,40,creed,creed,NN,NN
217,Nauru_1968,0,14,41,or,or,CC,CC
218,Nauru_1968,0,14,42,sex,sex,NN,NN
219,Nauru_1968,0,14,44,but,but,CC,CC
220,Nauru_1968,0,14,45,subject,subject,JJ,JJ
221,Nauru_1968,0,14,46,to,to,TO,TO
222,Nauru_1968,0,14,47,respect,respect,VB,VB
223,Nauru_1968,0,14,48,for,for,IN,IN
224,Nauru_1968,0,14,49,the,the,DT,DT
225,Nauru_1968,0,14,50,rights,rights,NNS,NN
226,Nauru_1968,0,14,51,and,and,CC,CC
