,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Netherlands_2008,0,0,0,Netherlands,netherlands,NNS,NN
1,Netherlands_2008,0,0,1,1815,1815,CD,CD
2,Netherlands_2008,0,0,3,rev,rev,NN,NN
3,Netherlands_2008,0,1,0,2008,2008,CD,CD
4,Netherlands_2008,0,1,2,CHAPTER,chapter,NN,NN
5,Netherlands_2008,0,1,3,1,1,CD,CD
6,Netherlands_2008,0,2,0,Fundamental,fundamental,NNP,NN
7,Netherlands_2008,0,2,1,Rights,rights,NNP,NN
8,Netherlands_2008,0,2,2,Share,share,NNP,NN
9,Netherlands_2008,0,2,3,Article,article,NNP,NN
10,Netherlands_2008,0,2,4,1,1,CD,CD
11,Netherlands_2008,0,2,5,Share,share,NNP,NN
12,Netherlands_2008,0,2,6,All,all,NNP,NN
13,Netherlands_2008,0,2,7,persons,persons,NNS,NN
14,Netherlands_2008,0,2,8,in,in,IN,IN
15,Netherlands_2008,0,2,9,the,the,DT,DT
16,Netherlands_2008,0,2,10,Netherlands,netherlands,NNP,NN
17,Netherlands_2008,0,2,11,shall,shall,MD,MD
18,Netherlands_2008,0,2,12,be,be,VB,VB
19,Netherlands_2008,0,2,13,treated,treated,VBN,VB
20,Netherlands_2008,0,2,14,equally,equally,RB,RB
21,Netherlands_2008,0,2,15,in,in,IN,IN
22,Netherlands_2008,0,2,16,equal,equal,JJ,JJ
23,Netherlands_2008,0,2,17,circumstances,circumstances,NNS,NN
24,Netherlands_2008,0,3,0,Discrimination,discrimination,NN,NN
25,Netherlands_2008,0,3,1,on,on,IN,IN
26,Netherlands_2008,0,3,2,the,the,DT,DT
27,Netherlands_2008,0,3,3,grounds,grounds,NNS,NN
28,Netherlands_2008,0,3,4,of,of,IN,IN
29,Netherlands_2008,0,3,5,religion,religion,NN,NN
30,Netherlands_2008,0,3,7,belief,belief,NN,NN
31,Netherlands_2008,0,3,9,political,political,JJ,JJ
32,Netherlands_2008,0,3,10,opinion,opinion,NN,NN
33,Netherlands_2008,0,3,12,race,race,NN,NN
34,Netherlands_2008,0,3,13,or,or,CC,CC
35,Netherlands_2008,0,3,14,sex,sex,NN,NN
36,Netherlands_2008,0,3,15,or,or,CC,CC
37,Netherlands_2008,0,3,16,on,on,IN,IN
38,Netherlands_2008,0,3,17,any,any,DT,DT
39,Netherlands_2008,0,3,18,other,other,JJ,JJ
40,Netherlands_2008,0,3,19,grounds,grounds,NNS,NN
41,Netherlands_2008,0,3,20,whatsoever,whatsoever,RB,RB
42,Netherlands_2008,0,3,21,shall,shall,MD,MD
43,Netherlands_2008,0,3,22,not,not,RB,RB
44,Netherlands_2008,0,3,23,be,be,VB,VB
45,Netherlands_2008,0,3,24,permitted,permitted,VBN,VB
46,Netherlands_2008,0,4,0,Article,article,NN,NN
47,Netherlands_2008,0,4,1,2,2,CD,CD
48,Netherlands_2008,0,4,2,Share,share,NN,NN
49,Netherlands_2008,0,4,3,1,1,CD,CD
50,Netherlands_2008,0,5,0,Dutch,dutch,NN,NN
51,Netherlands_2008,0,5,1,nationality,nationality,NN,NN
52,Netherlands_2008,0,5,2,shall,shall,MD,MD
53,Netherlands_2008,0,5,3,be,be,VB,VB
54,Netherlands_2008,0,5,4,regulated,regulated,VBN,VB
55,Netherlands_2008,0,5,5,by,by,IN,IN
56,Netherlands_2008,0,5,6,Act,act,NNP,NN
57,Netherlands_2008,0,5,7,of,of,IN,IN
58,Netherlands_2008,0,5,8,Parliament,parliament,NNP,NN
59,Netherlands_2008,0,6,0,2,2,CD,CD
60,Netherlands_2008,0,7,0,The,the,DT,DT
61,Netherlands_2008,0,7,1,admission,admission,NN,NN
62,Netherlands_2008,0,7,2,and,and,CC,CC
63,Netherlands_2008,0,7,3,expulsion,expulsion,NN,NN
64,Netherlands_2008,0,7,4,of,of,IN,IN
65,Netherlands_2008,0,7,5,aliens,aliens,NNS,NN
66,Netherlands_2008,0,7,6,shall,shall,MD,MD
67,Netherlands_2008,0,7,7,be,be,VB,VB
68,Netherlands_2008,0,7,8,regulated,regulated,VBN,VB
69,Netherlands_2008,0,7,9,by,by,IN,IN
70,Netherlands_2008,0,7,10,Act,act,NNP,NN
71,Netherlands_2008,0,7,11,of,of,IN,IN
72,Netherlands_2008,0,7,12,Parliament,parliament,NNP,NN
73,Netherlands_2008,0,8,0,3,3,CD,CD
74,Netherlands_2008,0,9,0,Extradition,extradition,NN,NN
75,Netherlands_2008,0,9,1,may,may,MD,MD
76,Netherlands_2008,0,9,2,take,take,VB,VB
77,Netherlands_2008,0,9,3,place,place,NN,NN
78,Netherlands_2008,0,9,4,only,only,RB,RB
79,Netherlands_2008,0,9,5,pursuant,pursuant,NN,NN
80,Netherlands_2008,0,9,6,to,to,TO,TO
81,Netherlands_2008,0,9,7,a,a,DT,DT
82,Netherlands_2008,0,9,8,treaty,treaty,NN,NN
83,Netherlands_2008,0,10,0,Further,further,JJ,JJ
84,Netherlands_2008,0,10,1,regulations,regulations,NNS,NN
85,Netherlands_2008,0,10,2,concerning,concerning,VBG,VB
86,Netherlands_2008,0,10,3,extradition,extradition,NN,NN
87,Netherlands_2008,0,10,4,shall,shall,MD,MD
88,Netherlands_2008,0,10,5,be,be,VB,VB
89,Netherlands_2008,0,10,6,laid,laid,VBN,VB
90,Netherlands_2008,0,10,7,down,down,RP,RP
91,Netherlands_2008,0,10,8,by,by,IN,IN
92,Netherlands_2008,0,10,9,Act,act,NNP,NN
93,Netherlands_2008,0,10,10,of,of,IN,IN
94,Netherlands_2008,0,10,11,Parliament,parliament,NNP,NN
95,Netherlands_2008,0,11,0,4,4,CD,CD
96,Netherlands_2008,0,12,0,Everyone,everyone,NN,NN
97,Netherlands_2008,0,12,1,shall,shall,MD,MD
98,Netherlands_2008,0,12,2,have,have,VB,VB
99,Netherlands_2008,0,12,3,the,the,DT,DT
100,Netherlands_2008,0,12,4,right,right,NN,NN
101,Netherlands_2008,0,12,5,to,to,TO,TO
102,Netherlands_2008,0,12,6,leave,leave,VB,VB
103,Netherlands_2008,0,12,7,the,the,DT,DT
